X,Y,Z,Rx,Ry,Rz,time(s),time(ms)
485.364,-1.213,234.338,179.984,20.2111,1.6879,0,0
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.06006006,60.06006006
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.12012012,120.1201201
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.18018018,180.1801802
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.24024024,240.2402402
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.3003003,300.3003003
485.365,-1.213,234.338,179.984,20.2111,1.6879,0.36036036,360.3603604
485.365,-1.213,234.337,179.984,20.2111,1.6879,0.42042042,420.4204204
485.365,-1.213,234.337,179.9841,20.211,1.688,0.48048048,480.4804805
485.366,-1.213,234.337,179.9841,20.211,1.688,0.540540541,540.5405405
485.367,-1.213,234.336,179.9841,20.211,1.688,0.600600601,600.6006006
485.368,-1.213,234.336,179.9841,20.2109,1.6881,0.660660661,660.6606607
485.369,-1.213,234.335,179.9842,20.2109,1.6881,0.720720721,720.7207207
485.37,-1.213,234.334,179.9842,20.2108,1.6882,0.780780781,780.7807808
485.371,-1.213,234.333,179.9843,20.2107,1.6882,0.840840841,840.8408408
485.373,-1.213,234.332,179.9844,20.2106,1.6883,0.900900901,900.9009009
485.375,-1.213,234.331,179.9845,20.2105,1.6884,0.960960961,960.960961
485.377,-1.214,234.329,179.9845,20.2104,1.6885,1.021021021,1021.021021
485.379,-1.214,234.328,179.9846,20.2103,1.6886,1.081081081,1081.081081
485.382,-1.214,234.326,179.9848,20.2101,1.6887,1.141141141,1141.141141
485.385,-1.214,234.324,179.9849,20.21,1.6888,1.201201201,1201.201201
485.388,-1.214,234.322,179.985,20.2098,1.689,1.261261261,1261.261261
485.392,-1.214,234.32,179.9852,20.2096,1.6891,1.321321321,1321.321321
485.396,-1.214,234.317,179.9853,20.2094,1.6893,1.381381381,1381.381381
485.4,-1.214,234.314,179.9855,20.2092,1.6895,1.441441441,1441.441441
485.405,-1.215,234.311,179.9857,20.2089,1.6897,1.501501502,1501.501502
485.41,-1.215,234.308,179.9859,20.2087,1.6899,1.561561562,1561.561562
485.415,-1.215,234.304,179.9861,20.2084,1.6901,1.621621622,1621.621622
485.421,-1.215,234.3,179.9864,20.2081,1.6904,1.681681682,1681.681682
485.427,-1.216,234.296,179.9866,20.2077,1.6907,1.741741742,1741.741742
485.434,-1.216,234.292,179.9869,20.2074,1.691,1.801801802,1801.801802
485.441,-1.216,234.287,179.9872,20.207,1.6913,1.861861862,1861.861862
485.449,-1.216,234.282,179.9875,20.2066,1.6916,1.921921922,1921.921922
485.457,-1.217,234.277,179.9879,20.2062,1.692,1.981981982,1981.981982
485.465,-1.217,234.271,179.9882,20.2057,1.6923,2.042042042,2042.042042
485.475,-1.217,234.265,179.9886,20.2052,1.6927,2.102102102,2102.102102
485.484,-1.218,234.259,179.989,20.2047,1.6932,2.162162162,2162.162162
485.494,-1.218,234.252,179.9894,20.2042,1.6936,2.222222222,2222.222222
485.505,-1.219,234.245,179.9899,20.2036,1.6941,2.282282282,2282.282282
485.516,-1.219,234.238,179.9904,20.203,1.6946,2.342342342,2342.342342
485.528,-1.219,234.23,179.9909,20.2024,1.6951,2.402402402,2402.402402
485.541,-1.22,234.222,179.9914,20.2017,1.6956,2.462462462,2462.462462
485.554,-1.22,234.213,179.9919,20.201,1.6962,2.522522523,2522.522523
485.567,-1.221,234.204,179.9925,20.2003,1.6968,2.582582583,2582.582583
485.581,-1.222,234.195,179.9931,20.1995,1.6974,2.642642643,2642.642643
485.596,-1.222,234.185,179.9937,20.1987,1.6981,2.702702703,2702.702703
485.612,-1.223,234.175,179.9944,20.1979,1.6987,2.762762763,2762.762763
485.628,-1.223,234.164,179.995,20.1971,1.6995,2.822822823,2822.822823
485.645,-1.224,234.153,179.9957,20.1962,1.7002,2.882882883,2882.882883
