X,Y,Z,Rx,Ry,Rz
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.9841,20.211,1.688
485.366,-1.213,234.337,179.9841,20.211,1.688
485.367,-1.213,234.336,179.9841,20.211,1.688
485.368,-1.213,234.336,179.9841,20.2109,1.6881
485.369,-1.213,234.335,179.9842,20.2109,1.6881
485.37,-1.213,234.334,179.9842,20.2108,1.6882
485.371,-1.213,234.333,179.9843,20.2107,1.6882
485.373,-1.213,234.332,179.9844,20.2106,1.6883
485.375,-1.213,234.331,179.9845,20.2105,1.6884
485.377,-1.214,234.329,179.9845,20.2104,1.6885
485.379,-1.214,234.328,179.9846,20.2103,1.6886
485.382,-1.214,234.326,179.9848,20.2101,1.6887
485.385,-1.214,234.324,179.9849,20.21,1.6888
485.388,-1.214,234.322,179.985,20.2098,1.689
485.392,-1.214,234.32,179.9852,20.2096,1.6891
485.396,-1.214,234.317,179.9853,20.2094,1.6893
485.4,-1.214,234.314,179.9855,20.2092,1.6895
485.405,-1.215,234.311,179.9857,20.2089,1.6897
485.41,-1.215,234.308,179.9859,20.2087,1.6899
485.415,-1.215,234.304,179.9861,20.2084,1.6901
485.421,-1.215,234.3,179.9864,20.2081,1.6904
485.427,-1.216,234.296,179.9866,20.2077,1.6907
485.434,-1.216,234.292,179.9869,20.2074,1.691
485.441,-1.216,234.287,179.9872,20.207,1.6913
485.449,-1.216,234.282,179.9875,20.2066,1.6916
485.457,-1.217,234.277,179.9879,20.2062,1.692
485.465,-1.217,234.271,179.9882,20.2057,1.6923
485.475,-1.217,234.265,179.9886,20.2052,1.6927
485.484,-1.218,234.259,179.989,20.2047,1.6932
485.494,-1.218,234.252,179.9894,20.2042,1.6936
485.505,-1.219,234.245,179.9899,20.2036,1.6941
485.516,-1.219,234.238,179.9904,20.203,1.6946
485.528,-1.219,234.23,179.9909,20.2024,1.6951
485.541,-1.22,234.222,179.9914,20.2017,1.6956
485.554,-1.22,234.213,179.9919,20.201,1.6962
485.567,-1.221,234.204,179.9925,20.2003,1.6968
485.581,-1.222,234.195,179.9931,20.1995,1.6974
485.596,-1.222,234.185,179.9937,20.1987,1.6981
485.612,-1.223,234.175,179.9944,20.1979,1.6987
485.628,-1.223,234.164,179.995,20.1971,1.6995
