X,Y,Z,Rx,Ry,Rz
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.9841,20.211,1.688
485.366,-1.213,234.337,179.9841,20.211,1.688
485.367,-1.213,234.336,179.9841,20.2109,1.688
485.369,-1.213,234.335,179.9842,20.2109,1.6881
485.37,-1.213,234.334,179.9843,20.2108,1.6882
485.372,-1.213,234.333,179.9843,20.2107,1.6883
485.375,-1.213,234.331,179.9845,20.2105,1.6884
485.378,-1.214,234.329,179.9846,20.2104,1.6885
485.381,-1.214,234.327,179.9847,20.2102,1.6886
485.385,-1.214,234.324,179.9849,20.21,1.6888
485.389,-1.214,234.321,179.9851,20.2097,1.689
485.394,-1.214,234.318,179.9853,20.2095,1.6892
485.4,-1.214,234.314,179.9855,20.2092,1.6895
485.406,-1.215,234.31,179.9858,20.2088,1.6898
485.413,-1.215,234.305,179.9861,20.2085,1.6901
485.421,-1.215,234.3,179.9864,20.2081,1.6904
485.43,-1.216,234.295,179.9867,20.2076,1.6908
485.439,-1.216,234.289,179.9871,20.2071,1.6912
485.449,-1.216,234.282,179.9875,20.2066,1.6916
485.46,-1.217,234.275,179.988,20.206,1.6921
485.471,-1.217,234.267,179.9885,20.2054,1.6926
485.484,-1.218,234.259,179.989,20.2047,1.6932
485.498,-1.218,234.25,179.9896,20.204,1.6938
485.512,-1.219,234.24,179.9902,20.2032,1.6944
485.528,-1.219,234.23,179.9909,20.2024,1.6951
485.545,-1.22,234.219,179.9916,20.2015,1.6958
485.563,-1.221,234.207,179.9923,20.2005,1.6966
485.581,-1.222,234.195,179.9931,20.1995,1.6974
485.601,-1.222,234.182,179.9939,20.1985,1.6983
485.623,-1.223,234.168,179.9948,20.1973,1.6992
485.645,-1.224,234.153,179.9957,20.1962,1.7002
485.668,-1.225,234.138,179.9967,20.1949,1.7012
485.693,-1.226,234.121,179.9978,20.1936,1.7023
485.719,-1.227,234.104,179.9989,20.1922,1.7035
485.747,-1.228,234.086,180.0,20.1907,1.7047
485.776,-1.229,234.067,-179.9988,20.1892,1.7059
485.806,-1.23,234.047,-179.9975,20.1876,1.7072
485.837,-1.232,234.026,-179.9962,20.1859,1.7086
485.87,-1.233,234.005,-179.9948,20.1842,1.7101
485.905,-1.234,233.982,-179.9934,20.1823,1.7116
485.941,-1.236,233.958,-179.9919,20.1804,1.7131
485.978,-1.237,233.934,-179.9903,20.1784,1.7148
