X,Y,Z,Rx,Ry,Rz,time
485.341,-1.225,234.334,179.9835,20.2142,1.6849,0.0
485.341,-1.225,234.334,179.9835,20.2142,1.6849,41.0
485.341,-1.225,234.334,179.9835,20.2142,1.6849,82.0
485.341,-1.225,234.334,179.9835,20.2142,1.6849,122.2
485.341,-1.225,234.334,179.9835,20.2142,1.6849,163.0
485.341,-1.225,234.334,179.9835,20.2142,1.6849,205.1
485.341,-1.225,234.334,179.9835,20.2142,1.6849,246.4
485.341,-1.225,234.334,179.9835,20.2142,1.6849,286.4
485.341,-1.225,234.334,179.9835,20.2142,1.6849,326.7
485.341,-1.225,234.334,179.9835,20.2142,1.6849,367.8
485.341,-1.225,234.334,179.9835,20.2142,1.6849,409.0
485.341,-1.225,234.334,179.9835,20.2142,1.6849,450.9
487.908,0.825,232.939,-179.6997,20.2287,2.1707,493.0
492.245,4.271,230.563,-179.159,20.2454,2.988,534.6
496.586,7.681,228.205,-178.6196,20.2447,3.7958,576.4
501.372,11.395,225.633,-178.0263,20.2235,4.6706,617.4
506.599,15.39,222.853,-177.3811,20.1773,5.6116,659.4
510.961,18.684,220.553,-176.8459,20.1206,6.3844,700.6
515.331,21.929,218.269,-176.3145,20.0476,7.1452,742.3
519.719,25.141,215.998,-175.7851,19.9582,7.892,782.8
524.109,28.296,213.755,-175.2613,19.8526,8.6275,822.9
528.506,31.42,211.519,-174.7409,19.732,9.3511,864.1
532.912,34.492,209.298,-174.2265,19.5964,10.0612,905.2
537.329,37.526,207.093,-173.716,19.446,10.756,946.4
541.764,40.504,204.903,-173.2123,19.28,11.4379,988.1
546.203,43.434,202.724,-172.7157,19.101,12.1063,1029.2
551.998,47.17,199.918,-172.08,18.8471,12.953,1070.3
556.469,49.983,197.765,-171.5978,18.6381,13.5854,1111.8
560.054,52.195,196.059,-171.2192,18.4606,14.0828,1152.2
564.544,54.918,193.932,-170.7517,18.2278,14.6906,1192.2
569.048,57.587,191.815,-170.2919,17.9834,15.2811,1233.2
573.566,60.185,189.706,-169.8421,17.7273,15.8572,1273.3
578.104,62.739,187.608,-169.4004,17.4589,16.4181,1313.9
582.653,65.228,185.525,-168.9685,17.1804,16.9634,1354.9
587.212,67.665,183.442,-168.5439,16.8923,17.4911,1395.2
591.789,70.026,181.358,-168.13,16.595,18.0041,1436.2
596.376,72.339,179.287,-167.7249,16.2873,18.5018,1477.2
601.91,75.028,176.812,-167.2522,15.9053,19.077,1517.4
605.606,76.766,175.167,-166.9449,15.6448,19.4466,1557.6
