S,L,U,R,B,T
-0.26107882511952246,0.18184549883880466,-0.8359331474964976,-1.480105441686292,-0.5398165896312019,1.8220323180434264
-0.26096244005088737,0.18181139467402535,-0.8359747782690188,-1.4802086668451702,-0.5397551864907868,1.822036905971573
-0.26084610391551655,0.1817771031175295,-0.8360164888906353,-1.4803107746236779,-0.5396936606747819,1.8220405332085219
-0.2607297605800013,0.18174282589439616,-0.8360581806840387,-1.480412891849958,-0.5396321324076999,1.82204416366144
-0.26061341002750943,0.18170856297806942,-0.8360998536819774,-1.4805150186721592,-0.5395706016920605,1.8220477974793297
-0.26049705226051345,0.181674314370649,-0.8361415078835559,-1.4806171550927922,-0.5395090685283906,1.822051434667591
-0.2603806872814931,0.18164008007422386,-0.8361831432878849,-1.4807193011143411,-0.5394475329172219,1.822055075231599
-0.26026431509292985,0.1816058600908841,-0.8362247598940764,-1.480821456739296,-0.5393859948590866,1.8220587191767368
-0.26014793569730554,0.18157165442271822,-0.8362663577012409,-1.4809236219701418,-0.539324454354518,1.8220623665083822
-0.26003154909710363,0.18153746307181526,-0.8363079367084901,-1.4810257968093676,-0.539262911404051,1.822066017231918
-0.2599151552948083,0.18150328604026347,-0.8363494969149355,-1.4811279812594635,-0.5392013660082209,1.822069671352729
-0.2597987542929052,0.18146912333015028,-0.8363910383196895,-1.4812301753229187,-0.5391398181675648,1.8220733288761992
-0.259682346093881,0.18143497494356361,-0.8364325609218636,-1.4813323790022246,-0.5390782678826205,1.8220769898077163
-0.2595659307002231,0.18140084088259,-0.8364740647205703,-1.4814345922998735,-0.5390167151539269,1.8220806541526686
-0.2594495081144202,0.18136672114931648,-0.8365155497149224,-1.4815368152183588,-0.5389551599820237,1.8220843219164464
-0.2593330783389623,0.18133261574582907,-0.8365570159040321,-1.4816390477601735,-0.5388936023674527,1.822087993104441
-0.25921664137634004,0.18129852467421342,-0.8365984632870125,-1.4817412899278117,-0.5388320423107555,1.8220916677220442
-0.2591001972290457,0.18126444793655516,-0.8366398918629772,-1.481843541723771,-0.5387704798124759,1.8220953457746532
-0.25898374589957224,0.18123038553493875,-0.8366813016310392,-1.4819458031505457,-0.5387089148731581,1.8220990272676618
-0.25886728739041365,0.18119633747144956,-0.8367226925903123,-1.4820480742106352,-0.5386473474933476,1.8221027122064697
-0.2587508217040653,0.18116230374817102,-0.8367640647399098,-1.4821503549065362,-0.5385857776735911,1.8221064005964749
-0.25863434884302366,0.181128284367187,-0.8368054180789464,-1.4822526452407485,-0.5385242054144364,1.822110092443078
-0.25851786880978594,0.18109427933058106,-0.8368467526065355,-1.482354945215772,-0.5384626307164319,1.8221137877516822
-0.2584013816068506,0.1810602886404357,-0.836888068321792,-1.4824572548341073,-0.5384010535801278,1.8221174865276901
-0.25828488723671766,0.18102631229883356,-0.8369293652238309,-1.482559574098257,-0.5383394740060751,1.8221211887765085
-0.2581683857018873,0.18099235030785663,-0.8369706433117665,-1.4826619030107226,-0.5382778919948258,1.8221248945035435
-0.25805187700486154,0.1809584026695869,-0.837011902584714,-1.4827642415740094,-0.538216307546933,1.8221286037142046
-0.2579353611481431,0.18092446938610496,-0.8370531430417885,-1.48286658979062,-0.5381547206629509,1.8221323164138996
-0.2578188381342359,0.1808905504594922,-0.837094364682106,-1.4829689476630608,-0.5380931313434352,1.8221360326080425
-0.25770230796564514,0.18085664589182854,-0.8371355675047818,-1.4830713151938377,-0.5380315395889419,1.8221397523020448
-0.2575857706448767,0.18082275568519438,-0.8371767515089314,-1.4831736923854577,-0.5379699454000291,1.8221434755013215
-0.25746922617443796,0.18078887984166905,-0.8372179166936722,-1.4832760792404298,-0.5379083487772549,1.8221472022112897
-0.25735267455683714,0.18075501836333108,-0.8372590630581194,-1.4833784757612611,-0.5378467497211795,1.822150932437365
-0.25723611579458344,0.18072117125226056,-0.8373001906013896,-1.4834808819504628,-0.5377851482323632,1.8221546661849686
-0.25711954989018737,0.1806873385105351,-0.8373412993225998,-1.4835832978105452,-0.5377235443113684,1.8221584034595204
-0.2570029768461607,0.18065352014023142,-0.837382389220868,-1.4836857233440202,-0.537661937958758,1.8221621442664433
-0.25688639666501567,0.1806197161434286,-0.8374234602953097,-1.4837881585533992,-0.537600329175096,1.8221658886111598
-0.2567698093492661,0.18058592652220307,-0.8374645125450431,-1.4838906034411963,-0.5375387179609475,1.8221696364990965
-0.2566532149014269,0.18055215127863092,-0.8375055459691861,-1.4839930580099256,-0.5374771043168791,1.8221733879356796
-0.2565366133240137,0.180518390414789,-0.837546560566856,-1.4840955222621024,-0.5374154882434581,1.8221771429263378
-0.2564200046195436,0.18048464393275293,-0.8375875563371711,-1.484197996200242,-0.537353869741253,1.8221809014765011
-0.2563033887905347,0.18045091183459738,-0.8376285332792502,-1.4843004798268622,-0.537292248810833,1.8221846635916013
-0.2561867658395059,0.18041719412239723,-0.8376694913922115,-1.4844029731444794,-0.5372306254527696,1.8221884292770698
-0.2560701357689774,0.18038349079822844,-0.837710430675173,-1.4845054761556147,-0.5371689996676338,1.822192198538344
-0.25595349858147065,0.18034980186416355,-0.8377513511272539,-1.4846079888627841,-0.5371073714559986,1.8221959713808564
-0.25583685427950786,0.18031612732227706,-0.837792252747574,-1.4847105112685122,-0.5370457408184384,1.822199747810049
-0.25572020286561253,0.18028246717464078,-0.8378331355352524,-1.4848130433753164,-0.5369841077555277,1.8222035278313566
-0.25560354434230925,0.18024882142332802,-0.8378739994894089,-1.4849155851857203,-0.5369224722678433,1.822207311450221
-0.2554868787121233,0.1802151900704127,-0.837914844609162,-1.485018136702248,-0.5368608343559618,1.8222110986720863
-0.2553702059775818,0.18018157311796396,-0.8379556708936338,-1.4851206979274219,-0.5367991940204618,1.8222148895023942
-0.25525352614121216,0.18014797056805543,-0.8379964783419428,-1.4852232688637683,-0.5367375512619228,1.8222186839465917
-0.2551368392055434,0.18011438242275712,-0.8380372669532107,-1.4853258495138124,-0.5366759060809253,1.8222224820101245
-0.25502014517310545,0.18008080868413975,-0.8380780367265571,-1.4854284398800799,-0.5366142584780508,1.8222262836984406
-0.2549034440464293,0.1800472493542734,-0.8381187876611039,-1.4855310399650996,-0.5365526084538822,1.8222300890169902
-0.2547867358280469,0.18001370443522774,-0.8381595197559715,-1.4856336497713987,-0.5364909560090031,1.8222338979712243
-0.25467002052049154,0.17998017392907253,-0.8382002330102815,-1.4857362693015075,-0.5364293011439986,1.8222377105665966
-0.25455329812629746,0.17994665783787558,-0.8382409274231555,-1.4858388985579547,-0.5363676438594547,1.82224152680856
-0.2544365686479999,0.17991315616370676,-0.8382816029937148,-1.485941537543274,-0.5363059841559583,1.822245346702573
-0.25431983208813547,0.17987966890863263,-0.8383222597210824,-1.4860441862599942,-0.5362443220340979,1.8222491702540902
-0.2542030884492416,0.17984619607472113,-0.8383628976043802,-1.4861468447106503,-0.5361826574944625,1.8222529974685724
-0.2540863377338565,0.1798127376640396,-0.8384035166427297,-1.4862495128977746,-0.5361209905376425,1.8222568283514788
-0.2539695799445204,0.17977929367865447,-0.8384441168352549,-1.4863521908239028,-0.5360593211642296,1.8222606629082727
-0.2538528150837736,0.17974586412063182,-0.8384846981810781,-1.4864548784915694,-0.5359976493748161,1.8222645011444167
-0.25373604315415793,0.1797124489920379,-0.8385252606793221,-1.4865575759033114,-0.5359359751699958,1.822268343065376
-0.25361926415821656,0.17967904829493705,-0.8385658043291108,-1.486660283061665,-0.5358742985503635,1.8222721886766169
-0.25350247809849313,0.1796456620313955,-0.8386063291295671,-1.48676299996917,-0.535812619516515,1.822276037983609
-0.2533856849775328,0.17961229020347688,-0.8386468350798154,-1.4868657266283642,-0.5357509380690472,1.8222798909918203
-0.25326888479788184,0.17957893281324505,-0.83868732217898,-1.486968463041788,-0.5356892542085582,1.822283747706723
-0.2531520775620872,0.1795455898627637,-0.8387277904261836,-1.487071209211981,-0.5356275679356471,1.822287608133788
