X,Y,Z,Rx,Ry,Rz,time
485.341,-1.23,234.334,179.9841,20.2141,1.6858,0.0
485.341,-1.23,234.334,179.9841,20.2141,1.6858,41.0
485.341,-1.23,234.334,179.9841,20.2141,1.6858,81.0
485.341,-1.23,234.334,179.9841,20.2141,1.6858,121.2
485.341,-1.23,234.334,179.9841,20.2141,1.6858,161.2
485.341,-1.23,234.334,179.9841,20.2141,1.6858,201.3
485.341,-1.23,234.334,179.9841,20.2141,1.6858,241.6
485.341,-1.23,234.334,179.9841,20.2141,1.6858,282.2
485.341,-1.23,234.334,179.9841,20.2141,1.6858,322.3
485.341,-1.23,234.334,179.9841,20.2141,1.6858,363.0
485.341,-1.23,234.334,179.9841,20.2141,1.6858,403.9
485.341,-1.23,234.334,179.9841,20.2141,1.6858,444.7
485.341,-1.23,234.334,179.9841,20.2141,1.6858,484.8
485.341,-1.23,234.334,179.9841,20.2141,1.6858,525.1
485.341,-1.23,234.334,179.9841,20.2141,1.6858,566.8
485.341,-1.23,234.334,179.9841,20.2141,1.6858,607.1
485.341,-1.23,234.334,179.9841,20.2141,1.6858,647.9
485.341,-1.23,234.334,179.9841,20.2141,1.6858,688.9
485.341,-1.23,234.334,179.9841,20.2141,1.6858,729.3
485.341,-1.23,234.334,179.9841,20.2141,1.6858,769.5
485.341,-1.23,234.334,179.9841,20.2141,1.6858,809.5
485.341,-1.23,234.334,179.9841,20.2141,1.6858,851.9
485.631,-0.974,234.166,-179.9783,20.217,1.7453,892.6
487.276,0.523,233.135,-179.7531,20.2433,2.0924,932.8
488.917,2.008,232.116,-179.5283,20.2669,2.4358,972.9
490.565,3.487,231.089,-179.3036,20.288,2.7798,1013.6
492.214,4.962,230.078,-179.0783,20.3047,3.1204,1054.0
493.863,6.432,229.07,-178.8534,20.3183,3.4614,1094.0
495.509,7.896,228.057,-178.6283,20.3297,3.801,1134.5
497.159,9.361,227.057,-178.4027,20.3374,4.1378,1175.3
498.81,10.815,226.059,-178.1776,20.3421,4.4742,1216.0
500.458,12.262,225.056,-177.9525,20.3447,4.8091,1256.2
502.11,13.713,224.066,-177.7259,20.3435,5.1407,1296.2
504.251,15.579,222.779,-177.4337,20.3384,5.5716,1337.3
505.905,17.009,221.796,-177.2086,20.3307,5.8989,1378.0
507.556,18.432,220.808,-176.9841,20.3207,6.2266,1418.6
509.212,19.85,219.831,-176.7599,20.3071,6.5524,1458.9
510.868,21.262,218.845,-176.5354,20.2923,6.8745,1499.7
512.518,22.668,217.874,-176.3118,20.2741,7.1968,1540.0
514.176,24.067,216.908,-176.0886,20.2521,7.5172,1580.2
515.833,25.469,215.936,-175.8643,20.2279,7.8339,1620.2
517.493,26.856,214.976,-175.6421,20.2003,8.1504,1660.7
519.152,28.237,214.011,-175.4198,20.1708,8.463,1701.2
520.815,29.611,213.057,-175.1986,20.1377,8.7756,1741.4
522.479,30.979,212.107,-174.978,20.1019,9.0862,1783.1
524.142,32.341,211.15,-174.7575,20.0643,9.3927,1823.5
525.809,33.696,210.206,-174.5382,20.0231,9.6992,1863.9
527.466,35.05,209.254,-174.3192,19.981,10.0045,1904.1
529.136,36.399,208.317,-174.0998,19.9345,10.305,1945.1
530.808,37.733,207.382,-173.8827,19.8855,10.6051,1985.2
532.147,38.792,206.63,-173.7099,19.8452,10.8427,2025.4
533.987,40.247,205.604,-173.4724,19.7855,11.1677,2065.5
535.656,41.562,204.676,-173.257,19.7302,11.4597,2106.0
537.333,42.868,203.738,-173.0428,19.6727,11.7513,2146.7
539.012,44.168,202.816,-172.83,19.6112,12.0406,2186.7
540.69,45.468,201.89,-172.6164,19.5479,12.3258,2226.9
542.373,46.752,200.974,-172.4055,19.4815,12.6104,2267.3
544.39,48.281,199.874,-172.1538,19.399,12.9477,2308.1
546.078,49.549,198.964,-171.9452,19.3273,13.2271,2349.1
547.766,50.81,198.057,-171.7372,19.2536,13.5023,2389.8
549.62,52.189,197.052,-171.5094,19.1707,13.804,2430.2
551.313,53.433,196.15,-171.3042,19.0918,14.0761,2470.2
553.005,54.676,195.243,-171.099,19.011,14.346,2510.9
554.702,55.905,194.346,-170.8957,18.9279,14.6112,2551.1
556.397,57.125,193.442,-170.6939,18.8429,14.876,2591.2
558.1,58.343,192.545,-170.4933,18.7558,15.139,2631.2
559.796,59.548,191.654,-170.2934,18.6671,15.3971,2672.1
561.497,60.743,190.757,-170.0954,18.5756,15.6544,2712.3
563.205,61.93,189.871,-169.8984,18.4817,15.9072,2752.6
564.914,63.108,188.987,-169.7032,18.3854,16.1594,2793.0
566.622,64.278,188.097,-169.5092,18.2877,16.4091,2833.7
568.337,65.447,187.219,-169.3153,18.1873,16.6544,2874.1
570.049,66.599,186.333,-169.124,18.0856,16.899,2914.4
571.768,67.743,185.457,-168.9344,17.9813,17.1409,2954.8
573.654,68.994,184.488,-168.726,17.8658,17.4018,2995.0
575.378,70.119,183.616,-168.5394,17.7575,17.6383,3035.5
577.104,71.235,182.746,-168.3543,17.6473,17.8721,3075.6
578.828,72.343,181.869,-168.1698,17.5362,18.1015,3116.1
580.559,73.44,181.003,-167.9877,17.4224,18.3301,3156.1
582.287,74.529,180.129,-167.8068,17.3074,18.5562,3196.5
584.015,75.61,179.265,-167.6267,17.1912,18.778,3236.9
585.753,76.68,178.403,-167.4491,17.0721,18.9987,3277.3
587.49,77.747,177.536,-167.2718,16.9516,19.2169,3317.7
589.232,78.806,176.677,-167.0968,16.8295,19.4311,3357.7
590.977,79.847,175.82,-166.9239,16.7054,19.6438,3397.9
592.72,80.879,174.955,-166.7517,16.5808,19.8521,3438.1
594.47,81.901,174.099,-166.582,16.4535,20.0595,3478.3
596.218,82.913,173.236,-166.4136,16.3253,20.2643,3518.4
598.147,84.018,172.298,-166.2298,16.1824,20.4861,3559.1
599.9,85.01,171.438,-166.0642,16.0515,20.6834,3599.3
601.66,85.991,170.587,-165.9011,15.9182,20.8799,3640.5
603.423,86.961,169.737,-165.7396,15.7834,21.0736,3682.4
605.186,87.923,168.873,-165.5786,15.649,21.263,3722.5
606.955,88.88,168.026,-165.4195,15.511,21.4515,3762.6
609.074,90.005,167.005,-165.2318,15.3448,21.673,3803.3
610.84,90.934,166.157,-165.0768,15.2052,21.856,3843.8
612.611,91.852,165.302,-164.923,15.0646,22.0341,3884.1
614.389,92.759,164.456,-164.7719,14.9217,22.2114,3924.1
615.814,93.479,163.775,-164.6513,14.8071,22.3506,3964.5
617.592,94.367,162.92,-164.5028,14.6627,22.5231,4004.6
619.554,95.334,161.991,-164.3403,14.5029,22.7076,4045.0
621.341,96.206,161.146,-164.1957,14.3555,22.8752,4085.2
