X,Y,Z,Rx,Ry,Rz,time
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.0
485.364,-1.213,234.338,179.984,20.2111,1.6879,40.2
485.364,-1.213,234.338,179.984,20.2111,1.6879,80.8
485.364,-1.213,234.338,179.984,20.2111,1.6879,120.9
485.364,-1.213,234.338,179.984,20.2111,1.6879,161.3
485.364,-1.213,234.338,179.984,20.2111,1.6879,202.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,242.6
485.364,-1.213,234.338,179.984,20.2111,1.6879,283.2
485.364,-1.213,234.338,179.984,20.2111,1.6879,323.5
485.364,-1.213,234.338,179.984,20.2111,1.6879,363.7
485.364,-1.213,234.338,179.984,20.2111,1.6879,404.0
485.364,-1.213,234.338,179.984,20.2111,1.6879,444.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,484.2
485.364,-1.213,234.338,179.984,20.2111,1.6879,524.5
485.364,-1.213,234.338,179.984,20.2111,1.6879,564.7
485.364,-1.213,234.338,179.984,20.2111,1.6879,605.3
485.364,-1.213,234.338,179.984,20.2111,1.6879,646.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,686.2
485.364,-1.213,234.338,179.984,20.2111,1.6879,726.4
485.364,-1.213,234.338,179.984,20.2111,1.6879,766.3
485.364,-1.213,234.338,179.984,20.2111,1.6879,806.9
485.364,-1.213,234.338,179.984,20.2111,1.6879,847.8
485.364,-1.213,234.338,179.984,20.2111,1.6879,888.0
485.364,-1.213,234.338,179.984,20.2111,1.6879,928.0
485.364,-1.213,234.338,179.984,20.2111,1.6879,968.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1008.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1048.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1088.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1128.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1168.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1209.1
485.364,-1.213,234.338,179.984,20.2111,1.6879,1250.2
485.364,-1.213,234.338,179.984,20.2111,1.6879,1290.8
485.364,-1.213,234.338,179.984,20.2111,1.6879,1331.1
