X,Y,Z,Rx,Ry,Rz,time
485.349,-1.224,234.335,179.9841,20.2131,1.6865,0.0
485.349,-1.224,234.335,179.9841,20.2131,1.6865,41.3
485.349,-1.224,234.335,179.9841,20.2131,1.6865,82.1
485.349,-1.224,234.335,179.9841,20.2131,1.6865,122.4
485.349,-1.224,234.335,179.9841,20.2131,1.6865,163.4
485.349,-1.224,234.335,179.9841,20.2131,1.6865,204.0
485.349,-1.224,234.335,179.9841,20.2131,1.6865,244.4
485.349,-1.224,234.335,179.9841,20.2131,1.6865,284.7
485.349,-1.224,234.335,179.9841,20.2131,1.6865,324.8
485.349,-1.224,234.335,179.9841,20.2131,1.6865,365.3
485.349,-1.224,234.335,179.9841,20.2131,1.6865,405.7
485.349,-1.224,234.335,179.9841,20.2131,1.6865,445.9
485.349,-1.224,234.335,179.9841,20.2131,1.6865,486.3
485.349,-1.224,234.335,179.9841,20.2131,1.6865,526.3
485.349,-1.224,234.335,179.9841,20.2131,1.6865,566.7
485.349,-1.224,234.335,179.9841,20.2131,1.6865,607.0
485.349,-1.224,234.335,179.9841,20.2131,1.6865,647.8
485.349,-1.224,234.335,179.9841,20.2131,1.6865,688.7
485.349,-1.224,234.335,179.9841,20.2131,1.6865,728.9
485.349,-1.224,234.335,179.9841,20.2131,1.6865,769.2
485.349,-1.224,234.335,179.9841,20.2131,1.6865,809.5
485.349,-1.224,234.335,179.9841,20.2131,1.6865,850.0
485.349,-1.224,234.335,179.9841,20.2131,1.6865,890.3
485.349,-1.224,234.335,179.9841,20.2131,1.6865,930.9
485.26,-1.231,234.321,179.9835,20.2254,1.6899,971.9
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1012.0
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1052.3
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1092.3
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1132.4
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1172.9
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1213.3
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1253.3
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1293.6
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1333.6
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1374.2
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1415.8
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1456.0
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1496.9
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1538.2
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1579.5
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1619.6
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1659.9
485.26,-1.231,234.321,179.9835,20.2254,1.6899,1700.6
487.276,0.523,233.135,-179.7531,20.2433,2.0924,1741.5
488.426,1.556,232.417,-179.5965,20.2605,2.3318,1786.2
490.075,3.045,231.402,-179.3709,20.281,2.6766,1826.6
491.723,4.521,230.39,-179.1462,20.2985,3.0195,1868.5
493.369,5.992,229.373,-178.9208,20.3138,3.3591,1908.9
495.018,7.458,228.368,-178.6957,20.3253,3.6991,1948.8
496.658,8.918,227.356,-178.4705,20.3356,4.0377,1988.9
498.308,10.38,226.358,-178.245,20.3413,4.3733,2029.1
499.959,11.83,225.363,-178.0199,20.344,4.7087,2069.8
501.608,13.274,224.362,-177.7943,20.3445,5.0404,2110.1
503.26,14.72,223.375,-177.5683,20.3412,5.3728,2150.9
504.913,16.153,222.376,-177.3434,20.3366,5.7032,2191.2
506.567,17.58,221.395,-177.1184,20.3277,6.0299,2231.2
508.379,19.146,220.314,-176.8711,20.3151,6.3889,2271.9
510.035,20.56,219.34,-176.6471,20.3001,6.7139,2312.6
