X,Y,Z,Rx,Ry,Rz
958.525,-37.063,-164.94,-165.2882,-7.1724,17.5189
958.519,-36.337,-164.94,-165.2878,-7.1726,17.5196
958.521,-35.532,-164.938,-165.2883,-7.1727,17.5202
958.522,-34.892,-164.942,-165.2875,-7.1721,17.519
958.519,-34.039,-164.946,-165.2878,-7.1718,17.5193
958.519,-33.317,-164.939,-165.2877,-7.1724,17.52
958.523,-32.537,-164.94,-165.2881,-7.1724,17.5192
958.517,-31.843,-164.947,-165.2863,-7.1717,17.5182
958.523,-31.042,-164.937,-165.2871,-7.1723,17.5188
958.526,-30.34,-164.936,-165.2878,-7.1724,17.5184
958.52,-29.506,-164.943,-165.2876,-7.172,17.5187
958.524,-28.859,-164.939,-165.2885,-7.1723,17.5201
958.525,-27.981,-164.941,-165.2882,-7.1722,17.5192
958.522,-27.349,-164.937,-165.2873,-7.1721,17.5188
958.525,-26.507,-164.933,-165.2871,-7.1724,17.5188
958.522,-25.824,-164.936,-165.2878,-7.1722,17.5193
958.526,-24.971,-164.931,-165.2871,-7.1727,17.5191
958.523,-24.348,-164.939,-165.2875,-7.1723,17.5191
958.523,-23.484,-164.936,-165.2879,-7.1723,17.5185
958.522,-22.826,-164.941,-165.2879,-7.1721,17.5196
958.529,-21.946,-164.927,-165.2879,-7.1731,17.5202
958.522,-21.323,-164.935,-165.2869,-7.1721,17.5183
958.52,-20.436,-164.941,-165.2864,-7.1717,17.5181
958.531,-19.789,-164.93,-165.2874,-7.1725,17.5179
958.505,-18.396,-164.76,-165.2795,-7.1767,17.5259
