X,Y,Z,Rx,Ry,Rz
958.526,-35.686,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.622,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.558,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.495,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.431,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.367,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.303,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.239,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.176,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.112,-164.931,-165.2869,-7.1729,17.5183
958.526,-35.048,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.984,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.921,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.857,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.793,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.729,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.665,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.602,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.538,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.474,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.41,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.346,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.283,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.219,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.155,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.091,-164.931,-165.2869,-7.1729,17.5183
958.526,-34.028,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.964,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.9,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.836,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.772,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.709,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.645,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.581,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.517,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.453,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.39,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.326,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.262,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.198,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.134,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.071,-164.931,-165.2869,-7.1729,17.5183
958.526,-33.007,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.943,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.879,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.816,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.752,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.688,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.624,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.56,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.497,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.433,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.369,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.305,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.241,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.178,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.114,-164.931,-165.2869,-7.1729,17.5183
958.526,-32.05,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.986,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.923,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.859,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.795,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.731,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.667,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.604,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.54,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.476,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.412,-164.931,-165.2869,-7.1729,17.5183
958.526,-31.348,-164.932,-165.2869,-7.1729,17.5183
958.526,-31.285,-164.932,-165.2869,-7.1729,17.5183
958.526,-31.221,-164.932,-165.2869,-7.1729,17.5183
958.526,-31.157,-164.932,-165.2869,-7.1729,17.5183
958.526,-31.093,-164.932,-165.2869,-7.1729,17.5183
958.526,-31.029,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.966,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.902,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.838,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.774,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.711,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.647,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.583,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.519,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.455,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.392,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.328,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.264,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.2,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.136,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.073,-164.932,-165.2869,-7.1729,17.5183
958.526,-30.009,-164.932,-165.2869,-7.1729,17.5183
958.526,-29.945,-164.932,-165.2869,-7.1729,17.5183
958.526,-29.881,-164.932,-165.2869,-7.1729,17.5183
