X,Y,Z,Rx,Ry,Rz
958.518,-37.078,-164.949,-165.2875,-7.1718,17.5189
958.518,-36.414,-164.948,-165.2876,-7.1721,17.52
958.52,-35.561,-164.942,-165.2884,-7.1725,17.5204
958.518,-34.849,-164.945,-165.2865,-7.1721,17.5185
958.525,-33.998,-164.941,-165.2872,-7.1723,17.5189
958.523,-33.371,-164.945,-165.2878,-7.1721,17.5189
958.522,-32.555,-164.943,-165.2882,-7.1722,17.5201
958.519,-31.815,-164.944,-165.2876,-7.1724,17.5199
958.519,-31.005,-164.943,-165.287,-7.1719,17.5179
958.52,-30.994,-164.943,-165.287,-7.1719,17.5186
958.52,-30.374,-164.938,-165.2875,-7.1723,17.5193
958.518,-29.872,-164.945,-165.2881,-7.172,17.5199
958.527,-28.294,-164.94,-165.2878,-7.1719,17.5178
958.52,-27.767,-164.942,-165.2879,-7.172,17.5188
958.525,-27.138,-164.94,-165.2884,-7.1723,17.5202
958.523,-26.637,-164.944,-165.2871,-7.1718,17.518
958.525,-26.02,-164.934,-165.2884,-7.1724,17.5197
958.52,-25.489,-164.937,-165.2875,-7.1718,17.5183
958.528,-24.838,-164.933,-165.2882,-7.1722,17.5181
958.528,-24.361,-164.932,-165.2884,-7.1726,17.5194
958.521,-23.712,-164.935,-165.287,-7.172,17.518
958.526,-23.227,-164.939,-165.2883,-7.1718,17.5188
958.522,-22.556,-164.94,-165.2878,-7.1719,17.5197
958.523,-22.039,-164.936,-165.2872,-7.1719,17.5176
958.526,-21.395,-164.935,-165.288,-7.1719,17.519
958.521,-20.913,-164.933,-165.2885,-7.1722,17.5196
958.528,-20.235,-164.931,-165.2881,-7.1719,17.5183
958.527,-19.73,-164.927,-165.2881,-7.1724,17.5194
958.521,-19.125,-164.937,-165.2882,-7.1718,17.5193
958.507,-18.396,-164.75,-165.2799,-7.1774,17.5259
