S,L,U,R,B,T
-0.24229239272044492,0.1765146701556337,-0.8424018683045652,-1.4966392006082891,-0.5298966080806772,1.8226428776660981
-0.24221317834712494,0.1764943404999727,-0.842427050817342,-1.4967104311429087,-0.529856098051697,1.822647559389185
-0.24213361490529053,0.17647272120791846,-0.84245317713793,-1.4967805904522522,-0.529814169453296,1.8226503504865363
-0.2420540471820742,0.1764511042666126,-0.8424792979771873,-1.496850750700698,-0.529772234991107,1.8226531371337718
-0.24197447633964686,0.17642949402611025,-0.8425054101403007,-1.4969209155083232,-0.529730299432718,1.8226559256967227
-0.24189490238274525,0.17640789050167952,-0.8425315136162556,-1.4969910848881567,-0.5296883627944363,1.8226587161986048
-0.2418153253122072,0.1763862936939954,-0.8425576084047516,-1.497061258841051,-0.5296464250765356,1.8226615086412314
-0.2417357451288583,0.17636470360368386,-0.8425836945055244,-1.4971314373678175,-0.529604486279236,1.8226643030263459
-0.2416561618335235,0.1763431202313703,-0.84260977191831,-1.4972016204692686,-0.5295625464027569,1.8226670993556904
-0.2415765754270287,0.1763215435776806,-0.8426358406428439,-1.4972718081462153,-0.5295206054473189,1.8226698976310076
-0.24149698591019972,0.17629997364324002,-0.8426619006788627,-1.497342000399471,-0.5294786634131423,1.8226726978540422
-0.24141739328386247,0.17627841042867456,-0.8426879520261018,-1.4974121972298482,-0.5294367203004474,1.8226755000265373
-0.24133779754884319,0.17625685393460946,-0.8427139946842966,-1.4974823986381585,-0.5293947761094551,1.8226783041502361
-0.2412581987059684,0.17623530416166885,-0.8427400286531844,-1.4975526046252143,-0.5293528308403865,1.8226811102268827
-0.2411785967560649,0.17621376111047884,-0.8427660539325008,-1.49762281519183,-0.5293108844934631,1.822683918258223
-0.24109899169995958,0.17619222478166383,-0.8427920705219819,-1.497693030338817,-0.529268937068906,1.8226867282460002
-0.2410193835384794,0.17617069517584924,-0.8428180784213638,-1.49776325006699,-0.5292269885669371,1.8226895401919605
-0.240939772272452,0.17614917229365887,-0.8428440776303833,-1.497833474377161,-0.5291850389877784,1.8226923540978486
-0.24086015790270485,0.176127656135718,-0.842870068148776,-1.4979037032701445,-0.5291430883316521,1.8226951699654106
-0.24078054043006578,0.17610614670265173,-0.8428960499762786,-1.4979739367467553,-0.5291011365987807,1.8226979877963934
-0.24070091985536282,0.17608464399508342,-0.8429220231126279,-1.4980441748078055,-0.5290591837893865,1.8227008075925422
-0.2406212961794242,0.17606314801363745,-0.8429479875575601,-1.4981144174541101,-0.5290172299036927,1.8227036293556036
-0.2405416694030787,0.17604165875893765,-0.8429739433108124,-1.4981846646864834,-0.5289752749419225,1.8227064530873254
-0.24046203952715442,0.1760201762316101,-0.8429998903721199,-1.4982549165057404,-0.5289333189042988,1.8227092787894543
-0.24038240655248078,0.1759987004322768,-0.8430258287412203,-1.4983251729126952,-0.5288913617910456,1.8227121064637384
-0.24030277047988674,0.1759772313615626,-0.8430517584178499,-1.4983954339081624,-0.5288494036023865,1.8227149361119246
-0.2402231313102017,0.1759557690200908,-0.8430776794017458,-1.4984656994929582,-0.5288074443385454,1.8227177677357624
-0.2401434890442554,0.17593431340848487,-0.8431035916926453,-1.4985359696678975,-0.5287654839997469,1.822720601337
-0.24006384368287734,0.1759128645273689,-0.8431294952902839,-1.498606244433795,-0.5287235225862152,1.8227234369173855
-0.2399841952268978,0.1758914223773661,-0.8431553901943998,-1.4986765237914672,-0.5286815600981751,1.8227262744786688
-0.23990454367714692,0.1758699869590994,-0.8431812764047295,-1.4987468077417294,-0.5286395965358515,1.8227291140225985
-0.23982488903445529,0.1758485582731929,-0.8432071539210098,-1.4988170962853977,-0.5285976318994697,1.8227319555509254
-0.23974523129965344,0.17582713632026917,-0.8432330227429775,-1.4988873894232884,-0.5285556661892551,1.8227347990653986
-0.23966557047357243,0.1758057211009507,-0.8432588828703712,-1.4989576871562182,-0.5285136994054331,1.8227376445677692
-0.23958590655704337,0.17578431261586108,-0.8432847343029265,-1.4990279894850027,-0.5284717315482299,1.8227404920597874
-0.23950623955089753,0.17576291086562335,-0.8433105770403809,-1.499098296410459,-0.5284297626178713,1.8227433415432037
-0.2394265694559666,0.17574151585085956,-0.8433364110824724,-1.499168607933405,-0.5283877926145838,1.822746193019771
-0.23934689627308234,0.17572012757219244,-0.8433622364289376,-1.499238924054656,-0.5283458215385939,1.8227490464912388
-0.23926722000307685,0.1756987460302444,-0.8433880530795146,-1.4993092447750307,-0.5283038493901283,1.8227519019593608
-0.23918754064678235,0.17567737122563795,-0.8434138610339404,-1.4993795700953463,-0.528261876169414,1.8227547594258884
-0.23910785820503125,0.17565600315899485,-0.843439660291953,-1.4994499000164199,-0.5282199018766784,1.8227576188925738
