X,Y,Z,Rx,Ry,Rz
958.526,-37.038,-164.934,-165.2873,-7.173,17.5185
958.517,-36.425,-164.948,-165.2876,-7.1721,17.5193
958.521,-36.367,-164.942,-165.2874,-7.1726,17.5189
958.521,-35.775,-164.941,-165.2872,-7.1722,17.5189
958.525,-35.716,-164.935,-165.287,-7.1727,17.5185
958.52,-35.65,-164.939,-165.2872,-7.1722,17.5183
958.522,-35.579,-164.943,-165.288,-7.1725,17.5203
958.521,-35.532,-164.938,-165.2883,-7.1727,17.5202
958.523,-34.922,-164.943,-165.2871,-7.1722,17.5183
958.518,-34.849,-164.945,-165.2865,-7.1721,17.5185
958.526,-34.283,-164.936,-165.2881,-7.1727,17.519
958.523,-34.235,-164.942,-165.2879,-7.1722,17.5188
958.52,-34.18,-164.945,-165.287,-7.1722,17.519
958.52,-34.128,-164.944,-165.288,-7.172,17.5191
958.523,-34.069,-164.937,-165.2878,-7.1725,17.5187
958.52,-34.021,-164.943,-165.2877,-7.172,17.5184
958.522,-33.431,-164.941,-165.2884,-7.1723,17.5193
958.519,-33.387,-164.944,-165.2874,-7.1722,17.5188
958.518,-32.825,-164.945,-165.2869,-7.1718,17.5181
958.522,-32.756,-164.938,-165.288,-7.1727,17.5202
958.519,-32.708,-164.944,-165.2879,-7.1723,17.52
958.519,-32.649,-164.94,-165.2881,-7.1725,17.5205
958.519,-32.601,-164.944,-165.2875,-7.1723,17.5193
958.523,-32.537,-164.94,-165.2881,-7.1724,17.5192
958.524,-31.934,-164.938,-165.2874,-7.1722,17.519
958.524,-31.887,-164.942,-165.2868,-7.1721,17.5178
958.52,-31.312,-164.939,-165.2872,-7.1724,17.5187
958.524,-31.249,-164.936,-165.2877,-7.1725,17.5185
958.525,-31.178,-164.939,-165.2871,-7.1723,17.5187
958.518,-31.141,-164.947,-165.2874,-7.1716,17.5188
958.521,-31.071,-164.941,-165.2872,-7.1721,17.519
958.518,-31.035,-164.947,-165.2871,-7.1716,17.5181
958.522,-30.463,-164.936,-165.2878,-7.1725,17.519
958.522,-30.404,-164.94,-165.2872,-7.1723,17.5186
958.522,-30.333,-164.935,-165.2874,-7.1725,17.5198
958.518,-29.754,-164.944,-165.2877,-7.1721,17.5199
958.526,-29.709,-164.931,-165.2883,-7.1729,17.5198
958.523,-29.661,-164.937,-165.2882,-7.1724,17.5196
958.524,-29.602,-164.941,-165.2876,-7.1722,17.5191
958.523,-29.543,-164.937,-165.2878,-7.1724,17.5196
958.52,-29.495,-164.943,-165.2876,-7.172,17.5194
958.526,-28.889,-164.94,-165.2882,-7.1723,17.5193
958.528,-28.83,-164.934,-165.288,-7.1728,17.5189
958.523,-28.239,-164.943,-165.2868,-7.1718,17.518
958.526,-28.169,-164.936,-165.2866,-7.1723,17.5182
958.525,-28.122,-164.932,-165.2883,-7.173,17.5199
958.522,-28.062,-164.938,-165.2881,-7.1725,17.5203
958.526,-28.011,-164.934,-165.2887,-7.1726,17.5195
958.521,-27.442,-164.941,-165.2864,-7.1721,17.5182
958.52,-27.383,-164.937,-165.2867,-7.1723,17.5187
958.517,-27.336,-164.943,-165.2865,-7.1718,17.5185
958.519,-26.759,-164.944,-165.2871,-7.1718,17.5187
958.527,-26.703,-164.931,-165.2877,-7.1726,17.5192
958.524,-26.655,-164.937,-165.2876,-7.1722,17.519
958.522,-26.578,-164.94,-165.2873,-7.172,17.5186
958.525,-26.507,-164.933,-165.2871,-7.1724,17.5188
958.521,-26.471,-164.939,-165.2869,-7.172,17.5179
958.524,-25.913,-164.933,-165.2881,-7.1724,17.5191
958.519,-25.829,-164.944,-165.2866,-7.1719,17.519
958.524,-25.271,-164.936,-165.2873,-7.1726,17.5192
958.521,-25.223,-164.942,-165.2871,-7.1722,17.519
958.521,-25.171,-164.94,-165.2881,-7.172,17.5191
958.526,-25.107,-164.935,-165.2876,-7.1725,17.52
958.529,-25.067,-164.931,-165.2881,-7.1726,17.5184
958.52,-24.994,-164.944,-165.2871,-7.1718,17.5186
958.526,-24.395,-164.933,-165.2877,-7.1727,17.5193
958.523,-24.348,-164.939,-165.2875,-7.1723,17.5191
958.523,-23.76,-164.94,-165.2881,-7.1723,17.52
958.521,-23.701,-164.936,-165.2884,-7.1724,17.5205
958.521,-23.642,-164.94,-165.2877,-7.1723,17.52
958.524,-23.584,-164.933,-165.2875,-7.1727,17.5196
958.524,-23.531,-164.94,-165.2877,-7.1721,17.5187
958.523,-23.472,-164.936,-165.2879,-7.1723,17.5192
958.527,-22.891,-164.928,-165.2872,-7.1725,17.519
958.528,-22.84,-164.935,-165.2887,-7.1724,17.5199
958.523,-22.797,-164.938,-165.2878,-7.1723,17.5194
958.528,-22.193,-164.93,-165.2877,-7.1724,17.5185
958.528,-22.134,-164.934,-165.2871,-7.1722,17.518
958.526,-22.087,-164.93,-165.2873,-7.1724,17.5179
958.527,-22.017,-164.934,-165.2881,-7.1726,17.5199
958.525,-21.958,-164.929,-165.2883,-7.1728,17.5204
958.525,-21.341,-164.936,-165.2866,-7.1721,17.5183
958.524,-21.289,-164.935,-165.2876,-7.1719,17.5184
958.52,-20.707,-164.934,-165.2874,-7.1722,17.519
958.521,-20.643,-164.941,-165.2875,-7.1716,17.5188
958.524,-20.543,-164.931,-165.2872,-7.1723,17.5188
958.524,-20.484,-164.935,-165.2866,-7.1721,17.5183
958.52,-20.436,-164.941,-165.2864,-7.1717,17.5181
958.53,-19.882,-164.926,-165.2874,-7.1729,17.5184
958.526,-19.822,-164.932,-165.2872,-7.1724,17.5188
958.523,-19.763,-164.938,-165.2871,-7.1719,17.5193
958.527,-19.202,-164.932,-165.288,-7.1724,17.5188
958.523,-19.143,-164.938,-165.2878,-7.1719,17.5193
958.525,-19.096,-164.932,-165.2876,-7.1723,17.5182
958.524,-19.025,-164.936,-165.287,-7.1721,17.5184
958.523,-18.966,-164.931,-165.2872,-7.1723,17.5189
958.519,-18.907,-164.937,-165.2871,-7.1718,17.5193
958.528,-18.862,-164.933,-165.2868,-7.1722,17.5182
958.521,-18.784,-164.938,-165.287,-7.1717,17.5187
958.527,-18.74,-164.936,-165.2886,-7.1723,17.5203
