I0,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
9.0,13131.0,294.3,0.0,0.0,0.0
9.0,13149.0,311.8,0.0,0.0,0.0
10.0,13156.0,318.8,0.0,0.0,0.0
10.0,13162.0,324.8,0.0,0.0,0.0
10.0,13172.0,335.5,0.0,0.0,0.0
10.0,13181.0,344.6,0.0,0.0,0.0
10.0,13193.0,356.6,0.0,0.0,0.0
11.0,13202.0,365.1,365.1,264.0,1.0
17.0,0.0,640.6,0.0,0.0,0.0
17.0,5.0,646.0,0.0,0.0,0.0
17.0,16.0,657.3,0.0,0.0,0.0
17.0,24.0,665.2,0.0,0.0,0.0
18.0,36.0,677.2,0.0,0.0,0.0
18.0,49.0,690.1,0.0,0.0,0.0
18.0,56.0,697.1,0.0,0.0,0.0
18.0,66.0,707.0,0.0,0.0,0.0
18.0,77.0,717.7,0.0,0.0,0.0
19.0,91.0,732.2,0.0,0.0,0.0
19.0,97.0,737.7,0.0,0.0,0.0
19.0,107.0,747.7,0.0,0.0,0.0
19.0,116.0,756.8,0.0,0.0,0.0
2.0,128.0,768.8,768.8,281.0,2.0
8.0,0.0,1061.1,0.0,0.0,0.0
8.0,4.0,1065.2,0.0,0.0,0.0
8.0,15.0,1076.9,0.0,0.0,0.0
8.0,24.0,1085.5,0.0,0.0,0.0
9.0,35.0,1096.7,0.0,0.0,0.0
9.0,45.0,1106.7,0.0,0.0,0.0
9.0,55.0,1116.6,0.0,0.0,0.0
9.0,66.0,1127.6,0.0,0.0,0.0
9.0,75.0,1136.6,0.0,0.0,0.0
10.0,85.0,1146.6,0.0,0.0,0.0
10.0,95.0,1156.6,0.0,0.0,0.0
10.0,105.0,1167.1,0.0,0.0,0.0
10.0,115.0,1176.6,0.0,0.0,0.0
11.0,124.0,1186.1,1186.1,271.0,1.0
17.0,0.0,1473.4,0.0,0.0,0.0
17.0,11.0,1484.7,0.0,0.0,0.0
17.0,20.0,1494.1,0.0,0.0,0.0
18.0,31.0,1505.1,0.0,0.0,0.0
18.0,44.0,1517.9,0.0,0.0,0.0
18.0,57.0,1530.9,0.0,0.0,0.0
18.0,64.0,1537.9,0.0,0.0,0.0
