I0,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
9.0,14114.0,303.3,0.0,0.0,0.0
9.0,14129.0,318.6,0.0,0.0,0.0
10.0,14135.0,324.6,0.0,0.0,0.0
10.0,14146.0,335.4,0.0,0.0,0.0
10.0,14155.0,344.3,0.0,0.0,0.0
10.0,14166.0,355.3,0.0,0.0,0.0
11.0,14174.0,364.2,364.2,275.0,1.0
17.0,0.0,656.4,0.0,0.0,0.0
17.0,8.0,665.4,0.0,0.0,0.0
17.0,19.0,675.6,0.0,0.0,0.0
17.0,27.0,684.3,0.0,0.0,0.0
18.0,38.0,695.2,0.0,0.0,0.0
18.0,48.0,705.2,0.0,0.0,0.0
18.0,58.0,715.0,0.0,0.0,0.0
18.0,68.0,725.0,0.0,0.0,0.0
18.0,78.0,734.7,0.0,0.0,0.0
19.0,88.0,744.6,0.0,0.0,0.0
19.0,98.0,755.1,0.0,0.0,0.0
19.0,108.0,764.6,0.0,0.0,0.0
19.0,118.0,774.7,0.0,0.0,0.0
20.0,128.0,785.1,0.0,0.0,0.0
2.0,139.0,796.0,796.0,280.0,2.0
8.0,0.0,1088.2,0.0,0.0,0.0
8.0,12.0,1100.2,0.0,0.0,0.0
8.0,19.0,1108.1,0.0,0.0,0.0
9.0,31.0,1120.0,0.0,0.0,0.0
9.0,39.0,1128.0,0.0,0.0,0.0
9.0,50.0,1139.0,0.0,0.0,0.0
9.0,59.0,1148.0,0.0,0.0,0.0
9.0,69.0,1158.0,0.0,0.0,0.0
10.0,79.0,1168.0,0.0,0.0,0.0
10.0,92.0,1180.3,0.0,0.0,0.0
10.0,100.0,1188.5,0.0,0.0,0.0
10.0,111.0,1199.4,0.0,0.0,0.0
11.0,119.0,1208.1,1208.1,287.0,1.0
17.0,0.0,1509.7,0.0,0.0,0.0
17.0,6.0,1516.7,0.0,0.0,0.0
17.0,15.0,1525.7,0.0,0.0,0.0
18.0,25.0,1535.6,0.0,0.0,0.0
18.0,35.0,1545.2,0.0,0.0,0.0
18.0,46.0,1555.9,0.0,0.0,0.0
18.0,56.0,1565.9,0.0,0.0,0.0
19.0,66.0,1576.0,0.0,0.0,0.0
19.0,78.0,1588.6,0.0,0.0,0.0
19.0,89.0,1599.6,0.0,0.0,0.0
19.0,97.0,1607.7,0.0,0.0,0.0
19.0,108.0,1618.7,0.0,0.0,0.0
2.0,117.0,1627.7,1627.7,284.0,2.0
8.0,0.0,1924.0,0.0,0.0,0.0
8.0,12.0,1936.2,0.0,0.0,0.0
9.0,21.0,1945.2,0.0,0.0,0.0
9.0,36.0,1960.2,0.0,0.0,0.0
9.0,41.0,1965.2,0.0,0.0,0.0
9.0,51.0,1975.2,0.0,0.0,0.0
9.0,60.0,1984.7,0.0,0.0,0.0
10.0,71.0,1995.3,0.0,0.0,0.0
10.0,83.0,2007.2,0.0,0.0,0.0
10.0,93.0,2017.6,0.0,0.0,0.0
10.0,103.0,2027.3,0.0,0.0,0.0
10.0,113.0,2037.3,0.0,0.0,0.0
11.0,124.0,2047.3,2047.3,286.0,1.0
17.0,0.0,2345.4,0.0,0.0,0.0
17.0,8.0,2353.5,0.0,0.0,0.0
17.0,19.0,2364.4,0.0,0.0,0.0
18.0,26.0,2372.3,0.0,0.0,0.0
18.0,38.0,2384.0,0.0,0.0,0.0
18.0,46.0,2392.3,0.0,0.0,0.0
18.0,58.0,2404.0,0.0,0.0,0.0
19.0,66.0,2412.0,0.0,0.0,0.0
19.0,82.0,2428.0,0.0,0.0,0.0
19.0,86.0,2432.1,0.0,0.0,0.0
19.0,97.0,2443.1,0.0,0.0,0.0
19.0,107.0,2453.1,0.0,0.0,0.0
2.0,117.0,2463.1,2463.1,288.0,2.0
8.0,0.0,2761.5,0.0,0.0,0.0
8.0,7.0,2768.6,0.0,0.0,0.0
8.0,15.0,2776.5,0.0,0.0,0.0
9.0,26.0,2787.5,0.0,0.0,0.0
9.0,38.0,2799.6,0.0,0.0,0.0
9.0,47.0,2809.4,0.0,0.0,0.0
9.0,57.0,2819.3,0.0,0.0,0.0
9.0,67.0,2829.3,0.0,0.0,0.0
10.0,77.0,2839.3,0.0,0.0,0.0
10.0,88.0,2849.8,0.0,0.0,0.0
10.0,98.0,2860.0,0.0,0.0,0.0
10.0,109.0,2870.5,0.0,0.0,0.0
11.0,119.0,2880.9,2880.9,288.0,1.0
17.0,0.0,3181.8,0.0,0.0,0.0
17.0,11.0,3193.4,0.0,0.0,0.0
18.0,22.0,3203.8,0.0,0.0,0.0
18.0,34.0,3216.2,0.0,0.0,0.0
18.0,45.0,3227.0,0.0,0.0,0.0
18.0,54.0,3236.6,0.0,0.0,0.0
18.0,65.0,3247.0,0.0,0.0,0.0
19.0,74.0,3256.0,0.0,0.0,0.0
19.0,86.0,3268.0,0.0,0.0,0.0
19.0,94.0,3276.1,0.0,0.0,0.0
19.0,105.0,3287.4,0.0,0.0,0.0
2.0,114.0,3296.4,3296.4,298.0,2.0
8.0,0.0,3607.3,0.0,0.0,0.0
8.0,4.0,3612.2,0.0,0.0,0.0
9.0,16.0,3623.7,0.0,0.0,0.0
9.0,28.0,3636.1,0.0,0.0,0.0
9.0,39.0,3647.1,0.0,0.0,0.0
9.0,49.0,3656.1,0.0,0.0,0.0
9.0,59.0,3666.7,0.0,0.0,0.0
10.0,68.0,3675.8,0.0,0.0,0.0
10.0,79.0,3687.3,0.0,0.0,0.0
10.0,89.0,3696.4,0.0,0.0,0.0
10.0,99.0,3706.9,0.0,0.0,0.0
11.0,108.0,3716.0,3716.0,281.0,1.0
17.0,0.0,4009.3,0.0,0.0,0.0
17.0,10.0,4019.4,0.0,0.0,0.0
17.0,20.0,4029.4,0.0,0.0,0.0
17.0,29.0,4039.1,0.0,0.0,0.0
18.0,39.0,4049.2,0.0,0.0,0.0
18.0,49.0,4059.3,0.0,0.0,0.0
18.0,59.0,4069.3,0.0,0.0,0.0
18.0,69.0,4079.3,0.0,0.0,0.0
19.0,91.0,4101.2,0.0,0.0,0.0
19.0,106.0,4116.2,0.0,0.0,0.0
19.0,120.0,4130.1,0.0,0.0,0.0
2.0,131.0,4141.1,4141.1,278.0,2.0
8.0,0.0,4440.3,0.0,0.0,0.0
8.0,7.0,4446.3,0.0,0.0,0.0
9.0,16.0,4456.6,0.0,0.0,0.0
9.0,31.0,4471.3,0.0,0.0,0.0
9.0,35.0,4475.7,0.0,0.0,0.0
9.0,46.0,4487.1,0.0,0.0,0.0
9.0,55.0,4496.0,0.0,0.0,0.0
10.0,66.0,4507.0,0.0,0.0,0.0
10.0,80.0,4520.8,0.0,0.0,0.0
10.0,90.0,4530.4,0.0,0.0,0.0
10.0,100.0,4540.4,0.0,0.0,0.0
10.0,110.0,4550.5,0.0,0.0,0.0
11.0,120.0,4560.6,4560.6,288.0,1.0
17.0,0.0,4858.9,0.0,0.0,0.0
17.0,9.0,4868.4,0.0,0.0,0.0
17.0,19.0,4878.0,0.0,0.0,0.0
18.0,28.0,4887.2,0.0,0.0,0.0
18.0,38.0,4897.5,0.0,0.0,0.0
18.0,48.0,4907.5,0.0,0.0,0.0
18.0,58.0,4917.7,0.0,0.0,0.0
19.0,68.0,4927.9,0.0,0.0,0.0
19.0,81.0,4940.5,0.0,0.0,0.0
19.0,90.0,4949.4,0.0,0.0,0.0
19.0,100.0,4959.5,0.0,0.0,0.0
2.0,110.0,4969.3,4969.3,268.0,2.0
8.0,1.0,5253.1,0.0,0.0,0.0
8.0,10.0,5264.0,0.0,0.0,0.0
8.0,20.0,5273.8,0.0,0.0,0.0
8.0,30.0,5284.0,0.0,0.0,0.0
8.0,40.0,5293.8,0.0,0.0,0.0
9.0,50.0,5303.8,0.0,0.0,0.0
9.0,60.0,5313.7,0.0,0.0,0.0
9.0,70.0,5323.7,0.0,0.0,0.0
9.0,80.0,5333.5,0.0,0.0,0.0
9.0,91.0,5344.3,0.0,0.0,0.0
10.0,100.0,5353.6,0.0,0.0,0.0
10.0,110.0,5363.3,0.0,0.0,0.0
10.0,120.0,5373.9,0.0,0.0,0.0
10.0,131.0,5384.3,0.0,0.0,0.0
11.0,140.0,5393.5,5393.5,280.0,1.0
17.0,0.0,5685.5,0.0,0.0,0.0
17.0,10.0,5696.1,0.0,0.0,0.0
17.0,20.0,5705.9,0.0,0.0,0.0
17.0,29.0,5715.1,0.0,0.0,0.0
18.0,40.0,5726.0,0.0,0.0,0.0
18.0,49.0,5735.1,0.0,0.0,0.0
18.0,62.0,5748.1,0.0,0.0,0.0
18.0,69.0,5755.1,0.0,0.0,0.0
19.0,79.0,5765.1,0.0,0.0,0.0
19.0,93.0,5779.0,0.0,0.0,0.0
19.0,103.0,5789.0,0.0,0.0,0.0
19.0,113.0,5799.2,0.0,0.0,0.0
2.0,123.0,5809.1,5809.1,270.0,2.0
8.0,0.0,6095.9,0.0,0.0,0.0
8.0,9.0,6105.0,0.0,0.0,0.0
8.0,18.0,6114.6,0.0,0.0,0.0
8.0,28.0,6124.6,0.0,0.0,0.0
9.0,41.0,6137.1,0.0,0.0,0.0
9.0,52.0,6148.1,0.0,0.0,0.0
9.0,63.0,6159.1,0.0,0.0,0.0
9.0,72.0,6168.1,0.0,0.0,0.0
9.0,83.0,6179.2,0.0,0.0,0.0
10.0,92.0,6188.2,0.0,0.0,0.0
10.0,104.0,6200.0,0.0,0.0,0.0
10.0,112.0,6208.6,0.0,0.0,0.0
10.0,123.0,6219.8,0.0,0.0,0.0
11.0,132.0,6228.8,6228.8,279.0,1.0
17.0,0.0,6525.4,0.0,0.0,0.0
17.0,6.0,6531.3,0.0,0.0,0.0
17.0,16.0,6541.2,0.0,0.0,0.0
17.0,27.0,6552.2,0.0,0.0,0.0
18.0,36.0,6561.0,0.0,0.0,0.0
18.0,47.0,6572.0,0.0,0.0,0.0
18.0,57.0,6581.5,0.0,0.0,0.0
18.0,67.0,6591.5,0.0,0.0,0.0
18.0,77.0,6602.1,0.0,0.0,0.0
19.0,86.0,6611.1,0.0,0.0,0.0
19.0,97.0,6621.6,0.0,0.0,0.0
19.0,107.0,6631.5,0.0,0.0,0.0
19.0,117.0,6641.5,0.0,0.0,0.0
19.0,129.0,6653.5,0.0,0.0,0.0
2.0,136.0,6661.2,6661.2,291.0,2.0
8.0,0.0,6963.1,0.0,0.0,0.0
8.0,9.0,6972.1,0.0,0.0,0.0
9.0,20.0,6983.2,0.0,0.0,0.0
9.0,29.0,6992.1,0.0,0.0,0.0
9.0,39.0,7002.1,0.0,0.0,0.0
9.0,48.0,7012.0,0.0,0.0,0.0
10.0,60.0,7022.3,0.0,0.0,0.0
10.0,72.0,7035.9,0.0,0.0,0.0
10.0,83.0,7047.0,0.0,0.0,0.0
10.0,92.0,7056.0,0.0,0.0,0.0
11.0,104.0,7067.2,7067.2,271.0,1.0
17.0,0.0,7351.9,0.0,0.0,0.0
17.0,10.0,7362.1,0.0,0.0,0.0
17.0,19.0,7371.8,0.0,0.0,0.0
17.0,31.0,7383.8,0.0,0.0,0.0
18.0,39.0,7391.8,0.0,0.0,0.0
18.0,50.0,7402.6,0.0,0.0,0.0
18.0,60.0,7412.3,0.0,0.0,0.0
18.0,70.0,7422.7,0.0,0.0,0.0
18.0,81.0,7433.1,0.0,0.0,0.0
19.0,91.0,7443.1,0.0,0.0,0.0
19.0,101.0,7453.2,0.0,0.0,0.0
19.0,111.0,7463.1,0.0,0.0,0.0
19.0,120.0,7472.8,0.0,0.0,0.0
19.0,131.0,7483.1,0.0,0.0,0.0
2.0,141.0,7493.1,7493.1,299.0,2.0
8.0,0.0,7803.2,0.0,0.0,0.0
9.0,10.0,7813.2,0.0,0.0,0.0
9.0,20.0,7823.2,0.0,0.0,0.0
9.0,30.0,7833.9,0.0,0.0,0.0
9.0,40.0,7843.8,0.0,0.0,0.0
9.0,51.0,7854.2,0.0,0.0,0.0
10.0,60.0,7863.2,0.0,0.0,0.0
10.0,71.0,7874.4,0.0,0.0,0.0
10.0,80.0,7883.3,0.0,0.0,0.0
10.0,91.0,7894.7,0.0,0.0,0.0
11.0,100.0,7903.3,7903.3,292.0,1.0
17.0,1.0,8213.2,0.0,0.0,0.0
17.0,5.0,8217.2,0.0,0.0,0.0
18.0,16.0,8227.6,0.0,0.0,0.0
18.0,28.0,8239.6,0.0,0.0,0.0
18.0,38.0,8249.7,0.0,0.0,0.0
18.0,48.0,8259.6,0.0,0.0,0.0
18.0,58.0,8269.6,0.0,0.0,0.0
19.0,69.0,8280.5,0.0,0.0,0.0
19.0,79.0,8290.5,0.0,0.0,0.0
19.0,89.0,8301.0,0.0,0.0,0.0
19.0,98.0,8309.6,0.0,0.0,0.0
19.0,108.0,8320.2,0.0,0.0,0.0
2.0,118.0,8330.1,8330.1,277.0,2.0
8.0,0.0,8617.9,0.0,0.0,0.0
8.0,10.0,8628.6,0.0,0.0,0.0
8.0,20.0,8638.2,0.0,0.0,0.0
8.0,29.0,8647.1,0.0,0.0,0.0
9.0,39.0,8657.4,0.0,0.0,0.0
9.0,50.0,8668.1,0.0,0.0,0.0
9.0,60.0,8678.1,0.0,0.0,0.0
9.0,69.0,8687.2,0.0,0.0,0.0
10.0,80.0,8698.1,0.0,0.0,0.0
10.0,89.0,8707.1,0.0,0.0,0.0
10.0,99.0,8717.7,0.0,0.0,0.0
10.0,109.0,8727.6,0.0,0.0,0.0
10.0,119.0,8737.6,0.0,0.0,0.0
11.0,130.0,8748.6,8748.6,291.0,1.0
17.0,0.0,9050.6,0.0,0.0,0.0
17.0,5.0,9055.3,0.0,0.0,0.0
18.0,14.0,9064.3,0.0,0.0,0.0
18.0,30.0,9080.2,0.0,0.0,0.0
18.0,35.0,9084.2,0.0,0.0,0.0
18.0,45.0,9095.2,0.0,0.0,0.0
18.0,55.0,9105.5,0.0,0.0,0.0
19.0,66.0,9116.1,0.0,0.0,0.0
19.0,77.0,9127.2,0.0,0.0,0.0
19.0,87.0,9137.1,0.0,0.0,0.0
19.0,97.0,9147.3,0.0,0.0,0.0
19.0,108.0,9158.2,0.0,0.0,0.0
2.0,117.0,9167.2,9167.2,298.0,2.0
8.0,0.0,9477.6,0.0,0.0,0.0
9.0,8.0,9485.8,0.0,0.0,0.0
9.0,22.0,9500.4,0.0,0.0,0.0
9.0,31.0,9509.5,0.0,0.0,0.0
9.0,42.0,9519.6,0.0,0.0,0.0
9.0,54.0,9531.6,0.0,0.0,0.0
10.0,62.0,9539.6,0.0,0.0,0.0
10.0,71.0,9549.5,0.0,0.0,0.0
10.0,81.0,9559.5,0.0,0.0,0.0
10.0,92.0,9570.5,0.0,0.0,0.0
11.0,101.0,9579.4,9579.4,281.0,1.0
