X,Y,Z,Rx,Ry,Rz
958.522,-36.521,-164.937,-165.2879,-7.173,17.5198
958.521,-19.488,-164.934,-165.2882,-7.1724,17.5196
958.527,-19.431,-164.932,-165.2884,-7.1725,17.5201
958.526,-19.383,-164.936,-165.2878,-7.1723,17.519
958.52,-19.306,-164.941,-165.288,-7.1718,17.5194
958.524,-19.265,-164.935,-165.2874,-7.1723,17.519
958.523,-19.206,-164.931,-165.2877,-7.1725,17.5195
958.529,-19.132,-164.925,-165.2878,-7.1728,17.5191
958.528,-19.09,-164.933,-165.2872,-7.1724,17.5195
958.521,-19.036,-164.938,-165.2874,-7.1719,17.5186
958.526,-18.979,-164.935,-165.2876,-7.172,17.5191
958.525,-18.932,-164.931,-165.2879,-7.1722,17.5189
958.524,-18.861,-164.935,-165.2873,-7.172,17.5192
958.521,-18.784,-164.938,-165.287,-7.1717,17.5187
958.527,-18.751,-164.936,-165.2886,-7.1723,17.5196
958.524,-18.697,-164.928,-165.288,-7.1729,17.5199
958.524,-18.645,-164.935,-165.2882,-7.1723,17.519
958.521,-18.586,-164.941,-165.288,-7.1718,17.5194
958.531,-18.529,-164.927,-165.2882,-7.1728,17.5191
958.376,-17.492,-163.5,-165.2241,-7.2123,17.5748
