X,Y,Z,Rx,Ry,Rz
959.736,21.508,-165.399,175.9721,17.8811,58.697
959.736,21.444,-165.398,175.9721,17.8811,58.697
959.737,21.38,-165.398,175.9721,17.8811,58.697
959.737,21.316,-165.398,175.9721,17.8811,58.697
959.737,21.252,-165.398,175.9721,17.8811,58.697
959.737,21.188,-165.397,175.9721,17.8811,58.697
959.737,21.124,-165.397,175.9721,17.8811,58.697
959.738,21.06,-165.397,175.9721,17.8811,58.697
959.738,20.996,-165.397,175.9721,17.8811,58.697
959.738,20.932,-165.396,175.9721,17.8811,58.697
959.738,20.868,-165.396,175.9721,17.8811,58.697
959.739,20.804,-165.396,175.9721,17.8811,58.697
959.739,20.74,-165.396,175.9721,17.8811,58.697
959.739,20.677,-165.395,175.9721,17.8811,58.697
959.739,20.613,-165.395,175.9721,17.8811,58.697
959.739,20.549,-165.395,175.9721,17.8811,58.697
959.74,20.485,-165.394,175.9721,17.8811,58.697
959.74,20.421,-165.394,175.9721,17.8811,58.697
959.74,20.357,-165.394,175.9721,17.8811,58.697
959.74,20.293,-165.394,175.9721,17.8811,58.697
959.74,20.229,-165.393,175.9721,17.8811,58.697
959.741,20.165,-165.393,175.9721,17.8811,58.697
959.741,20.101,-165.393,175.9721,17.8811,58.697
959.741,20.037,-165.393,175.9721,17.8811,58.697
959.741,19.973,-165.392,175.9721,17.8811,58.697
959.742,19.909,-165.392,175.9721,17.8811,58.697
959.742,19.845,-165.392,175.9721,17.8811,58.697
959.742,19.781,-165.392,175.9721,17.8811,58.697
959.742,19.717,-165.391,175.9721,17.8811,58.697
959.742,19.653,-165.391,175.9721,17.8811,58.697
959.743,19.589,-165.391,175.9721,17.8811,58.697
959.743,19.525,-165.391,175.9721,17.8811,58.697
959.743,19.461,-165.39,175.9721,17.8811,58.697
959.743,19.397,-165.39,175.9721,17.8811,58.697
959.743,19.333,-165.39,175.9721,17.8811,58.697
959.744,19.269,-165.389,175.9721,17.8811,58.697
959.744,19.205,-165.389,175.9721,17.8811,58.697
959.744,19.141,-165.389,175.9721,17.8811,58.697
959.744,19.077,-165.389,175.9721,17.8811,58.697
959.745,19.014,-165.388,175.9721,17.8811,58.697
959.745,18.95,-165.388,175.9721,17.8811,58.697
959.745,18.886,-165.388,175.9721,17.8811,58.697
959.745,18.822,-165.388,175.9721,17.8811,58.697
959.745,18.758,-165.387,175.9721,17.8811,58.697
959.746,18.694,-165.387,175.9721,17.8811,58.697
959.746,18.63,-165.387,175.9721,17.8811,58.697
959.746,18.566,-165.387,175.9721,17.8811,58.697
959.746,18.502,-165.386,175.9721,17.8811,58.697
959.746,18.438,-165.386,175.9721,17.8811,58.697
959.747,18.374,-165.386,175.9721,17.8811,58.697
959.747,18.31,-165.385,175.9721,17.8811,58.697
959.747,18.246,-165.385,175.9721,17.8811,58.697
959.747,18.182,-165.385,175.9721,17.8811,58.697
959.748,18.118,-165.385,175.9721,17.8811,58.697
959.748,18.054,-165.384,175.9721,17.8811,58.697
959.748,17.99,-165.384,175.9721,17.8811,58.697
959.748,17.926,-165.384,175.9721,17.8811,58.697
959.748,17.862,-165.384,175.9721,17.8811,58.697
959.749,17.798,-165.383,175.9721,17.8811,58.697
959.749,17.734,-165.383,175.9721,17.8811,58.697
959.749,17.67,-165.383,175.9721,17.8811,58.697
959.749,17.606,-165.383,175.9721,17.8811,58.697
959.749,17.542,-165.382,175.9721,17.8811,58.697
959.75,17.478,-165.382,175.9721,17.8811,58.697
959.75,17.414,-165.382,175.9721,17.8811,58.697
959.75,17.35,-165.382,175.9721,17.8811,58.697
959.75,17.287,-165.381,175.9721,17.8811,58.697
959.751,17.223,-165.381,175.9721,17.8811,58.697
959.751,17.159,-165.381,175.9721,17.8811,58.697
959.751,17.095,-165.38,175.9721,17.8811,58.697
959.751,17.031,-165.38,175.9721,17.8811,58.697
959.751,16.967,-165.38,175.9721,17.8811,58.697
959.752,16.903,-165.38,175.9721,17.8811,58.697
959.752,16.839,-165.379,175.9721,17.8811,58.697
959.752,16.775,-165.379,175.9721,17.8811,58.697
959.752,16.711,-165.379,175.9721,17.8811,58.697
959.752,16.647,-165.379,175.9721,17.8811,58.697
959.753,16.583,-165.378,175.9721,17.8811,58.697
959.753,16.519,-165.378,175.9721,17.8811,58.697
959.753,16.455,-165.378,175.9721,17.8811,58.697
959.753,16.391,-165.378,175.9721,17.8811,58.697
959.753,16.327,-165.377,175.9721,17.8811,58.697
959.754,16.263,-165.377,175.9721,17.8811,58.697
959.754,16.199,-165.377,175.9721,17.8811,58.697
959.754,16.135,-165.376,175.9721,17.8811,58.697
959.754,16.071,-165.376,175.9721,17.8811,58.697
959.755,16.007,-165.376,175.9721,17.8811,58.697
959.755,15.943,-165.376,175.9721,17.8811,58.697
959.755,15.879,-165.375,175.9721,17.8811,58.697
959.755,15.815,-165.375,175.9721,17.8811,58.697
959.755,15.751,-165.375,175.9721,17.8811,58.697
959.756,15.687,-165.375,175.9721,17.8811,58.697
959.756,15.624,-165.374,175.9721,17.8811,58.697
959.756,15.56,-165.374,175.9721,17.8811,58.697
959.756,15.496,-165.374,175.9721,17.8811,58.697
959.756,15.432,-165.374,175.9721,17.8811,58.697
959.757,15.368,-165.373,175.9721,17.8811,58.697
959.757,15.304,-165.373,175.9721,17.8811,58.697
959.757,15.24,-165.373,175.9721,17.8811,58.697
959.757,15.176,-165.372,175.9721,17.8811,58.697
959.758,15.112,-165.372,175.9721,17.8811,58.697
959.758,15.048,-165.372,175.9721,17.8811,58.697
959.758,14.984,-165.372,175.9721,17.8811,58.697
959.758,14.92,-165.371,175.9721,17.8811,58.697
959.758,14.856,-165.371,175.9721,17.8811,58.697
959.759,14.792,-165.371,175.9721,17.8811,58.697
959.759,14.728,-165.371,175.9721,17.8811,58.697
959.759,14.664,-165.37,175.9721,17.8811,58.697
959.759,14.6,-165.37,175.9721,17.8811,58.697
959.759,14.536,-165.37,175.9721,17.8811,58.697
959.76,14.472,-165.37,175.9721,17.8811,58.697
959.76,14.408,-165.369,175.9721,17.8811,58.697
959.76,14.344,-165.369,175.9721,17.8811,58.697
959.76,14.28,-165.369,175.9721,17.8811,58.697
959.761,14.216,-165.369,175.9721,17.8811,58.697
959.761,14.152,-165.368,175.9721,17.8811,58.697
959.761,14.088,-165.368,175.9721,17.8811,58.697
959.761,14.024,-165.368,175.9721,17.8811,58.697
959.761,13.96,-165.367,175.9721,17.8811,58.697
959.762,13.897,-165.367,175.9721,17.8811,58.697
959.762,13.833,-165.367,175.9721,17.8811,58.697
959.762,13.769,-165.367,175.9721,17.8811,58.697
959.762,13.705,-165.366,175.9721,17.8811,58.697
959.762,13.641,-165.366,175.9721,17.8811,58.697
959.763,13.577,-165.366,175.9721,17.8811,58.697
959.763,13.513,-165.366,175.9721,17.8811,58.697
959.763,13.449,-165.365,175.9721,17.8811,58.697
959.763,13.385,-165.365,175.9721,17.8811,58.697
959.764,13.321,-165.365,175.9721,17.8811,58.697
959.764,13.257,-165.365,175.9721,17.8811,58.697
959.764,13.193,-165.364,175.9721,17.8811,58.697
959.764,13.129,-165.364,175.9721,17.8811,58.697
959.764,13.065,-165.364,175.9721,17.8811,58.697
959.765,13.001,-165.363,175.9721,17.8811,58.697
959.765,12.937,-165.363,175.9721,17.8811,58.697
959.765,12.873,-165.363,175.9721,17.8811,58.697
959.765,12.809,-165.363,175.9721,17.8811,58.697
959.765,12.745,-165.362,175.9721,17.8811,58.697
959.766,12.681,-165.362,175.9721,17.8811,58.697
959.766,12.617,-165.362,175.9721,17.8811,58.697
959.766,12.553,-165.362,175.9721,17.8811,58.697
959.766,12.489,-165.361,175.9721,17.8811,58.697
959.766,12.425,-165.361,175.9721,17.8811,58.697
959.767,12.361,-165.361,175.9721,17.8811,58.697
959.767,12.297,-165.361,175.9721,17.8811,58.697
959.767,12.234,-165.36,175.9721,17.8811,58.697
959.767,12.17,-165.36,175.9721,17.8811,58.697
959.768,12.106,-165.36,175.9721,17.8811,58.697
959.768,12.042,-165.359,175.9721,17.8811,58.697
959.768,11.978,-165.359,175.9721,17.8811,58.697
959.768,11.914,-165.359,175.9721,17.8811,58.697
959.768,11.85,-165.359,175.9721,17.8811,58.697
959.769,11.786,-165.358,175.9721,17.8811,58.697
959.769,11.722,-165.358,175.9721,17.8811,58.697
959.769,11.658,-165.358,175.9721,17.8811,58.697
959.769,11.594,-165.358,175.9721,17.8811,58.697
959.769,11.53,-165.357,175.9721,17.8811,58.697
959.77,11.466,-165.357,175.9721,17.8811,58.697
959.77,11.402,-165.357,175.9721,17.8811,58.697
959.77,11.338,-165.357,175.9721,17.8811,58.697
959.77,11.274,-165.356,175.9721,17.8811,58.697
959.771,11.21,-165.356,175.9721,17.8811,58.697
959.771,11.146,-165.356,175.9721,17.8811,58.697
959.771,11.082,-165.356,175.9721,17.8811,58.697
959.771,11.018,-165.355,175.9721,17.8811,58.697
959.771,10.954,-165.355,175.9721,17.8811,58.697
959.772,10.89,-165.355,175.9721,17.8811,58.697
959.772,10.826,-165.354,175.9721,17.8811,58.697
959.772,10.762,-165.354,175.9721,17.8811,58.697
959.772,10.698,-165.354,175.9721,17.8811,58.697
959.772,10.634,-165.354,175.9721,17.8811,58.697
959.773,10.571,-165.353,175.9721,17.8811,58.697
959.773,10.507,-165.353,175.9721,17.8811,58.697
959.773,10.443,-165.353,175.9721,17.8811,58.697
959.773,10.379,-165.353,175.9721,17.8811,58.697
959.774,10.315,-165.352,175.9721,17.8811,58.697
959.774,10.251,-165.352,175.9721,17.8811,58.697
959.774,10.187,-165.352,175.9721,17.8811,58.697
959.774,10.123,-165.352,175.9721,17.8811,58.697
959.774,10.059,-165.351,175.9721,17.8811,58.697
959.775,9.995,-165.351,175.9721,17.8811,58.697
959.775,9.931,-165.351,175.9721,17.8811,58.697
959.775,9.867,-165.35,175.9721,17.8811,58.697
959.775,9.803,-165.35,175.9721,17.8811,58.697
959.775,9.739,-165.35,175.9721,17.8811,58.697
959.776,9.675,-165.35,175.9721,17.8811,58.697
959.776,9.611,-165.349,175.9721,17.8811,58.697
959.776,9.547,-165.349,175.9721,17.8811,58.697
959.776,9.483,-165.349,175.9721,17.8811,58.697
959.777,9.419,-165.349,175.9721,17.8811,58.697
959.777,9.355,-165.348,175.9721,17.8811,58.697
959.777,9.291,-165.348,175.9721,17.8811,58.697
959.777,9.227,-165.348,175.9721,17.8811,58.697
959.777,9.163,-165.348,175.9721,17.8811,58.697
959.778,9.099,-165.347,175.9721,17.8811,58.697
959.778,9.035,-165.347,175.9721,17.8811,58.697
959.778,8.971,-165.347,175.9721,17.8811,58.697
959.778,8.907,-165.347,175.9721,17.8811,58.697
959.778,8.844,-165.346,175.9721,17.8811,58.697
959.779,8.78,-165.346,175.9721,17.8811,58.697
959.779,8.716,-165.346,175.9721,17.8811,58.697
959.779,8.652,-165.345,175.9721,17.8811,58.697
959.779,8.588,-165.345,175.9721,17.8811,58.697
959.78,8.524,-165.345,175.9721,17.8811,58.697
959.78,8.46,-165.345,175.9721,17.8811,58.697
959.78,8.396,-165.344,175.9721,17.8811,58.697
959.78,8.332,-165.344,175.9721,17.8811,58.697
959.78,8.268,-165.344,175.9721,17.8811,58.697
959.781,8.204,-165.344,175.9721,17.8811,58.697
959.781,8.14,-165.343,175.9721,17.8811,58.697
959.781,8.076,-165.343,175.9721,17.8811,58.697
959.781,8.012,-165.343,175.9721,17.8811,58.697
959.781,7.948,-165.343,175.9721,17.8811,58.697
959.782,7.884,-165.342,175.9721,17.8811,58.697
959.782,7.82,-165.342,175.9721,17.8811,58.697
959.782,7.756,-165.342,175.9721,17.8811,58.697
959.782,7.692,-165.341,175.9721,17.8811,58.697
959.782,7.628,-165.341,175.9721,17.8811,58.697
959.783,7.564,-165.341,175.9721,17.8811,58.697
959.783,7.5,-165.341,175.9721,17.8811,58.697
959.783,7.436,-165.34,175.9721,17.8811,58.697
959.783,7.372,-165.34,175.9721,17.8811,58.697
959.784,7.308,-165.34,175.9721,17.8811,58.697
959.784,7.244,-165.34,175.9721,17.8811,58.697
959.784,7.181,-165.339,175.9721,17.8811,58.697
959.784,7.117,-165.339,175.9721,17.8811,58.697
959.784,7.053,-165.339,175.9721,17.8811,58.697
959.785,6.989,-165.339,175.9721,17.8811,58.697
959.785,6.925,-165.338,175.9721,17.8811,58.697
959.785,6.861,-165.338,175.9721,17.8811,58.697
959.785,6.797,-165.338,175.9721,17.8811,58.697
959.785,6.733,-165.337,175.9721,17.8811,58.697
959.786,6.669,-165.337,175.9721,17.8811,58.697
959.786,6.605,-165.337,175.9721,17.8811,58.697
959.786,6.541,-165.337,175.9721,17.8811,58.697
959.786,6.477,-165.336,175.9721,17.8811,58.697
959.787,6.413,-165.336,175.9721,17.8811,58.697
959.787,6.349,-165.336,175.9721,17.8811,58.697
959.787,6.285,-165.336,175.9721,17.8811,58.697
959.787,6.221,-165.335,175.9721,17.8811,58.697
959.787,6.157,-165.335,175.9721,17.8811,58.697
959.788,6.093,-165.335,175.9721,17.8811,58.697
959.788,6.029,-165.335,175.9721,17.8811,58.697
959.788,5.965,-165.334,175.9721,17.8811,58.697
959.788,5.901,-165.334,175.9721,17.8811,58.697
959.788,5.837,-165.334,175.9721,17.8811,58.697
959.789,5.773,-165.334,175.9721,17.8811,58.697
959.789,5.709,-165.333,175.9721,17.8811,58.697
959.789,5.645,-165.333,175.9721,17.8811,58.697
959.789,5.581,-165.333,175.9721,17.8811,58.697
959.79,5.517,-165.332,175.9721,17.8811,58.697
959.79,5.454,-165.332,175.9721,17.8811,58.697
959.79,5.39,-165.332,175.9721,17.8811,58.697
959.79,5.326,-165.332,175.9721,17.8811,58.697
959.79,5.262,-165.331,175.9721,17.8811,58.697
959.791,5.198,-165.331,175.9721,17.8811,58.697
959.791,5.134,-165.331,175.9721,17.8811,58.697
959.791,5.07,-165.331,175.9721,17.8811,58.697
959.791,5.006,-165.33,175.9721,17.8811,58.697
959.791,4.942,-165.33,175.9721,17.8811,58.697
959.792,4.878,-165.33,175.9721,17.8811,58.697
959.792,4.814,-165.33,175.9721,17.8811,58.697
959.792,4.75,-165.329,175.9721,17.8811,58.697
959.792,4.686,-165.329,175.9721,17.8811,58.697
959.793,4.622,-165.329,175.9721,17.8811,58.697
959.793,4.558,-165.328,175.9721,17.8811,58.697
959.793,4.494,-165.328,175.9721,17.8811,58.697
959.793,4.43,-165.328,175.9721,17.8811,58.697
959.793,4.366,-165.328,175.9721,17.8811,58.697
959.794,4.302,-165.327,175.9721,17.8811,58.697
959.794,4.238,-165.327,175.9721,17.8811,58.697
959.794,4.174,-165.327,175.9721,17.8811,58.697
959.794,4.11,-165.327,175.9721,17.8811,58.697
959.794,4.046,-165.326,175.9721,17.8811,58.697
959.795,3.982,-165.326,175.9721,17.8811,58.697
959.795,3.918,-165.326,175.9721,17.8811,58.697
959.795,3.854,-165.326,175.9721,17.8811,58.697
959.795,3.791,-165.325,175.9721,17.8811,58.697
959.796,3.727,-165.325,175.9721,17.8811,58.697
959.796,3.663,-165.325,175.9721,17.8811,58.697
959.796,3.599,-165.325,175.9721,17.8811,58.697
959.796,3.535,-165.324,175.9721,17.8811,58.697
959.796,3.471,-165.324,175.9721,17.8811,58.697
959.797,3.407,-165.324,175.9721,17.8811,58.697
959.797,3.343,-165.323,175.9721,17.8811,58.697
959.797,3.279,-165.323,175.9721,17.8811,58.697
959.797,3.215,-165.323,175.9721,17.8811,58.697
959.797,3.151,-165.323,175.9721,17.8811,58.697
959.798,3.087,-165.322,175.9721,17.8811,58.697
959.798,3.023,-165.322,175.9721,17.8811,58.697
959.798,2.959,-165.322,175.9721,17.8811,58.697
959.798,2.895,-165.322,175.9721,17.8811,58.697
959.798,2.831,-165.321,175.9721,17.8811,58.697
959.799,2.767,-165.321,175.9721,17.8811,58.697
959.799,2.703,-165.321,175.9721,17.8811,58.697
959.799,2.639,-165.321,175.9721,17.8811,58.697
959.799,2.575,-165.32,175.9721,17.8811,58.697
959.8,2.511,-165.32,175.9721,17.8811,58.697
959.8,2.447,-165.32,175.9721,17.8811,58.697
959.8,2.383,-165.319,175.9721,17.8811,58.697
959.8,2.319,-165.319,175.9721,17.8811,58.697
959.8,2.255,-165.319,175.9721,17.8811,58.697
959.801,2.191,-165.319,175.9721,17.8811,58.697
959.801,2.127,-165.318,175.9721,17.8811,58.697
959.801,2.064,-165.318,175.9721,17.8811,58.697
959.801,2.0,-165.318,175.9721,17.8811,58.697
959.801,1.936,-165.318,175.9721,17.8811,58.697
959.802,1.872,-165.317,175.9721,17.8811,58.697
959.802,1.808,-165.317,175.9721,17.8811,58.697
959.802,1.744,-165.317,175.9721,17.8811,58.697
959.802,1.68,-165.317,175.9721,17.8811,58.697
959.803,1.616,-165.316,175.9721,17.8811,58.697
959.803,1.552,-165.316,175.9721,17.8811,58.697
959.803,1.488,-165.316,175.9721,17.8811,58.697
959.803,1.424,-165.315,175.9721,17.8811,58.697
959.803,1.36,-165.315,175.9721,17.8811,58.697
959.804,1.296,-165.315,175.9721,17.8811,58.697
959.804,1.232,-165.315,175.9721,17.8811,58.697
959.804,1.168,-165.314,175.9721,17.8811,58.697
959.804,1.104,-165.314,175.9721,17.8811,58.697
959.804,1.04,-165.314,175.9721,17.8811,58.697
959.805,0.976,-165.314,175.9721,17.8811,58.697
959.805,0.912,-165.313,175.9721,17.8811,58.697
959.805,0.848,-165.313,175.9721,17.8811,58.697
959.809,0.677,-165.308,175.9715,17.8809,58.6974
959.809,0.417,-165.307,175.9715,17.8809,58.6974
959.81,0.158,-165.306,175.9715,17.8809,58.6974
959.811,-0.102,-165.305,175.9715,17.8809,58.6974
959.812,-0.361,-165.304,175.9715,17.8809,58.6974
959.813,-0.621,-165.302,175.9715,17.8809,58.6974
959.814,-0.88,-165.301,175.9715,17.8809,58.6974
959.815,-1.14,-165.3,175.9715,17.8809,58.6974
959.815,-1.399,-165.299,175.9715,17.8809,58.6974
959.816,-1.659,-165.298,175.9715,17.8809,58.6974
959.817,-1.918,-165.297,175.9715,17.8809,58.6974
959.818,-2.178,-165.296,175.9715,17.8809,58.6974
959.819,-2.437,-165.295,175.9715,17.8809,58.6974
959.82,-2.697,-165.294,175.9715,17.8809,58.6974
959.821,-2.956,-165.293,175.9715,17.8809,58.6974
959.821,-3.216,-165.292,175.9715,17.8809,58.6974
959.822,-3.475,-165.291,175.9715,17.8809,58.6974
959.823,-3.734,-165.29,175.9715,17.8809,58.6974
959.824,-3.994,-165.289,175.9715,17.8809,58.6974
959.825,-4.253,-165.288,175.9715,17.8809,58.6974
959.826,-4.513,-165.287,175.9715,17.8809,58.6974
959.827,-4.772,-165.285,175.9715,17.8809,58.6974
959.827,-5.032,-165.284,175.9715,17.8809,58.6974
959.828,-5.291,-165.283,175.9715,17.8809,58.6974
