I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,21724.0,150.8,0.0,0.0,0.0
6.0,6.0,0.0,21758.0,184.0,0.0,0.0,0.0
7.0,6.0,0.0,21786.0,211.9,0.0,0.0,0.0
8.0,7.0,0.0,21820.0,246.7,0.0,0.0,0.0
8.0,8.0,0.0,21846.0,271.8,0.0,0.0,0.0
9.0,8.0,0.0,21876.0,302.5,0.0,0.0,0.0
10.0,9.0,0.0,21906.0,332.4,0.0,0.0,0.0
10.0,10.0,0.0,21936.0,362.6,0.0,0.0,0.0
11.0,10.0,1.0,21970.0,396.4,396.4,134.0,1.0
14.0,11.0,0.0,0.0,536.8,0.0,0.0,0.0
15.0,14.0,0.0,25.0,562.1,0.0,0.0,0.0
15.0,15.0,0.0,57.0,593.9,0.0,0.0,0.0
16.0,15.0,0.0,89.0,625.8,0.0,0.0,0.0
17.0,16.0,0.0,117.0,653.9,0.0,0.0,0.0
17.0,17.0,0.0,146.0,683.2,0.0,0.0,0.0
18.0,17.0,0.0,177.0,714.2,0.0,0.0,0.0
19.0,18.0,0.0,208.0,744.8,0.0,0.0,0.0
19.0,19.0,0.0,237.0,774.7,0.0,0.0,0.0
2.0,19.0,1.0,267.0,804.6,804.6,134.0,2.0
5.0,2.0,0.0,0.0,950.1,0.0,0.0,0.0
6.0,5.0,0.0,28.0,978.7,0.0,0.0,0.0
6.0,6.0,0.0,58.0,1008.7,0.0,0.0,0.0
7.0,6.0,0.0,88.0,1038.4,0.0,0.0,0.0
8.0,7.0,0.0,120.0,1070.1,0.0,0.0,0.0
8.0,8.0,0.0,152.0,1102.8,0.0,0.0,0.0
9.0,8.0,0.0,182.0,1132.7,0.0,0.0,0.0
10.0,9.0,0.0,212.0,1162.6,0.0,0.0,0.0
10.0,10.0,0.0,244.0,1194.4,0.0,0.0,0.0
11.0,10.0,1.0,274.0,1224.4,1224.4,142.0,1.0
14.0,11.0,0.0,0.0,1376.7,0.0,0.0,0.0
15.0,14.0,0.0,29.0,1406.5,0.0,0.0,0.0
15.0,15.0,0.0,60.0,1437.3,0.0,0.0,0.0
16.0,15.0,0.0,90.0,1467.7,0.0,0.0,0.0
17.0,16.0,0.0,125.0,1502.0,0.0,0.0,0.0
17.0,17.0,0.0,150.0,1527.0,0.0,0.0,0.0
18.0,17.0,0.0,182.0,1558.9,0.0,0.0,0.0
19.0,18.0,0.0,217.0,1593.8,0.0,0.0,0.0
19.0,19.0,0.0,243.0,1620.7,0.0,0.0,0.0
2.0,19.0,1.0,275.0,1652.6,1652.6,133.0,2.0
5.0,2.0,0.0,0.0,1796.8,0.0,0.0,0.0
6.0,5.0,0.0,34.0,1830.9,0.0,0.0,0.0
7.0,6.0,0.0,63.0,1860.8,0.0,0.0,0.0
7.0,7.0,0.0,97.0,1894.7,0.0,0.0,0.0
8.0,7.0,0.0,132.0,1929.7,0.0,0.0,0.0
9.0,8.0,0.0,157.0,1954.6,0.0,0.0,0.0
9.0,9.0,0.0,193.0,1989.8,0.0,0.0,0.0
10.0,9.0,0.0,220.0,2017.8,0.0,0.0,0.0
11.0,10.0,1.0,252.0,2049.1,2049.1,138.0,1.0
14.0,11.0,0.0,0.0,2198.9,0.0,0.0,0.0
