X,Y,Z,Rx,Ry,Rz
958.651,21.305,-165.467,175.9839,17.8925,58.694
958.662,21.258,-165.459,175.9827,17.8923,58.693
958.657,21.229,-165.459,175.9835,17.8921,58.6928
958.657,21.182,-165.469,175.9831,17.8927,58.6941
958.653,21.142,-165.469,175.9839,17.8925,58.6932
958.663,21.106,-165.462,175.9828,17.8923,58.6928
958.659,21.065,-165.462,175.983,17.8923,58.6938
958.654,21.021,-165.462,175.9835,17.8927,58.6936
958.664,20.977,-165.464,175.9828,17.8924,58.6941
958.654,20.752,-165.468,175.9842,17.8926,58.6933
958.657,20.708,-165.467,175.9834,17.8923,58.6938
958.652,20.664,-165.468,175.9839,17.8927,58.6935
958.664,20.62,-165.46,175.9825,17.8921,58.6938
958.658,20.576,-165.46,175.983,17.8925,58.6935
958.651,20.547,-165.471,175.9845,17.8926,58.6935
958.663,20.488,-165.463,175.9827,17.8926,58.6937
958.658,20.459,-165.463,175.9836,17.8924,58.6934
958.66,20.412,-165.463,175.9825,17.8927,58.6946
958.661,20.178,-165.458,175.9835,17.892,58.6923
958.663,20.131,-165.458,175.9824,17.8923,58.6934
958.658,20.09,-165.458,175.9832,17.892,58.6925
958.651,20.045,-165.47,175.9839,17.893,58.6944
958.663,20.002,-165.461,175.983,17.8922,58.6927
958.659,19.961,-165.461,175.9833,17.8921,58.6937
958.653,19.917,-165.462,175.9838,17.8925,58.6934
958.656,19.874,-165.461,175.983,17.8922,58.6939
958.657,19.84,-165.465,175.9836,17.8926,58.6943
958.656,19.589,-165.468,175.9833,17.8928,58.6936
958.661,19.548,-165.46,175.983,17.8924,58.6944
958.662,19.512,-165.46,175.9824,17.8925,58.6943
958.658,19.46,-165.46,175.9832,17.8923,58.6927
958.653,19.431,-165.46,175.9835,17.8922,58.6944
958.662,19.384,-165.463,175.983,17.8924,58.6936
958.658,19.331,-165.463,175.9833,17.8923,58.6939
958.659,19.296,-165.463,175.9827,17.8925,58.6937
958.655,19.255,-165.463,175.983,17.8924,58.6948
958.655,19.006,-165.459,175.9832,17.8925,58.6944
958.655,18.963,-165.469,175.9837,17.8924,58.6931
958.66,18.906,-165.462,175.9829,17.8926,58.6939
958.655,18.877,-165.462,175.9838,17.8924,58.6936
958.658,18.822,-165.461,175.983,17.8921,58.6934
958.652,18.79,-165.462,175.9835,17.8925,58.6938
958.662,18.746,-165.464,175.9833,17.892,58.6924
958.657,18.702,-165.465,175.9833,17.8926,58.694
958.657,18.452,-165.461,175.9834,17.8926,58.6937
958.659,18.409,-165.46,175.9832,17.8922,58.6922
958.655,18.38,-165.46,175.9835,17.8921,58.6939
958.663,18.321,-165.463,175.983,17.8923,58.6924
958.659,18.292,-165.463,175.9833,17.8922,58.6941
958.653,18.247,-165.464,175.9837,17.8926,58.6938
958.656,18.204,-165.463,175.9835,17.8921,58.6923
958.66,18.159,-165.456,175.9828,17.8923,58.6938
958.66,18.116,-165.466,175.9833,17.8923,58.6925
958.661,17.843,-165.462,175.9829,17.8924,58.6928
958.657,17.803,-165.462,175.9832,17.8924,58.6938
958.651,17.77,-165.462,175.9837,17.8928,58.6942
958.663,17.726,-165.454,175.9828,17.892,58.6925
958.655,17.682,-165.465,175.9835,17.8929,58.6944
958.657,17.65,-165.464,175.9833,17.8924,58.6936
958.653,17.61,-165.465,175.9841,17.8922,58.6926
958.657,17.565,-165.457,175.9833,17.8924,58.6941
958.654,17.313,-165.46,175.9831,17.8925,58.6934
958.657,17.284,-165.463,175.984,17.8924,58.6932
958.659,17.225,-165.463,175.9829,17.8926,58.6936
958.654,17.196,-165.463,175.9837,17.8924,58.6934
958.65,17.144,-165.463,175.984,17.8924,58.6937
958.661,17.096,-165.455,175.9823,17.8923,58.6946
958.654,17.056,-165.466,175.9838,17.8925,58.6939
958.655,17.021,-165.466,175.9832,17.8926,58.6938
958.66,16.98,-165.458,175.9834,17.8921,58.6926
958.651,16.719,-165.462,175.9836,17.8926,58.6937
958.661,16.663,-165.464,175.983,17.8923,58.6935
958.655,16.619,-165.465,175.9834,17.8927,58.6932
958.651,16.578,-165.465,175.9837,17.8926,58.6942
958.663,16.535,-165.456,175.9829,17.8918,58.6925
958.657,16.502,-165.457,175.9833,17.8922,58.693
958.657,16.459,-165.467,175.9833,17.8923,58.6936
958.651,16.414,-165.468,175.9838,17.8927,58.6934
958.656,16.373,-165.46,175.9834,17.8923,58.6942
958.663,16.121,-165.455,175.9825,17.8921,58.6933
