X,Y,Z,Rx,Ry,Rz,Time
957.216,-27.381,-165.163,175.9831,17.9037,58.685,0.0
957.216,-27.445,-165.163,175.9831,17.9037,58.685,0.04
957.217,-27.509,-165.163,175.9831,17.9037,58.685,0.08
957.217,-27.573,-165.164,175.9831,17.9037,58.685,0.12
957.217,-27.637,-165.164,175.9831,17.9037,58.685,0.16
957.218,-27.7,-165.164,175.9831,17.9037,58.685,0.2
957.218,-27.764,-165.164,175.9831,17.9037,58.685,0.24
957.219,-27.828,-165.165,175.9831,17.9037,58.685,0.28
957.219,-27.892,-165.165,175.9831,17.9037,58.685,0.32
957.219,-27.956,-165.165,175.9831,17.9037,58.685,0.36
957.22,-28.02,-165.165,175.9831,17.9037,58.685,0.4
957.22,-28.084,-165.166,175.9831,17.9037,58.685,0.44
957.22,-28.148,-165.166,175.9831,17.9037,58.685,0.48
957.221,-28.211,-165.166,175.9831,17.9037,58.685,0.52
957.221,-28.275,-165.166,175.9831,17.9037,58.685,0.56
957.222,-28.339,-165.166,175.9831,17.9037,58.685,0.6
957.222,-28.403,-165.167,175.9831,17.9037,58.685,0.64
957.222,-28.467,-165.167,175.9831,17.9037,58.685,0.68
957.223,-28.531,-165.167,175.9831,17.9037,58.685,0.72
957.223,-28.595,-165.167,175.9831,17.9037,58.685,0.76
957.223,-28.659,-165.168,175.9831,17.9037,58.685,0.8
957.224,-28.722,-165.168,175.9831,17.9037,58.685,0.84
957.224,-28.786,-165.168,175.9831,17.9037,58.685,0.88
957.225,-28.85,-165.168,175.9831,17.9037,58.685,0.92
957.225,-28.914,-165.169,175.9831,17.9037,58.685,0.96
957.225,-28.978,-165.169,175.9831,17.9037,58.685,1.0
957.226,-29.042,-165.169,175.9831,17.9037,58.685,1.04
957.226,-29.106,-165.169,175.9831,17.9037,58.685,1.08
957.226,-29.17,-165.17,175.9831,17.9037,58.685,1.12
957.227,-29.234,-165.17,175.9831,17.9037,58.685,1.16
957.227,-29.297,-165.17,175.9831,17.9037,58.685,1.2
957.228,-29.361,-165.17,175.9831,17.9037,58.685,1.24
957.228,-29.425,-165.17,175.9831,17.9037,58.685,1.28
957.228,-29.489,-165.171,175.9831,17.9037,58.685,1.32
957.229,-29.553,-165.171,175.9831,17.9037,58.685,1.36
957.229,-29.617,-165.171,175.9831,17.9037,58.685,1.4000000000000001
957.229,-29.681,-165.171,175.9831,17.9037,58.685,1.44
957.23,-29.745,-165.172,175.9831,17.9037,58.685,1.48
957.23,-29.808,-165.172,175.9831,17.9037,58.685,1.52
957.231,-29.872,-165.172,175.9831,17.9037,58.685,1.56
957.231,-29.936,-165.172,175.9831,17.9037,58.685,1.6
957.231,-30.0,-165.173,175.9831,17.9037,58.685,1.6400000000000001
957.232,-30.064,-165.173,175.9831,17.9037,58.685,1.68
957.232,-30.128,-165.173,175.9831,17.9037,58.685,1.72
957.232,-30.192,-165.173,175.9831,17.9037,58.685,1.76
957.233,-30.256,-165.173,175.9831,17.9037,58.685,1.8
957.233,-30.319,-165.174,175.9831,17.9037,58.685,1.84
957.234,-30.383,-165.174,175.9831,17.9037,58.685,1.8800000000000001
957.234,-30.447,-165.174,175.9831,17.9037,58.685,1.92
957.234,-30.511,-165.174,175.9831,17.9037,58.685,1.96
957.235,-30.575,-165.175,175.9831,17.9037,58.685,2.0
957.235,-30.639,-165.175,175.9831,17.9037,58.685,2.04
957.235,-30.703,-165.175,175.9831,17.9037,58.685,2.08
957.236,-30.767,-165.175,175.9831,17.9037,58.685,2.12
957.236,-30.831,-165.176,175.9831,17.9037,58.685,2.16
957.237,-30.894,-165.176,175.9831,17.9037,58.685,2.2
957.237,-30.958,-165.176,175.9831,17.9037,58.685,2.24
957.237,-31.022,-165.176,175.9831,17.9037,58.685,2.2800000000000002
957.238,-31.086,-165.176,175.9831,17.9037,58.685,2.32
957.238,-31.15,-165.177,175.9831,17.9037,58.685,2.36
957.238,-31.214,-165.177,175.9831,17.9037,58.685,2.4
957.239,-31.278,-165.177,175.9831,17.9037,58.685,2.44
957.239,-31.342,-165.177,175.9831,17.9037,58.685,2.48
957.24,-31.405,-165.178,175.9831,17.9037,58.685,2.52
957.24,-31.469,-165.178,175.9831,17.9037,58.685,2.56
957.24,-31.533,-165.178,175.9831,17.9037,58.685,2.6
957.241,-31.597,-165.178,175.9831,17.9037,58.685,2.64
957.241,-31.661,-165.179,175.9831,17.9037,58.685,2.68
957.241,-31.725,-165.179,175.9831,17.9037,58.685,2.72
957.242,-31.789,-165.179,175.9831,17.9037,58.685,2.7600000000000002
957.242,-31.853,-165.179,175.9831,17.9037,58.685,2.8000000000000003
957.243,-31.917,-165.18,175.9831,17.9037,58.685,2.84
957.243,-31.98,-165.18,175.9831,17.9037,58.685,2.88
957.243,-32.044,-165.18,175.9831,17.9037,58.685,2.92
957.244,-32.108,-165.18,175.9831,17.9037,58.685,2.96
957.244,-32.172,-165.18,175.9831,17.9037,58.685,3.0
