I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
2.0,2.0,0.0,22996.0,157.1,0.0,0.0,0.0
2.0,2.0,0.0,23028.0,189.4,0.0,0.0,0.0
2.0,2.0,0.0,23056.0,217.2,0.0,0.0,0.0
2.0,2.0,0.0,23086.0,247.4,0.0,0.0,0.0
2.0,2.0,0.0,23116.0,276.9,0.0,0.0,0.0
3.0,2.0,0.0,23146.0,307.1,0.0,0.0,0.0
3.0,3.0,0.0,23176.0,337.5,0.0,0.0,0.0
4.0,3.0,0.0,23206.0,367.4,0.0,0.0,0.0
5.0,4.0,0.0,23236.0,397.2,0.0,0.0,0.0
5.0,5.0,0.0,23266.0,427.7,0.0,0.0,0.0
6.0,5.0,0.0,23301.0,462.1,0.0,0.0,0.0
7.0,6.0,0.0,23330.0,491.7,0.0,0.0,0.0
7.0,7.0,0.0,23361.0,522.0,0.0,0.0,0.0
8.0,7.0,0.0,23391.0,552.2,0.0,0.0,0.0
9.0,8.0,0.0,23421.0,582.6,0.0,0.0,0.0
9.0,9.0,0.0,23455.0,616.3,0.0,0.0,0.0
10.0,9.0,0.0,23490.0,651.4,0.0,0.0,0.0
11.0,10.0,1.0,23520.0,681.6,681.6,137.0,1.0
14.0,11.0,0.0,0.0,828.3,0.0,0.0,0.0
14.0,14.0,0.0,24.0,853.3,0.0,0.0,0.0
15.0,14.0,0.0,57.0,886.1,0.0,0.0,0.0
16.0,15.0,0.0,91.0,919.5,0.0,0.0,0.0
16.0,16.0,0.0,121.0,949.4,0.0,0.0,0.0
17.0,16.0,0.0,151.0,980.2,0.0,0.0,0.0
18.0,17.0,0.0,182.0,1011.0,0.0,0.0,0.0
18.0,18.0,0.0,212.0,1041.0,0.0,0.0,0.0
19.0,18.0,0.0,243.0,1071.3,0.0,0.0,0.0
2.0,19.0,1.0,275.0,1103.9,1103.9,139.0,2.0
5.0,2.0,0.0,0.0,1253.1,0.0,0.0,0.0
6.0,5.0,0.0,30.0,1283.7,0.0,0.0,0.0
6.0,6.0,0.0,60.0,1313.5,0.0,0.0,0.0
7.0,6.0,0.0,90.0,1343.9,0.0,0.0,0.0
8.0,7.0,0.0,120.0,1373.9,0.0,0.0,0.0
8.0,8.0,0.0,150.0,1404.1,0.0,0.0,0.0
9.0,8.0,0.0,180.0,1434.1,0.0,0.0,0.0
10.0,9.0,0.0,210.0,1464.1,0.0,0.0,0.0
10.0,10.0,0.0,243.0,1496.3,0.0,0.0,0.0
11.0,10.0,1.0,273.0,1526.4,1526.4,151.0,1.0
14.0,11.0,0.0,0.0,1687.5,0.0,0.0,0.0
15.0,14.0,0.0,30.0,1718.0,0.0,0.0,0.0
16.0,15.0,0.0,63.0,1750.9,0.0,0.0,0.0
16.0,16.0,0.0,90.0,1777.9,0.0,0.0,0.0
17.0,16.0,0.0,122.0,1810.2,0.0,0.0,0.0
18.0,17.0,0.0,152.0,1840.1,0.0,0.0,0.0
18.0,18.0,0.0,182.0,1869.9,0.0,0.0,0.0
19.0,18.0,0.0,212.0,1899.9,0.0,0.0,0.0
2.0,19.0,1.0,244.0,1932.2,1932.2,158.0,2.0
5.0,2.0,0.0,0.0,2103.2,0.0,0.0,0.0
6.0,5.0,0.0,28.0,2132.0,0.0,0.0,0.0
7.0,6.0,0.0,58.0,2161.2,0.0,0.0,0.0
7.0,7.0,0.0,87.0,2191.0,0.0,0.0,0.0
8.0,7.0,0.0,120.0,2223.4,0.0,0.0,0.0
9.0,8.0,0.0,150.0,2253.5,0.0,0.0,0.0
9.0,9.0,0.0,184.0,2288.2,0.0,0.0,0.0
10.0,9.0,0.0,215.0,2318.2,0.0,0.0,0.0
11.0,10.0,1.0,245.0,2348.4,2348.4,138.0,1.0
14.0,11.0,0.0,0.0,2499.2,0.0,0.0,0.0
14.0,14.0,0.0,32.0,2531.6,0.0,0.0,0.0
