S,L,U,R,B,T
-0.040345889596995706,0.2634804151098842,-0.5771939233372615,-0.3241431038060334,-0.5795744024319172,1.3414827744130555
-0.040417304742819245,0.26348571045604535,-0.5771872796288569,-0.32415801405632005,-0.5795917696123755,1.341564293759321
-0.04048899971643299,0.2634902551766431,-0.5771814986061211,-0.3241732371103325,-0.5796081754594501,1.341646335312773
-0.040560695135042305,0.26349480400299563,-0.5771757119957478,-0.32418845753270875,-0.5796245804220612,1.3417283745833133
-0.04063239005398399,0.2634993594702142,-0.5771699168788547,-0.3242036742555924,-0.5796409877414518,1.3418104097962993
-0.040704084469337154,0.26350392158672636,-0.5771641132456525,-0.32421888727529485,-0.5796573974283031,1.341892440944947
-0.04077577838035924,0.263508490352473,-0.5771583010961306,-0.3242340965917297,-0.5796738094823942,1.3419744680284527
-0.040847471786318555,0.263513065767367,-0.5771524804303112,-0.3242493022048231,-0.579690223903467,1.342056491046032
-0.040919164686483454,0.26351764783131953,-0.5771466512482173,-0.32426450411450164,-0.5797066406912629,1.3421385099969017
-0.04099085708012229,0.26352223654424306,-0.5771408135498718,-0.3242797023206918,-0.579723059845524,1.3422205248802785
-0.041062548966503486,0.2635268319060488,-0.5771349673352973,-0.3242948968233203,-0.5797394813659923,1.3423025356953788
-0.0411342403448955,0.2635314339166488,-0.5771291126045163,-0.32431008762231384,-0.5797559052524102,1.3423845424414194
-0.04120593121456672,0.26353604257595414,-0.5771232493575524,-0.32432527471759975,-0.5797723315045191,1.342466545117618
-0.041277621574785726,0.26354065788387643,-0.5771173775944275,-0.32434045810910506,-0.5797887601220623,1.3425485437231914
-0.041349311424821046,0.2635452798403267,-0.5771114973151655,-0.3243556377967574,-0.579805191104781,1.3426305382573576
-0.04142100076394121,0.2635499084452163,-0.5771056085197883,-0.324370813780484,-0.5798216244524186,1.3427125287193336
-0.04149268959141482,0.26355454369845593,-0.5770997112083198,-0.3243859860602128,-0.579838060164717,1.3427945151083376
-0.041564377906510484,0.26355918559995706,-0.577093805380782,-0.3244011546358718,-0.5798544982414189,1.3428764974235876
-0.04163606570849694,0.26356383414962936,-0.5770878910371993,-0.32441631950738903,-0.5798709386822669,1.342958475664302
-0.04170775299664279,0.26356848934738414,-0.5770819681775934,-0.3244314806746924,-0.5798873814870045,1.3430404498296984
-0.04177943977021679,0.26357315119313174,-0.577076036801988,-0.3244466381377108,-0.5799038266553733,1.3431224199189962
-0.041851126028487694,0.26357781968678246,-0.5770700969104063,-0.3244617918963725,-0.5799202741871173,1.3432043859314138
-0.04192281177072427,0.26358249482824647,-0.5770641485028712,-0.32447694195060645,-0.5799367240819789,1.3432863478661698
-0.04199449699619537,0.26358717661743425,-0.5770581915794062,-0.3244920883003415,-0.5799531763397013,1.3433683057224843
-0.042066181704169765,0.2635918650542555,-0.5770522261400338,-0.32450723094550654,-0.579969630960028,1.3434502594995752
-0.04213786589391643,0.26359656013861954,-0.5770462521847785,-0.3245223698860311,-0.5799860879427019,1.3435322091966628
-0.04220954956470422,0.2636012618704369,-0.5770402697136623,-0.3245375051218446,-0.5800025472874666,1.3436141548129665
-0.042281232715802086,0.26360597024961624,-0.57703427872671,-0.32455263665287637,-0.5800190089940652,1.343696096347706
-0.04235291534647903,0.2636106852760684,-0.5770282792239432,-0.3245677644790566,-0.5800354730622415,1.3437780338001017
-0.042424597456004,0.26361540694970176,-0.5770222712053861,-0.32458288860031476,-0.5800519394917393,1.3438599671693732
