X,Y,Z,Rx,Ry,Rz
959.371,-40.501,-165.134,175.9928,17.9178,58.6745
959.373,-40.751,-165.134,175.9928,17.9178,58.6745
959.375,-41.001,-165.134,175.9928,17.9178,58.6745
959.377,-41.251,-165.134,175.9928,17.9178,58.6745
959.379,-41.5,-165.134,175.9928,17.9178,58.6745
959.381,-41.75,-165.134,175.9928,17.9178,58.6745
959.383,-42.0,-165.134,175.9928,17.9178,58.6745
959.385,-42.25,-165.135,175.9928,17.9178,58.6745
959.387,-42.5,-165.135,175.9928,17.9178,58.6745
959.389,-42.75,-165.135,175.9928,17.9178,58.6745
959.391,-43.0,-165.135,175.9928,17.9178,58.6745
959.393,-43.249,-165.135,175.9928,17.9178,58.6745
959.395,-43.499,-165.135,175.9928,17.9178,58.6745
959.397,-43.749,-165.135,175.9928,17.9178,58.6745
959.4,-43.999,-165.135,175.9928,17.9178,58.6745
959.402,-44.249,-165.135,175.9928,17.9178,58.6745
959.404,-44.499,-165.135,175.9928,17.9178,58.6745
959.406,-44.749,-165.135,175.9928,17.9178,58.6745
959.408,-44.999,-165.135,175.9928,17.9178,58.6745
959.41,-45.248,-165.136,175.9928,17.9178,58.6745
959.412,-45.498,-165.136,175.9928,17.9178,58.6745
959.414,-45.748,-165.136,175.9928,17.9178,58.6745
959.416,-45.998,-165.136,175.9928,17.9178,58.6745
959.418,-46.248,-165.136,175.9928,17.9178,58.6745
959.42,-46.498,-165.136,175.9928,17.9178,58.6745
959.422,-46.748,-165.136,175.9928,17.9178,58.6745
959.424,-46.997,-165.136,175.9928,17.9178,58.6745
959.426,-47.247,-165.136,175.9928,17.9178,58.6745
959.428,-47.497,-165.136,175.9928,17.9178,58.6745
959.43,-47.747,-165.136,175.9928,17.9178,58.6745
959.432,-47.997,-165.136,175.9928,17.9178,58.6745
959.434,-48.247,-165.136,175.9928,17.9178,58.6745
959.436,-48.497,-165.137,175.9928,17.9178,58.6745
959.438,-48.746,-165.137,175.9928,17.9178,58.6745
959.44,-48.996,-165.137,175.9928,17.9178,58.6745
959.442,-49.246,-165.137,175.9928,17.9178,58.6745
959.444,-49.496,-165.137,175.9928,17.9178,58.6745
959.446,-49.746,-165.137,175.9928,17.9178,58.6745
959.448,-49.996,-165.137,175.9928,17.9178,58.6745
959.45,-50.246,-165.137,175.9928,17.9178,58.6745
959.452,-50.495,-165.137,175.9928,17.9178,58.6745
959.454,-50.745,-165.137,175.9928,17.9178,58.6745
959.456,-50.995,-165.137,175.9928,17.9178,58.6745
959.459,-51.245,-165.137,175.9928,17.9178,58.6745
959.461,-51.495,-165.138,175.9928,17.9178,58.6745
959.463,-51.745,-165.138,175.9928,17.9178,58.6745
959.465,-51.995,-165.138,175.9928,17.9178,58.6745
959.467,-52.244,-165.138,175.9928,17.9178,58.6745
959.469,-52.494,-165.138,175.9928,17.9178,58.6745
