X,Y,Z,Rx,Ry,Rz
958.846,21.476,-165.125,175.9936,17.9183,58.6744
958.846,21.476,-165.125,175.9936,17.9183,58.6744
958.846,21.476,-165.125,175.9936,17.9183,58.6744
958.846,21.476,-165.125,175.9936,17.9183,58.6744
958.846,21.476,-165.125,175.9936,17.9183,58.6744
958.851,21.446,-165.117,175.9932,17.9179,58.6759
958.85,21.399,-165.128,175.9934,17.9184,58.6753
958.845,21.371,-165.128,175.9942,17.9182,58.675
958.841,21.314,-165.129,175.9941,17.9188,58.676
958.852,21.282,-165.12,175.9933,17.918,58.675
958.847,21.237,-165.121,175.9932,17.9185,58.6767
958.848,21.195,-165.131,175.9937,17.9184,58.6754
958.851,21.161,-165.124,175.9935,17.9185,58.6756
958.847,21.121,-165.124,175.9938,17.9184,58.6766
958.849,21.078,-165.123,175.9936,17.918,58.6751
958.852,21.009,-165.127,175.9936,17.9186,58.6754
958.854,20.978,-165.126,175.9934,17.9181,58.6746
958.85,20.937,-165.126,175.9937,17.918,58.6756
958.851,20.699,-165.122,175.9938,17.9181,58.676
958.85,20.664,-165.133,175.994,17.9186,58.6761
958.855,20.611,-165.125,175.9936,17.9182,58.6762
958.85,20.566,-165.126,175.9941,17.9186,58.6759
958.853,20.523,-165.125,175.9933,17.9183,58.6764
958.855,20.482,-165.128,175.9942,17.9181,58.6755
958.857,20.436,-165.128,175.9937,17.9183,58.6746
958.852,20.395,-165.128,175.9939,17.9182,58.6756
958.856,20.35,-165.121,175.9938,17.9183,58.6751
958.862,20.098,-165.126,175.9931,17.9186,58.6764
958.858,20.057,-165.127,175.9939,17.9184,58.6755
958.86,20.026,-165.126,175.9937,17.9179,58.6747
958.864,19.969,-165.119,175.993,17.9181,58.6755
958.859,19.94,-165.119,175.9938,17.9179,58.6752
958.859,19.893,-165.129,175.9934,17.9186,58.6766
958.854,19.852,-165.129,175.9942,17.9184,58.6756
958.865,19.817,-165.122,175.993,17.9182,58.6753
958.861,19.764,-165.122,175.9933,17.9181,58.6756
958.86,19.503,-165.128,175.9936,17.9187,58.6768
958.855,19.462,-165.128,175.9944,17.9185,58.6758
958.867,19.415,-165.12,175.9927,17.9184,58.6767
958.86,19.374,-165.131,175.9942,17.9186,58.676
958.862,19.331,-165.13,175.994,17.9181,58.6745
958.866,19.298,-165.123,175.9933,17.9183,58.6767
958.868,19.266,-165.123,175.9931,17.9179,58.6759
958.863,19.21,-165.123,175.9936,17.9183,58.6749
958.863,18.941,-165.129,175.9943,17.9182,58.6747
958.867,18.896,-165.122,175.9935,17.9184,58.6762
958.869,18.865,-165.121,175.9933,17.918,58.6754
958.862,18.82,-165.133,175.994,17.9189,58.6773
958.874,18.777,-165.124,175.9931,17.9181,58.6756
958.87,18.724,-165.124,175.9934,17.918,58.6759
958.864,18.679,-165.125,175.9939,17.9184,58.6756
958.874,18.636,-165.127,175.9932,17.9181,58.6761
958.874,18.386,-165.123,175.9933,17.9182,58.6758
958.876,18.351,-165.123,175.9928,17.9183,58.6756
958.869,18.31,-165.134,175.9938,17.9186,58.6769
958.874,18.269,-165.126,175.9939,17.9181,58.6757
958.875,18.223,-165.126,175.9934,17.9182,58.6749
958.871,18.182,-165.126,175.9937,17.9182,58.6759
958.874,18.148,-165.119,175.9935,17.9182,58.6761
958.875,18.094,-165.129,175.9935,17.9183,58.6761
958.869,18.061,-165.13,175.9939,17.9187,58.6765
958.879,17.78,-165.128,175.994,17.9183,58.6754
958.88,17.732,-165.128,175.9929,17.9186,58.6765
958.875,17.704,-165.128,175.9937,17.9184,58.6763
958.88,17.651,-165.12,175.9938,17.9178,58.6744
958.882,17.615,-165.12,175.9928,17.9181,58.6763
958.875,17.575,-165.131,175.9943,17.9183,58.6755
958.885,17.539,-165.123,175.9931,17.9181,58.6752
958.881,17.487,-165.123,175.9934,17.918,58.6755
958.879,17.249,-165.129,175.9942,17.9184,58.6761
958.882,17.194,-165.128,175.9935,17.9181,58.6759
958.886,17.149,-165.121,175.9933,17.9182,58.6754
958.881,17.108,-165.121,175.9936,17.9181,58.6764
958.88,17.062,-165.132,175.9937,17.9186,58.6758
958.885,17.021,-165.124,175.9939,17.9181,58.6746
958.887,16.973,-165.124,175.9928,17.9184,58.6758
958.882,16.944,-165.124,175.9936,17.9182,58.6755
958.884,16.899,-165.128,175.9936,17.9187,58.6772
958.892,16.64,-165.122,175.9931,17.9179,58.675
958.886,16.607,-165.123,175.9936,17.9183,58.6754
958.879,16.554,-165.134,175.9946,17.9186,58.6759
958.89,16.507,-165.126,175.9934,17.9184,58.6749
958.886,16.466,-165.126,175.9936,17.9183,58.6759
958.896,16.431,-165.118,175.9924,17.9181,58.6756
958.89,16.378,-165.129,175.9934,17.9185,58.6761
958.885,16.349,-165.129,175.9942,17.9182,58.6758
958.896,16.302,-165.121,175.9931,17.918,58.6748
958.893,16.052,-165.128,175.9934,17.9186,58.6766
958.889,16.012,-165.128,175.9942,17.9184,58.6757
958.89,15.977,-165.128,175.9936,17.9185,58.6756
958.895,15.935,-165.12,175.9933,17.9181,58.6764
958.894,15.888,-165.131,175.9934,17.9186,58.6758
958.89,15.848,-165.131,175.9937,17.9186,58.6768
958.894,15.807,-165.123,175.9939,17.918,58.6756
958.895,15.76,-165.123,175.9933,17.9182,58.6748
958.889,15.731,-165.134,175.9943,17.9185,58.6767
958.895,15.479,-165.129,175.9934,17.9182,58.6758
958.899,15.434,-165.121,175.9933,17.9183,58.6754
958.891,15.405,-165.132,175.9948,17.9185,58.6753
958.893,15.358,-165.132,175.9937,17.9187,58.6765
958.898,15.305,-165.124,175.9933,17.9183,58.6766
958.899,15.27,-165.124,175.9928,17.9185,58.6764
958.895,15.229,-165.124,175.9936,17.9183,58.6755
958.897,15.188,-165.127,175.9945,17.9181,58.6746
958.903,14.96,-165.122,175.9936,17.9179,58.6751
958.895,14.915,-165.134,175.9942,17.9188,58.677
958.898,14.872,-165.133,175.994,17.9183,58.6755
958.902,14.815,-165.126,175.9933,17.9185,58.6763
958.897,14.786,-165.126,175.9941,17.9183,58.676
958.906,14.727,-165.129,175.9931,17.9186,58.6765
958.901,14.687,-165.129,175.9939,17.9184,58.6755
958.904,14.644,-165.128,175.9932,17.9181,58.676
958.907,14.599,-165.121,175.993,17.9181,58.6755
958.904,14.349,-165.128,175.9939,17.9185,58.6754
958.9,14.308,-165.128,175.9941,17.9185,58.6764
958.911,14.265,-165.119,175.9933,17.9177,58.6747
958.904,14.209,-165.131,175.9939,17.9186,58.6759
958.906,14.177,-165.13,175.9937,17.9181,58.6751
958.91,14.132,-165.123,175.993,17.9183,58.6766
958.903,14.092,-165.133,175.9945,17.9185,58.6758
958.913,14.056,-165.126,175.9933,17.9183,58.6755
958.909,14.004,-165.126,175.9936,17.9182,58.6758
958.912,13.763,-165.131,175.9934,17.9183,58.6759
958.906,13.73,-165.132,175.9939,17.9187,58.6763
958.911,13.689,-165.124,175.9941,17.9182,58.6751
958.912,13.642,-165.124,175.993,17.9185,58.6763
958.905,13.602,-165.135,175.9945,17.9186,58.6755
958.916,13.566,-165.127,175.9933,17.9184,58.6752
958.912,13.502,-165.127,175.9936,17.9184,58.6748
958.916,13.461,-165.119,175.9932,17.918,58.6756
958.915,13.426,-165.13,175.9934,17.9185,58.6757
958.914,13.176,-165.126,175.9935,17.9185,58.6754
958.917,13.135,-165.129,175.9939,17.9184,58.6764
958.919,13.092,-165.128,175.9937,17.918,58.6749
958.913,13.059,-165.129,175.9941,17.9184,58.6753
958.925,13.016,-165.12,175.9927,17.9177,58.6756
958.917,12.971,-165.132,175.9939,17.9185,58.6755
958.912,12.93,-165.132,175.9942,17.9184,58.6765
958.923,12.883,-165.124,175.993,17.9182,58.6755
958.921,12.614,-165.13,175.9937,17.9181,58.6753
958.915,12.581,-165.13,175.9941,17.9185,58.6757
958.926,12.538,-165.122,175.9933,17.9177,58.674
958.919,12.493,-165.133,175.9939,17.9186,58.6759
958.924,12.452,-165.125,175.9935,17.9182,58.6767
958.925,12.417,-165.125,175.993,17.9184,58.6766
958.92,12.365,-165.125,175.9938,17.9181,58.6749
958.928,12.329,-165.128,175.9933,17.9183,58.6748
958.924,12.276,-165.128,175.9936,17.9182,58.6751
958.922,12.05,-165.124,175.9937,17.9182,58.6762
958.921,12.015,-165.135,175.9939,17.9188,58.6763
958.926,11.962,-165.127,175.9935,17.9183,58.6764
958.921,11.922,-165.127,175.9943,17.9181,58.6754
958.931,11.874,-165.119,175.9931,17.9179,58.6744
958.923,11.853,-165.131,175.9943,17.9187,58.6757
958.925,11.798,-165.13,175.9936,17.9184,58.6755
958.93,11.746,-165.122,175.9932,17.918,58.6756
958.922,11.713,-165.134,175.9944,17.9187,58.6763
958.927,11.461,-165.129,175.9935,17.9185,58.6754
958.932,11.42,-165.121,175.9931,17.9181,58.6762
958.931,11.384,-165.131,175.9933,17.9186,58.6763
958.935,11.332,-165.124,175.9935,17.918,58.6744
958.931,11.291,-165.124,175.9937,17.918,58.6754
958.93,11.256,-165.134,175.9939,17.9185,58.6755
958.934,11.215,-165.127,175.9935,17.9181,58.6763
958.928,11.17,-165.127,175.994,17.9184,58.6761
958.931,11.127,-165.127,175.9938,17.918,58.6746
958.936,10.889,-165.125,175.994,17.918,58.6749
958.937,10.842,-165.125,175.9929,17.9183,58.6761
