X,Y,Z,Rx,Ry,Rz
960.54,21.413,-165.11,175.9929,17.9168,58.672
960.542,21.349,-165.11,175.9929,17.9168,58.672
960.543,21.285,-165.109,175.9929,17.9168,58.672
960.544,21.221,-165.109,175.9929,17.9168,58.672
960.546,21.157,-165.109,175.9929,17.9168,58.672
960.547,21.093,-165.109,175.9929,17.9168,58.672
960.549,21.029,-165.108,175.9929,17.9168,58.672
960.55,20.965,-165.108,175.9929,17.9168,58.672
960.551,20.901,-165.108,175.9929,17.9168,58.672
960.553,20.837,-165.108,175.9929,17.9168,58.672
960.554,20.773,-165.108,175.9929,17.9168,58.672
960.555,20.709,-165.107,175.9929,17.9168,58.672
960.557,20.646,-165.107,175.9929,17.9168,58.672
960.558,20.582,-165.107,175.9929,17.9168,58.672
960.559,20.518,-165.107,175.9929,17.9168,58.672
960.561,20.454,-165.106,175.9929,17.9168,58.672
960.562,20.39,-165.106,175.9929,17.9168,58.672
960.563,20.326,-165.106,175.9929,17.9168,58.672
960.565,20.262,-165.106,175.9929,17.9168,58.672
960.566,20.198,-165.106,175.9929,17.9168,58.672
960.568,20.134,-165.105,175.9929,17.9168,58.672
960.569,20.07,-165.105,175.9929,17.9168,58.672
960.57,20.006,-165.105,175.9929,17.9168,58.672
960.572,19.942,-165.105,175.9929,17.9168,58.672
960.573,19.878,-165.104,175.9929,17.9168,58.672
960.574,19.814,-165.104,175.9929,17.9168,58.672
960.576,19.75,-165.104,175.9929,17.9168,58.672
960.577,19.686,-165.104,175.9929,17.9168,58.672
960.578,19.622,-165.104,175.9929,17.9168,58.672
960.58,19.558,-165.103,175.9929,17.9168,58.672
960.581,19.494,-165.103,175.9929,17.9168,58.672
960.583,19.43,-165.103,175.9929,17.9168,58.672
960.584,19.366,-165.103,175.9929,17.9168,58.672
960.585,19.302,-165.102,175.9929,17.9168,58.672
960.587,19.238,-165.102,175.9929,17.9168,58.672
960.588,19.174,-165.102,175.9929,17.9168,58.672
960.589,19.11,-165.102,175.9929,17.9168,58.672
960.591,19.047,-165.102,175.9929,17.9168,58.672
960.592,18.983,-165.101,175.9929,17.9168,58.672
960.593,18.919,-165.101,175.9929,17.9168,58.672
960.595,18.855,-165.101,175.9929,17.9168,58.672
960.596,18.791,-165.101,175.9929,17.9168,58.672
960.597,18.727,-165.1,175.9929,17.9168,58.672
960.599,18.663,-165.1,175.9929,17.9168,58.672
960.6,18.599,-165.1,175.9929,17.9168,58.672
960.602,18.535,-165.1,175.9929,17.9168,58.672
960.603,18.471,-165.1,175.9929,17.9168,58.672
960.604,18.407,-165.099,175.9929,17.9168,58.672
960.606,18.343,-165.099,175.9929,17.9168,58.672
960.607,18.279,-165.099,175.9929,17.9168,58.672
960.608,18.215,-165.099,175.9929,17.9168,58.672
960.61,18.151,-165.098,175.9929,17.9168,58.672
960.611,18.087,-165.098,175.9929,17.9168,58.672
960.612,18.023,-165.098,175.9929,17.9168,58.672
960.614,17.959,-165.098,175.9929,17.9168,58.672
960.615,17.895,-165.098,175.9929,17.9168,58.672
960.617,17.831,-165.097,175.9929,17.9168,58.672
960.618,17.767,-165.097,175.9929,17.9168,58.672
960.619,17.703,-165.097,175.9929,17.9168,58.672
960.621,17.639,-165.097,175.9929,17.9168,58.672
960.622,17.575,-165.096,175.9929,17.9168,58.672
960.623,17.511,-165.096,175.9929,17.9168,58.672
960.625,17.448,-165.096,175.9929,17.9168,58.672
960.626,17.384,-165.096,175.9929,17.9168,58.672
960.627,17.32,-165.096,175.9929,17.9168,58.672
960.629,17.256,-165.095,175.9929,17.9168,58.672
960.63,17.192,-165.095,175.9929,17.9168,58.672
960.631,17.128,-165.095,175.9929,17.9168,58.672
960.633,17.064,-165.095,175.9929,17.9168,58.672
