S,L,U,R,B,T
-0.04038146732335818,0.262069464723754,-0.5792568594083587,-0.32414069518297595,-0.5789675064390758,1.341366517036377
-0.040452954692485874,0.2620753316767799,-0.5792499734280908,-0.3241562157005755,-0.578985706672326,1.3414487080869566
-0.04052472933707875,0.2620800050846556,-0.57924345786149,-0.3241711717807028,-0.5790026964018478,1.341530505948541
-0.040596504404975975,0.2620846811122797,-0.5792369350387968,-0.32418612224943955,-0.579019684389512,1.3416122983660035
-0.04066827892593919,0.2620893637856165,-0.5792304037001581,-0.32420106898758055,-0.5790366747110295,1.341694086642302
-0.040740052895958535,0.262094053118125,-0.5792238638413985,-0.32421601200140343,-0.5790536673798856,1.3417758707810559
-0.040811826314289805,0.26209874910975994,-0.57921731546253,-0.32423095129087676,-0.5790706623958677,1.3418576507815165
-0.040883599180199785,0.2621034517604298,-0.5792107585635787,-0.32424588685594774,-0.5790876597587179,1.3419394266429197
-0.04095537149295548,0.26210816107004253,-0.579204193144572,-0.3242608186965641,-0.5791046594681776,1.342021198364502
-0.04102714325182387,0.2621128770385059,-0.5791976192055365,-0.3242757468126735,-0.5791216615239884,1.3421029659455004
-0.04109891445607189,0.26211759966572945,-0.5791910367464972,-0.3242906712042238,-0.579138665925892,1.3421847293851517
-0.041170685104966596,0.2621223289516193,-0.5791844457674828,-0.324305591871163,-0.5791556726736301,1.3422664886826927
-0.04124245519777508,0.26212706489608395,-0.5791778462685185,-0.32432050881343927,-0.5791726817669451,1.3423482438373604
-0.04131422473376445,0.26213180749903103,-0.5791712382496319,-0.3243354220310013,-0.5791896932055784,1.3424299948483929
-0.04138599371220183,0.2621365567603684,-0.5791646217108486,-0.32435033152379733,-0.5792067069892725,1.3425117417150272
-0.04145776213235436,0.2621413126800024,-0.5791579966521968,-0.32436523729177613,-0.5792237231177693,1.3425934844365013
-0.04152952999348932,0.2621460752578416,-0.5791513630737017,-0.3243801393348867,-0.5792407415908111,1.342675223012053
-0.041601297294873885,0.26215084449379206,-0.5791447209753916,-0.32439503765307803,-0.5792577624081401,1.3427569574409206
-0.04167306403577533,0.2621556203877617,-0.5791380703572921,-0.3244099322462992,-0.5792747855694989,1.342838687722342
-0.041744830215461055,0.2621604029396564,-0.579131411219431,-0.3244248231144999,-0.5792918110746302,1.3429204138555564
-0.04181659583319829,0.26216519214938344,-0.5791247435618349,-0.32443971025762947,-0.5793088389232762,1.3430021358398017
-0.0418883608882545,0.26216998801684965,-0.5791180673845304,-0.3244545936756376,-0.5793258691151798,1.343083853674317
-0.041960125379897024,0.26217479054196124,-0.5791113826875448,-0.3244694733684743,-0.5793429016500836,1.3431655673583414
-0.04203188930739333,0.2621795997246249,-0.5791046894709045,-0.3244843493360895,-0.5793599365277308,1.343247276891114
-0.042103652670010996,0.26218441556474575,-0.5790979877346383,-0.32449922157843347,-0.579376973747864,1.3433289822718741
-0.042175415467017426,0.26218923806223116,-0.5790912774787714,-0.3245140900954567,-0.5793940133102263,1.3434106834998614
-0.042247177697680216,0.2621940672169873,-0.579084558703331,-0.3245289548871097,-0.5794110552145609,1.3434923805743155
-0.04231893936126696,0.2621989030289188,-0.5790778314083455,-0.32454381595334314,-0.5794280994606109,1.3435740734944763
-0.04239070045704528,0.26220374549793246,-0.579071095593841,-0.32455867329410804,-0.5794451460481196,1.3436557622595844
-0.042462460984282795,0.26220859462393337,-0.5790643512598452,-0.3245735269093553,-0.5794621949768303,1.3437374468688794
-0.04253422094224724,0.262213450406827,-0.5790575984063852,-0.3245883767990361,-0.579479246246487,1.3438191273216018
-0.042605980330206364,0.26221831284651886,-0.5790508370334881,-0.32460322296310207,-0.5794962998568324,1.3439008036169926
-0.042677739147427896,0.2622231819429139,-0.5790440671411821,-0.3246180654015048,-0.5795133558076104,1.3439824757542926
-0.042749497393179625,0.2622280576959182,-0.5790372887294926,-0.3246329041141957,-0.5795304140985652,1.3440641437327425
-0.042821255066729395,0.2622329401054357,-0.5790305017984486,-0.3246477391011268,-0.5795474747294402,1.3441458075515835
-0.04289301216734508,0.2622378291713718,-0.5790237063480768,-0.32466257036225016,-0.5795645376999795,1.344227467210057
-0.04296476869429459,0.26224272489363093,-0.5790169023784051,-0.3246773978975182,-0.5795816030099268,1.3443091227074047
-0.043036524646845827,0.2622476272721183,-0.5790100898894601,-0.3246922217068831,-0.5795986706590263,1.344390774042868
-0.04310828002426684,0.26225253630673734,-0.5790032688812704,-0.32470704179029747,-0.5796157406470223,1.344472421215689
-0.043180034825825574,0.26225745199739314,-0.5789964393538631,-0.32472185814771404,-0.5796328129736587,1.34455406422511
-0.04325178905079011,0.26226237434399025,-0.5789896013072647,-0.3247366707790857,-0.5796498876386805,1.3446357030703726
-0.043323542698428495,0.2622673033464322,-0.5789827547415044,-0.32475147968436574,-0.5796669646418312,1.34471733775072
-0.043395295768008865,0.2622722390046232,-0.5789758996566087,-0.3247662848635069,-0.5796840439828561,1.3447989682653942
-0.04346704825879941,0.26227718131846706,-0.5789690360526055,-0.32478108631646285,-0.5797011256614996,1.3448805946136382
