X,Y,Z,Rx,Ry,Rz,Time
957.758,21.441,-165.29,175.9951,17.9273,58.6604,0.0
957.759,21.377,-165.29,175.9951,17.9273,58.6604,0.04
957.76,21.313,-165.289,175.9951,17.9273,58.6604,0.08
957.76,21.249,-165.289,175.9951,17.9273,58.6604,0.12
957.761,21.185,-165.289,175.9951,17.9273,58.6604,0.16
957.762,21.121,-165.288,175.9951,17.9273,58.6604,0.2
957.763,21.057,-165.288,175.9951,17.9273,58.6604,0.24
957.764,20.993,-165.288,175.9951,17.9273,58.6604,0.28
957.765,20.929,-165.287,175.9951,17.9273,58.6604,0.32
957.765,20.865,-165.287,175.9951,17.9273,58.6604,0.36
957.766,20.802,-165.287,175.9951,17.9273,58.6604,0.4
957.767,20.738,-165.286,175.9951,17.9273,58.6604,0.44
957.768,20.674,-165.286,175.9951,17.9273,58.6604,0.48
957.769,20.61,-165.286,175.9951,17.9273,58.6604,0.52
957.769,20.546,-165.286,175.9951,17.9273,58.6604,0.56
957.77,20.482,-165.285,175.9951,17.9273,58.6604,0.6
957.771,20.418,-165.285,175.9951,17.9273,58.6604,0.64
957.772,20.354,-165.285,175.9951,17.9273,58.6604,0.68
957.773,20.29,-165.284,175.9951,17.9273,58.6604,0.72
957.773,20.226,-165.284,175.9951,17.9273,58.6604,0.76
957.774,20.162,-165.284,175.9951,17.9273,58.6604,0.8
957.775,20.098,-165.283,175.9951,17.9273,58.6604,0.84
957.776,20.034,-165.283,175.9951,17.9273,58.6604,0.88
957.777,19.97,-165.283,175.9951,17.9273,58.6604,0.92
957.778,19.906,-165.282,175.9951,17.9273,58.6604,0.96
957.778,19.842,-165.282,175.9951,17.9273,58.6604,1.0
957.779,19.778,-165.282,175.9951,17.9273,58.6604,1.04
957.78,19.714,-165.281,175.9951,17.9273,58.6604,1.08
957.781,19.651,-165.281,175.9951,17.9273,58.6604,1.12
957.782,19.587,-165.281,175.9951,17.9273,58.6604,1.16
957.782,19.523,-165.28,175.9951,17.9273,58.6604,1.2
957.783,19.459,-165.28,175.9951,17.9273,58.6604,1.24
957.784,19.395,-165.28,175.9951,17.9273,58.6604,1.28
957.785,19.331,-165.279,175.9951,17.9273,58.6604,1.32
957.786,19.267,-165.279,175.9951,17.9273,58.6604,1.36
957.787,19.203,-165.279,175.9951,17.9273,58.6604,1.4000000000000001
957.787,19.139,-165.279,175.9951,17.9273,58.6604,1.44
957.788,19.075,-165.278,175.9951,17.9273,58.6604,1.48
957.789,19.011,-165.278,175.9951,17.9273,58.6604,1.52
957.79,18.947,-165.278,175.9951,17.9273,58.6604,1.56
957.791,18.883,-165.277,175.9951,17.9273,58.6604,1.6
957.791,18.819,-165.277,175.9951,17.9273,58.6604,1.6400000000000001
957.792,18.755,-165.277,175.9951,17.9273,58.6604,1.68
957.793,18.691,-165.276,175.9951,17.9273,58.6604,1.72
957.794,18.627,-165.276,175.9951,17.9273,58.6604,1.76
957.795,18.563,-165.276,175.9951,17.9273,58.6604,1.8
957.796,18.499,-165.275,175.9951,17.9273,58.6604,1.84
957.796,18.436,-165.275,175.9951,17.9273,58.6604,1.8800000000000001
957.797,18.372,-165.275,175.9951,17.9273,58.6604,1.92
957.798,18.308,-165.274,175.9951,17.9273,58.6604,1.96
957.799,18.244,-165.274,175.9951,17.9273,58.6604,2.0
