X,Y,Z,Rx,Ry,Rz
958.697,-52.09,-164.927,175.9952,17.9268,58.6595
958.7,-52.34,-164.926,175.9952,17.9268,58.6595
958.703,-52.589,-164.924,175.9952,17.9268,58.6595
958.707,-52.839,-164.923,175.9952,17.9268,58.6595
958.71,-53.089,-164.922,175.9952,17.9268,58.6595
958.713,-53.339,-164.921,175.9952,17.9268,58.6595
958.716,-53.588,-164.919,175.9952,17.9268,58.6595
958.719,-53.838,-164.918,175.9952,17.9268,58.6595
958.722,-54.088,-164.917,175.9952,17.9268,58.6595
958.726,-54.337,-164.916,175.9952,17.9268,58.6595
958.729,-54.587,-164.914,175.9952,17.9268,58.6595
958.732,-54.837,-164.913,175.9952,17.9268,58.6595
958.735,-55.087,-164.912,175.9952,17.9268,58.6595
958.738,-55.336,-164.91,175.9952,17.9268,58.6595
958.742,-55.586,-164.909,175.9952,17.9268,58.6595
958.745,-55.836,-164.908,175.9952,17.9268,58.6595
958.748,-56.086,-164.907,175.9952,17.9268,58.6595
958.751,-56.335,-164.905,175.9952,17.9268,58.6595
958.754,-56.585,-164.904,175.9952,17.9268,58.6595
958.757,-56.835,-164.903,175.9952,17.9268,58.6595
958.761,-57.084,-164.902,175.9952,17.9268,58.6595
958.764,-57.334,-164.9,175.9952,17.9268,58.6595
958.767,-57.584,-164.899,175.9952,17.9268,58.6595
958.77,-57.834,-164.898,175.9952,17.9268,58.6595
958.773,-58.083,-164.897,175.9952,17.9268,58.6595
958.776,-58.333,-164.895,175.9952,17.9268,58.6595
958.78,-58.583,-164.894,175.9952,17.9268,58.6595
958.783,-58.832,-164.893,175.9952,17.9268,58.6595
958.786,-59.082,-164.891,175.9952,17.9268,58.6595
958.789,-59.332,-164.89,175.9952,17.9268,58.6595
958.792,-59.582,-164.889,175.9952,17.9268,58.6595
958.796,-59.831,-164.888,175.9952,17.9268,58.6595
958.799,-60.081,-164.886,175.9952,17.9268,58.6595
958.802,-60.331,-164.885,175.9952,17.9268,58.6595
958.805,-60.58,-164.884,175.9952,17.9268,58.6595
958.808,-60.83,-164.883,175.9952,17.9268,58.6595
958.811,-61.08,-164.881,175.9952,17.9268,58.6595
958.815,-61.33,-164.88,175.9952,17.9268,58.6595
958.818,-61.579,-164.879,175.9952,17.9268,58.6595
958.821,-61.829,-164.877,175.9952,17.9268,58.6595
958.824,-62.079,-164.876,175.9952,17.9268,58.6595
958.827,-62.328,-164.875,175.9952,17.9268,58.6595
958.831,-62.578,-164.874,175.9952,17.9268,58.6595
958.834,-62.828,-164.872,175.9952,17.9268,58.6595
958.837,-63.078,-164.871,175.9952,17.9268,58.6595
958.84,-63.327,-164.87,175.9952,17.9268,58.6595
958.843,-63.577,-164.869,175.9952,17.9268,58.6595
958.846,-63.827,-164.867,175.9952,17.9268,58.6595
958.85,-64.077,-164.866,175.9952,17.9268,58.6595
958.853,-64.326,-164.865,175.9952,17.9268,58.6595
958.856,-64.576,-164.864,175.9952,17.9268,58.6595
958.859,-64.826,-164.862,175.9952,17.9268,58.6595
958.862,-65.075,-164.861,175.9952,17.9268,58.6595
958.866,-65.325,-164.86,175.9952,17.9268,58.6595
958.869,-65.575,-164.858,175.9952,17.9268,58.6595
958.872,-65.825,-164.857,175.9952,17.9268,58.6595
958.875,-66.074,-164.856,175.9952,17.9268,58.6595
958.878,-66.324,-164.855,175.9952,17.9268,58.6595
958.881,-66.574,-164.853,175.9952,17.9268,58.6595
958.885,-66.823,-164.852,175.9952,17.9268,58.6595
958.888,-67.073,-164.851,175.9952,17.9268,58.6595
958.891,-67.323,-164.85,175.9952,17.9268,58.6595
958.894,-67.573,-164.848,175.9952,17.9268,58.6595
958.897,-67.822,-164.847,175.9952,17.9268,58.6595
958.901,-68.072,-164.846,175.9952,17.9268,58.6595
958.904,-68.322,-164.844,175.9952,17.9268,58.6595
958.907,-68.571,-164.843,175.9952,17.9268,58.6595
958.91,-68.821,-164.842,175.9952,17.9268,58.6595
958.913,-69.071,-164.841,175.9952,17.9268,58.6595
958.916,-69.321,-164.839,175.9952,17.9268,58.6595
958.92,-69.57,-164.838,175.9952,17.9268,58.6595
958.923,-69.82,-164.837,175.9952,17.9268,58.6595
958.926,-70.07,-164.836,175.9952,17.9268,58.6595
958.929,-70.319,-164.834,175.9952,17.9268,58.6595
958.932,-70.569,-164.833,175.9952,17.9268,58.6595
958.935,-70.819,-164.832,175.9952,17.9268,58.6595
958.939,-71.069,-164.831,175.9952,17.9268,58.6595
958.942,-71.318,-164.829,175.9952,17.9268,58.6595
958.945,-71.568,-164.828,175.9952,17.9268,58.6595
958.948,-71.818,-164.827,175.9952,17.9268,58.6595
958.951,-72.068,-164.825,175.9952,17.9268,58.6595
958.955,-72.317,-164.824,175.9952,17.9268,58.6595
958.958,-72.567,-164.823,175.9952,17.9268,58.6595
958.961,-72.817,-164.822,175.9952,17.9268,58.6595
