I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,14773.0,166.4,0.0,0.0,0.0
7.0,6.0,0.0,14803.0,196.4,0.0,0.0,0.0
7.0,7.0,0.0,14829.0,222.3,0.0,0.0,0.0
8.0,7.0,0.0,14860.0,253.1,0.0,0.0,0.0
9.0,8.0,0.0,14890.0,283.3,0.0,0.0,0.0
9.0,9.0,0.0,14919.0,312.4,0.0,0.0,0.0
10.0,9.0,0.0,14949.0,342.3,0.0,0.0,0.0
10.0,10.0,0.0,14979.0,372.2,0.0,0.0,0.0
11.0,10.0,1.0,15009.0,402.4,402.4,138.0,1.0
14.0,11.0,0.0,0.0,551.4,0.0,0.0,0.0
15.0,14.0,0.0,29.0,580.7,0.0,0.0,0.0
16.0,15.0,0.0,59.0,610.8,0.0,0.0,0.0
16.0,16.0,0.0,93.0,645.0,0.0,0.0,0.0
17.0,16.0,0.0,127.0,678.7,0.0,0.0,0.0
18.0,17.0,0.0,157.0,708.6,0.0,0.0,0.0
18.0,18.0,0.0,187.0,738.7,0.0,0.0,0.0
19.0,18.0,0.0,218.0,769.6,0.0,0.0,0.0
2.0,19.0,1.0,248.0,799.9,799.9,140.0,2.0
5.0,2.0,0.0,0.0,953.5,0.0,0.0,0.0
5.0,5.0,0.0,31.0,984.8,0.0,0.0,0.0
6.0,5.0,0.0,64.0,1017.7,0.0,0.0,0.0
7.0,6.0,0.0,94.0,1047.8,0.0,0.0,0.0
7.0,7.0,0.0,126.0,1080.2,0.0,0.0,0.0
8.0,7.0,0.0,155.0,1109.3,0.0,0.0,0.0
9.0,8.0,0.0,191.0,1144.7,0.0,0.0,0.0
9.0,9.0,0.0,215.0,1169.1,0.0,0.0,0.0
10.0,9.0,0.0,245.0,1198.7,0.0,0.0,0.0
11.0,10.0,1.0,275.0,1229.3,1229.3,143.0,1.0
14.0,11.0,0.0,0.0,1384.5,0.0,0.0,0.0
15.0,14.0,0.0,28.0,1413.3,0.0,0.0,0.0
15.0,15.0,0.0,62.0,1446.7,0.0,0.0,0.0
16.0,15.0,0.0,91.0,1476.3,0.0,0.0,0.0
17.0,16.0,0.0,121.0,1506.0,0.0,0.0,0.0
17.0,17.0,0.0,156.0,1540.6,0.0,0.0,0.0
18.0,17.0,0.0,189.0,1574.1,0.0,0.0,0.0
19.0,18.0,0.0,220.0,1605.2,0.0,0.0,0.0
19.0,19.0,0.0,250.0,1635.2,0.0,0.0,0.0
2.0,19.0,1.0,280.0,1664.8,1664.8,139.0,2.0
5.0,2.0,0.0,0.0,1814.6,0.0,0.0,0.0
6.0,5.0,0.0,25.0,1840.5,0.0,0.0,0.0
6.0,6.0,0.0,58.0,1872.7,0.0,0.0,0.0
7.0,6.0,0.0,93.0,1907.9,0.0,0.0,0.0
8.0,7.0,0.0,122.0,1937.4,0.0,0.0,0.0
8.0,8.0,0.0,152.0,1967.5,0.0,0.0,0.0
9.0,8.0,0.0,181.0,1996.2,0.0,0.0,0.0
10.0,9.0,0.0,212.0,2026.6,0.0,0.0,0.0
10.0,10.0,0.0,245.0,2060.6,0.0,0.0,0.0
11.0,10.0,1.0,280.0,2095.2,2095.2,146.0,1.0
14.0,11.0,0.0,0.0,2247.7,0.0,0.0,0.0
15.0,14.0,0.0,32.0,2280.7,0.0,0.0,0.0
16.0,15.0,0.0,62.0,2310.2,0.0,0.0,0.0
16.0,16.0,0.0,93.0,2340.8,0.0,0.0,0.0
17.0,16.0,0.0,127.0,2375.2,0.0,0.0,0.0
18.0,17.0,0.0,153.0,2401.3,0.0,0.0,0.0
18.0,18.0,0.0,181.0,2429.7,0.0,0.0,0.0
19.0,18.0,0.0,212.0,2460.3,0.0,0.0,0.0
2.0,19.0,1.0,243.0,2491.2,2491.2,131.0,2.0
5.0,2.0,0.0,0.0,2636.8,0.0,0.0,0.0
5.0,5.0,0.0,30.0,2667.4,0.0,0.0,0.0
6.0,5.0,0.0,63.0,2700.1,0.0,0.0,0.0
7.0,6.0,0.0,92.0,2729.7,0.0,0.0,0.0
7.0,7.0,0.0,123.0,2760.5,0.0,0.0,0.0
8.0,7.0,0.0,155.0,2791.9,0.0,0.0,0.0
9.0,8.0,0.0,185.0,2822.6,0.0,0.0,0.0
9.0,9.0,0.0,215.0,2852.8,0.0,0.0,0.0
10.0,9.0,0.0,249.0,2886.6,0.0,0.0,0.0
11.0,10.0,1.0,276.0,2913.0,2913.0,139.0,1.0
14.0,11.0,0.0,0.0,3060.7,0.0,0.0,0.0
