X,Y,Z,Rx,Ry,Rz
958.497,21.407,-164.788,175.9929,17.9323,58.6626
958.498,21.343,-164.788,175.9929,17.9323,58.6626
958.499,21.279,-164.788,175.9929,17.9323,58.6626
958.5,21.215,-164.788,175.9929,17.9323,58.6626
958.501,21.151,-164.788,175.9929,17.9323,58.6626
958.502,21.087,-164.788,175.9929,17.9323,58.6626
958.503,21.023,-164.788,175.9929,17.9323,58.6626
958.504,20.959,-164.788,175.9929,17.9323,58.6626
958.505,20.895,-164.788,175.9929,17.9323,58.6626
958.506,20.831,-164.788,175.9929,17.9323,58.6626
958.507,20.767,-164.788,175.9929,17.9323,58.6626
958.508,20.703,-164.788,175.9929,17.9323,58.6626
958.509,20.639,-164.788,175.9929,17.9323,58.6626
958.51,20.575,-164.788,175.9929,17.9323,58.6626
958.51,20.511,-164.788,175.9929,17.9323,58.6626
958.511,20.447,-164.788,175.9929,17.9323,58.6626
958.512,20.383,-164.788,175.9929,17.9323,58.6626
958.513,20.319,-164.788,175.9929,17.9323,58.6626
958.514,20.255,-164.788,175.9929,17.9323,58.6626
958.515,20.191,-164.788,175.9929,17.9323,58.6626
958.516,20.127,-164.788,175.9929,17.9323,58.6626
958.517,20.063,-164.788,175.9929,17.9323,58.6626
958.518,19.999,-164.788,175.9929,17.9323,58.6626
958.519,19.935,-164.788,175.9929,17.9323,58.6626
958.52,19.871,-164.787,175.9929,17.9323,58.6626
958.521,19.807,-164.787,175.9929,17.9323,58.6626
958.522,19.743,-164.787,175.9929,17.9323,58.6626
958.523,19.679,-164.787,175.9929,17.9323,58.6626
958.524,19.615,-164.787,175.9929,17.9323,58.6626
958.525,19.551,-164.787,175.9929,17.9323,58.6626
958.526,19.487,-164.787,175.9929,17.9323,58.6626
958.527,19.423,-164.787,175.9929,17.9323,58.6626
958.528,19.359,-164.787,175.9929,17.9323,58.6626
958.529,19.295,-164.787,175.9929,17.9323,58.6626
958.53,19.231,-164.787,175.9929,17.9323,58.6626
958.531,19.167,-164.787,175.9929,17.9323,58.6626
958.532,19.104,-164.787,175.9929,17.9323,58.6626
958.533,19.04,-164.787,175.9929,17.9323,58.6626
958.534,18.976,-164.787,175.9929,17.9323,58.6626
958.535,18.912,-164.787,175.9929,17.9323,58.6626
958.536,18.848,-164.787,175.9929,17.9323,58.6626
958.537,18.784,-164.787,175.9929,17.9323,58.6626
958.537,18.72,-164.787,175.9929,17.9323,58.6626
958.538,18.656,-164.787,175.9929,17.9323,58.6626
958.539,18.592,-164.787,175.9929,17.9323,58.6626
958.54,18.528,-164.787,175.9929,17.9323,58.6626
958.541,18.464,-164.787,175.9929,17.9323,58.6626
958.542,18.4,-164.787,175.9929,17.9323,58.6626
958.543,18.336,-164.787,175.9929,17.9323,58.6626
958.544,18.272,-164.787,175.9929,17.9323,58.6626
958.545,18.208,-164.787,175.9929,17.9323,58.6626
958.546,18.144,-164.787,175.9929,17.9323,58.6626
958.547,18.08,-164.787,175.9929,17.9323,58.6626
958.548,18.016,-164.787,175.9929,17.9323,58.6626
958.549,17.952,-164.787,175.9929,17.9323,58.6626
958.55,17.888,-164.787,175.9929,17.9323,58.6626
958.551,17.824,-164.787,175.9929,17.9323,58.6626
958.552,17.76,-164.787,175.9929,17.9323,58.6626
958.553,17.696,-164.787,175.9929,17.9323,58.6626
958.554,17.632,-164.787,175.9929,17.9323,58.6626
958.555,17.568,-164.787,175.9929,17.9323,58.6626
958.556,17.504,-164.787,175.9929,17.9323,58.6626
958.557,17.44,-164.787,175.9929,17.9323,58.6626
958.558,17.376,-164.787,175.9929,17.9323,58.6626
958.559,17.312,-164.787,175.9929,17.9323,58.6626
958.56,17.248,-164.787,175.9929,17.9323,58.6626
958.561,17.184,-164.787,175.9929,17.9323,58.6626
958.562,17.12,-164.787,175.9929,17.9323,58.6626
958.563,17.056,-164.787,175.9929,17.9323,58.6626
958.563,16.992,-164.787,175.9929,17.9323,58.6626
958.564,16.928,-164.787,175.9929,17.9323,58.6626
958.565,16.864,-164.786,175.9929,17.9323,58.6626
958.566,16.8,-164.786,175.9929,17.9323,58.6626
958.567,16.736,-164.786,175.9929,17.9323,58.6626
958.568,16.672,-164.786,175.9929,17.9323,58.6626
958.569,16.608,-164.786,175.9929,17.9323,58.6626
958.57,16.544,-164.786,175.9929,17.9323,58.6626
958.571,16.48,-164.786,175.9929,17.9323,58.6626
958.572,16.416,-164.786,175.9929,17.9323,58.6626
958.573,16.352,-164.786,175.9929,17.9323,58.6626
958.574,16.288,-164.786,175.9929,17.9323,58.6626
958.575,16.224,-164.786,175.9929,17.9323,58.6626
958.576,16.16,-164.786,175.9929,17.9323,58.6626
958.577,16.096,-164.786,175.9929,17.9323,58.6626
958.578,16.032,-164.786,175.9929,17.9323,58.6626
958.579,15.968,-164.786,175.9929,17.9323,58.6626
958.58,15.904,-164.786,175.9929,17.9323,58.6626
958.581,15.84,-164.786,175.9929,17.9323,58.6626
958.582,15.776,-164.786,175.9929,17.9323,58.6626
958.583,15.712,-164.786,175.9929,17.9323,58.6626
958.584,15.648,-164.786,175.9929,17.9323,58.6626
958.585,15.584,-164.786,175.9929,17.9323,58.6626
958.586,15.52,-164.786,175.9929,17.9323,58.6626
958.587,15.456,-164.786,175.9929,17.9323,58.6626
958.588,15.392,-164.786,175.9929,17.9323,58.6626
958.589,15.328,-164.786,175.9929,17.9323,58.6626
958.59,15.264,-164.786,175.9929,17.9323,58.6626
958.59,15.2,-164.786,175.9929,17.9323,58.6626
958.591,15.136,-164.786,175.9929,17.9323,58.6626
958.592,15.072,-164.786,175.9929,17.9323,58.6626
958.593,15.008,-164.786,175.9929,17.9323,58.6626
958.594,14.944,-164.786,175.9929,17.9323,58.6626
958.595,14.88,-164.786,175.9929,17.9323,58.6626
958.596,14.816,-164.786,175.9929,17.9323,58.6626
958.597,14.752,-164.786,175.9929,17.9323,58.6626
958.598,14.688,-164.786,175.9929,17.9323,58.6626
958.599,14.624,-164.786,175.9929,17.9323,58.6626
958.6,14.561,-164.786,175.9929,17.9323,58.6626
958.601,14.497,-164.786,175.9929,17.9323,58.6626
958.602,14.433,-164.786,175.9929,17.9323,58.6626
958.603,14.369,-164.786,175.9929,17.9323,58.6626
958.604,14.305,-164.786,175.9929,17.9323,58.6626
958.605,14.241,-164.786,175.9929,17.9323,58.6626
958.606,14.177,-164.786,175.9929,17.9323,58.6626
958.607,14.113,-164.786,175.9929,17.9323,58.6626
958.608,14.049,-164.786,175.9929,17.9323,58.6626
958.609,13.985,-164.786,175.9929,17.9323,58.6626
958.61,13.921,-164.786,175.9929,17.9323,58.6626
958.611,13.857,-164.786,175.9929,17.9323,58.6626
958.612,13.793,-164.785,175.9929,17.9323,58.6626
958.613,13.729,-164.785,175.9929,17.9323,58.6626
958.614,13.665,-164.785,175.9929,17.9323,58.6626
958.615,13.601,-164.785,175.9929,17.9323,58.6626
958.616,13.537,-164.785,175.9929,17.9323,58.6626
958.616,13.473,-164.785,175.9929,17.9323,58.6626
958.617,13.409,-164.785,175.9929,17.9323,58.6626
958.618,13.345,-164.785,175.9929,17.9323,58.6626
958.619,13.281,-164.785,175.9929,17.9323,58.6626
958.62,13.217,-164.785,175.9929,17.9323,58.6626
958.621,13.153,-164.785,175.9929,17.9323,58.6626
958.622,13.089,-164.785,175.9929,17.9323,58.6626
958.623,13.025,-164.785,175.9929,17.9323,58.6626
958.624,12.961,-164.785,175.9929,17.9323,58.6626
958.625,12.897,-164.785,175.9929,17.9323,58.6626
958.626,12.833,-164.785,175.9929,17.9323,58.6626
958.627,12.769,-164.785,175.9929,17.9323,58.6626
958.628,12.705,-164.785,175.9929,17.9323,58.6626
958.629,12.641,-164.785,175.9929,17.9323,58.6626
958.63,12.577,-164.785,175.9929,17.9323,58.6626
958.631,12.513,-164.785,175.9929,17.9323,58.6626
958.632,12.449,-164.785,175.9929,17.9323,58.6626
958.633,12.385,-164.785,175.9929,17.9323,58.6626
958.634,12.321,-164.785,175.9929,17.9323,58.6626
958.635,12.257,-164.785,175.9929,17.9323,58.6626
958.636,12.193,-164.785,175.9929,17.9323,58.6626
958.637,12.129,-164.785,175.9929,17.9323,58.6626
958.638,12.065,-164.785,175.9929,17.9323,58.6626
958.639,12.001,-164.785,175.9929,17.9323,58.6626
