X,Y,Z,Rx,Ry,Rz
958.497,21.138,-164.793,175.9936,17.9323,58.6624
958.508,21.091,-164.786,175.9924,17.9321,58.6613
958.504,21.062,-164.786,175.9927,17.932,58.6631
958.505,21.027,-164.786,175.9922,17.9322,58.6629
958.508,20.974,-164.788,175.993,17.932,58.6613
958.503,20.929,-164.789,175.993,17.9326,58.663
958.505,20.898,-164.788,175.9928,17.9321,58.6622
958.509,20.853,-164.781,175.992,17.9323,58.6637
958.51,20.81,-164.791,175.9926,17.9322,58.6624
958.51,20.572,-164.787,175.9927,17.9323,58.6627
958.505,20.532,-164.787,175.9935,17.9321,58.6618
958.515,20.473,-164.79,175.9925,17.9324,58.6622
958.51,20.444,-164.79,175.9933,17.9322,58.662
958.505,20.387,-164.791,175.9933,17.9327,58.663
958.517,20.356,-164.782,175.9924,17.9319,58.662
958.509,20.323,-164.794,175.9936,17.9327,58.6626
958.512,20.28,-164.793,175.9928,17.9324,58.6631
958.522,20.018,-164.781,175.9924,17.9321,58.6618
958.515,19.977,-164.792,175.9933,17.9324,58.6631
958.517,19.942,-164.792,175.9928,17.9326,58.6629
958.521,19.901,-164.784,175.993,17.932,58.6618
958.523,19.854,-164.784,175.9919,17.9323,58.6629
958.516,19.813,-164.795,175.9934,17.9325,58.6622
958.521,19.768,-164.788,175.9927,17.9327,58.6637
958.523,19.737,-164.787,175.9925,17.9322,58.6629
958.527,19.696,-164.779,175.9927,17.9317,58.6617
958.526,19.435,-164.786,175.993,17.9323,58.6629
958.528,19.388,-164.786,175.9924,17.9324,58.662
958.523,19.359,-164.786,175.9933,17.9322,58.6618
958.532,19.311,-164.789,175.9922,17.9325,58.6629
958.527,19.271,-164.789,175.9931,17.9323,58.662
958.532,19.23,-164.781,175.9927,17.9319,58.6628
958.532,19.183,-164.792,175.9928,17.9324,58.6622
958.528,19.142,-164.792,175.9931,17.9324,58.6632
958.531,19.109,-164.785,175.9929,17.9324,58.6634
958.536,18.869,-164.79,175.9928,17.9326,58.6634
958.531,18.828,-164.79,175.9936,17.9324,58.6625
958.543,18.769,-164.782,175.9919,17.9323,58.6627
958.539,18.728,-164.782,175.9922,17.9323,58.6638
958.532,18.688,-164.793,175.9937,17.9324,58.663
958.542,18.652,-164.785,175.9925,17.9322,58.6627
958.537,18.611,-164.786,175.9933,17.932,58.6617
958.532,18.555,-164.786,175.9932,17.9326,58.6627
958.542,18.523,-164.788,175.9931,17.9322,58.6619
958.543,18.262,-164.784,175.9927,17.9323,58.6629
958.543,18.219,-164.794,175.9932,17.9323,58.6616
958.547,18.174,-164.787,175.9925,17.9325,58.6631
958.542,18.145,-164.787,175.9933,17.9322,58.6628
958.553,18.086,-164.779,175.9916,17.9322,58.6631
958.546,18.057,-164.79,175.9931,17.9324,58.663
958.548,18.01,-164.79,175.9926,17.9325,58.6622
958.553,17.969,-164.782,175.9922,17.9321,58.663
958.55,17.719,-164.789,175.9931,17.9325,58.6629
958.553,17.688,-164.788,175.9929,17.9321,58.6621
958.557,17.631,-164.781,175.9921,17.9323,58.6629
958.55,17.603,-164.792,175.9937,17.9324,58.6628
958.551,17.556,-164.792,175.9931,17.9326,58.662
958.556,17.514,-164.784,175.9928,17.9322,58.6628
958.558,17.467,-164.784,175.9922,17.9323,58.662
958.56,17.438,-164.787,175.9925,17.9323,58.6637
958.556,17.386,-164.787,175.9934,17.9321,58.6621
958.56,17.146,-164.793,175.9932,17.9322,58.6621
958.564,17.1,-164.785,175.9925,17.9324,58.6636
958.56,17.06,-164.786,175.9933,17.9322,58.6626
958.561,17.013,-164.786,175.9928,17.9324,58.6618
958.563,16.984,-164.788,175.9931,17.9323,58.6635
958.565,16.925,-164.788,175.9926,17.9325,58.662
958.561,16.896,-164.788,175.9928,17.9324,58.6637
958.564,16.851,-164.781,175.9927,17.9325,58.6632
958.564,16.808,-164.791,175.9932,17.9324,58.662
958.574,16.558,-164.779,175.9921,17.9322,58.6634
958.567,16.506,-164.79,175.9937,17.9324,58.662
958.569,16.47,-164.79,175.9926,17.9327,58.6638
958.573,16.418,-164.782,175.9927,17.9321,58.6619
958.566,16.385,-164.794,175.9934,17.933,58.6645
958.577,16.341,-164.785,175.9925,17.9322,58.6628
958.572,16.301,-164.785,175.9933,17.932,58.6619
958.574,16.254,-164.785,175.9923,17.9323,58.663
958.576,16.225,-164.788,175.9931,17.9321,58.6628
958.576,15.975,-164.784,175.9933,17.9322,58.6624
958.575,15.928,-164.795,175.9935,17.9327,58.6618
958.58,15.899,-164.787,175.9931,17.9323,58.6634
958.581,15.84,-164.787,175.9925,17.9324,58.6618
958.586,15.811,-164.779,175.9922,17.932,58.6633
958.578,15.766,-164.79,175.9933,17.9328,58.6633
958.58,15.723,-164.79,175.9931,17.9323,58.6618
958.585,15.67,-164.782,175.9928,17.9319,58.6619
958.577,15.626,-164.793,175.9939,17.9327,58.6618
958.594,15.385,-164.78,175.9919,17.9323,58.6634
958.589,15.356,-164.781,175.9927,17.9321,58.6632
958.588,15.298,-164.791,175.9929,17.9326,58.6619
958.593,15.268,-164.783,175.9925,17.9322,58.6634
958.587,15.224,-164.784,175.993,17.9326,58.6631
958.589,15.181,-164.783,175.9928,17.9321,58.6616
958.591,15.136,-164.787,175.9928,17.9327,58.6633
958.593,15.093,-164.786,175.9926,17.9322,58.6618
958.599,14.855,-164.785,175.9928,17.9323,58.6622
958.595,14.814,-164.785,175.9931,17.9322,58.6632
958.596,14.755,-164.785,175.9925,17.9323,58.6617
958.598,14.726,-164.788,175.9934,17.9322,58.6614
958.593,14.681,-164.789,175.9933,17.9327,58.6631
958.605,14.638,-164.78,175.9919,17.932,58.6634
958.598,14.586,-164.791,175.9934,17.9322,58.6619
958.593,14.541,-164.792,175.9934,17.9327,58.6636
958.604,14.497,-164.783,175.9925,17.9319,58.6619
958.602,14.248,-164.79,175.9929,17.9325,58.6638
958.605,14.203,-164.782,175.9927,17.9325,58.6633
958.607,14.16,-164.782,175.9925,17.9321,58.6618
958.61,14.119,-164.785,175.9928,17.932,58.6628
958.611,14.084,-164.785,175.9923,17.9322,58.6627
958.606,14.043,-164.785,175.9931,17.932,58.6617
958.608,13.998,-164.788,175.9931,17.9325,58.6634
958.611,13.943,-164.787,175.9923,17.9322,58.6632
958.614,13.898,-164.78,175.9921,17.9323,58.6627
958.611,13.66,-164.787,175.993,17.9327,58.6633
958.623,13.605,-164.778,175.9916,17.932,58.6629
958.616,13.576,-164.789,175.9931,17.9322,58.6628
958.61,13.532,-164.79,175.9936,17.9326,58.6625
958.622,13.488,-164.781,175.9922,17.9319,58.6628
958.616,13.444,-164.782,175.9927,17.9323,58.6625
958.609,13.403,-164.793,175.9942,17.9324,58.6618
958.62,13.356,-164.785,175.9925,17.9324,58.6627
958.616,13.106,-164.792,175.9933,17.9328,58.6626
958.621,13.065,-164.784,175.993,17.9324,58.6634
958.622,13.03,-164.784,175.9924,17.9325,58.6633
958.624,12.989,-164.787,175.9933,17.9323,58.6624
958.62,12.937,-164.787,175.9936,17.9323,58.6627
958.621,12.901,-164.787,175.993,17.9324,58.6626
958.625,12.86,-164.779,175.9932,17.9319,58.6614
958.625,12.825,-164.789,175.9928,17.9325,58.6635
958.629,12.784,-164.782,175.993,17.932,58.6623
958.626,12.499,-164.788,175.9933,17.9325,58.662
958.631,12.458,-164.78,175.9929,17.9321,58.6629
958.63,12.423,-164.791,175.9931,17.9326,58.663
958.635,12.37,-164.783,175.9927,17.9322,58.6631
958.636,12.323,-164.783,175.9922,17.9323,58.6622
958.631,12.306,-164.783,175.993,17.9321,58.6627
958.639,12.259,-164.786,175.9925,17.9323,58.6619
958.635,12.218,-164.786,175.9928,17.9322,58.6629
958.638,12.185,-164.779,175.9926,17.9323,58.6631
958.641,11.921,-164.785,175.9924,17.9324,58.6617
958.646,11.88,-164.777,175.9921,17.932,58.6626
958.639,11.84,-164.788,175.9936,17.9322,58.6618
958.643,11.783,-164.781,175.9929,17.9323,58.6626
958.645,11.74,-164.78,175.9927,17.9319,58.6611
958.637,11.707,-164.791,175.9933,17.9328,58.6637
958.649,11.652,-164.783,175.9925,17.932,58.6613
958.643,11.619,-164.783,175.9924,17.9325,58.6637
958.65,11.361,-164.781,175.9929,17.932,58.662
958.651,11.326,-164.781,175.9924,17.9321,58.6619
958.644,11.286,-164.792,175.9934,17.9324,58.6631
958.647,11.241,-164.785,175.9932,17.9324,58.6626
958.649,11.209,-164.784,175.993,17.932,58.6618
958.651,11.164,-164.788,175.993,17.9325,58.6635
958.653,11.11,-164.787,175.9928,17.9321,58.6613
958.656,11.076,-164.78,175.9926,17.9321,58.6615
958.652,11.047,-164.78,175.9929,17.9321,58.6633
958.664,10.783,-164.778,175.9921,17.9319,58.6617
958.656,10.751,-164.789,175.9933,17.9326,58.6623
958.651,10.71,-164.79,175.9935,17.9325,58.6633
958.662,10.663,-164.782,175.9923,17.9323,58.6623
958.656,10.634,-164.782,175.9931,17.9321,58.6621
958.658,10.577,-164.785,175.9931,17.9327,58.6631
958.66,10.534,-164.785,175.9929,17.9322,58.6616
958.665,10.493,-164.777,175.9926,17.9318,58.6624
958.657,10.436,-164.788,175.9932,17.9327,58.6636
958.669,10.196,-164.786,175.9929,17.9324,58.6614
958.664,10.155,-164.786,175.9932,17.9323,58.6625
958.675,10.12,-164.778,175.992,17.9321,58.6621
958.668,10.079,-164.789,175.993,17.9324,58.6634
958.662,10.035,-164.79,175.9935,17.9328,58.6631
958.673,9.991,-164.781,175.9926,17.932,58.6614
958.667,9.958,-164.782,175.9925,17.9325,58.6638
958.67,9.906,-164.785,175.9934,17.9323,58.6621
958.673,9.654,-164.79,175.9927,17.9326,58.6634
958.677,9.624,-164.783,175.9929,17.932,58.663
958.671,9.58,-164.783,175.9934,17.9324,58.6627
958.683,9.525,-164.775,175.992,17.9318,58.6623
958.675,9.48,-164.786,175.9926,17.9327,58.6642
958.679,9.439,-164.778,175.9928,17.9321,58.663
958.678,9.38,-164.789,175.9929,17.9326,58.6617
958.673,9.351,-164.789,175.9932,17.9325,58.6634
958.684,9.316,-164.781,175.992,17.9323,58.6631
958.68,9.059,-164.787,175.9932,17.9321,58.6616
958.684,9.013,-164.78,175.9925,17.9323,58.6631
958.677,8.961,-164.791,175.994,17.9324,58.6616
958.687,8.925,-164.783,175.9923,17.9324,58.6633
958.682,8.873,-164.783,175.9931,17.9322,58.6616
958.69,8.838,-164.786,175.9926,17.9324,58.6615
958.686,8.797,-164.786,175.9929,17.9323,58.6625
958.689,8.752,-164.779,175.9927,17.9323,58.662
958.691,8.512,-164.784,175.9925,17.9324,58.6621
958.696,8.471,-164.777,175.9922,17.932,58.6629
958.689,8.43,-164.787,175.9937,17.9322,58.6622
958.7,8.383,-164.779,175.9919,17.9321,58.6631
958.694,8.342,-164.779,175.9928,17.9319,58.6622
958.696,8.297,-164.783,175.9927,17.9325,58.6638
958.698,8.254,-164.782,175.9925,17.932,58.6624
958.699,8.197,-164.786,175.9925,17.9326,58.6634
958.694,8.169,-164.786,175.9933,17.9323,58.6631
958.697,7.917,-164.792,175.9932,17.9325,58.6624
958.7,7.872,-164.785,175.993,17.9325,58.6619
958.702,7.84,-164.784,175.9923,17.9322,58.6631
958.703,7.784,-164.787,175.9928,17.9326,58.6622
958.698,7.767,-164.788,175.9936,17.9324,58.6626
958.708,7.719,-164.78,175.9919,17.9323,58.6635
958.703,7.679,-164.78,175.9927,17.9321,58.6626
958.702,7.643,-164.79,175.9929,17.9326,58.6627
958.707,7.591,-164.782,175.9925,17.9322,58.6628
958.71,7.364,-164.781,175.9932,17.9321,58.6619
958.712,7.317,-164.781,175.9921,17.9324,58.663
958.707,7.277,-164.781,175.9929,17.9321,58.6621
958.708,7.232,-164.785,175.9929,17.9327,58.6638
958.71,7.2,-164.784,175.9927,17.9322,58.663
958.713,7.144,-164.777,175.9926,17.9323,58.6618
958.713,7.112,-164.787,175.9925,17.9323,58.6632
958.716,7.067,-164.78,175.9923,17.9324,58.6627
958.711,7.027,-164.78,175.9932,17.9322,58.6618
958.722,6.81,-164.778,175.9923,17.9319,58.663
958.714,6.742,-164.789,175.993,17.9328,58.6635
958.718,6.701,-164.781,175.9931,17.9323,58.6623
958.72,6.654,-164.781,175.9921,17.9326,58.6635
958.722,6.624,-164.784,175.9929,17.9324,58.6632
958.722,6.577,-164.784,175.9924,17.9325,58.6624
958.727,6.536,-164.776,175.992,17.9321,58.6632
958.719,6.492,-164.788,175.9932,17.9328,58.6632
958.72,6.461,-164.787,175.993,17.9324,58.6624
958.724,6.223,-164.786,175.9932,17.9324,58.6627
958.725,6.176,-164.786,175.9927,17.9325,58.6619
958.73,6.134,-164.778,175.9923,17.9321,58.6627
958.722,6.094,-164.789,175.9938,17.9323,58.662
958.733,6.046,-164.781,175.9921,17.9322,58.6629
958.728,6.006,-164.781,175.9929,17.932,58.662
958.729,5.973,-164.784,175.9934,17.9324,58.6624
958.731,5.93,-164.784,175.9927,17.9321,58.6629
958.734,5.885,-164.777,175.9925,17.9321,58.6624
958.734,5.842,-164.787,175.993,17.932,58.6611
958.738,5.592,-164.785,175.9926,17.9322,58.6628
958.732,5.559,-164.786,175.9931,17.9326,58.6632
958.743,5.516,-164.777,175.9923,17.9318,58.6615
958.735,5.471,-164.789,175.9929,17.9326,58.6634
958.739,5.43,-164.781,175.9931,17.9321,58.6622
958.74,5.383,-164.781,175.992,17.9324,58.6634
958.742,5.354,-164.784,175.9928,17.9322,58.6631
958.736,5.309,-164.785,175.9933,17.9326,58.6628
958.738,5.266,-164.784,175.9926,17.9322,58.6633
958.742,5.016,-164.782,175.9928,17.9322,58.663
958.743,4.971,-164.786,175.9933,17.9327,58.6627
958.745,4.928,-164.785,175.9931,17.9322,58.6612
958.748,4.883,-164.778,175.9924,17.9324,58.6627
958.741,4.843,-164.789,175.9939,17.9325,58.662
958.751,4.807,-164.781,175.9922,17.9325,58.6636
958.746,4.778,-164.781,175.993,17.9323,58.6634
958.756,4.731,-164.773,175.9918,17.9321,58.6623
958.75,4.493,-164.78,175.9926,17.9324,58.6629
958.752,4.452,-164.783,175.993,17.9323,58.6639
958.753,4.405,-164.783,175.9924,17.9325,58.6631
958.757,4.364,-164.775,175.9926,17.9319,58.662
958.756,4.317,-164.785,175.9922,17.9326,58.6633
958.76,4.276,-164.778,175.9924,17.932,58.6622
958.754,4.232,-164.778,175.9928,17.9324,58.6619
958.754,4.2,-164.788,175.9928,17.9324,58.6633
958.759,4.147,-164.78,175.9924,17.932,58.6634
958.762,3.897,-164.779,175.9926,17.932,58.6631
958.754,3.853,-164.791,175.9938,17.9328,58.663
958.765,3.81,-164.782,175.993,17.932,58.6613
958.759,3.765,-164.783,175.9929,17.9325,58.663
958.768,3.733,-164.785,175.9927,17.9321,58.6622
958.761,3.689,-164.786,175.9932,17.9324,58.6619
958.766,3.648,-164.778,175.9928,17.932,58.6627
958.764,3.601,-164.788,175.993,17.9325,58.6621
958.769,3.56,-164.781,175.9926,17.9321,58.6629
958.763,3.322,-164.787,175.9935,17.9324,58.6635
958.772,3.298,-164.779,175.9928,17.9321,58.6619
958.765,3.246,-164.79,175.9938,17.9324,58.6625
958.769,3.189,-164.783,175.9931,17.9326,58.6632
958.77,3.158,-164.782,175.9929,17.9321,58.6624
958.771,3.113,-164.786,175.9934,17.9325,58.6622
958.773,3.07,-164.785,175.9927,17.9322,58.6627
958.776,3.025,-164.778,175.9925,17.9322,58.6622
958.769,2.984,-164.789,175.9935,17.9325,58.6634
958.781,2.755,-164.776,175.9925,17.9318,58.6617
958.773,2.711,-164.787,175.9931,17.9327,58.6636
958.784,2.667,-164.779,175.9923,17.9319,58.662
958.775,2.623,-164.79,175.9934,17.9326,58.6619
958.78,2.594,-164.782,175.9931,17.9322,58.6634
