S,L,U,R,B,T
-0.04034491412838247,0.262297497770869,-0.5780913926040139,-0.32331281665384637,-0.579857554781297,1.340406268306694
-0.04041632141223178,0.26230369117765373,-0.5780848763126898,-0.3233285440083292,-0.5798748277817692,1.3404886027904388
-0.040488093194844574,0.26230865632913586,-0.5780787744229894,-0.32334384732073956,-0.5798911261364215,1.3405708071120985
-0.04055986567284867,0.26231362398626423,-0.5780726654184667,-0.3233591455127435,-0.5799074235601767,1.3406530069151932
-0.04063163761645331,0.2623185982900263,-0.5780665478921406,-0.32337443999345106,-0.5799237233361979,1.3407352026185277
-0.04070340902077296,0.2623235792542598,-0.5780604218393386,-0.32338973076752475,-0.5799400254753035,1.340817394222713
-0.040775179885060284,0.26232856687891526,-0.5780542872600692,-0.32340501783490244,-0.5799563299772776,1.3408995817269633
-0.04084695020858191,0.2623335611638969,-0.578048144154356,-0.3234203011955066,-0.5799726368418674,1.340981765130488
-0.040918719990604625,0.2623385621091089,-0.5780419925222223,-0.3234355808492598,-0.5799889460688195,1.341063944432497
-0.04099048923039516,0.26234356971445477,-0.5780358323636932,-0.3234508567960848,-0.5800052576578805,1.3411461196322008
-0.041062257927220354,0.26234858397983823,-0.5780296636787913,-0.32346612903590416,-0.5800215716087983,1.3412282907288091
-0.04113402608034706,0.26235360490516263,-0.5780234864675413,-0.3234813975686412,-0.5800378879213196,1.341310457721533
-0.04120579368904215,0.2623586324903312,-0.5780173007299673,-0.32349666239421904,-0.5800542065951916,1.3413926206095825
-0.04127756075257251,0.2623636667352475,-0.5780111064660928,-0.3235119235125611,-0.5800705276301619,1.3414747793921686
-0.04134932727020515,0.26236870763981424,-0.5780049036759424,-0.32352718092359095,-0.5800868510259775,1.3415569340685027
-0.041421093241207,0.2623737552039354,-0.5779986923595389,-0.3235424346272321,-0.5801031767823864,1.3416390846377957
-0.04149285866484506,0.2623788094275123,-0.5779924725169083,-0.3235576846234085,-0.5801195048991359,1.3417212310992588
-0.04156462354038643,0.26238387031044885,-0.5779862441480733,-0.32357293091204425,-0.5801358353759737,1.3418033734521035
-0.041636387867098154,0.26238893785264694,-0.5779800072530589,-0.3235881734930637,-0.5801521682126477,1.341885511695542
-0.041708151644247314,0.26239401205401003,-0.5779737618318882,-0.323603412366391,-0.5801685034089055,1.3419676458287855
-0.04177991487110116,0.2623990929144389,-0.5779675078845872,-0.32361864753195096,-0.580184840964495,1.342049775851047
-0.04185167754692677,0.26240418043383734,-0.5779612454111782,-0.32363387898966806,-0.5802011808791646,1.3421319017615376
-0.04192343967099144,0.2624092746121062,-0.5779549744116872,-0.32364910673946734,-0.5802175231526621,1.3422140235594708
-0.041995201242562376,0.26241437544914864,-0.5779486948861374,-0.323664330781274,-0.5802338677847356,1.342296141244059
-0.04206696226090686,0.26241948294486583,-0.5779424068345531,-0.32367955111501284,-0.5802502147751338,1.3423782548145144
-0.042138722725292205,0.2624245970991595,-0.5779361102569596,-0.3236947677406096,-0.5802665641236047,1.3424603642700503
-0.0422104826349858,0.26242971791193115,-0.5779298051533807,-0.3237099806579899,-0.580282915829897,1.3425424696098802
-0.04228224198925503,0.2624348453830827,-0.577923491523841,-0.32372518986707954,-0.5802992698937586,1.3426245708332176
-0.04235400078736726,0.2624399795125156,-0.5779171693683642,-0.32374039536780413,-0.5803156263149388,1.342706667939275
-0.04242575902859003,0.2624451203001299,-0.5779108386869768,-0.32375559716009006,-0.5803319850931862,1.342788760927267
-0.04249751671219075,0.2624502677458283,-0.5779044994797011,-0.3237707952438633,-0.5803483462282495,1.3428708497964075
-0.04256927383743699,0.26245542184951065,-0.5778981517465631,-0.3237859896190506,-0.5803647097198773,1.3429529345459101
-0.04264103040359627,0.2624605826110781,-0.5778917954875871,-0.3238011802855783,-0.5803810755678188,1.3430350151749892
-0.042712786409936254,0.2624657500304317,-0.5778854307027972,-0.3238163672433734,-0.5803974437718231,1.3431170916828599
-0.04278454185572448,0.26247092410747175,-0.5778790573922187,-0.3238315504923627,-0.5804138143316394,1.3431991640687357
-0.042856296740228665,0.2624761048420988,-0.5778726755558762,-0.32384673003247333,-0.5804301872470164,1.3432812323318324
-0.04292805106271651,0.2624812922342123,-0.5778662851937952,-0.32386190586363245,-0.580446562517704,1.3433632964713642
-0.042999804822455724,0.26248648628371446,-0.5778598863059982,-0.3238770779857677,-0.5804629401434516,1.3434453564865467
-0.04307155801871409,0.2624916869905036,-0.5778534788925124,-0.32389224639880665,-0.580479320124008,1.3435274123765955
-0.04314331065075939,0.2624968943544807,-0.5778470629533611,-0.32390741110267696,-0.5804957024591233,1.3436094641407257
-0.04321506271785944,0.2625021083755452,-0.5778406384885696,-0.3239225720973066,-0.5805120871485474,1.3436915117781527
-0.04328681421928217,0.2625073290535965,-0.5778342054981637,-0.323937729382624,-0.5805284741920292,1.3437735552880932
-0.04335856515429545,0.2625125563885347,-0.5778277639821674,-0.32395288295855723,-0.5805448635893191,1.343855594669763
-0.043430315522167216,0.2625177903802596,-0.5778213139406052,-0.32396803282503456,-0.580561255340167,1.343937629922378
-0.04350206532216544,0.2625230310286695,-0.5778148553735033,-0.3239831789819848,-0.5805776494443228,1.3440196610451547
-0.04357381455355816,0.26252827833366416,-0.5778083882808863,-0.323998321429337,-0.5805940459015362,1.3441016880373104
-0.04364556321561339,0.2625335322951433,-0.5778019126627784,-0.32401346016701965,-0.5806104447115581,1.344183710898061
-0.04371731130759922,0.26253879291300464,-0.5777954285192062,-0.32402859519496235,-0.580626845874138,1.3442657296266243
-0.043789058828783776,0.26254406018714793,-0.5777889358501939,-0.32404372651309415,-0.5806432493890269,1.3443477442222167
-0.043860805778435194,0.2625493341174716,-0.5777824346557665,-0.3240588541213445,-0.5806596552559747,1.344429754684056
-0.04393255215582165,0.2625546147038745,-0.5777759249359495,-0.32407397801964327,-0.5806760634747321,1.3445117610113597
-0.04400429796021141,0.26255990194625456,-0.5777694066907684,-0.32408909820792015,-0.5806924740450496,1.3445937632033456
-0.04407604319087265,0.26256519584451105,-0.5777628799202472,-0.3241042146861048,-0.5807088869666786,1.3446757612592308
-0.044147787847073724,0.2625704963985414,-0.5777563446244129,-0.324119327454128,-0.5807253022393684,1.3447577551782348
-0.04421953192808295,0.2625758036082435,-0.57774980080329,-0.32413443651191964,-0.580741719862871,1.3448397449595746
-0.044291275433168686,0.2625811174735159,-0.577743248456904,-0.32414954185941053,-0.5807581398369369,1.3449217306024692
-0.04436301836159932,0.2625864379942564,-0.5777366875852799,-0.324164643496531,-0.5807745621613174,1.3450037121061373
-0.04443476071264329,0.26259176517036265,-0.5777301181884431,-0.32417974142321204,-0.5807909868357634,1.3450856894697973
-0.04450650248556908,0.2625970990017313,-0.5777235402664204,-0.3241948356393846,-0.5808074138600262,1.3451676626926685
-0.04457824367964517,0.262602439488262,-0.5777169538192348,-0.32420992614497995,-0.5808238432338569,1.34524963177397
-0.044649984294140126,0.26260778662985024,-0.5777103588469141,-0.32422501293992956,-0.5808402749570067,1.3453315967129214
-0.04472172432832245,0.2626131404263937,-0.5777037553494824,-0.3242400960241644,-0.5808567090292277,1.3454135575087414
-0.044793463781460825,0.26261850087779004,-0.5776971433269658,-0.32425517539761667,-0.5808731454502709,1.3454955141606504
-0.04486520265282391,0.26262386798393517,-0.5776905227793901,-0.32427025106021795,-0.5808895842198882,1.3455774666678681
-0.04493694094168038,0.26262924174472674,-0.5776838937067809,-0.3242853230119006,-0.5809060253378311,1.345659415029615
-0.04500867864729889,0.26263462216006134,-0.5776772561091633,-0.32430039125259635,-0.5809224688038515,1.3457413592451106
-0.045080415768948244,0.2626400092298356,-0.5776706099865632,-0.32431545578223775,-0.5809389146177014,1.345823299313576
-0.04515215230589724,0.2626454029539455,-0.5776639553390072,-0.32433051660075746,-0.5809553627791325,1.3459052352342313
-0.04522388825741467,0.26265080333228863,-0.5776572921665192,-0.324345573708088,-0.580971813287897,1.345987167006298
-0.04529562362276941,0.26265621036475956,-0.5776506204691269,-0.32436062710416214,-0.5809882661437473,1.346069094628996
-0.045367358401230407,0.26266162405125515,-0.5776439402468558,-0.32437567678891327,-0.5810047213464349,1.3461510181015475
-0.0454390925920665,0.2626670443916718,-0.5776372514997303,-0.32439072276227404,-0.5810211788957131,1.3462329374231732
-0.045510826194546744,0.262672471385905,-0.5776305542277779,-0.32440576502417845,-0.5810376387913333,1.3463148525930952
-0.045582559207940125,0.2626779050338499,-0.5776238484310243,-0.32442080357455966,-0.5810541010330486,1.3463967636105347
-0.04565429163151565,0.26268334533540333,-0.5776171341094939,-0.32443583841335116,-0.5810705656206118,1.3464786704747136
-0.04572602346454243,0.2626887922904596,-0.5776104112632146,-0.3244508695404872,-0.581087032553775,1.3465605731848542
-0.04579775470628958,0.26269424589891405,-0.5776036798922123,-0.3244658969559019,-0.581103501832291,1.3466424717401788
-0.04586948535602626,0.2626997061606633,-0.5775969399965112,-0.3244809206595291,-0.5811199734559129,1.34672436613991
-0.045941215413021604,0.2627051730756011,-0.5775901915761389,-0.3244959406513032,-0.5811364474243937,1.3468062563832697
-0.04601294487654492,0.26271064664362265,-0.5775834346311218,-0.32451095693115917,-0.5811529237374858,1.3468881424694814
-0.04608467374586541,0.2627161268646235,-0.5775766691614844,-0.32452596949903134,-0.5811694023949432,1.346970024397768
-0.04615640202025239,0.2627216137384979,-0.577569895167254,-0.32454097835485457,-0.5811858833965186,1.3470519021673522
-0.046228129698975225,0.2627271072651397,-0.5775631126484576,-0.3245559834985643,-0.5812023667419649,1.3471337757774582
-0.0462998567813032,0.26273260744444493,-0.5775563216051196,-0.32457098493009534,-0.5812188524310358,1.3472156452273085
-0.04637158326650584,0.26273811427630683,-0.5775495220372674,-0.3245859826493832,-0.581235340463485,1.3472975105161276
-0.0464433091538525,0.26274362776061944,-0.5775427139449275,-0.3246009766563634,-0.5812518308390657,1.347379371643139
-0.04651503444261271,0.26274914789727777,-0.5775358973281255,-0.3246159669509718,-0.5812683235575316,1.347461228607567
-0.04658675913205595,0.2627546746861753,-0.5775290721868881,-0.3246309535331441,-0.5812848186186365,1.3475430814086355
-0.04665848322145179,0.2627602081272061,-0.5775222385212414,-0.3246459364028166,-0.5813013160221339,1.3476249300455694
-0.04673020671006985,0.2627657482202633,-0.5775153963312124,-0.3246609155599252,-0.5813178157677781,1.347706774517593
-0.046801929597179714,0.2627712949652419,-0.5775085456168264,-0.32467589100440664,-0.5813343178553226,1.3477886148239315
-0.04687365188205107,0.2627768483620335,-0.5775016863781116,-0.3246908627361973,-0.5813508222845216,1.3478704509638093
-0.04694537356395364,0.2627824084105324,-0.5774948186150938,-0.3247058307552339,-0.5813673290551296,1.347952282936452
-0.04701709464215716,0.2627879751106324,-0.5774879423277987,-0.3247207950614534,-0.5813838381669003,1.3480341107410851
-0.0470888151159314,0.26279354846222547,-0.5774810575162537,-0.3247357556547928,-0.5814003496195885,1.3481159343769338
-0.04716053498454613,0.2627991284652054,-0.5774741641804855,-0.32475071253518945,-0.5814168634129478,1.3481977538432237
-0.04723225424727125,0.26280471511946507,-0.5774672623205199,-0.3247656657025806,-0.5814333795467338,1.3482795691391811
-0.047303972903376644,0.2628103084248968,-0.5774603519363843,-0.32478061515690376,-0.5814498980207004,1.3483613802640315
-0.047375690952132246,0.26281590838139307,-0.5774534330281058,-0.3247955608980972,-0.581466418834602,1.3484431872170022
-0.04744740839280802,0.26282151498884665,-0.5774465055957104,-0.32481050292609814,-0.581482941988194,1.3485249899973186
-0.047519125224673935,0.26282712824715,-0.577439569639225,-0.32482544124084495,-0.5814994674812307,1.3486067886042077
-0.04759084144700006,0.2628327481561949,-0.577432625158677,-0.32484037584227604,-0.5815159953134671,1.3486885830368964
-0.04766255705905644,0.2628383747158743,-0.577425672154092,-0.32485530673032953,-0.5815325254846586,1.3487703732946117
-0.04773427206011322,0.26284400792608,-0.5774187106254972,-0.3248702339049442,-0.58154905799456,1.3488521593765808
-0.04780598644944057,0.26284964778670294,-0.5774117405729207,-0.3248851573660586,-0.5815655928429265,1.3489339412820307
-0.047877700226308634,0.26285529429763527,-0.5774047619963887,-0.3249000771136119,-0.5815821300295132,1.3490157190101895
-0.047949413389987636,0.2628609474587697,-0.5773977748959273,-0.32491499314754296,-0.5815986695540757,1.3490974925602846
-0.04802112593974788,0.26286660726999606,-0.5773907792715646,-0.32492990546779105,-0.5816152114163695,1.3491792619315437
-0.04809283787485968,0.2628722737312067,-0.5773837751233274,-0.3249448140742958,-0.5816317556161497,1.3492610271231955
-0.0481645491945933,0.26287794684229254,-0.5773767624512425,-0.3249597189669965,-0.5816483021531724,1.3493427881344675
-0.04823625989821915,0.26288362660314496,-0.577369741255337,-0.32497462014583295,-0.581664851027193,1.3494245449645885
-0.04830796998500769,0.2628893130136547,-0.5773627115356382,-0.32498951761074535,-0.5816814022379674,1.3495062976127874
-0.048379679454229316,0.2628950060737131,-0.5773556732921731,-0.32500441136167346,-0.5816979557852515,1.349588046078293
-0.04845138830515455,0.26290070578321023,-0.5773486265249689,-0.32501930139855767,-0.5817145116688012,1.3496697903603339
-0.048523096537053945,0.2629064121420369,-0.5773415712340528,-0.32503418772133846,-0.5817310698883725,1.3497515304581393
-0.04859480414919803,0.26291212515008394,-0.5773345074194521,-0.32504907032995634,-0.5817476304437217,1.3498332663709391
-0.048666511140857384,0.2629178448072414,-0.5773274350811942,-0.32506394922435206,-0.5817641933346048,1.3499149980979623
-0.048738217511302716,0.2629235711133996,-0.5773203542193063,-0.32507882440446656,-0.5817807585607784,1.349996725638439
-0.04880992325980466,0.26292930406844905,-0.5773132648338152,-0.3250936958702409,-0.5817973261219985,1.350078448991599
-0.04888162838563396,0.2629350436722789,-0.5773061669247495,-0.32510856362161644,-0.5818138960180219,1.3501601681566722
-0.048953332888061404,0.26294078992477987,-0.5772990604921353,-0.32512342765853464,-0.5818304682486051,1.350241883132889
-0.04902503676635772,0.26294654282584096,-0.5772919455360008,-0.32513828798093664,-0.5818470428135049,1.3503235939194798
-0.04909674001979377,0.26295230237535294,-0.577284822056373,-0.3251531445887649,-0.5818636197124776,1.3504053005156755
-0.049168442647640476,0.262958068573204,-0.5772776900532799,-0.3251679974819609,-0.5818801989452805,1.3504870029207068
-0.04924014464916868,0.2629638414192844,-0.5772705495267484,-0.32518284666046665,-0.5818967805116704,1.3505687011338046
-0.049311846023649325,0.26296962091348347,-0.5772634004768059,-0.32519769212422467,-0.5819133644114044,1.3506503951542
-0.04938354677035352,0.26297540705568906,-0.5772562429034818,-0.32521253387317733,-0.5819299506442392,1.3507320849811246
-0.04945524688855215,0.26298119984579205,-0.5772490768068015,-0.3252273719072674,-0.5819465392099321,1.3508137706138101
-0.04952694637751633,0.26298699928367975,-0.5772419021867937,-0.32524220622643707,-0.5819631301082409,1.3508954520514875
-0.04959864523651723,0.2629928053692417,-0.5772347190434862,-0.32525703683062995,-0.5819797233389222,1.3509771292933896
-0.049670343464825926,0.2629986181023664,-0.5772275273769063,-0.3252718637197887,-0.581996318901734,1.3510588023387482
-0.04974204106171359,0.2630044374829423,-0.5772203271870818,-0.3252866868938567,-0.5820129167964339,1.3511404711867954
-0.04981373802645148,0.26301026351085804,-0.5772131184740406,-0.3253015063527775,-0.5820295170227787,1.3512221358367638
-0.049885434358310825,0.2630160961860015,-0.5772059012378106,-0.3253163220964944,-0.582046119580527,1.351303796287886
-0.04995713005656294,0.2630219355082617,-0.5771986754784185,-0.32533113412495135,-0.5820627244694364,1.351385452539395
-0.0500288251204792,0.2630277814775251,-0.5771914411958943,-0.32534594243809256,-0.5820793316892645,1.3514671045905238
-0.050100519549330924,0.2630336340936809,-0.5771841983902644,-0.3253607470358616,-0.5820959412397694,1.3515487524405052
-0.050172213342389575,0.26303949335661614,-0.5771769470615571,-0.325375547918203,-0.5821125531207093,1.351630396088573
-0.05024390649892654,0.26304535926621947,-0.5771696872097998,-0.32539034508506126,-0.5821291673318422,1.351712035533961
-0.05031559901821341,0.26305123182237694,-0.5771624188350216,-0.3254051385363808,-0.5821457838729264,1.351793670775902
-0.05038729089952163,0.2630571110249772,-0.5771551419372498,-0.3254199282721067,-0.5821624027437199,1.351875301813631
-0.0504589821421228,0.26306299687390716,-0.5771478565165121,-0.3254347142921833,-0.582179023943982,1.3519569286463813
-0.05053067274528856,0.26306888936905365,-0.5771405625728376,-0.3254494965965563,-0.5821956474734702,1.3520385512733877
