X,Y,Z,Rx,Ry,Rz
958.983,-46.865,-164.946,175.9938,17.9387,58.6552
958.985,-47.064,-164.946,175.9938,17.9387,58.6552
958.988,-47.263,-164.947,175.9938,17.9387,58.6552
958.99,-47.463,-164.947,175.9938,17.9387,58.6552
958.992,-47.662,-164.948,175.9938,17.9387,58.6552
958.995,-47.861,-164.948,175.9938,17.9387,58.6552
958.997,-48.06,-164.948,175.9938,17.9387,58.6552
958.999,-48.259,-164.949,175.9938,17.9387,58.6552
959.002,-48.459,-164.949,175.9938,17.9387,58.6552
959.004,-48.658,-164.95,175.9938,17.9387,58.6552
959.006,-48.857,-164.95,175.9938,17.9387,58.6552
959.009,-49.056,-164.951,175.9938,17.9387,58.6552
959.011,-49.255,-164.951,175.9938,17.9387,58.6552
959.013,-49.454,-164.951,175.9938,17.9387,58.6552
959.016,-49.654,-164.952,175.9938,17.9387,58.6552
959.018,-49.853,-164.952,175.9938,17.9387,58.6552
959.02,-50.052,-164.953,175.9938,17.9387,58.6552
959.023,-50.251,-164.953,175.9938,17.9387,58.6552
959.025,-50.45,-164.953,175.9938,17.9387,58.6552
959.027,-50.65,-164.954,175.9938,17.9387,58.6552
959.03,-50.849,-164.954,175.9938,17.9387,58.6552
959.032,-51.048,-164.955,175.9938,17.9387,58.6552
959.034,-51.247,-164.955,175.9938,17.9387,58.6552
959.037,-51.446,-164.955,175.9938,17.9387,58.6552
959.039,-51.646,-164.956,175.9938,17.9387,58.6552
959.041,-51.845,-164.956,175.9938,17.9387,58.6552
959.044,-52.044,-164.957,175.9938,17.9387,58.6552
959.046,-52.243,-164.957,175.9938,17.9387,58.6552
959.048,-52.442,-164.957,175.9938,17.9387,58.6552
959.051,-52.641,-164.958,175.9938,17.9387,58.6552
959.053,-52.841,-164.958,175.9938,17.9387,58.6552
959.055,-53.04,-164.959,175.9938,17.9387,58.6552
959.058,-53.239,-164.959,175.9938,17.9387,58.6552
959.06,-53.438,-164.96,175.9938,17.9387,58.6552
959.062,-53.637,-164.96,175.9938,17.9387,58.6552
959.065,-53.837,-164.96,175.9938,17.9387,58.6552
959.067,-54.036,-164.961,175.9938,17.9387,58.6552
959.069,-54.235,-164.961,175.9938,17.9387,58.6552
959.072,-54.434,-164.962,175.9938,17.9387,58.6552
959.074,-54.633,-164.962,175.9938,17.9387,58.6552
959.076,-54.833,-164.962,175.9938,17.9387,58.6552
959.079,-55.032,-164.963,175.9938,17.9387,58.6552
959.081,-55.231,-164.963,175.9938,17.9387,58.6552
959.083,-55.43,-164.964,175.9938,17.9387,58.6552
959.085,-55.629,-164.964,175.9938,17.9387,58.6552
959.088,-55.828,-164.964,175.9938,17.9387,58.6552
959.09,-56.028,-164.965,175.9938,17.9387,58.6552
959.092,-56.227,-164.965,175.9938,17.9387,58.6552
959.095,-56.426,-164.966,175.9938,17.9387,58.6552
959.097,-56.625,-164.966,175.9938,17.9387,58.6552
959.099,-56.824,-164.966,175.9938,17.9387,58.6552
959.102,-57.024,-164.967,175.9938,17.9387,58.6552
959.104,-57.223,-164.967,175.9938,17.9387,58.6552
959.106,-57.422,-164.968,175.9938,17.9387,58.6552
959.109,-57.621,-164.968,175.9938,17.9387,58.6552
959.111,-57.82,-164.969,175.9938,17.9387,58.6552
959.113,-58.02,-164.969,175.9938,17.9387,58.6552
959.116,-58.219,-164.969,175.9938,17.9387,58.6552
959.118,-58.418,-164.97,175.9938,17.9387,58.6552
959.12,-58.617,-164.97,175.9938,17.9387,58.6552
959.123,-58.816,-164.971,175.9938,17.9387,58.6552
959.125,-59.016,-164.971,175.9938,17.9387,58.6552
959.127,-59.215,-164.971,175.9938,17.9387,58.6552
959.13,-59.414,-164.972,175.9938,17.9387,58.6552
959.132,-59.613,-164.972,175.9938,17.9387,58.6552
959.134,-59.812,-164.973,175.9938,17.9387,58.6552
959.137,-60.011,-164.973,175.9938,17.9387,58.6552
959.139,-60.211,-164.973,175.9938,17.9387,58.6552
959.141,-60.41,-164.974,175.9938,17.9387,58.6552
959.144,-60.609,-164.974,175.9938,17.9387,58.6552
959.146,-60.808,-164.975,175.9938,17.9387,58.6552
959.148,-61.007,-164.975,175.9938,17.9387,58.6552
959.151,-61.207,-164.975,175.9938,17.9387,58.6552
959.153,-61.406,-164.976,175.9938,17.9387,58.6552
959.155,-61.605,-164.976,175.9938,17.9387,58.6552
959.158,-61.804,-164.977,175.9938,17.9387,58.6552
959.16,-62.003,-164.977,175.9938,17.9387,58.6552
959.162,-62.203,-164.978,175.9938,17.9387,58.6552
959.165,-62.402,-164.978,175.9938,17.9387,58.6552
959.167,-62.601,-164.978,175.9938,17.9387,58.6552
959.169,-62.8,-164.979,175.9938,17.9387,58.6552
959.172,-62.999,-164.979,175.9938,17.9387,58.6552
959.174,-63.198,-164.98,175.9938,17.9387,58.6552
959.176,-63.398,-164.98,175.9938,17.9387,58.6552
959.179,-63.597,-164.98,175.9938,17.9387,58.6552
959.181,-63.796,-164.981,175.9938,17.9387,58.6552
959.183,-63.995,-164.981,175.9938,17.9387,58.6552
959.186,-64.194,-164.982,175.9938,17.9387,58.6552
959.188,-64.394,-164.982,175.9938,17.9387,58.6552
959.19,-64.593,-164.982,175.9938,17.9387,58.6552
959.193,-64.792,-164.983,175.9938,17.9387,58.6552
959.195,-64.991,-164.983,175.9938,17.9387,58.6552
959.197,-65.19,-164.984,175.9938,17.9387,58.6552
959.2,-65.39,-164.984,175.9938,17.9387,58.6552
959.202,-65.589,-164.985,175.9938,17.9387,58.6552
959.204,-65.788,-164.985,175.9938,17.9387,58.6552
959.207,-65.987,-164.985,175.9938,17.9387,58.6552
959.209,-66.186,-164.986,175.9938,17.9387,58.6552
959.211,-66.385,-164.986,175.9938,17.9387,58.6552
959.214,-66.585,-164.987,175.9938,17.9387,58.6552
959.216,-66.784,-164.987,175.9938,17.9387,58.6552
959.218,-66.983,-164.987,175.9938,17.9387,58.6552
959.221,-67.182,-164.988,175.9938,17.9387,58.6552
959.223,-67.381,-164.988,175.9938,17.9387,58.6552
959.225,-67.581,-164.989,175.9938,17.9387,58.6552
959.228,-67.78,-164.989,175.9938,17.9387,58.6552
959.23,-67.979,-164.989,175.9938,17.9387,58.6552
959.232,-68.178,-164.99,175.9938,17.9387,58.6552
959.235,-68.377,-164.99,175.9938,17.9387,58.6552
959.237,-68.577,-164.991,175.9938,17.9387,58.6552
959.239,-68.776,-164.991,175.9938,17.9387,58.6552
959.242,-68.975,-164.991,175.9938,17.9387,58.6552
959.244,-69.174,-164.992,175.9938,17.9387,58.6552
959.246,-69.373,-164.992,175.9938,17.9387,58.6552
959.249,-69.573,-164.993,175.9938,17.9387,58.6552
959.251,-69.772,-164.993,175.9938,17.9387,58.6552
959.253,-69.971,-164.994,175.9938,17.9387,58.6552
959.256,-70.17,-164.994,175.9938,17.9387,58.6552
959.258,-70.369,-164.994,175.9938,17.9387,58.6552
959.26,-70.568,-164.995,175.9938,17.9387,58.6552
959.263,-70.768,-164.995,175.9938,17.9387,58.6552
959.265,-70.967,-164.996,175.9938,17.9387,58.6552
959.267,-71.166,-164.996,175.9938,17.9387,58.6552
959.27,-71.365,-164.996,175.9938,17.9387,58.6552
959.272,-71.564,-164.997,175.9938,17.9387,58.6552
959.274,-71.764,-164.997,175.9938,17.9387,58.6552
959.276,-71.963,-164.998,175.9938,17.9387,58.6552
959.279,-72.162,-164.998,175.9938,17.9387,58.6552
959.281,-72.361,-164.998,175.9938,17.9387,58.6552
959.283,-72.56,-164.999,175.9938,17.9387,58.6552
959.286,-72.76,-164.999,175.9938,17.9387,58.6552
959.288,-72.959,-165.0,175.9938,17.9387,58.6552
959.29,-73.158,-165.0,175.9938,17.9387,58.6552
959.293,-73.357,-165.0,175.9938,17.9387,58.6552
959.295,-73.556,-165.001,175.9938,17.9387,58.6552
959.297,-73.755,-165.001,175.9938,17.9387,58.6552
959.3,-73.955,-165.002,175.9938,17.9387,58.6552
959.302,-74.154,-165.002,175.9938,17.9387,58.6552
959.304,-74.353,-165.003,175.9938,17.9387,58.6552
959.307,-74.552,-165.003,175.9938,17.9387,58.6552
959.309,-74.751,-165.003,175.9938,17.9387,58.6552
959.311,-74.951,-165.004,175.9938,17.9387,58.6552
959.314,-75.15,-165.004,175.9938,17.9387,58.6552
959.316,-75.349,-165.005,175.9938,17.9387,58.6552
959.318,-75.548,-165.005,175.9938,17.9387,58.6552
959.321,-75.747,-165.005,175.9938,17.9387,58.6552
959.323,-75.947,-165.006,175.9938,17.9387,58.6552
959.325,-76.146,-165.006,175.9938,17.9387,58.6552
959.328,-76.345,-165.007,175.9938,17.9387,58.6552
959.33,-76.544,-165.007,175.9938,17.9387,58.6552
959.332,-76.743,-165.007,175.9938,17.9387,58.6552
959.335,-76.943,-165.008,175.9938,17.9387,58.6552
959.337,-77.142,-165.008,175.9938,17.9387,58.6552
959.339,-77.341,-165.009,175.9938,17.9387,58.6552
959.342,-77.54,-165.009,175.9938,17.9387,58.6552
959.344,-77.739,-165.009,175.9938,17.9387,58.6552
959.346,-77.938,-165.01,175.9938,17.9387,58.6552
959.349,-78.138,-165.01,175.9938,17.9387,58.6552
959.351,-78.337,-165.011,175.9938,17.9387,58.6552
959.353,-78.536,-165.011,175.9938,17.9387,58.6552
959.356,-78.735,-165.012,175.9938,17.9387,58.6552
959.358,-78.934,-165.012,175.9938,17.9387,58.6552
959.36,-79.134,-165.012,175.9938,17.9387,58.6552
959.363,-79.333,-165.013,175.9938,17.9387,58.6552
959.365,-79.532,-165.013,175.9938,17.9387,58.6552
959.367,-79.731,-165.014,175.9938,17.9387,58.6552
