X,Y,Z,Rx,Ry,Rz
959.01,-82.184,-165.266,175.9971,17.9431,58.6443
959.013,-82.382,-165.267,175.9971,17.9431,58.6443
959.016,-82.58,-165.267,175.9971,17.9431,58.6443
959.019,-82.778,-165.268,175.9971,17.9431,58.6443
959.022,-82.976,-165.269,175.9971,17.9431,58.6443
959.025,-83.174,-165.269,175.9971,17.9431,58.6443
959.028,-83.372,-165.27,175.9971,17.9431,58.6443
959.031,-83.57,-165.271,175.9971,17.9431,58.6443
959.035,-83.768,-165.271,175.9971,17.9431,58.6443
959.038,-83.966,-165.272,175.9971,17.9431,58.6443
959.041,-84.164,-165.273,175.9971,17.9431,58.6443
959.044,-84.362,-165.273,175.9971,17.9431,58.6443
959.047,-84.56,-165.274,175.9971,17.9431,58.6443
959.05,-84.758,-165.275,175.9971,17.9431,58.6443
959.053,-84.956,-165.276,175.9971,17.9431,58.6443
959.056,-85.154,-165.276,175.9971,17.9431,58.6443
959.059,-85.352,-165.277,175.9971,17.9431,58.6443
959.062,-85.55,-165.278,175.9971,17.9431,58.6443
959.065,-85.748,-165.278,175.9971,17.9431,58.6443
959.068,-85.947,-165.279,175.9971,17.9431,58.6443
959.071,-86.145,-165.28,175.9971,17.9431,58.6443
959.074,-86.343,-165.28,175.9971,17.9431,58.6443
959.078,-86.541,-165.281,175.9971,17.9431,58.6443
959.081,-86.739,-165.282,175.9971,17.9431,58.6443
959.084,-86.937,-165.282,175.9971,17.9431,58.6443
959.087,-87.135,-165.283,175.9971,17.9431,58.6443
959.09,-87.333,-165.284,175.9971,17.9431,58.6443
959.093,-87.531,-165.284,175.9971,17.9431,58.6443
959.096,-87.729,-165.285,175.9971,17.9431,58.6443
959.099,-87.927,-165.286,175.9971,17.9431,58.6443
959.102,-88.125,-165.286,175.9971,17.9431,58.6443
959.105,-88.323,-165.287,175.9971,17.9431,58.6443
959.108,-88.521,-165.288,175.9971,17.9431,58.6443
959.111,-88.719,-165.288,175.9971,17.9431,58.6443
959.114,-88.917,-165.289,175.9971,17.9431,58.6443
959.117,-89.115,-165.29,175.9971,17.9431,58.6443
959.12,-89.313,-165.29,175.9971,17.9431,58.6443
959.124,-89.511,-165.291,175.9971,17.9431,58.6443
959.127,-89.709,-165.292,175.9971,17.9431,58.6443
959.13,-89.907,-165.293,175.9971,17.9431,58.6443
959.133,-90.105,-165.293,175.9971,17.9431,58.6443
959.136,-90.303,-165.294,175.9971,17.9431,58.6443
959.139,-90.501,-165.295,175.9971,17.9431,58.6443
959.142,-90.699,-165.295,175.9971,17.9431,58.6443
959.145,-90.897,-165.296,175.9971,17.9431,58.6443
959.148,-91.095,-165.297,175.9971,17.9431,58.6443
959.151,-91.293,-165.297,175.9971,17.9431,58.6443
959.154,-91.491,-165.298,175.9971,17.9431,58.6443
959.157,-91.689,-165.299,175.9971,17.9431,58.6443
959.16,-91.887,-165.299,175.9971,17.9431,58.6443
959.163,-92.085,-165.3,175.9971,17.9431,58.6443
959.167,-92.283,-165.301,175.9971,17.9431,58.6443
959.17,-92.481,-165.301,175.9971,17.9431,58.6443
959.173,-92.679,-165.302,175.9971,17.9431,58.6443
959.176,-92.878,-165.303,175.9971,17.9431,58.6443
959.179,-93.076,-165.303,175.9971,17.9431,58.6443
959.182,-93.274,-165.304,175.9971,17.9431,58.6443
959.185,-93.472,-165.305,175.9971,17.9431,58.6443
959.188,-93.67,-165.305,175.9971,17.9431,58.6443
959.191,-93.868,-165.306,175.9971,17.9431,58.6443
959.194,-94.066,-165.307,175.9971,17.9431,58.6443
959.197,-94.264,-165.308,175.9971,17.9431,58.6443
959.2,-94.462,-165.308,175.9971,17.9431,58.6443
959.203,-94.66,-165.309,175.9971,17.9431,58.6443
959.206,-94.858,-165.31,175.9971,17.9431,58.6443
959.21,-95.056,-165.31,175.9971,17.9431,58.6443
959.213,-95.254,-165.311,175.9971,17.9431,58.6443
959.216,-95.452,-165.312,175.9971,17.9431,58.6443
959.219,-95.65,-165.312,175.9971,17.9431,58.6443
959.222,-95.848,-165.313,175.9971,17.9431,58.6443
959.225,-96.046,-165.314,175.9971,17.9431,58.6443
959.228,-96.244,-165.314,175.9971,17.9431,58.6443
959.231,-96.442,-165.315,175.9971,17.9431,58.6443
