I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,25656.0,145.3,0.0,0.0,0.0
6.0,6.0,0.0,25689.0,178.7,0.0,0.0,0.0
7.0,6.0,0.0,25722.0,211.4,0.0,0.0,0.0
8.0,7.0,0.0,25753.0,242.5,0.0,0.0,0.0
8.0,8.0,0.0,25781.0,271.1,0.0,0.0,0.0
9.0,8.0,0.0,25812.0,301.3,0.0,0.0,0.0
10.0,9.0,0.0,25842.0,331.5,0.0,0.0,0.0
10.0,10.0,0.0,25876.0,365.7,0.0,0.0,0.0
11.0,10.0,1.0,25909.0,399.0,399.0,132.0,1.0
14.0,11.0,0.0,0.0,538.5,0.0,0.0,0.0
15.0,14.0,0.0,32.0,570.5,0.0,0.0,0.0
15.0,15.0,0.0,62.0,601.1,0.0,0.0,0.0
16.0,15.0,0.0,94.0,632.9,0.0,0.0,0.0
17.0,16.0,0.0,124.0,662.9,0.0,0.0,0.0
17.0,17.0,0.0,155.0,693.5,0.0,0.0,0.0
18.0,17.0,0.0,190.0,729.0,0.0,0.0,0.0
19.0,18.0,0.0,218.0,757.1,0.0,0.0,0.0
19.0,19.0,0.0,250.0,788.6,0.0,0.0,0.0
2.0,19.0,1.0,284.0,822.6,822.6,133.0,2.0
5.0,2.0,0.0,0.0,962.9,0.0,0.0,0.0
6.0,5.0,0.0,30.0,993.0,0.0,0.0,0.0
6.0,6.0,0.0,59.0,1022.4,0.0,0.0,0.0
7.0,6.0,0.0,90.0,1053.0,0.0,0.0,0.0
8.0,7.0,0.0,119.0,1082.7,0.0,0.0,0.0
8.0,8.0,0.0,151.0,1114.5,0.0,0.0,0.0
9.0,8.0,0.0,182.0,1145.0,0.0,0.0,0.0
10.0,9.0,0.0,212.0,1175.3,0.0,0.0,0.0
10.0,10.0,0.0,242.0,1205.1,0.0,0.0,0.0
11.0,10.0,1.0,274.0,1237.5,1237.5,137.0,1.0
14.0,11.0,0.0,0.0,1384.2,0.0,0.0,0.0
15.0,14.0,0.0,29.0,1413.2,0.0,0.0,0.0
15.0,15.0,0.0,60.0,1444.5,0.0,0.0,0.0
16.0,15.0,0.0,96.0,1480.7,0.0,0.0,0.0
17.0,16.0,0.0,121.0,1505.5,0.0,0.0,0.0
17.0,17.0,0.0,155.0,1539.2,0.0,0.0,0.0
18.0,17.0,0.0,185.0,1569.5,0.0,0.0,0.0
19.0,18.0,0.0,216.0,1600.5,0.0,0.0,0.0
19.0,19.0,0.0,245.0,1629.5,0.0,0.0,0.0
2.0,19.0,1.0,278.0,1662.5,1662.5,140.0,2.0
5.0,2.0,0.0,0.0,1809.4,0.0,0.0,0.0
6.0,5.0,0.0,30.0,1840.3,0.0,0.0,0.0
6.0,6.0,0.0,61.0,1870.8,0.0,0.0,0.0
7.0,6.0,0.0,93.0,1903.4,0.0,0.0,0.0
8.0,7.0,0.0,128.0,1938.0,0.0,0.0,0.0
8.0,8.0,0.0,158.0,1968.3,0.0,0.0,0.0
9.0,8.0,0.0,189.0,1999.3,0.0,0.0,0.0
10.0,9.0,0.0,223.0,2033.0,0.0,0.0,0.0
10.0,10.0,0.0,249.0,2058.5,0.0,0.0,0.0
11.0,10.0,1.0,282.0,2092.3,2092.3,144.0,1.0
14.0,11.0,0.0,0.0,2243.2,0.0,0.0,0.0
15.0,14.0,0.0,27.0,2270.8,0.0,0.0,0.0
15.0,15.0,0.0,59.0,2302.3,0.0,0.0,0.0
16.0,15.0,0.0,88.0,2332.1,0.0,0.0,0.0
17.0,16.0,0.0,123.0,2366.7,0.0,0.0,0.0
18.0,17.0,0.0,152.0,2395.6,0.0,0.0,0.0
18.0,18.0,0.0,183.0,2426.5,0.0,0.0,0.0
19.0,18.0,0.0,215.0,2458.3,0.0,0.0,0.0
19.0,19.0,0.0,247.0,2491.2,0.0,0.0,0.0
2.0,19.0,1.0,283.0,2527.0,2527.0,133.0,2.0
5.0,2.0,0.0,0.0,2671.1,0.0,0.0,0.0
6.0,5.0,0.0,28.0,2700.0,0.0,0.0,0.0
7.0,6.0,0.0,58.0,2729.9,0.0,0.0,0.0
7.0,7.0,0.0,89.0,2760.6,0.0,0.0,0.0
8.0,7.0,0.0,121.0,2792.3,0.0,0.0,0.0
9.0,8.0,0.0,152.0,2823.3,0.0,0.0,0.0
9.0,9.0,0.0,183.0,2854.2,0.0,0.0,0.0
10.0,9.0,0.0,214.0,2886.1,0.0,0.0,0.0
11.0,10.0,1.0,241.0,2913.0,2913.0,140.0,1.0
14.0,11.0,0.0,0.0,3062.1,0.0,0.0,0.0
14.0,14.0,0.0,30.0,3092.9,0.0,0.0,0.0
15.0,14.0,0.0,61.0,3123.8,0.0,0.0,0.0
16.0,15.0,0.0,95.0,3157.7,0.0,0.0,0.0
16.0,16.0,0.0,124.0,3186.6,0.0,0.0,0.0
17.0,16.0,0.0,162.0,3224.5,0.0,0.0,0.0
18.0,17.0,0.0,196.0,3258.4,0.0,0.0,0.0
19.0,18.0,0.0,223.0,3285.3,0.0,0.0,0.0
19.0,19.0,0.0,257.0,3319.2,0.0,0.0,0.0
2.0,19.0,1.0,282.0,3345.1,3345.1,144.0,2.0
5.0,2.0,0.0,0.0,3500.0,0.0,0.0,0.0
6.0,5.0,0.0,32.0,3531.9,0.0,0.0,0.0
7.0,6.0,0.0,63.0,3562.8,0.0,0.0,0.0
7.0,7.0,0.0,94.0,3593.7,0.0,0.0,0.0
8.0,7.0,0.0,124.0,3623.6,0.0,0.0,0.0
9.0,8.0,0.0,155.0,3654.5,0.0,0.0,0.0
9.0,9.0,0.0,186.0,3685.4,0.0,0.0,0.0
10.0,9.0,0.0,219.0,3718.3,0.0,0.0,0.0
11.0,10.0,1.0,248.0,3747.2,3747.2,142.0,1.0
14.0,11.0,0.0,0.0,3902.1,0.0,0.0,0.0
14.0,14.0,0.0,25.0,3927.2,0.0,0.0,0.0
