I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,15607.0,169.9,0.0,0.0,0.0
7.0,6.0,0.0,15641.0,203.6,0.0,0.0,0.0
7.0,7.0,0.0,15667.0,229.6,0.0,0.0,0.0
8.0,7.0,0.0,15696.0,258.9,0.0,0.0,0.0
9.0,8.0,0.0,15727.0,289.8,0.0,0.0,0.0
9.0,9.0,0.0,15757.0,319.9,0.0,0.0,0.0
10.0,9.0,0.0,15787.0,349.9,0.0,0.0,0.0
11.0,10.0,1.0,15817.0,380.1,380.1,132.0,1.0
14.0,11.0,0.0,0.0,522.1,0.0,0.0,0.0
14.0,14.0,0.0,30.0,553.1,0.0,0.0,0.0
15.0,14.0,0.0,61.0,583.4,0.0,0.0,0.0
16.0,15.0,0.0,94.0,616.3,0.0,0.0,0.0
16.0,16.0,0.0,120.0,642.3,0.0,0.0,0.0
17.0,16.0,0.0,151.0,673.7,0.0,0.0,0.0
18.0,17.0,0.0,180.0,703.1,0.0,0.0,0.0
18.0,18.0,0.0,211.0,733.3,0.0,0.0,0.0
19.0,18.0,0.0,247.0,769.9,0.0,0.0,0.0
2.0,19.0,1.0,273.0,795.9,795.9,129.0,2.0
5.0,2.0,0.0,0.0,935.5,0.0,0.0,0.0
5.0,5.0,0.0,30.0,965.6,0.0,0.0,0.0
6.0,5.0,0.0,65.0,1000.9,0.0,0.0,0.0
7.0,6.0,0.0,89.0,1024.9,0.0,0.0,0.0
7.0,7.0,0.0,121.0,1056.9,0.0,0.0,0.0
8.0,7.0,0.0,149.0,1085.0,0.0,0.0,0.0
9.0,8.0,0.0,179.0,1115.5,0.0,0.0,0.0
9.0,9.0,0.0,210.0,1145.5,0.0,0.0,0.0
10.0,9.0,0.0,240.0,1175.5,0.0,0.0,0.0
10.0,10.0,0.0,270.0,1205.7,0.0,0.0,0.0
11.0,10.0,1.0,300.0,1235.7,1235.7,140.0,1.0
14.0,11.0,0.0,0.0,1386.3,0.0,0.0,0.0
15.0,14.0,0.0,30.0,1417.2,0.0,0.0,0.0
16.0,15.0,0.0,59.0,1446.0,0.0,0.0,0.0
16.0,16.0,0.0,91.0,1477.6,0.0,0.0,0.0
17.0,16.0,0.0,126.0,1513.0,0.0,0.0,0.0
18.0,17.0,0.0,150.0,1537.2,0.0,0.0,0.0
