X,Y,Z,Rx,Ry,Rz,Time
967.594,-107.891,-138.495,151.6149,-25.0203,-130.5182,0.0
967.594,-107.831,-138.495,151.6149,-25.0203,-130.5182,0.04
967.593,-107.77,-138.495,151.6149,-25.0203,-130.5182,0.08
967.593,-107.71,-138.495,151.6149,-25.0203,-130.5182,0.12
967.592,-107.65,-138.495,151.6149,-25.0203,-130.5182,0.16
967.592,-107.589,-138.495,151.6149,-25.0203,-130.5182,0.2
967.591,-107.529,-138.496,151.6149,-25.0203,-130.5182,0.24
967.591,-107.468,-138.496,151.6149,-25.0203,-130.5182,0.28
967.59,-107.408,-138.496,151.6149,-25.0203,-130.5182,0.32
967.59,-107.348,-138.496,151.6149,-25.0203,-130.5182,0.36
967.589,-107.287,-138.496,151.6149,-25.0203,-130.5182,0.4
967.589,-107.227,-138.496,151.6149,-25.0203,-130.5182,0.44
967.588,-107.167,-138.496,151.6149,-25.0203,-130.5182,0.48
967.588,-107.106,-138.496,151.6149,-25.0203,-130.5182,0.52
967.587,-107.046,-138.496,151.6149,-25.0203,-130.5182,0.56
967.587,-106.986,-138.496,151.6149,-25.0203,-130.5182,0.6
967.586,-106.925,-138.496,151.6149,-25.0203,-130.5182,0.64
967.586,-106.865,-138.497,151.6149,-25.0203,-130.5182,0.68
967.585,-106.804,-138.497,151.6149,-25.0203,-130.5182,0.72
967.585,-106.744,-138.497,151.6149,-25.0203,-130.5182,0.76
967.584,-106.684,-138.497,151.6149,-25.0203,-130.5182,0.8
967.584,-106.623,-138.497,151.6149,-25.0203,-130.5182,0.84
967.583,-106.563,-138.497,151.6149,-25.0203,-130.5182,0.88
967.583,-106.503,-138.497,151.6149,-25.0203,-130.5182,0.92
967.582,-106.442,-138.497,151.6149,-25.0203,-130.5182,0.96
967.582,-106.382,-138.497,151.6149,-25.0203,-130.5182,1.0
967.581,-106.322,-138.497,151.6149,-25.0203,-130.5182,1.04
967.581,-106.261,-138.498,151.6149,-25.0203,-130.5182,1.08
967.581,-106.201,-138.498,151.6149,-25.0203,-130.5182,1.12
967.58,-106.141,-138.498,151.6149,-25.0203,-130.5182,1.16
967.58,-106.08,-138.498,151.6149,-25.0203,-130.5182,1.2
967.579,-106.02,-138.498,151.6149,-25.0203,-130.5182,1.24
967.579,-105.959,-138.498,151.6149,-25.0203,-130.5182,1.28
967.578,-105.899,-138.498,151.6149,-25.0203,-130.5182,1.32
967.578,-105.839,-138.498,151.6149,-25.0203,-130.5182,1.36
967.577,-105.778,-138.498,151.6149,-25.0203,-130.5182,1.4000000000000001
967.577,-105.718,-138.498,151.6149,-25.0203,-130.5182,1.44
967.576,-105.658,-138.498,151.6149,-25.0203,-130.5182,1.48
967.576,-105.597,-138.499,151.6149,-25.0203,-130.5182,1.52
967.575,-105.537,-138.499,151.6149,-25.0203,-130.5182,1.56
967.575,-105.477,-138.499,151.6149,-25.0203,-130.5182,1.6
967.574,-105.416,-138.499,151.6149,-25.0203,-130.5182,1.6400000000000001
967.574,-105.356,-138.499,151.6149,-25.0203,-130.5182,1.68
967.573,-105.295,-138.499,151.6149,-25.0203,-130.5182,1.72
967.573,-105.235,-138.499,151.6149,-25.0203,-130.5182,1.76
967.572,-105.175,-138.499,151.6149,-25.0203,-130.5182,1.8
967.572,-105.114,-138.499,151.6149,-25.0203,-130.5182,1.84
967.571,-105.054,-138.499,151.6149,-25.0203,-130.5182,1.8800000000000001
967.571,-104.994,-138.499,151.6149,-25.0203,-130.5182,1.92
967.57,-104.933,-138.5,151.6149,-25.0203,-130.5182,1.96
967.57,-104.873,-138.5,151.6149,-25.0203,-130.5182,2.0
967.569,-104.813,-138.5,151.6149,-25.0203,-130.5182,2.04
967.569,-104.752,-138.5,151.6149,-25.0203,-130.5182,2.08
967.569,-104.692,-138.5,151.6149,-25.0203,-130.5182,2.12
967.568,-104.631,-138.5,151.6149,-25.0203,-130.5182,2.16
967.568,-104.571,-138.5,151.6149,-25.0203,-130.5182,2.2
967.567,-104.511,-138.5,151.6149,-25.0203,-130.5182,2.24
967.567,-104.45,-138.5,151.6149,-25.0203,-130.5182,2.2800000000000002
967.566,-104.39,-138.5,151.6149,-25.0203,-130.5182,2.32
967.566,-104.33,-138.501,151.6149,-25.0203,-130.5182,2.36
967.565,-104.269,-138.501,151.6149,-25.0203,-130.5182,2.4
967.565,-104.209,-138.501,151.6149,-25.0203,-130.5182,2.44
967.564,-104.149,-138.501,151.6149,-25.0203,-130.5182,2.48
967.564,-104.088,-138.501,151.6149,-25.0203,-130.5182,2.52
967.563,-104.028,-138.501,151.6149,-25.0203,-130.5182,2.56
967.563,-103.967,-138.501,151.6149,-25.0203,-130.5182,2.6
967.562,-103.907,-138.501,151.6149,-25.0203,-130.5182,2.64
967.562,-103.847,-138.501,151.6149,-25.0203,-130.5182,2.68
967.561,-103.786,-138.501,151.6149,-25.0203,-130.5182,2.72
967.561,-103.726,-138.501,151.6149,-25.0203,-130.5182,2.7600000000000002
967.56,-103.666,-138.502,151.6149,-25.0203,-130.5182,2.8000000000000003
967.56,-103.605,-138.502,151.6149,-25.0203,-130.5182,2.84
967.559,-103.545,-138.502,151.6149,-25.0203,-130.5182,2.88
967.559,-103.485,-138.502,151.6149,-25.0203,-130.5182,2.92
967.558,-103.424,-138.502,151.6149,-25.0203,-130.5182,2.96
967.558,-103.364,-138.502,151.6149,-25.0203,-130.5182,3.0
967.557,-103.303,-138.502,151.6149,-25.0203,-130.5182,3.04
967.557,-103.243,-138.502,151.6149,-25.0203,-130.5182,3.08
967.556,-103.183,-138.502,151.6149,-25.0203,-130.5182,3.12
967.556,-103.122,-138.502,151.6149,-25.0203,-130.5182,3.16
967.556,-103.062,-138.502,151.6149,-25.0203,-130.5182,3.2
967.555,-103.002,-138.503,151.6149,-25.0203,-130.5182,3.24
967.555,-102.941,-138.503,151.6149,-25.0203,-130.5182,3.2800000000000002
967.554,-102.881,-138.503,151.6149,-25.0203,-130.5182,3.3200000000000003
967.554,-102.821,-138.503,151.6149,-25.0203,-130.5182,3.36
967.553,-102.76,-138.503,151.6149,-25.0203,-130.5182,3.4
967.553,-102.7,-138.503,151.6149,-25.0203,-130.5182,3.44
967.552,-102.64,-138.503,151.6149,-25.0203,-130.5182,3.48
967.552,-102.579,-138.503,151.6149,-25.0203,-130.5182,3.52
967.551,-102.519,-138.503,151.6149,-25.0203,-130.5182,3.56
967.551,-102.458,-138.503,151.6149,-25.0203,-130.5182,3.6
967.55,-102.398,-138.504,151.6149,-25.0203,-130.5182,3.64
967.55,-102.338,-138.504,151.6149,-25.0203,-130.5182,3.68
967.549,-102.277,-138.504,151.6149,-25.0203,-130.5182,3.72
967.549,-102.217,-138.504,151.6149,-25.0203,-130.5182,3.7600000000000002
967.548,-102.157,-138.504,151.6149,-25.0203,-130.5182,3.8000000000000003
967.548,-102.096,-138.504,151.6149,-25.0203,-130.5182,3.84
967.547,-102.036,-138.504,151.6149,-25.0203,-130.5182,3.88
967.547,-101.976,-138.504,151.6149,-25.0203,-130.5182,3.92
967.546,-101.915,-138.504,151.6149,-25.0203,-130.5182,3.96
967.546,-101.855,-138.504,151.6149,-25.0203,-130.5182,4.0
967.545,-101.794,-138.504,151.6149,-25.0203,-130.5182,4.04
967.545,-101.734,-138.505,151.6149,-25.0203,-130.5182,4.08
967.544,-101.674,-138.505,151.6149,-25.0203,-130.5182,4.12
967.544,-101.613,-138.505,151.6149,-25.0203,-130.5182,4.16
967.544,-101.553,-138.505,151.6149,-25.0203,-130.5182,4.2
967.543,-101.493,-138.505,151.6149,-25.0203,-130.5182,4.24
967.543,-101.432,-138.505,151.6149,-25.0203,-130.5182,4.28
967.542,-101.372,-138.505,151.6149,-25.0203,-130.5182,4.32
967.542,-101.312,-138.505,151.6149,-25.0203,-130.5182,4.36
967.541,-101.251,-138.505,151.6149,-25.0203,-130.5182,4.4
967.541,-101.191,-138.505,151.6149,-25.0203,-130.5182,4.44
967.54,-101.13,-138.505,151.6149,-25.0203,-130.5182,4.48
967.54,-101.07,-138.506,151.6149,-25.0203,-130.5182,4.5200000000000005
967.539,-101.01,-138.506,151.6149,-25.0203,-130.5182,4.5600000000000005
967.539,-100.949,-138.506,151.6149,-25.0203,-130.5182,4.6000000000000005
967.538,-100.889,-138.506,151.6149,-25.0203,-130.5182,4.64
967.538,-100.829,-138.506,151.6149,-25.0203,-130.5182,4.68
967.537,-100.768,-138.506,151.6149,-25.0203,-130.5182,4.72
967.537,-100.708,-138.506,151.6149,-25.0203,-130.5182,4.76
967.536,-100.648,-138.506,151.6149,-25.0203,-130.5182,4.8
967.536,-100.587,-138.506,151.6149,-25.0203,-130.5182,4.84
967.535,-100.527,-138.506,151.6149,-25.0203,-130.5182,4.88
967.535,-100.466,-138.507,151.6149,-25.0203,-130.5182,4.92
967.534,-100.406,-138.507,151.6149,-25.0203,-130.5182,4.96
967.534,-100.346,-138.507,151.6149,-25.0203,-130.5182,5.0
967.533,-100.285,-138.507,151.6149,-25.0203,-130.5182,5.04
967.533,-100.225,-138.507,151.6149,-25.0203,-130.5182,5.08
967.532,-100.165,-138.507,151.6149,-25.0203,-130.5182,5.12
967.532,-100.104,-138.507,151.6149,-25.0203,-130.5182,5.16
967.531,-100.044,-138.507,151.6149,-25.0203,-130.5182,5.2
967.531,-99.984,-138.507,151.6149,-25.0203,-130.5182,5.24
967.531,-99.923,-138.507,151.6149,-25.0203,-130.5182,5.28
967.53,-99.863,-138.507,151.6149,-25.0203,-130.5182,5.32
967.53,-99.803,-138.508,151.6149,-25.0203,-130.5182,5.36
967.529,-99.742,-138.508,151.6149,-25.0203,-130.5182,5.4
967.529,-99.682,-138.508,151.6149,-25.0203,-130.5182,5.44
967.528,-99.621,-138.508,151.6149,-25.0203,-130.5182,5.48
967.528,-99.561,-138.508,151.6149,-25.0203,-130.5182,5.5200000000000005
967.527,-99.501,-138.508,151.6149,-25.0203,-130.5182,5.5600000000000005
967.527,-99.44,-138.508,151.6149,-25.0203,-130.5182,5.6000000000000005
967.526,-99.38,-138.508,151.6149,-25.0203,-130.5182,5.64
967.526,-99.32,-138.508,151.6149,-25.0203,-130.5182,5.68
967.525,-99.259,-138.508,151.6149,-25.0203,-130.5182,5.72
