X,Y,Z,Rx,Ry,Rz
967.594,-107.831,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.593,-107.77,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.593,-107.71,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.592,-107.65,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.592,-107.589,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.591,-107.529,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.591,-107.468,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.59,-107.408,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.59,-107.348,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.589,-107.287,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.589,-107.227,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.588,-107.167,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.588,-107.106,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.587,-107.046,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.587,-106.986,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.586,-106.925,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.586,-106.865,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.585,-106.804,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.585,-106.744,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.584,-106.684,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.584,-106.623,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.583,-106.563,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.583,-106.503,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.582,-106.442,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.582,-106.382,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.581,-106.322,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.581,-106.261,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.581,-106.201,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.58,-106.141,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.58,-106.08,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.579,-106.02,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.579,-105.959,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.578,-105.899,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.578,-105.839,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.577,-105.778,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.577,-105.718,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.576,-105.658,-138.498,1516.1490000000001,-250.20299999999997,-1305.182
967.576,-105.597,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.575,-105.537,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.575,-105.477,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.574,-105.416,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.574,-105.356,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.573,-105.295,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.573,-105.235,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.572,-105.175,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.572,-105.114,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.571,-105.054,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.571,-104.994,-138.499,1516.1490000000001,-250.20299999999997,-1305.182
967.57,-104.933,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.57,-104.873,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.569,-104.813,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.569,-104.752,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.569,-104.692,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.568,-104.631,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.568,-104.571,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.567,-104.511,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.567,-104.45,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
967.566,-104.39,-138.5,1516.1490000000001,-250.20299999999997,-1305.182
