X,Y,Z,Rx,Ry,Rz
967.594,-107.635,-138.492,151.6153,-25.0198,-130.5184
967.591,-107.585,-138.489,151.6154,-25.0203,-130.5189
967.592,-107.555,-138.491,151.6148,-25.0197,-130.5179
967.588,-107.506,-138.499,151.6143,-25.0207,-130.5181
967.589,-107.476,-138.501,151.6156,-25.021,-130.519
967.586,-107.426,-138.499,151.6138,-25.0206,-130.5176
967.587,-107.396,-138.501,151.6151,-25.0209,-130.5184
967.59,-107.347,-138.495,151.6139,-25.02,-130.5174
967.588,-107.121,-138.499,151.6149,-25.0197,-130.5184
967.585,-107.09,-138.495,151.6156,-25.0208,-130.5192
967.591,-107.042,-138.495,151.615,-25.0191,-130.5181
967.589,-107.011,-138.491,151.6157,-25.0202,-130.5189
967.59,-106.981,-138.492,151.6151,-25.0196,-130.5179
967.587,-106.931,-138.49,151.6152,-25.0201,-130.5184
967.586,-106.883,-138.505,151.6153,-25.0203,-130.5186
967.583,-106.852,-138.5,151.6141,-25.0205,-130.5176
967.585,-106.822,-138.502,151.6154,-25.0208,-130.5185
967.582,-106.607,-138.496,151.6145,-25.02,-130.5186
967.58,-106.546,-138.494,151.6146,-25.0205,-130.5184
967.582,-106.516,-138.496,151.6159,-25.0208,-130.5192
967.583,-106.486,-138.498,151.6153,-25.0201,-130.5182
967.58,-106.436,-138.495,151.6154,-25.0206,-130.5187
967.587,-106.406,-138.494,151.6154,-25.0196,-130.5179
967.584,-106.357,-138.491,151.6155,-25.02,-130.5184
967.585,-106.327,-138.493,151.6149,-25.0194,-130.5174
967.58,-106.277,-138.501,151.6143,-25.0204,-130.5176
967.58,-106.241,-138.505,151.6151,-25.0201,-130.5188
967.58,-106.021,-138.498,151.6147,-25.0199,-130.5179
967.577,-105.971,-138.495,151.6148,-25.0204,-130.5184
967.579,-105.941,-138.497,151.6162,-25.0207,-130.5192
967.577,-105.88,-138.494,151.6143,-25.0203,-130.5172
967.582,-105.843,-138.495,151.6156,-25.0195,-130.5186
967.579,-105.812,-138.49,151.6144,-25.0197,-130.5176
967.58,-105.782,-138.492,151.6157,-25.02,-130.5184
967.576,-105.733,-138.501,151.6152,-25.021,-130.5187
967.577,-105.703,-138.502,151.6146,-25.0204,-130.5176
967.575,-105.476,-138.497,151.6156,-25.0205,-130.5189
967.573,-105.427,-138.495,151.6157,-25.021,-130.5194
967.574,-105.397,-138.496,151.6151,-25.0204,-130.5184
967.575,-105.348,-138.5,151.6158,-25.0201,-130.5189
967.573,-105.306,-138.496,151.6146,-25.0202,-130.5172
967.573,-105.269,-138.499,151.6153,-25.0199,-130.5184
967.575,-105.238,-138.491,151.6147,-25.0197,-130.5176
967.575,-105.189,-138.506,151.6148,-25.0199,-130.5178
967.575,-104.951,-138.501,151.6158,-25.0199,-130.5184
967.57,-104.913,-138.498,151.6139,-25.0195,-130.5178
967.573,-104.872,-138.5,151.6153,-25.0198,-130.5179
967.568,-104.834,-138.498,151.6153,-25.0203,-130.5191
967.571,-104.792,-138.499,151.6148,-25.0197,-130.5174
967.567,-104.755,-138.497,151.6148,-25.0202,-130.5186
967.573,-104.713,-138.506,151.6161,-25.0205,-130.5186
967.568,-104.675,-138.503,151.6143,-25.0201,-130.518
967.571,-104.633,-138.506,151.6156,-25.0204,-130.5181
967.569,-104.407,-138.5,151.6147,-25.0196,-130.5176
967.565,-104.369,-138.497,151.6148,-25.0201,-130.5187
967.568,-104.328,-138.499,151.6161,-25.0204,-130.5189
967.563,-104.29,-138.497,151.6143,-25.02,-130.5182
967.566,-104.248,-138.499,151.6156,-25.0203,-130.5183
967.565,-104.21,-138.503,151.6137,-25.0199,-130.5177
967.567,-104.168,-138.505,151.615,-25.0202,-130.5178
967.563,-104.131,-138.503,151.6151,-25.0207,-130.519
967.565,-104.089,-138.505,151.6145,-25.0201,-130.5173
967.563,-103.874,-138.499,151.6155,-25.0202,-130.5192
967.564,-103.844,-138.501,151.6149,-25.0196,-130.5182
967.561,-103.795,-138.498,151.615,-25.0201,-130.5187
967.562,-103.764,-138.5,151.6144,-25.0195,-130.5177
967.56,-103.703,-138.498,151.6145,-25.02,-130.5175
967.558,-103.667,-138.512,151.6146,-25.0202,-130.5184
967.56,-103.636,-138.504,151.614,-25.0199,-130.5177
967.561,-103.587,-138.508,151.6147,-25.0196,-130.5182
967.56,-103.545,-138.504,151.6154,-25.0207,-130.5183
967.558,-103.318,-138.498,151.6144,-25.0199,-130.5177
967.559,-103.27,-138.502,151.6152,-25.0196,-130.5182
967.556,-103.239,-138.498,151.6159,-25.0207,-130.519
967.557,-103.19,-138.501,151.6147,-25.0195,-130.5177
967.558,-103.159,-138.504,151.6153,-25.0206,-130.5185
967.559,-103.11,-138.508,151.6141,-25.0194,-130.5172
967.556,-103.061,-138.505,151.6142,-25.0199,-130.5177
967.557,-103.031,-138.507,151.6155,-25.0202,-130.5185
967.554,-103.0,-138.503,151.6143,-25.0204,-130.5175
967.552,-102.774,-138.497,151.6153,-25.0205,-130.5187
967.551,-102.726,-138.512,151.6154,-25.0207,-130.5189
967.554,-102.694,-138.504,151.6147,-25.0204,-130.5182
967.555,-102.646,-138.508,151.6154,-25.0201,-130.5187
967.552,-102.597,-138.505,151.6155,-25.0206,-130.5192
967.553,-102.566,-138.507,151.6149,-25.02,-130.5181
967.55,-102.517,-138.504,151.615,-25.0205,-130.5186
967.552,-102.475,-138.506,151.6144,-25.0199,-130.5169
967.553,-102.438,-138.5,151.6151,-25.0199,-130.5184
967.549,-102.211,-138.506,151.6155,-25.0205,-130.5193
967.552,-102.169,-138.507,151.6149,-25.0199,-130.5176
967.547,-102.132,-138.505,151.615,-25.0204,-130.5188
967.549,-102.09,-138.507,151.6144,-25.0198,-130.5171
967.546,-102.04,-138.504,151.6144,-25.0203,-130.5176
967.546,-102.004,-138.508,151.6152,-25.02,-130.5188
967.55,-101.961,-138.5,151.6145,-25.0197,-130.5173
967.551,-101.912,-138.504,151.6152,-25.0194,-130.5178
967.547,-101.686,-138.509,151.6156,-25.02,-130.5188
967.544,-101.655,-138.504,151.6144,-25.0202,-130.5178
967.545,-101.607,-138.508,151.6151,-25.0199,-130.5183
967.542,-101.576,-138.504,151.6158,-25.021,-130.5191
967.548,-101.527,-138.504,151.6152,-25.0193,-130.518
967.545,-101.496,-138.5,151.6158,-25.0204,-130.5188
967.546,-101.447,-138.503,151.6146,-25.0192,-130.5175
967.542,-101.41,-138.501,151.6147,-25.0197,-130.5187
967.544,-101.368,-138.503,151.6161,-25.02,-130.5188
967.54,-101.142,-138.508,151.6145,-25.0197,-130.5179
967.537,-101.111,-138.504,151.6152,-25.0208,-130.5188
967.544,-101.062,-138.504,151.6165,-25.02,-130.5195
967.54,-101.013,-138.501,151.6146,-25.0196,-130.5182
967.542,-100.983,-138.503,151.616,-25.0199,-130.519
967.536,-100.933,-138.511,151.6135,-25.02,-130.5174
967.539,-100.892,-138.513,151.6148,-25.0203,-130.5175
967.534,-100.854,-138.511,151.6149,-25.0208,-130.5187
967.541,-100.824,-138.509,151.6149,-25.0197,-130.5179
967.54,-100.567,-138.505,151.6153,-25.0192,-130.5181
967.538,-100.525,-138.501,151.616,-25.0203,-130.5183
967.534,-100.499,-138.515,151.6141,-25.0196,-130.5181
967.533,-100.457,-138.511,151.6148,-25.0207,-130.5182
967.534,-100.409,-138.515,151.6155,-25.0204,-130.5187
967.536,-100.377,-138.507,151.6149,-25.0202,-130.5179
967.537,-100.348,-138.509,151.6162,-25.0205,-130.5187
967.534,-100.298,-138.506,151.6144,-25.02,-130.5174
967.53,-100.072,-138.511,151.6147,-25.0207,-130.5183
967.531,-100.041,-138.513,151.6141,-25.0201,-130.5173
967.528,-99.992,-138.51,151.6142,-25.0206,-130.5178
967.534,-99.944,-138.511,151.6155,-25.0198,-130.5186
967.531,-99.912,-138.506,151.6143,-25.02,-130.5176
967.532,-99.864,-138.51,151.615,-25.0197,-130.5181
967.529,-99.833,-138.506,151.6157,-25.0208,-130.5189
967.528,-99.796,-138.509,151.6145,-25.0196,-130.5182
967.532,-99.754,-138.501,151.6158,-25.0202,-130.5186
967.529,-99.516,-138.507,151.6161,-25.0208,-130.5188
