I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
2.0,2.0,0.0,17354.0,158.8,0.0,0.0,0.0
2.0,2.0,0.0,17387.0,191.9,0.0,0.0,0.0
2.0,2.0,0.0,17416.0,221.0,0.0,0.0,0.0
2.0,2.0,0.0,17444.0,249.1,0.0,0.0,0.0
2.0,2.0,0.0,17474.0,279.1,0.0,0.0,0.0
3.0,2.0,0.0,17506.0,310.4,0.0,0.0,0.0
3.0,3.0,0.0,17536.0,341.1,0.0,0.0,0.0
4.0,3.0,0.0,17566.0,370.5,0.0,0.0,0.0
5.0,4.0,0.0,17600.0,405.0,0.0,0.0,0.0
5.0,5.0,0.0,17627.0,431.7,0.0,0.0,0.0
6.0,5.0,0.0,17657.0,461.7,0.0,0.0,0.0
7.0,6.0,0.0,17687.0,491.7,0.0,0.0,0.0
7.0,7.0,0.0,17717.0,521.7,0.0,0.0,0.0
8.0,7.0,0.0,17747.0,551.7,0.0,0.0,0.0
9.0,8.0,0.0,17777.0,582.0,0.0,0.0,0.0
9.0,9.0,0.0,17808.0,613.1,0.0,0.0,0.0
10.0,9.0,0.0,17837.0,642.1,0.0,0.0,0.0
11.0,10.0,1.0,17867.0,671.9,671.9,138.0,1.0
14.0,11.0,0.0,0.0,823.8,0.0,0.0,0.0
14.0,14.0,0.0,21.0,845.4,0.0,0.0,0.0
15.0,14.0,0.0,56.0,880.0,0.0,0.0,0.0
16.0,15.0,0.0,90.0,914.5,0.0,0.0,0.0
16.0,16.0,0.0,114.0,938.7,0.0,0.0,0.0
17.0,16.0,0.0,148.0,971.6,0.0,0.0,0.0
18.0,17.0,0.0,177.0,1001.6,0.0,0.0,0.0
18.0,18.0,0.0,208.0,1031.8,0.0,0.0,0.0
19.0,18.0,0.0,240.0,1063.8,0.0,0.0,0.0
2.0,19.0,1.0,270.0,1093.8,1093.8,131.0,2.0
5.0,2.0,0.0,0.0,1235.8,0.0,0.0,0.0
5.0,5.0,0.0,30.0,1265.6,0.0,0.0,0.0
6.0,5.0,0.0,59.0,1295.0,0.0,0.0,0.0
7.0,6.0,0.0,91.0,1327.2,0.0,0.0,0.0
7.0,7.0,0.0,121.0,1357.4,0.0,0.0,0.0
8.0,7.0,0.0,156.0,1391.8,0.0,0.0,0.0
9.0,8.0,0.0,182.0,1417.8,0.0,0.0,0.0
9.0,9.0,0.0,211.0,1447.4,0.0,0.0,0.0
10.0,9.0,0.0,242.0,1477.7,0.0,0.0,0.0
11.0,10.0,1.0,273.0,1508.8,1508.8,131.0,1.0
14.0,11.0,0.0,0.0,1654.1,0.0,0.0,0.0
14.0,14.0,0.0,30.0,1684.5,0.0,0.0,0.0
15.0,14.0,0.0,60.0,1714.5,0.0,0.0,0.0
16.0,15.0,0.0,91.0,1745.3,0.0,0.0,0.0
16.0,16.0,0.0,123.0,1776.7,0.0,0.0,0.0
17.0,16.0,0.0,153.0,1807.7,0.0,0.0,0.0
17.0,17.0,0.0,182.0,1837.0,0.0,0.0,0.0
18.0,17.0,0.0,213.0,1867.8,0.0,0.0,0.0
19.0,18.0,0.0,248.0,1902.8,0.0,0.0,0.0
2.0,19.0,1.0,279.0,1933.2,1933.2,136.0,2.0
5.0,2.0,0.0,0.0,2082.1,0.0,0.0,0.0
5.0,5.0,0.0,27.0,2109.6,0.0,0.0,0.0
6.0,5.0,0.0,58.0,2140.4,0.0,0.0,0.0
6.0,6.0,0.0,87.0,2169.7,0.0,0.0,0.0
7.0,6.0,0.0,120.0,2202.5,0.0,0.0,0.0
8.0,7.0,0.0,148.0,2230.5,0.0,0.0,0.0
8.0,8.0,0.0,179.0,2261.7,0.0,0.0,0.0
9.0,8.0,0.0,209.0,2291.8,0.0,0.0,0.0
10.0,9.0,0.0,243.0,2325.9,0.0,0.0,0.0
10.0,10.0,0.0,269.0,2351.5,0.0,0.0,0.0
11.0,10.0,1.0,300.0,2382.7,2382.7,150.0,1.0
14.0,11.0,0.0,0.0,2544.1,0.0,0.0,0.0
15.0,14.0,0.0,25.0,2570.1,0.0,0.0,0.0
16.0,15.0,0.0,58.0,2602.3,0.0,0.0,0.0
16.0,16.0,0.0,89.0,2633.6,0.0,0.0,0.0
17.0,16.0,0.0,119.0,2663.3,0.0,0.0,0.0
18.0,17.0,0.0,153.0,2697.7,0.0,0.0,0.0
18.0,18.0,0.0,178.0,2722.1,0.0,0.0,0.0
19.0,18.0,0.0,209.0,2753.8,0.0,0.0,0.0
2.0,19.0,1.0,239.0,2783.8,2783.8,148.0,2.0
5.0,2.0,0.0,0.0,2942.1,0.0,0.0,0.0
6.0,5.0,0.0,29.0,2971.6,0.0,0.0,0.0
6.0,6.0,0.0,60.0,3002.1,0.0,0.0,0.0
7.0,6.0,0.0,90.0,3032.2,0.0,0.0,0.0
8.0,7.0,0.0,119.0,3061.9,0.0,0.0,0.0
8.0,8.0,0.0,150.0,3092.7,0.0,0.0,0.0
