X,Y,Z,Rx,Ry,Rz,Time
969.16,-107.867,-138.601,151.6271,-25.011,-130.5229,0.0
969.159,-107.807,-138.601,151.6271,-25.011,-130.5229,0.04
969.158,-107.746,-138.601,151.6271,-25.011,-130.5229,0.08
969.157,-107.686,-138.601,151.6271,-25.011,-130.5229,0.12
969.156,-107.626,-138.601,151.6271,-25.011,-130.5229,0.16
969.155,-107.565,-138.601,151.6271,-25.011,-130.5229,0.2
969.154,-107.505,-138.601,151.6271,-25.011,-130.5229,0.24
969.153,-107.445,-138.601,151.6271,-25.011,-130.5229,0.28
969.152,-107.384,-138.602,151.6271,-25.011,-130.5229,0.32
969.151,-107.324,-138.602,151.6271,-25.011,-130.5229,0.36
969.15,-107.264,-138.602,151.6271,-25.011,-130.5229,0.4
969.149,-107.203,-138.602,151.6271,-25.011,-130.5229,0.44
969.148,-107.143,-138.602,151.6271,-25.011,-130.5229,0.48
969.147,-107.083,-138.602,151.6271,-25.011,-130.5229,0.52
969.146,-107.022,-138.602,151.6271,-25.011,-130.5229,0.56
969.145,-106.962,-138.602,151.6271,-25.011,-130.5229,0.6
969.144,-106.902,-138.602,151.6271,-25.011,-130.5229,0.64
969.143,-106.841,-138.602,151.6271,-25.011,-130.5229,0.68
969.142,-106.781,-138.602,151.6271,-25.011,-130.5229,0.72
969.141,-106.721,-138.602,151.6271,-25.011,-130.5229,0.76
969.14,-106.66,-138.602,151.6271,-25.011,-130.5229,0.8
969.139,-106.6,-138.602,151.6271,-25.011,-130.5229,0.84
969.138,-106.54,-138.603,151.6271,-25.011,-130.5229,0.88
969.137,-106.479,-138.603,151.6271,-25.011,-130.5229,0.92
969.136,-106.419,-138.603,151.6271,-25.011,-130.5229,0.96
969.135,-106.359,-138.603,151.6271,-25.011,-130.5229,1.0
969.134,-106.298,-138.603,151.6271,-25.011,-130.5229,1.04
969.133,-106.238,-138.603,151.6271,-25.011,-130.5229,1.08
969.132,-106.178,-138.603,151.6271,-25.011,-130.5229,1.12
969.131,-106.117,-138.603,151.6271,-25.011,-130.5229,1.16
