X,Y,Z,Rx,Ry,Rz
969.154,-107.805,-138.645,151.6371,-25.0111,-130.541
969.154,-107.805,-138.645,151.6371,-25.0111,-130.541
969.154,-107.805,-138.645,151.6371,-25.0111,-130.541
969.154,-107.805,-138.645,151.6371,-25.0111,-130.541
969.154,-107.805,-138.645,151.6371,-25.0111,-130.541
969.159,-107.806,-138.599,151.6272,-25.0115,-130.5227
969.158,-107.769,-138.602,151.626,-25.0103,-130.5221
969.16,-107.739,-138.604,151.6273,-25.0106,-130.5229
969.157,-107.69,-138.602,151.6274,-25.0111,-130.5234
969.158,-107.641,-138.605,151.6262,-25.0098,-130.5221
969.155,-107.61,-138.601,151.6269,-25.0109,-130.5229
969.156,-107.562,-138.605,151.6276,-25.0106,-130.5234
969.153,-107.53,-138.601,151.6264,-25.0108,-130.5224
969.155,-107.501,-138.603,151.6277,-25.0111,-130.5232
969.152,-107.451,-138.6,151.6278,-25.0116,-130.5237
969.153,-107.421,-138.602,151.6272,-25.011,-130.5227
969.153,-107.384,-138.606,151.628,-25.0107,-130.5238
969.151,-107.341,-138.601,151.6267,-25.0109,-130.5221
969.145,-107.115,-138.599,151.6271,-25.0114,-130.5231
969.146,-107.084,-138.601,151.6265,-25.0108,-130.5221
969.143,-107.035,-138.599,151.6266,-25.0113,-130.5226
969.145,-106.987,-138.602,151.6274,-25.0109,-130.5231
969.146,-106.956,-138.604,151.6268,-25.0103,-130.5221
969.143,-106.907,-138.602,151.6269,-25.0108,-130.5226
969.144,-106.877,-138.604,151.6282,-25.0111,-130.5234
969.14,-106.839,-138.601,151.6264,-25.0107,-130.5228
969.142,-106.798,-138.603,151.6277,-25.011,-130.5229
969.141,-106.57,-138.597,151.6268,-25.0102,-130.5223
969.142,-106.522,-138.601,151.6275,-25.0098,-130.5228
969.141,-106.48,-138.597,151.6282,-25.0109,-130.5229
969.141,-106.442,-138.601,151.627,-25.0097,-130.5223
969.138,-106.412,-138.596,151.6277,-25.0108,-130.5231
969.139,-106.363,-138.6,151.6284,-25.0105,-130.5236
969.136,-106.332,-138.596,151.6272,-25.0107,-130.5226
969.138,-106.302,-138.598,151.6285,-25.011,-130.5234
969.134,-106.252,-138.595,151.6267,-25.0106,-130.5221
969.13,-106.027,-138.61,151.6271,-25.0108,-130.5228
969.127,-105.996,-138.606,151.6258,-25.011,-130.5218
969.127,-105.959,-138.609,151.6266,-25.0107,-130.5229
969.126,-105.916,-138.605,151.6272,-25.0118,-130.5231
