I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,25872.0,155.9,0.0,0.0,0.0
6.0,6.0,0.0,25909.0,193.5,0.0,0.0,0.0
7.0,6.0,0.0,25933.0,216.8,0.0,0.0,0.0
8.0,7.0,0.0,25962.0,246.0,0.0,0.0,0.0
8.0,8.0,0.0,25993.0,276.8,0.0,0.0,0.0
9.0,8.0,0.0,26024.0,308.1,0.0,0.0,0.0
10.0,9.0,0.0,26055.0,338.8,0.0,0.0,0.0
10.0,10.0,0.0,26084.0,367.8,0.0,0.0,0.0
11.0,10.0,1.0,26115.0,399.2,399.2,136.0,1.0
14.0,11.0,0.0,0.0,545.2,0.0,0.0,0.0
15.0,14.0,0.0,26.0,571.6,0.0,0.0,0.0
15.0,15.0,0.0,58.0,604.0,0.0,0.0,0.0
16.0,15.0,0.0,89.0,634.9,0.0,0.0,0.0
17.0,16.0,0.0,119.0,665.1,0.0,0.0,0.0
17.0,17.0,0.0,150.0,695.3,0.0,0.0,0.0
18.0,17.0,0.0,180.0,725.8,0.0,0.0,0.0
18.0,18.0,0.0,210.0,755.3,0.0,0.0,0.0
19.0,18.0,0.0,241.0,786.3,0.0,0.0,0.0
2.0,19.0,1.0,273.0,818.9,818.9,142.0,2.0
5.0,2.0,0.0,0.0,969.3,0.0,0.0,0.0
6.0,5.0,0.0,30.0,999.3,0.0,0.0,0.0
6.0,6.0,0.0,60.0,1029.5,0.0,0.0,0.0
7.0,6.0,0.0,90.0,1059.6,0.0,0.0,0.0
8.0,7.0,0.0,120.0,1089.6,0.0,0.0,0.0
8.0,8.0,0.0,150.0,1119.8,0.0,0.0,0.0
9.0,8.0,0.0,181.0,1151.2,0.0,0.0,0.0
10.0,9.0,0.0,210.0,1179.4,0.0,0.0,0.0
10.0,10.0,0.0,240.0,1209.1,0.0,0.0,0.0
11.0,10.0,1.0,270.0,1239.8,1239.8,132.0,1.0
14.0,11.0,0.0,0.0,1383.3,0.0,0.0,0.0
15.0,14.0,0.0,31.0,1415.1,0.0,0.0,0.0
15.0,15.0,0.0,63.0,1447.0,0.0,0.0,0.0
16.0,15.0,0.0,97.0,1481.0,0.0,0.0,0.0
17.0,16.0,0.0,123.0,1507.0,0.0,0.0,0.0
17.0,17.0,0.0,157.0,1540.5,0.0,0.0,0.0
18.0,17.0,0.0,190.0,1573.3,0.0,0.0,0.0
19.0,18.0,0.0,220.0,1603.9,0.0,0.0,0.0
19.0,19.0,0.0,250.0,1633.6,0.0,0.0,0.0
2.0,19.0,1.0,280.0,1663.9,1663.9,146.0,2.0
5.0,2.0,0.0,0.0,1820.1,0.0,0.0,0.0
6.0,5.0,0.0,24.0,1844.9,0.0,0.0,0.0
6.0,6.0,0.0,55.0,1875.2,0.0,0.0,0.0
7.0,6.0,0.0,84.0,1905.0,0.0,0.0,0.0
8.0,7.0,0.0,118.0,1939.1,0.0,0.0,0.0
8.0,8.0,0.0,145.0,1965.3,0.0,0.0,0.0
9.0,8.0,0.0,175.0,1995.4,0.0,0.0,0.0
10.0,9.0,0.0,211.0,2031.5,0.0,0.0,0.0
10.0,10.0,0.0,236.0,2056.9,0.0,0.0,0.0
11.0,10.0,1.0,267.0,2087.6,2087.6,150.0,1.0
14.0,11.0,0.0,0.0,2246.7,0.0,0.0,0.0
15.0,14.0,0.0,30.0,2277.2,0.0,0.0,0.0
16.0,15.0,0.0,65.0,2312.2,0.0,0.0,0.0
17.0,16.0,0.0,94.0,2341.1,0.0,0.0,0.0
17.0,17.0,0.0,124.0,2371.6,0.0,0.0,0.0
18.0,17.0,0.0,156.0,2403.2,0.0,0.0,0.0
18.0,18.0,0.0,187.0,2434.0,0.0,0.0,0.0
19.0,18.0,0.0,226.0,2473.2,0.0,0.0,0.0
2.0,19.0,1.0,260.0,2506.8,2506.8,150.0,2.0
5.0,2.0,0.0,0.0,2666.6,0.0,0.0,0.0
6.0,5.0,0.0,32.0,2698.9,0.0,0.0,0.0
7.0,6.0,0.0,60.0,2727.4,0.0,0.0,0.0
7.0,7.0,0.0,91.0,2758.4,0.0,0.0,0.0
8.0,7.0,0.0,122.0,2789.1,0.0,0.0,0.0
9.0,8.0,0.0,152.0,2819.5,0.0,0.0,0.0
9.0,9.0,0.0,182.0,2849.3,0.0,0.0,0.0
10.0,9.0,0.0,214.0,2881.3,0.0,0.0,0.0
11.0,10.0,1.0,245.0,2911.7,2911.7,146.0,1.0
14.0,11.0,0.0,0.0,3067.6,0.0,0.0,0.0
15.0,14.0,0.0,28.0,3096.3,0.0,0.0,0.0
15.0,15.0,0.0,60.0,3127.9,0.0,0.0,0.0
16.0,15.0,0.0,90.0,3158.0,0.0,0.0,0.0
17.0,16.0,0.0,120.0,3188.0,0.0,0.0,0.0
17.0,17.0,0.0,152.0,3220.2,0.0,0.0,0.0
18.0,17.0,0.0,183.0,3251.3,0.0,0.0,0.0
19.0,18.0,0.0,212.0,3280.4,0.0,0.0,0.0
19.0,19.0,0.0,243.0,3311.4,0.0,0.0,0.0
2.0,19.0,1.0,273.0,3341.2,3341.2,144.0,2.0
5.0,2.0,0.0,0.0,3495.9,0.0,0.0,0.0
6.0,5.0,0.0,31.0,3527.8,0.0,0.0,0.0
6.0,6.0,0.0,57.0,3553.1,0.0,0.0,0.0
7.0,6.0,0.0,89.0,3585.3,0.0,0.0,0.0
8.0,7.0,0.0,123.0,3619.5,0.0,0.0,0.0
8.0,8.0,0.0,155.0,3651.0,0.0,0.0,0.0
9.0,8.0,0.0,184.0,3680.2,0.0,0.0,0.0
10.0,9.0,0.0,216.0,3712.2,0.0,0.0,0.0
10.0,10.0,0.0,247.0,3743.4,0.0,0.0,0.0
11.0,10.0,1.0,277.0,3773.6,3773.6,140.0,1.0
14.0,11.0,0.0,0.0,3923.4,0.0,0.0,0.0
15.0,14.0,0.0,34.0,3958.1,0.0,0.0,0.0
16.0,15.0,0.0,68.0,3991.8,0.0,0.0,0.0
16.0,16.0,0.0,98.0,4021.6,0.0,0.0,0.0
17.0,16.0,0.0,128.0,4051.9,0.0,0.0,0.0
18.0,17.0,0.0,160.0,4084.3,0.0,0.0,0.0
18.0,18.0,0.0,191.0,4114.9,0.0,0.0,0.0
19.0,18.0,0.0,221.0,4144.9,0.0,0.0,0.0
2.0,19.0,1.0,255.0,4178.9,4178.9,138.0,2.0
5.0,2.0,0.0,0.0,4322.0,0.0,0.0,0.0
6.0,5.0,0.0,29.0,4351.7,0.0,0.0,0.0
6.0,6.0,0.0,62.0,4384.9,0.0,0.0,0.0
7.0,6.0,0.0,92.0,4414.9,0.0,0.0,0.0
8.0,7.0,0.0,125.0,4447.2,0.0,0.0,0.0
8.0,8.0,0.0,159.0,4481.1,0.0,0.0,0.0
9.0,8.0,0.0,187.0,4509.8,0.0,0.0,0.0
10.0,9.0,0.0,217.0,4540.0,0.0,0.0,0.0
10.0,10.0,0.0,250.0,4572.0,0.0,0.0,0.0
11.0,10.0,1.0,279.0,4601.9,4601.9,135.0,1.0
14.0,11.0,0.0,0.0,4747.3,0.0,0.0,0.0
14.0,14.0,0.0,27.0,4775.1,0.0,0.0,0.0
15.0,14.0,0.0,57.0,4804.9,0.0,0.0,0.0
16.0,15.0,0.0,93.0,4840.5,0.0,0.0,0.0
17.0,16.0,0.0,121.0,4869.1,0.0,0.0,0.0
17.0,17.0,0.0,156.0,4903.7,0.0,0.0,0.0
18.0,17.0,0.0,186.0,4933.5,0.0,0.0,0.0
19.0,18.0,0.0,216.0,4963.7,0.0,0.0,0.0
19.0,19.0,0.0,248.0,4995.9,0.0,0.0,0.0
2.0,19.0,1.0,278.0,5025.4,5025.4,147.0,2.0
5.0,2.0,0.0,0.0,5183.7,0.0,0.0,0.0
6.0,5.0,0.0,28.0,5211.9,0.0,0.0,0.0
7.0,6.0,0.0,58.0,5242.2,0.0,0.0,0.0
7.0,7.0,0.0,93.0,5277.0,0.0,0.0,0.0
8.0,7.0,0.0,123.0,5307.1,0.0,0.0,0.0
9.0,8.0,0.0,153.0,5337.3,0.0,0.0,0.0
9.0,9.0,0.0,185.0,5369.5,0.0,0.0,0.0
10.0,9.0,0.0,215.0,5399.6,0.0,0.0,0.0
11.0,10.0,1.0,246.0,5429.8,5429.8,139.0,1.0
14.0,11.0,0.0,0.0,5583.7,0.0,0.0,0.0
14.0,14.0,0.0,25.0,5609.0,0.0,0.0,0.0
15.0,14.0,0.0,55.0,5639.2,0.0,0.0,0.0
16.0,15.0,0.0,85.0,5669.3,0.0,0.0,0.0
16.0,16.0,0.0,115.0,5699.1,0.0,0.0,0.0
17.0,16.0,0.0,147.0,5731.5,0.0,0.0,0.0
18.0,17.0,0.0,177.0,5761.4,0.0,0.0,0.0
18.0,18.0,0.0,208.0,5791.7,0.0,0.0,0.0
19.0,18.0,0.0,236.0,5820.7,0.0,0.0,0.0
2.0,19.0,1.0,268.0,5851.7,5851.7,135.0,2.0
5.0,2.0,0.0,0.0,5995.9,0.0,0.0,0.0
5.0,5.0,0.0,27.0,6023.6,0.0,0.0,0.0
6.0,5.0,0.0,59.0,6055.8,0.0,0.0,0.0
7.0,6.0,0.0,87.0,6083.2,0.0,0.0,0.0
7.0,7.0,0.0,119.0,6115.5,0.0,0.0,0.0
8.0,7.0,0.0,155.0,6151.4,0.0,0.0,0.0
9.0,8.0,0.0,185.0,6181.4,0.0,0.0,0.0
9.0,9.0,0.0,215.0,6211.1,0.0,0.0,0.0
10.0,9.0,0.0,247.0,6243.4,0.0,0.0,0.0
11.0,10.0,1.0,277.0,6273.5,6273.5,138.0,1.0
14.0,11.0,0.0,0.0,6421.8,0.0,0.0,0.0
15.0,14.0,0.0,32.0,6453.9,0.0,0.0,0.0
15.0,15.0,0.0,62.0,6484.0,0.0,0.0,0.0
16.0,15.0,0.0,92.0,6514.3,0.0,0.0,0.0
17.0,16.0,0.0,122.0,6544.4,0.0,0.0,0.0
17.0,17.0,0.0,153.0,6575.7,0.0,0.0,0.0
18.0,17.0,0.0,182.0,6604.1,0.0,0.0,0.0
18.0,18.0,0.0,213.0,6635.5,0.0,0.0,0.0
19.0,18.0,0.0,243.0,6664.9,0.0,0.0,0.0
2.0,19.0,1.0,278.0,6700.0,6700.0,154.0,2.0
5.0,2.0,0.0,0.0,6859.4,0.0,0.0,0.0
6.0,5.0,0.0,28.0,6887.8,0.0,0.0,0.0
6.0,6.0,0.0,58.0,6917.9,0.0,0.0,0.0
