X,Y,Z,Rx,Ry,Rz,Time
967.495,-107.852,-138.738,151.6318,-24.9987,-130.5311,0.0
967.494,-107.792,-138.738,151.6318,-24.9987,-130.5311,0.04
967.494,-107.731,-138.738,151.6318,-24.9987,-130.5311,0.08
967.493,-107.671,-138.738,151.6318,-24.9987,-130.5311,0.12
967.493,-107.61,-138.738,151.6318,-24.9987,-130.5311,0.16
967.492,-107.55,-138.738,151.6318,-24.9987,-130.5311,0.2
967.492,-107.49,-138.738,151.6318,-24.9987,-130.5311,0.24
967.491,-107.429,-138.738,151.6318,-24.9987,-130.5311,0.28
967.49,-107.369,-138.738,151.6318,-24.9987,-130.5311,0.32
967.49,-107.308,-138.738,151.6318,-24.9987,-130.5311,0.36
967.489,-107.248,-138.738,151.6318,-24.9987,-130.5311,0.4
967.489,-107.188,-138.738,151.6318,-24.9987,-130.5311,0.44
967.488,-107.127,-138.738,151.6318,-24.9987,-130.5311,0.48
967.488,-107.067,-138.738,151.6318,-24.9987,-130.5311,0.52
967.487,-107.006,-138.738,151.6318,-24.9987,-130.5311,0.56
967.487,-106.946,-138.738,151.6318,-24.9987,-130.5311,0.6
967.486,-106.886,-138.738,151.6318,-24.9987,-130.5311,0.64
967.485,-106.825,-138.738,151.6318,-24.9987,-130.5311,0.68
967.485,-106.765,-138.738,151.6318,-24.9987,-130.5311,0.72
967.484,-106.705,-138.738,151.6318,-24.9987,-130.5311,0.76
967.484,-106.644,-138.739,151.6318,-24.9987,-130.5311,0.8
967.483,-106.584,-138.739,151.6318,-24.9987,-130.5311,0.84
967.483,-106.523,-138.739,151.6318,-24.9987,-130.5311,0.88
967.482,-106.463,-138.739,151.6318,-24.9987,-130.5311,0.92
967.481,-106.403,-138.739,151.6318,-24.9987,-130.5311,0.96
967.481,-106.342,-138.739,151.6318,-24.9987,-130.5311,1.0
967.48,-106.282,-138.739,151.6318,-24.9987,-130.5311,1.04
967.48,-106.221,-138.739,151.6318,-24.9987,-130.5311,1.08
967.479,-106.161,-138.739,151.6318,-24.9987,-130.5311,1.12
967.479,-106.101,-138.739,151.6318,-24.9987,-130.5311,1.16
967.478,-106.04,-138.739,151.6318,-24.9987,-130.5311,1.2
967.478,-105.98,-138.739,151.6318,-24.9987,-130.5311,1.24
967.477,-105.919,-138.739,151.6318,-24.9987,-130.5311,1.28
967.476,-105.859,-138.739,151.6318,-24.9987,-130.5311,1.32
967.476,-105.799,-138.739,151.6318,-24.9987,-130.5311,1.36
967.475,-105.738,-138.739,151.6318,-24.9987,-130.5311,1.4000000000000001
967.475,-105.678,-138.739,151.6318,-24.9987,-130.5311,1.44
967.474,-105.617,-138.739,151.6318,-24.9987,-130.5311,1.48
967.474,-105.557,-138.739,151.6318,-24.9987,-130.5311,1.52
967.473,-105.497,-138.739,151.6318,-24.9987,-130.5311,1.56
967.472,-105.436,-138.739,151.6318,-24.9987,-130.5311,1.6
967.472,-105.376,-138.739,151.6318,-24.9987,-130.5311,1.6400000000000001
967.471,-105.315,-138.739,151.6318,-24.9987,-130.5311,1.68
967.471,-105.255,-138.739,151.6318,-24.9987,-130.5311,1.72
967.47,-105.195,-138.739,151.6318,-24.9987,-130.5311,1.76
967.47,-105.134,-138.739,151.6318,-24.9987,-130.5311,1.8
967.469,-105.074,-138.739,151.6318,-24.9987,-130.5311,1.84
967.469,-105.013,-138.739,151.6318,-24.9987,-130.5311,1.8800000000000001
967.468,-104.953,-138.739,151.6318,-24.9987,-130.5311,1.92
967.467,-104.893,-138.739,151.6318,-24.9987,-130.5311,1.96
967.467,-104.832,-138.739,151.6318,-24.9987,-130.5311,2.0
967.466,-104.772,-138.739,151.6318,-24.9987,-130.5311,2.04
967.466,-104.711,-138.739,151.6318,-24.9987,-130.5311,2.08
967.465,-104.651,-138.739,151.6318,-24.9987,-130.5311,2.12
967.465,-104.591,-138.739,151.6318,-24.9987,-130.5311,2.16
967.464,-104.53,-138.739,151.6318,-24.9987,-130.5311,2.2
967.463,-104.47,-138.739,151.6318,-24.9987,-130.5311,2.24
967.463,-104.41,-138.739,151.6318,-24.9987,-130.5311,2.2800000000000002
967.462,-104.349,-138.74,151.6318,-24.9987,-130.5311,2.32
967.462,-104.289,-138.74,151.6318,-24.9987,-130.5311,2.36
967.461,-104.228,-138.74,151.6318,-24.9987,-130.5311,2.4
967.461,-104.168,-138.74,151.6318,-24.9987,-130.5311,2.44
967.46,-104.108,-138.74,151.6318,-24.9987,-130.5311,2.48
967.459,-104.047,-138.74,151.6318,-24.9987,-130.5311,2.52
967.459,-103.987,-138.74,151.6318,-24.9987,-130.5311,2.56
967.458,-103.926,-138.74,151.6318,-24.9987,-130.5311,2.6
967.458,-103.866,-138.74,151.6318,-24.9987,-130.5311,2.64
967.457,-103.806,-138.74,151.6318,-24.9987,-130.5311,2.68
967.457,-103.745,-138.74,151.6318,-24.9987,-130.5311,2.72
967.456,-103.685,-138.74,151.6318,-24.9987,-130.5311,2.7600000000000002
967.456,-103.624,-138.74,151.6318,-24.9987,-130.5311,2.8000000000000003
967.455,-103.564,-138.74,151.6318,-24.9987,-130.5311,2.84
967.454,-103.504,-138.74,151.6318,-24.9987,-130.5311,2.88
967.454,-103.443,-138.74,151.6318,-24.9987,-130.5311,2.92
967.453,-103.383,-138.74,151.6318,-24.9987,-130.5311,2.96
967.453,-103.322,-138.74,151.6318,-24.9987,-130.5311,3.0
967.452,-103.262,-138.74,151.6318,-24.9987,-130.5311,3.04
967.452,-103.202,-138.74,151.6318,-24.9987,-130.5311,3.08
967.451,-103.141,-138.74,151.6318,-24.9987,-130.5311,3.12
967.45,-103.081,-138.74,151.6318,-24.9987,-130.5311,3.16
967.45,-103.02,-138.74,151.6318,-24.9987,-130.5311,3.2
967.449,-102.96,-138.74,151.6318,-24.9987,-130.5311,3.24
967.449,-102.9,-138.74,151.6318,-24.9987,-130.5311,3.2800000000000002
967.448,-102.839,-138.74,151.6318,-24.9987,-130.5311,3.3200000000000003
967.448,-102.779,-138.74,151.6318,-24.9987,-130.5311,3.36
967.447,-102.718,-138.74,151.6318,-24.9987,-130.5311,3.4
