X,Y,Z,Rx,Ry,Rz
967.496,-107.614,-138.733,151.6328,-24.9988,-130.5317
967.495,-107.577,-138.737,151.6316,-24.9976,-130.531
967.493,-107.546,-138.732,151.6323,-24.9987,-130.5319
967.494,-107.498,-138.736,151.633,-24.9984,-130.5324
967.491,-107.467,-138.732,151.6318,-24.9986,-130.5314
967.492,-107.437,-138.734,151.6331,-24.9989,-130.5322
967.489,-107.387,-138.731,151.6313,-24.9984,-130.5309
967.489,-107.357,-138.744,151.632,-24.9992,-130.5314
967.486,-107.308,-138.741,151.6301,-24.9988,-130.5301
967.489,-107.082,-138.742,151.6318,-24.9981,-130.5313
967.487,-107.039,-138.738,151.6325,-24.9992,-130.5314
967.487,-107.002,-138.741,151.6313,-24.998,-130.5308
967.484,-106.953,-138.739,151.6314,-24.9985,-130.5313
967.486,-106.923,-138.741,151.6327,-24.9988,-130.5321
967.488,-106.892,-138.733,151.632,-24.9985,-130.5314
967.489,-106.844,-138.737,151.6328,-24.9982,-130.5319
967.488,-106.801,-138.732,151.6315,-24.9984,-130.5302
967.487,-106.764,-138.736,151.6323,-24.9981,-130.5314
967.486,-106.526,-138.742,151.6326,-24.9987,-130.5316
967.483,-106.495,-138.737,151.6314,-24.9989,-130.5306
967.484,-106.446,-138.741,151.6321,-24.9985,-130.5311
967.481,-106.397,-138.738,151.6322,-24.999,-130.5316
967.482,-106.367,-138.74,151.6316,-24.9984,-130.5306
967.478,-106.329,-138.738,151.6317,-24.9989,-130.5318
967.479,-106.299,-138.739,151.6311,-24.9983,-130.5308
967.481,-106.269,-138.741,151.6325,-24.9986,-130.5316
967.477,-106.22,-138.739,151.6306,-24.9982,-130.5303
967.476,-106.0,-138.742,151.6316,-24.9994,-130.5309
967.477,-105.952,-138.746,151.6323,-24.9991,-130.5314
967.474,-105.902,-138.743,151.6305,-24.9987,-130.5301
967.475,-105.872,-138.745,151.6318,-24.999,-130.5309
967.478,-105.823,-138.74,151.6325,-24.999,-130.5317
967.479,-105.792,-138.741,151.6319,-24.9984,-130.5307
967.476,-105.743,-138.739,151.632,-24.9989,-130.5312
967.477,-105.713,-138.741,151.6314,-24.9983,-130.5301
967.474,-105.664,-138.738,151.6315,-24.9988,-130.5306
967.473,-105.437,-138.733,151.6325,-24.9988,-130.5319
967.474,-105.388,-138.736,151.6313,-24.9976,-130.5306
967.471,-105.358,-138.732,151.632,-24.9987,-130.5314
967.47,-105.309,-138.747,151.6321,-24.9989,-130.5316
967.467,-105.278,-138.742,151.6309,-24.9991,-130.5306
967.469,-105.248,-138.744,151.6322,-24.9994,-130.5314
967.466,-105.199,-138.741,151.6304,-24.999,-130.5301
967.471,-105.162,-138.742,151.6317,-24.9982,-130.5315
967.468,-105.131,-138.737,151.6323,-24.9993,-130.5324
967.464,-104.881,-138.735,151.6308,-24.999,-130.5301
967.47,-104.832,-138.736,151.6322,-24.9982,-130.5309
967.466,-104.795,-138.733,151.6322,-24.9987,-130.5321
967.467,-104.765,-138.735,151.6316,-24.9981,-130.5311
967.462,-104.716,-138.743,151.6311,-24.9991,-130.5313
967.465,-104.674,-138.745,151.6324,-24.9994,-130.5314
967.462,-104.624,-138.742,151.6306,-24.999,-130.5301
967.468,-104.576,-138.743,151.6319,-24.9982,-130.5308
967.463,-104.338,-138.741,151.6323,-24.9987,-130.5311
967.465,-104.288,-138.735,151.633,-24.9988,-130.5319
967.466,-104.24,-138.738,151.6318,-24.9976,-130.5306
967.463,-104.209,-138.734,151.6325,-24.9987,-130.5314
967.461,-104.172,-138.749,151.6307,-24.998,-130.5305
967.459,-104.129,-138.744,151.6314,-24.9991,-130.5306
967.461,-104.1,-138.746,151.6327,-24.9994,-130.5314
967.457,-104.05,-138.743,151.6309,-24.9989,-130.5301
967.457,-103.812,-138.738,151.6318,-24.999,-130.5306
967.457,-103.775,-138.742,151.6326,-24.9987,-130.5318
967.454,-103.744,-138.737,151.6313,-24.9989,-130.5308
967.46,-103.695,-138.738,151.6326,-24.9981,-130.5316
967.457,-103.664,-138.733,151.6314,-24.9983,-130.5306
967.457,-103.628,-138.737,151.6321,-24.998,-130.5318
967.454,-103.585,-138.743,151.6322,-24.9996,-130.5316
967.455,-103.536,-138.747,151.631,-24.9984,-130.5303
967.452,-103.506,-138.743,151.6317,-24.9995,-130.5311
967.45,-103.261,-138.739,151.6321,-24.999,-130.532
967.451,-103.231,-138.741,151.6315,-24.9984,-130.531
967.45,-103.188,-138.736,151.6322,-24.9995,-130.5311
967.454,-103.151,-138.737,151.6316,-24.9978,-130.5308
967.451,-103.102,-138.734,151.6317,-24.9983,-130.5313
967.454,-103.06,-138.736,151.633,-24.9986,-130.5314
967.449,-103.022,-138.733,151.6312,-24.9982,-130.5307
967.449,-102.974,-138.748,151.6312,-24.9984,-130.531
967.446,-102.943,-138.744,151.6319,-24.9995,-130.5318
967.445,-102.705,-138.738,151.631,-24.9987,-130.5305
967.446,-102.656,-138.742,151.6317,-24.9984,-130.531
967.45,-102.614,-138.734,151.633,-24.999,-130.5314
967.45,-102.577,-138.737,151.6318,-24.9978,-130.5307
967.447,-102.546,-138.733,151.6325,-24.9989,-130.5315
967.448,-102.497,-138.737,151.6332,-24.9986,-130.532
967.443,-102.466,-138.743,151.6313,-24.9993,-130.5308
967.444,-102.418,-138.747,151.6321,-24.999,-130.5313
967.443,-102.198,-138.74,151.6317,-24.9988,-130.5303
967.44,-102.149,-138.737,151.6318,-24.9993,-130.5308
967.44,-102.112,-138.741,151.6325,-24.999,-130.532
967.442,-102.062,-138.735,151.6313,-24.9981,-130.5309
967.443,-102.032,-138.737,151.6326,-24.9984,-130.5317
967.44,-101.983,-138.734,151.6308,-24.998,-130.5304
967.439,-101.953,-138.747,151.6315,-24.9988,-130.5309
967.436,-101.904,-138.744,151.6316,-24.9993,-130.5314
967.437,-101.874,-138.746,151.631,-24.9987,-130.5304
967.437,-101.654,-138.739,151.6325,-24.9994,-130.5313
967.436,-101.617,-138.742,151.6314,-24.9982,-130.5307
967.435,-101.574,-138.738,151.632,-24.9993,-130.5308
967.436,-101.518,-138.734,151.6321,-24.9987,-130.5319
967.437,-101.488,-138.735,151.6315,-24.9981,-130.5309
967.436,-101.44,-138.75,151.6316,-24.9983,-130.5311
967.434,-101.397,-138.746,151.6323,-24.9994,-130.5312
967.434,-101.36,-138.749,151.6311,-24.9982,-130.5306
967.431,-101.329,-138.745,151.6318,-24.9993,-130.5314
967.436,-101.091,-138.736,151.6333,-24.9989,-130.5322
967.432,-101.042,-138.733,151.6315,-24.9985,-130.5309
967.432,-101.005,-138.737,151.6322,-24.9982,-130.5321
967.428,-100.962,-138.743,151.6304,-24.9989,-130.5301
967.429,-100.914,-138.747,151.6311,-24.9986,-130.5306
967.426,-100.883,-138.743,151.6318,-24.9997,-130.5314
967.431,-100.846,-138.743,151.6312,-24.998,-130.531
967.429,-100.803,-138.739,151.6319,-24.9991,-130.5311
967.429,-100.565,-138.733,151.6328,-24.9992,-130.5317
967.43,-100.535,-138.735,151.6322,-24.9986,-130.5307
967.43,-100.487,-138.738,151.633,-24.9983,-130.5311
967.424,-100.449,-138.747,151.6305,-24.9984,-130.5303
967.421,-100.418,-138.742,151.6312,-24.9995,-130.5311
967.422,-100.37,-138.746,151.6319,-24.9992,-130.5316
967.424,-100.338,-138.738,151.6313,-24.999,-130.5308
967.425,-100.29,-138.742,151.632,-24.9987,-130.5313
967.422,-100.241,-138.739,151.6321,-24.9992,-130.5318
967.424,-100.033,-138.738,151.6323,-24.9982,-130.5315
967.419,-99.984,-138.746,151.6318,-24.9992,-130.5317
967.42,-99.954,-138.748,151.6312,-24.9986,-130.5307
967.422,-99.905,-138.742,151.6319,-24.9986,-130.5315
967.423,-99.874,-138.744,151.6313,-24.998,-130.5305
967.42,-99.825,-138.741,151.6314,-24.9985,-130.531
967.422,-99.784,-138.743,151.6327,-24.9988,-130.5311
967.418,-99.746,-138.74,151.6309,-24.9984,-130.5304
967.42,-99.704,-138.742,151.6322,-24.9987,-130.5306
967.416,-99.478,-138.748,151.6325,-24.9993,-130.5315
967.418,-99.428,-138.741,151.6313,-24.9984,-130.5304
967.419,-99.398,-138.744,151.6326,-24.9987,-130.5312
967.416,-99.348,-138.741,151.6308,-24.9983,-130.5299
967.415,-99.312,-138.744,151.6315,-24.998,-130.5311
967.413,-99.281,-138.74,151.6322,-24.9991,-130.5319
967.413,-99.232,-138.744,151.631,-24.9979,-130.5306
967.416,-99.202,-138.736,151.6322,-24.9985,-130.5317
967.417,-99.153,-138.74,151.633,-24.9982,-130.5321
967.413,-98.915,-138.745,151.6314,-24.998,-130.5306
967.41,-98.884,-138.74,151.6321,-24.9991,-130.5314
967.411,-98.835,-138.744,151.6309,-24.9978,-130.5301
967.408,-98.804,-138.739,151.6315,-24.9989,-130.5309
967.414,-98.756,-138.74,151.6328,-24.9982,-130.5316
967.411,-98.725,-138.735,151.6316,-24.9984,-130.5306
967.412,-98.676,-138.739,151.6323,-24.9981,-130.5311
967.407,-98.645,-138.745,151.6305,-24.9988,-130.5298
967.408,-98.597,-138.749,151.6312,-24.9985,-130.5303
967.411,-98.371,-138.74,151.6327,-24.9981,-130.5318
967.408,-98.321,-138.737,151.6328,-24.9986,-130.5323
967.409,-98.291,-138.739,151.6322,-24.998,-130.5313
967.405,-98.242,-138.737,151.6323,-24.9985,-130.5318
967.4,-98.193,-138.745,151.6318,-24.9995,-130.532
967.401,-98.162,-138.747,151.6312,-24.9989,-130.531
967.408,-98.132,-138.745,151.6331,-24.9987,-130.532
967.404,-98.083,-138.742,151.6312,-24.9983,-130.5307
967.403,-97.845,-138.737,151.6322,-24.9985,-130.5312
967.404,-97.814,-138.739,151.6316,-24.9979,-130.5302
967.399,-97.765,-138.747,151.6311,-24.9989,-130.5305
967.4,-97.735,-138.749,151.6324,-24.9992,-130.5313
967.401,-97.697,-138.743,151.6311,-24.9983,-130.5309
967.403,-97.656,-138.745,151.6324,-24.9986,-130.531
967.398,-97.618,-138.742,151.6306,-24.9982,-130.5304
967.399,-97.588,-138.744,151.6319,-24.9985,-130.5312
967.396,-97.539,-138.741,151.632,-24.999,-130.5317
967.397,-97.312,-138.743,151.631,-24.9982,-130.531
967.398,-97.282,-138.745,151.6323,-24.9985,-130.5318
967.395,-97.233,-138.742,151.6324,-24.999,-130.5323
967.397,-97.191,-138.744,151.6318,-24.9984,-130.5306
967.394,-97.16,-138.74,151.6325,-24.9995,-130.5314
967.398,-97.123,-138.74,151.6319,-24.9979,-130.5311
967.396,-97.092,-138.735,151.6326,-24.999,-130.5319
967.396,-97.044,-138.739,151.6314,-24.9978,-130.5305
967.391,-96.994,-138.747,151.6308,-24.9988,-130.5308
967.392,-96.965,-138.749,151.6321,-24.9991,-130.5316
967.39,-96.745,-138.741,151.6318,-24.9989,-130.5306
967.393,-96.695,-138.735,151.6324,-24.9989,-130.5313
967.392,-96.658,-138.739,151.6312,-24.9977,-130.5307
967.388,-96.616,-138.745,151.6313,-24.9993,-130.5305
967.388,-96.579,-138.749,151.632,-24.999,-130.5317
967.391,-96.536,-138.741,151.6314,-24.9988,-130.5303
967.391,-96.5,-138.745,151.6321,-24.9985,-130.5315
967.389,-96.457,-138.741,151.6328,-24.9996,-130.5316
967.388,-96.42,-138.744,151.6316,-24.9984,-130.5309
967.385,-96.182,-138.749,151.6319,-24.999,-130.5312
967.386,-96.144,-138.743,151.6306,-24.9981,-130.5308
967.387,-96.084,-138.747,151.6313,-24.9978,-130.5306
967.385,-96.072,-138.741,151.6326,-24.9995,-130.5317
967.385,-96.023,-138.744,151.6314,-24.9983,-130.5304
967.382,-95.974,-138.741,151.6315,-24.9988,-130.5309
967.388,-95.925,-138.742,151.6328,-24.998,-130.5316
