X,Y,Z,Rx,Ry,Rz
967.494,-107.792,-138.738,151.6318,-24.9987,-130.5311
967.494,-107.731,-138.738,151.6318,-24.9987,-130.5311
967.493,-107.671,-138.738,151.6318,-24.9987,-130.5311
967.493,-107.61,-138.738,151.6318,-24.9987,-130.5311
967.492,-107.55,-138.738,151.6318,-24.9987,-130.5311
967.492,-107.49,-138.738,151.6318,-24.9987,-130.5311
967.491,-107.429,-138.738,151.6318,-24.9987,-130.5311
967.49,-107.369,-138.738,151.6318,-24.9987,-130.5311
967.49,-107.308,-138.738,151.6318,-24.9987,-130.5311
967.489,-107.248,-138.738,151.6318,-24.9987,-130.5311
967.489,-107.188,-138.738,151.6318,-24.9987,-130.5311
967.488,-107.127,-138.738,151.6318,-24.9987,-130.5311
967.488,-107.067,-138.738,151.6318,-24.9987,-130.5311
967.487,-107.006,-138.738,151.6318,-24.9987,-130.5311
967.487,-106.946,-138.738,151.6318,-24.9987,-130.5311
967.486,-106.886,-138.738,151.6318,-24.9987,-130.5311
967.485,-106.825,-138.738,151.6318,-24.9987,-130.5311
967.485,-106.765,-138.738,151.6318,-24.9987,-130.5311
967.484,-106.705,-138.738,151.6318,-24.9987,-130.5311
967.484,-106.644,-138.739,151.6318,-24.9987,-130.5311
967.483,-106.584,-138.739,151.6318,-24.9987,-130.5311
967.483,-106.523,-138.739,151.6318,-24.9987,-130.5311
967.482,-106.463,-138.739,151.6318,-24.9987,-130.5311
967.481,-106.403,-138.739,151.6318,-24.9987,-130.5311
967.481,-106.342,-138.739,151.6318,-24.9987,-130.5311
967.48,-106.282,-138.739,151.6318,-24.9987,-130.5311
967.48,-106.221,-138.739,151.6318,-24.9987,-130.5311
967.479,-106.161,-138.739,151.6318,-24.9987,-130.5311
967.479,-106.101,-138.739,151.6318,-24.9987,-130.5311
967.478,-106.04,-138.739,151.6318,-24.9987,-130.5311
967.478,-105.98,-138.739,151.6318,-24.9987,-130.5311
967.477,-105.919,-138.739,151.6318,-24.9987,-130.5311
967.476,-105.859,-138.739,151.6318,-24.9987,-130.5311
967.476,-105.799,-138.739,151.6318,-24.9987,-130.5311
967.475,-105.738,-138.739,151.6318,-24.9987,-130.5311
967.475,-105.678,-138.739,151.6318,-24.9987,-130.5311
967.474,-105.617,-138.739,151.6318,-24.9987,-130.5311
967.474,-105.557,-138.739,151.6318,-24.9987,-130.5311
967.473,-105.497,-138.739,151.6318,-24.9987,-130.5311
967.472,-105.436,-138.739,151.6318,-24.9987,-130.5311
967.472,-105.376,-138.739,151.6318,-24.9987,-130.5311
967.471,-105.315,-138.739,151.6318,-24.9987,-130.5311
967.471,-105.255,-138.739,151.6318,-24.9987,-130.5311
967.47,-105.195,-138.739,151.6318,-24.9987,-130.5311
967.47,-105.134,-138.739,151.6318,-24.9987,-130.5311
967.469,-105.074,-138.739,151.6318,-24.9987,-130.5311
967.469,-105.013,-138.739,151.6318,-24.9987,-130.5311
967.468,-104.953,-138.739,151.6318,-24.9987,-130.5311
967.467,-104.893,-138.739,151.6318,-24.9987,-130.5311
967.467,-104.832,-138.739,151.6318,-24.9987,-130.5311
967.466,-104.772,-138.739,151.6318,-24.9987,-130.5311
967.466,-104.711,-138.739,151.6318,-24.9987,-130.5311
967.465,-104.651,-138.739,151.6318,-24.9987,-130.5311
967.465,-104.591,-138.739,151.6318,-24.9987,-130.5311
967.464,-104.53,-138.739,151.6318,-24.9987,-130.5311
967.463,-104.47,-138.739,151.6318,-24.9987,-130.5311
967.463,-104.41,-138.739,151.6318,-24.9987,-130.5311
967.462,-104.349,-138.74,151.6318,-24.9987,-130.5311
967.462,-104.289,-138.74,151.6318,-24.9987,-130.5311
967.461,-104.228,-138.74,151.6318,-24.9987,-130.5311
967.461,-104.168,-138.74,151.6318,-24.9987,-130.5311
967.46,-104.108,-138.74,151.6318,-24.9987,-130.5311
967.459,-104.047,-138.74,151.6318,-24.9987,-130.5311
967.459,-103.987,-138.74,151.6318,-24.9987,-130.5311
967.458,-103.926,-138.74,151.6318,-24.9987,-130.5311
967.458,-103.866,-138.74,151.6318,-24.9987,-130.5311
967.457,-103.806,-138.74,151.6318,-24.9987,-130.5311
967.457,-103.745,-138.74,151.6318,-24.9987,-130.5311
967.456,-103.685,-138.74,151.6318,-24.9987,-130.5311
967.456,-103.624,-138.74,151.6318,-24.9987,-130.5311
967.455,-103.564,-138.74,151.6318,-24.9987,-130.5311
967.454,-103.504,-138.74,151.6318,-24.9987,-130.5311
967.454,-103.443,-138.74,151.6318,-24.9987,-130.5311
967.453,-103.383,-138.74,151.6318,-24.9987,-130.5311
967.453,-103.322,-138.74,151.6318,-24.9987,-130.5311
967.452,-103.262,-138.74,151.6318,-24.9987,-130.5311
967.452,-103.202,-138.74,151.6318,-24.9987,-130.5311
967.451,-103.141,-138.74,151.6318,-24.9987,-130.5311
967.45,-103.081,-138.74,151.6318,-24.9987,-130.5311
967.45,-103.02,-138.74,151.6318,-24.9987,-130.5311
967.449,-102.96,-138.74,151.6318,-24.9987,-130.5311
967.449,-102.9,-138.74,151.6318,-24.9987,-130.5311
967.448,-102.839,-138.74,151.6318,-24.9987,-130.5311
967.448,-102.779,-138.74,151.6318,-24.9987,-130.5311
967.447,-102.718,-138.74,151.6318,-24.9987,-130.5311
967.447,-102.658,-138.74,151.6318,-24.9987,-130.5311
967.446,-102.598,-138.74,151.6318,-24.9987,-130.5311
967.445,-102.537,-138.74,151.6318,-24.9987,-130.5311
967.445,-102.477,-138.74,151.6318,-24.9987,-130.5311
967.444,-102.417,-138.74,151.6318,-24.9987,-130.5311
967.444,-102.356,-138.74,151.6318,-24.9987,-130.5311
967.443,-102.296,-138.74,151.6318,-24.9987,-130.5311
967.443,-102.235,-138.74,151.6318,-24.9987,-130.5311
967.442,-102.175,-138.74,151.6318,-24.9987,-130.5311
967.441,-102.115,-138.74,151.6318,-24.9987,-130.5311
967.441,-102.054,-138.741,151.6318,-24.9987,-130.5311
967.44,-101.994,-138.741,151.6318,-24.9987,-130.5311
967.44,-101.933,-138.741,151.6318,-24.9987,-130.5311
967.439,-101.873,-138.741,151.6318,-24.9987,-130.5311
967.439,-101.813,-138.741,151.6318,-24.9987,-130.5311
967.438,-101.752,-138.741,151.6318,-24.9987,-130.5311
967.438,-101.692,-138.741,151.6318,-24.9987,-130.5311
967.437,-101.631,-138.741,151.6318,-24.9987,-130.5311
967.436,-101.571,-138.741,151.6318,-24.9987,-130.5311
967.436,-101.511,-138.741,151.6318,-24.9987,-130.5311
967.435,-101.45,-138.741,151.6318,-24.9987,-130.5311
967.435,-101.39,-138.741,151.6318,-24.9987,-130.5311
967.434,-101.329,-138.741,151.6318,-24.9987,-130.5311
967.434,-101.269,-138.741,151.6318,-24.9987,-130.5311
967.433,-101.209,-138.741,151.6318,-24.9987,-130.5311
967.432,-101.148,-138.741,151.6318,-24.9987,-130.5311
967.432,-101.088,-138.741,151.6318,-24.9987,-130.5311
967.431,-101.027,-138.741,151.6318,-24.9987,-130.5311
967.431,-100.967,-138.741,151.6318,-24.9987,-130.5311
967.43,-100.907,-138.741,151.6318,-24.9987,-130.5311
967.43,-100.846,-138.741,151.6318,-24.9987,-130.5311
967.429,-100.786,-138.741,151.6318,-24.9987,-130.5311
967.428,-100.725,-138.741,151.6318,-24.9987,-130.5311
967.428,-100.665,-138.741,151.6318,-24.9987,-130.5311
967.427,-100.605,-138.741,151.6318,-24.9987,-130.5311
967.427,-100.544,-138.741,151.6318,-24.9987,-130.5311
967.426,-100.484,-138.741,151.6318,-24.9987,-130.5311
967.426,-100.423,-138.741,151.6318,-24.9987,-130.5311
967.425,-100.363,-138.741,151.6318,-24.9987,-130.5311
967.425,-100.303,-138.741,151.6318,-24.9987,-130.5311
967.424,-100.242,-138.741,151.6318,-24.9987,-130.5311
967.423,-100.182,-138.741,151.6318,-24.9987,-130.5311
967.423,-100.122,-138.741,151.6318,-24.9987,-130.5311
967.422,-100.061,-138.741,151.6318,-24.9987,-130.5311
967.422,-100.001,-138.741,151.6318,-24.9987,-130.5311
967.421,-99.94,-138.741,151.6318,-24.9987,-130.5311
967.421,-99.88,-138.741,151.6318,-24.9987,-130.5311
967.42,-99.82,-138.741,151.6318,-24.9987,-130.5311
967.419,-99.759,-138.742,151.6318,-24.9987,-130.5311
967.419,-99.699,-138.742,151.6318,-24.9987,-130.5311
967.418,-99.638,-138.742,151.6318,-24.9987,-130.5311
967.418,-99.578,-138.742,151.6318,-24.9987,-130.5311
967.417,-99.518,-138.742,151.6318,-24.9987,-130.5311
967.417,-99.457,-138.742,151.6318,-24.9987,-130.5311
967.416,-99.397,-138.742,151.6318,-24.9987,-130.5311
967.416,-99.336,-138.742,151.6318,-24.9987,-130.5311
967.415,-99.276,-138.742,151.6318,-24.9987,-130.5311
967.414,-99.216,-138.742,151.6318,-24.9987,-130.5311
967.414,-99.155,-138.742,151.6318,-24.9987,-130.5311
967.413,-99.095,-138.742,151.6318,-24.9987,-130.5311
967.413,-99.034,-138.742,151.6318,-24.9987,-130.5311
967.412,-98.974,-138.742,151.6318,-24.9987,-130.5311
967.412,-98.914,-138.742,151.6318,-24.9987,-130.5311
967.411,-98.853,-138.742,151.6318,-24.9987,-130.5311
967.41,-98.793,-138.742,151.6318,-24.9987,-130.5311
967.41,-98.732,-138.742,151.6318,-24.9987,-130.5311
967.409,-98.672,-138.742,151.6318,-24.9987,-130.5311
967.409,-98.612,-138.742,151.6318,-24.9987,-130.5311
967.408,-98.551,-138.742,151.6318,-24.9987,-130.5311
967.408,-98.491,-138.742,151.6318,-24.9987,-130.5311
967.407,-98.43,-138.742,151.6318,-24.9987,-130.5311
967.407,-98.37,-138.742,151.6318,-24.9987,-130.5311
967.406,-98.31,-138.742,151.6318,-24.9987,-130.5311
967.405,-98.249,-138.742,151.6318,-24.9987,-130.5311
967.405,-98.189,-138.742,151.6318,-24.9987,-130.5311
967.404,-98.128,-138.742,151.6318,-24.9987,-130.5311
967.404,-98.068,-138.742,151.6318,-24.9987,-130.5311
967.403,-98.008,-138.742,151.6318,-24.9987,-130.5311
967.403,-97.947,-138.742,151.6318,-24.9987,-130.5311
967.402,-97.887,-138.742,151.6318,-24.9987,-130.5311
967.401,-97.827,-138.742,151.6318,-24.9987,-130.5311
967.401,-97.766,-138.742,151.6318,-24.9987,-130.5311
967.4,-97.706,-138.742,151.6318,-24.9987,-130.5311
967.4,-97.645,-138.742,151.6318,-24.9987,-130.5311
