I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,16351.0,158.9,0.0,0.0,0.0
7.0,6.0,0.0,16385.0,193.4,0.0,0.0,0.0
7.0,7.0,0.0,16411.0,219.4,0.0,0.0,0.0
8.0,7.0,0.0,16442.0,249.8,0.0,0.0,0.0
9.0,8.0,0.0,16473.0,280.6,0.0,0.0,0.0
9.0,9.0,0.0,16504.0,312.6,0.0,0.0,0.0
10.0,9.0,0.0,16533.0,340.7,0.0,0.0,0.0
11.0,10.0,1.0,16563.0,371.2,371.2,135.0,1.0
14.0,11.0,0.0,0.0,520.6,0.0,0.0,0.0
14.0,14.0,0.0,21.0,542.6,0.0,0.0,0.0
15.0,14.0,0.0,52.0,573.4,0.0,0.0,0.0
16.0,15.0,0.0,83.0,603.8,0.0,0.0,0.0
16.0,16.0,0.0,116.0,637.4,0.0,0.0,0.0
17.0,16.0,0.0,150.0,671.5,0.0,0.0,0.0
18.0,17.0,0.0,181.0,702.0,0.0,0.0,0.0
18.0,18.0,0.0,211.0,731.7,0.0,0.0,0.0
19.0,18.0,0.0,240.0,761.6,0.0,0.0,0.0
2.0,19.0,1.0,272.0,792.8,792.8,140.0,2.0
5.0,2.0,0.0,0.0,942.2,0.0,0.0,0.0
5.0,5.0,0.0,25.0,967.4,0.0,0.0,0.0
6.0,5.0,0.0,55.0,997.3,0.0,0.0,0.0
7.0,6.0,0.0,91.0,1033.3,0.0,0.0,0.0
7.0,7.0,0.0,115.0,1057.6,0.0,0.0,0.0
8.0,7.0,0.0,150.0,1092.3,0.0,0.0,0.0
9.0,8.0,0.0,175.0,1117.5,0.0,0.0,0.0
9.0,9.0,0.0,207.0,1149.5,0.0,0.0,0.0
10.0,9.0,0.0,240.0,1183.1,0.0,0.0,0.0
11.0,10.0,1.0,275.0,1217.5,1217.5,145.0,1.0
14.0,11.0,0.0,0.0,1366.4,0.0,0.0,0.0
15.0,14.0,0.0,27.0,1393.4,0.0,0.0,0.0
15.0,15.0,0.0,58.0,1425.2,0.0,0.0,0.0
16.0,15.0,0.0,88.0,1455.3,0.0,0.0,0.0
17.0,16.0,0.0,119.0,1485.4,0.0,0.0,0.0
17.0,17.0,0.0,152.0,1518.5,0.0,0.0,0.0
18.0,17.0,0.0,181.0,1547.5,0.0,0.0,0.0
18.0,18.0,0.0,211.0,1577.4,0.0,0.0,0.0
19.0,18.0,0.0,240.0,1606.9,0.0,0.0,0.0
2.0,19.0,1.0,274.0,1641.0,1641.0,135.0,2.0
5.0,2.0,0.0,0.0,1785.9,0.0,0.0,0.0
6.0,5.0,0.0,25.0,1811.3,0.0,0.0,0.0
6.0,6.0,0.0,54.0,1840.7,0.0,0.0,0.0
7.0,6.0,0.0,87.0,1873.3,0.0,0.0,0.0
8.0,7.0,0.0,117.0,1903.3,0.0,0.0,0.0
8.0,8.0,0.0,146.0,1932.6,0.0,0.0,0.0
9.0,8.0,0.0,180.0,1966.1,0.0,0.0,0.0
10.0,9.0,0.0,210.0,1996.7,0.0,0.0,0.0
10.0,10.0,0.0,239.0,2025.1,0.0,0.0,0.0
11.0,10.0,1.0,269.0,2055.8,2055.8,134.0,1.0
14.0,11.0,0.0,0.0,2199.5,0.0,0.0,0.0
15.0,14.0,0.0,29.0,2229.3,0.0,0.0,0.0
15.0,15.0,0.0,62.0,2261.8,0.0,0.0,0.0
16.0,15.0,0.0,93.0,2292.8,0.0,0.0,0.0
17.0,16.0,0.0,122.0,2322.5,0.0,0.0,0.0
17.0,17.0,0.0,153.0,2353.0,0.0,0.0,0.0
18.0,17.0,0.0,183.0,2383.2,0.0,0.0,0.0
18.0,18.0,0.0,214.0,2414.1,0.0,0.0,0.0
19.0,18.0,0.0,243.0,2443.0,0.0,0.0,0.0
2.0,19.0,1.0,276.0,2476.5,2476.5,155.0,2.0
5.0,2.0,0.0,0.0,2637.2,0.0,0.0,0.0
6.0,5.0,0.0,28.0,2665.9,0.0,0.0,0.0
6.0,6.0,0.0,59.0,2696.5,0.0,0.0,0.0
7.0,6.0,0.0,91.0,2728.8,0.0,0.0,0.0
8.0,7.0,0.0,123.0,2760.8,0.0,0.0,0.0
8.0,8.0,0.0,149.0,2787.1,0.0,0.0,0.0
