X,Y,Z,Rx,Ry,Rz,Time
966.726,-108.062,-138.663,151.5946,-25.0176,-130.4836,0.0
966.725,-108.002,-138.663,151.5946,-25.0176,-130.4836,0.04
966.725,-107.941,-138.663,151.5946,-25.0176,-130.4836,0.08
966.724,-107.881,-138.663,151.5946,-25.0176,-130.4836,0.12
966.724,-107.82,-138.663,151.5946,-25.0176,-130.4836,0.16
966.723,-107.76,-138.663,151.5946,-25.0176,-130.4836,0.2
966.723,-107.7,-138.663,151.5946,-25.0176,-130.4836,0.24
966.722,-107.639,-138.663,151.5946,-25.0176,-130.4836,0.28
966.721,-107.579,-138.663,151.5946,-25.0176,-130.4836,0.32
966.721,-107.519,-138.663,151.5946,-25.0176,-130.4836,0.36
966.72,-107.458,-138.663,151.5946,-25.0176,-130.4836,0.4
966.72,-107.398,-138.663,151.5946,-25.0176,-130.4836,0.44
966.719,-107.337,-138.663,151.5946,-25.0176,-130.4836,0.48
966.719,-107.277,-138.663,151.5946,-25.0176,-130.4836,0.52
966.718,-107.217,-138.663,151.5946,-25.0176,-130.4836,0.56
966.717,-107.156,-138.663,151.5946,-25.0176,-130.4836,0.6
966.717,-107.096,-138.663,151.5946,-25.0176,-130.4836,0.64
966.716,-107.035,-138.663,151.5946,-25.0176,-130.4836,0.68
966.716,-106.975,-138.663,151.5946,-25.0176,-130.4836,0.72
966.715,-106.915,-138.663,151.5946,-25.0176,-130.4836,0.76
966.715,-106.854,-138.663,151.5946,-25.0176,-130.4836,0.8
966.714,-106.794,-138.663,151.5946,-25.0176,-130.4836,0.84
966.713,-106.733,-138.663,151.5946,-25.0176,-130.4836,0.88
966.713,-106.673,-138.663,151.5946,-25.0176,-130.4836,0.92
966.712,-106.613,-138.663,151.5946,-25.0176,-130.4836,0.96
966.712,-106.552,-138.663,151.5946,-25.0176,-130.4836,1.0
966.711,-106.492,-138.663,151.5946,-25.0176,-130.4836,1.04
966.711,-106.432,-138.663,151.5946,-25.0176,-130.4836,1.08
966.71,-106.371,-138.663,151.5946,-25.0176,-130.4836,1.12
966.709,-106.311,-138.663,151.5946,-25.0176,-130.4836,1.16
966.709,-106.25,-138.663,151.5946,-25.0176,-130.4836,1.2
966.708,-106.19,-138.663,151.5946,-25.0176,-130.4836,1.24
966.708,-106.13,-138.663,151.5946,-25.0176,-130.4836,1.28
966.707,-106.069,-138.663,151.5946,-25.0176,-130.4836,1.32
966.707,-106.009,-138.663,151.5946,-25.0176,-130.4836,1.36
966.706,-105.948,-138.663,151.5946,-25.0176,-130.4836,1.4000000000000001
966.705,-105.888,-138.663,151.5946,-25.0176,-130.4836,1.44
966.705,-105.828,-138.663,151.5946,-25.0176,-130.4836,1.48
966.704,-105.767,-138.663,151.5946,-25.0176,-130.4836,1.52
966.704,-105.707,-138.663,151.5946,-25.0176,-130.4836,1.56
966.703,-105.646,-138.663,151.5946,-25.0176,-130.4836,1.6
966.703,-105.586,-138.663,151.5946,-25.0176,-130.4836,1.6400000000000001
966.702,-105.526,-138.663,151.5946,-25.0176,-130.4836,1.68
966.701,-105.465,-138.663,151.5946,-25.0176,-130.4836,1.72
966.701,-105.405,-138.663,151.5946,-25.0176,-130.4836,1.76
966.7,-105.345,-138.663,151.5946,-25.0176,-130.4836,1.8
966.7,-105.284,-138.663,151.5946,-25.0176,-130.4836,1.84
966.699,-105.224,-138.663,151.5946,-25.0176,-130.4836,1.8800000000000001
966.699,-105.163,-138.664,151.5946,-25.0176,-130.4836,1.92
966.698,-105.103,-138.664,151.5946,-25.0176,-130.4836,1.96
966.697,-105.043,-138.664,151.5946,-25.0176,-130.4836,2.0
966.697,-104.982,-138.664,151.5946,-25.0176,-130.4836,2.04
966.696,-104.922,-138.664,151.5946,-25.0176,-130.4836,2.08
966.696,-104.861,-138.664,151.5946,-25.0176,-130.4836,2.12
966.695,-104.801,-138.664,151.5946,-25.0176,-130.4836,2.16
966.695,-104.741,-138.664,151.5946,-25.0176,-130.4836,2.2
966.694,-104.68,-138.664,151.5946,-25.0176,-130.4836,2.24
966.693,-104.62,-138.664,151.5946,-25.0176,-130.4836,2.2800000000000002
966.693,-104.56,-138.664,151.5946,-25.0176,-130.4836,2.32
966.692,-104.499,-138.664,151.5946,-25.0176,-130.4836,2.36
966.692,-104.439,-138.664,151.5946,-25.0176,-130.4836,2.4
966.691,-104.378,-138.664,151.5946,-25.0176,-130.4836,2.44
966.691,-104.318,-138.664,151.5946,-25.0176,-130.4836,2.48
966.69,-104.258,-138.664,151.5946,-25.0176,-130.4836,2.52
966.689,-104.197,-138.664,151.5946,-25.0176,-130.4836,2.56
966.689,-104.137,-138.664,151.5946,-25.0176,-130.4836,2.6
966.688,-104.076,-138.664,151.5946,-25.0176,-130.4836,2.64
966.688,-104.016,-138.664,151.5946,-25.0176,-130.4836,2.68
966.687,-103.956,-138.664,151.5946,-25.0176,-130.4836,2.72
966.686,-103.895,-138.664,151.5946,-25.0176,-130.4836,2.7600000000000002
966.686,-103.835,-138.664,151.5946,-25.0176,-130.4836,2.8000000000000003
966.685,-103.774,-138.664,151.5946,-25.0176,-130.4836,2.84
966.685,-103.714,-138.664,151.5946,-25.0176,-130.4836,2.88
966.684,-103.654,-138.664,151.5946,-25.0176,-130.4836,2.92
966.684,-103.593,-138.664,151.5946,-25.0176,-130.4836,2.96
966.683,-103.533,-138.664,151.5946,-25.0176,-130.4836,3.0
966.682,-103.473,-138.664,151.5946,-25.0176,-130.4836,3.04
966.682,-103.412,-138.664,151.5946,-25.0176,-130.4836,3.08
966.681,-103.352,-138.664,151.5946,-25.0176,-130.4836,3.12
966.681,-103.291,-138.664,151.5946,-25.0176,-130.4836,3.16
966.68,-103.231,-138.664,151.5946,-25.0176,-130.4836,3.2
966.68,-103.171,-138.664,151.5946,-25.0176,-130.4836,3.24
966.679,-103.11,-138.664,151.5946,-25.0176,-130.4836,3.2800000000000002
966.678,-103.05,-138.664,151.5946,-25.0176,-130.4836,3.3200000000000003
966.678,-102.989,-138.664,151.5946,-25.0176,-130.4836,3.36
966.677,-102.929,-138.664,151.5946,-25.0176,-130.4836,3.4
966.677,-102.869,-138.664,151.5946,-25.0176,-130.4836,3.44
966.676,-102.808,-138.664,151.5946,-25.0176,-130.4836,3.48
966.676,-102.748,-138.664,151.5946,-25.0176,-130.4836,3.52
966.675,-102.688,-138.664,151.5946,-25.0176,-130.4836,3.56
966.674,-102.627,-138.664,151.5946,-25.0176,-130.4836,3.6
966.674,-102.567,-138.664,151.5946,-25.0176,-130.4836,3.64
966.673,-102.506,-138.664,151.5946,-25.0176,-130.4836,3.68
966.673,-102.446,-138.664,151.5946,-25.0176,-130.4836,3.72
966.672,-102.386,-138.664,151.5946,-25.0176,-130.4836,3.7600000000000002
966.672,-102.325,-138.664,151.5946,-25.0176,-130.4836,3.8000000000000003
966.671,-102.265,-138.664,151.5946,-25.0176,-130.4836,3.84
966.67,-102.204,-138.664,151.5946,-25.0176,-130.4836,3.88
966.67,-102.144,-138.664,151.5946,-25.0176,-130.4836,3.92
966.669,-102.084,-138.664,151.5946,-25.0176,-130.4836,3.96
966.669,-102.023,-138.664,151.5946,-25.0176,-130.4836,4.0
966.668,-101.963,-138.664,151.5946,-25.0176,-130.4836,4.04
966.668,-101.902,-138.664,151.5946,-25.0176,-130.4836,4.08
966.667,-101.842,-138.664,151.5946,-25.0176,-130.4836,4.12
966.666,-101.782,-138.664,151.5946,-25.0176,-130.4836,4.16
966.666,-101.721,-138.664,151.5946,-25.0176,-130.4836,4.2
966.665,-101.661,-138.664,151.5946,-25.0176,-130.4836,4.24
966.665,-101.601,-138.664,151.5946,-25.0176,-130.4836,4.28
966.664,-101.54,-138.664,151.5946,-25.0176,-130.4836,4.32
966.664,-101.48,-138.664,151.5946,-25.0176,-130.4836,4.36
966.663,-101.419,-138.664,151.5946,-25.0176,-130.4836,4.4
