X,Y,Z,Rx,Ry,Rz
965.769,-6.823,-138.682,151.5948,-25.0161,-130.4829
965.768,-6.743,-138.682,151.5948,-25.0161,-130.4829
965.767,-6.663,-138.682,151.5948,-25.0161,-130.4829
965.767,-6.583,-138.682,151.5948,-25.0161,-130.4829
965.766,-6.502,-138.682,151.5948,-25.0161,-130.4829
965.765,-6.422,-138.682,151.5948,-25.0161,-130.4829
965.764,-6.342,-138.682,151.5948,-25.0161,-130.4829
965.764,-6.262,-138.682,151.5948,-25.0161,-130.4829
965.763,-6.182,-138.682,151.5948,-25.0161,-130.4829
965.762,-6.102,-138.682,151.5948,-25.0161,-130.4829
965.761,-6.021,-138.682,151.5948,-25.0161,-130.4829
965.761,-5.941,-138.682,151.5948,-25.0161,-130.4829
965.76,-5.861,-138.682,151.5948,-25.0161,-130.4829
965.759,-5.781,-138.682,151.5948,-25.0161,-130.4829
965.758,-5.701,-138.682,151.5948,-25.0161,-130.4829
965.758,-5.621,-138.682,151.5948,-25.0161,-130.4829
965.757,-5.541,-138.682,151.5948,-25.0161,-130.4829
965.756,-5.46,-138.682,151.5948,-25.0161,-130.4829
965.755,-5.38,-138.682,151.5948,-25.0161,-130.4829
965.754,-5.3,-138.682,151.5948,-25.0161,-130.4829
965.754,-5.22,-138.682,151.5948,-25.0161,-130.4829
965.753,-5.14,-138.682,151.5948,-25.0161,-130.4829
965.752,-5.06,-138.682,151.5948,-25.0161,-130.4829
965.751,-4.979,-138.682,151.5948,-25.0161,-130.4829
965.751,-4.899,-138.682,151.5948,-25.0161,-130.4829
965.75,-4.819,-138.682,151.5948,-25.0161,-130.4829
965.749,-4.739,-138.682,151.5948,-25.0161,-130.4829
965.748,-4.659,-138.682,151.5948,-25.0161,-130.4829
965.748,-4.579,-138.682,151.5948,-25.0161,-130.4829
965.747,-4.499,-138.682,151.5948,-25.0161,-130.4829
965.746,-4.418,-138.682,151.5948,-25.0161,-130.4829
965.745,-4.338,-138.682,151.5948,-25.0161,-130.4829
965.745,-4.258,-138.682,151.5948,-25.0161,-130.4829
965.744,-4.178,-138.682,151.5948,-25.0161,-130.4829
