X,Y,Z,Rx,Ry,Rz
966.727,-107.806,-138.659,151.595,-25.0171,-130.4839
966.725,-107.763,-138.655,151.5957,-25.0182,-130.484
966.724,-107.738,-138.658,151.5945,-25.017,-130.4841
966.726,-107.696,-138.66,151.5959,-25.0173,-130.4842
966.723,-107.647,-138.658,151.5941,-25.0169,-130.4829
966.723,-107.617,-138.67,151.5947,-25.0177,-130.4834
966.719,-107.58,-138.668,151.5948,-25.0182,-130.4846
966.721,-107.537,-138.67,151.5942,-25.0176,-130.4829
966.72,-107.311,-138.664,151.5953,-25.0176,-130.4842
966.717,-107.28,-138.66,151.594,-25.0178,-130.4832
966.719,-107.232,-138.664,151.5948,-25.0175,-130.4837
966.716,-107.201,-138.659,151.5955,-25.0186,-130.4845
966.717,-107.152,-138.663,151.5943,-25.0174,-130.4832
966.714,-107.103,-138.66,151.5944,-25.0179,-130.4837
966.715,-107.073,-138.662,151.5938,-25.0173,-130.4827
966.711,-107.035,-138.66,151.5939,-25.0178,-130.4839
966.719,-106.994,-138.658,151.5958,-25.0176,-130.4843
966.712,-106.755,-138.667,151.5937,-25.0178,-130.4825
966.712,-106.719,-138.671,151.5944,-25.0175,-130.4837
966.716,-106.676,-138.663,151.5957,-25.0181,-130.484
966.715,-106.657,-138.665,151.5951,-25.0175,-130.4837
966.713,-106.608,-138.662,151.5952,-25.018,-130.4842
966.714,-106.578,-138.664,151.5946,-25.0174,-130.4832
966.711,-106.51,-138.663,151.5941,-25.0173,-130.4834
966.712,-106.48,-138.666,151.5954,-25.0176,-130.4842
966.709,-106.431,-138.663,151.5936,-25.0171,-130.4829
966.709,-106.211,-138.656,151.5952,-25.0178,-130.4838
966.709,-106.174,-138.659,151.594,-25.0166,-130.4832
966.706,-106.132,-138.666,151.594,-25.0182,-130.483
966.707,-106.083,-138.67,151.5948,-25.0179,-130.4835
966.704,-106.034,-138.667,151.5949,-25.0184,-130.484
966.71,-106.004,-138.665,151.5949,-25.0173,-130.4833
966.706,-105.966,-138.663,151.595,-25.0178,-130.4845
966.708,-105.924,-138.665,151.5944,-25.0172,-130.4828
966.704,-105.887,-138.662,151.5945,-25.0177,-130.484
966.708,-105.668,-138.661,151.5948,-25.0167,-130.483
966.706,-105.637,-138.657,151.5955,-25.0178,-130.4838
966.707,-105.589,-138.661,151.5962,-25.0175,-130.4843
966.704,-105.539,-138.658,151.5944,-25.0171,-130.483
966.704,-105.521,-138.66,151.5957,-25.0174,-130.4845
966.7,-105.46,-138.668,151.5932,-25.0175,-130.4822
966.701,-105.43,-138.67,151.5946,-25.0178,-130.4831
966.697,-105.392,-138.667,151.5947,-25.0183,-130.4843
966.698,-105.344,-138.671,151.5935,-25.0171,-130.4829
966.698,-105.124,-138.664,151.5951,-25.0178,-130.4838
966.695,-105.075,-138.661,151.5952,-25.0182,-130.4843
966.696,-105.045,-138.663,151.5946,-25.0176,-130.4833
966.699,-104.995,-138.657,151.5953,-25.0177,-130.484
966.698,-104.958,-138.661,151.5941,-25.0165,-130.4834
966.697,-104.916,-138.656,151.5948,-25.0175,-130.4835
966.695,-104.879,-138.671,151.5948,-25.0178,-130.4845
966.692,-104.848,-138.667,151.5936,-25.0179,-130.4835
966.693,-104.8,-138.67,151.5943,-25.0176,-130.484
966.693,-104.562,-138.665,151.5953,-25.0177,-130.4845
966.69,-104.531,-138.66,151.5941,-25.0179,-130.4835
966.691,-104.482,-138.664,151.5949,-25.0176,-130.484
966.693,-104.451,-138.656,151.5942,-25.0173,-130.4833
966.694,-104.403,-138.66,151.5949,-25.017,-130.4838
966.696,-104.373,-138.662,151.5963,-25.0173,-130.4846
966.691,-104.323,-138.67,151.5938,-25.0174,-130.483
966.692,-104.293,-138.672,151.5951,-25.0177,-130.4838
966.689,-104.244,-138.67,151.5952,-25.0182,-130.4843
966.688,-104.006,-138.664,151.5943,-25.0174,-130.483
966.685,-103.957,-138.661,151.5944,-25.0179,-130.4835
966.686,-103.926,-138.663,151.5938,-25.0173,-130.4825
966.686,-103.89,-138.667,151.5945,-25.017,-130.4837
966.685,-103.847,-138.663,151.5952,-25.0181,-130.4838
966.69,-103.81,-138.663,151.5946,-25.0164,-130.4835
966.687,-103.779,-138.658,151.5953,-25.0175,-130.4843
966.688,-103.731,-138.662,151.596,-25.0172,-130.4848
966.683,-103.48,-138.661,151.5938,-25.0177,-130.4825
966.683,-103.443,-138.665,151.5946,-25.0174,-130.4837
966.684,-103.413,-138.667,151.594,-25.0168,-130.4827
966.681,-103.364,-138.664,151.5941,-25.0173,-130.4832
966.682,-103.334,-138.666,151.5954,-25.0176,-130.484
966.684,-103.284,-138.66,151.5941,-25.0167,-130.483
966.685,-103.254,-138.662,151.5955,-25.017,-130.4838
966.682,-103.205,-138.659,151.5956,-25.0175,-130.4843
966.683,-103.175,-138.661,151.595,-25.0169,-130.4833
966.681,-102.937,-138.667,151.5953,-25.0175,-130.4836
966.676,-102.899,-138.664,151.5935,-25.0171,-130.4829
966.679,-102.858,-138.666,151.5948,-25.0174,-130.4831
966.675,-102.82,-138.663,151.5949,-25.0179,-130.4842
966.672,-102.771,-138.661,151.595,-25.0184,-130.4848
966.678,-102.722,-138.661,151.5944,-25.0167,-130.4837
966.675,-102.691,-138.657,151.5951,-25.0178,-130.4845
966.676,-102.643,-138.66,151.5939,-25.0166,-130.4832
966.677,-102.613,-138.662,151.5952,-25.0169,-130.484
966.675,-102.375,-138.667,151.5956,-25.0175,-130.4843
966.671,-102.325,-138.665,151.5938,-25.0171,-130.4829
966.673,-102.295,-138.667,151.5951,-25.0174,-130.4837
966.67,-102.264,-138.662,151.5938,-25.0176,-130.4827
966.67,-102.216,-138.666,151.5946,-25.0173,-130.4832
966.668,-102.185,-138.662,151.5953,-25.0184,-130.4841
966.673,-102.148,-138.662,151.5946,-25.0167,-130.4837
966.671,-102.106,-138.657,151.5953,-25.0178,-130.4838
966.667,-101.879,-138.662,151.5938,-25.0175,-130.483
966.668,-101.831,-138.666,151.5945,-25.0172,-130.4834
966.665,-101.781,-138.664,151.5946,-25.0177,-130.4839
966.667,-101.74,-138.666,151.5959,-25.018,-130.4841
966.663,-101.702,-138.663,151.5941,-25.0176,-130.4834
966.664,-101.672,-138.665,151.5954,-25.0179,-130.4842
966.666,-101.622,-138.659,151.5942,-25.017,-130.4832
966.669,-101.581,-138.661,151.5955,-25.0173,-130.4833
966.664,-101.543,-138.658,151.5956,-25.0178,-130.4845
966.661,-101.305,-138.663,151.594,-25.0176,-130.4829
966.661,-101.268,-138.667,151.5947,-25.0173,-130.4841
966.658,-101.237,-138.662,151.5935,-25.0175,-130.4831
966.664,-101.189,-138.663,151.5948,-25.0167,-130.4839
966.663,-101.146,-138.659,151.5955,-25.0178,-130.484
966.662,-101.109,-138.662,151.5943,-25.0166,-130.4834
966.659,-101.067,-138.669,151.5944,-25.0182,-130.4832
966.66,-101.019,-138.672,151.5951,-25.0179,-130.4837
966.657,-100.987,-138.668,151.5939,-25.0181,-130.4827
966.655,-100.761,-138.662,151.5949,-25.0182,-130.4839
966.655,-100.712,-138.666,151.5937,-25.017,-130.4826
966.657,-100.693,-138.658,151.5949,-25.0176,-130.4844
966.658,-100.645,-138.662,151.5957,-25.0173,-130.4849
966.655,-100.584,-138.659,151.5938,-25.0169,-130.4829
966.655,-100.566,-138.661,151.5951,-25.0172,-130.4844
966.65,-100.516,-138.669,151.5946,-25.0182,-130.4846
966.653,-100.474,-138.671,151.594,-25.0176,-130.4829
966.657,-100.236,-138.662,151.5956,-25.0172,-130.4837
966.652,-100.198,-138.659,151.5937,-25.0168,-130.4831
966.655,-100.157,-138.661,151.5951,-25.0171,-130.4832
966.652,-100.108,-138.659,151.5952,-25.0176,-130.4837
966.651,-100.071,-138.662,151.5959,-25.0173,-130.4849
966.648,-100.028,-138.669,151.594,-25.018,-130.4829
