I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,18795.0,151.1,0.0,0.0,0.0
6.0,6.0,0.0,18830.0,186.0,0.0,0.0,0.0
7.0,6.0,0.0,18856.0,212.1,0.0,0.0,0.0
8.0,7.0,0.0,18887.0,243.0,0.0,0.0,0.0
8.0,8.0,0.0,18918.0,274.3,0.0,0.0,0.0
9.0,8.0,0.0,18948.0,304.3,0.0,0.0,0.0
10.0,9.0,0.0,18983.0,338.9,0.0,0.0,0.0
10.0,10.0,0.0,19008.0,364.2,0.0,0.0,0.0
11.0,10.0,1.0,19039.0,394.5,394.5,150.0,1.0
14.0,11.0,0.0,0.0,554.1,0.0,0.0,0.0
15.0,14.0,0.0,31.0,585.4,0.0,0.0,0.0
16.0,15.0,0.0,61.0,615.1,0.0,0.0,0.0
16.0,16.0,0.0,91.0,646.0,0.0,0.0,0.0
17.0,16.0,0.0,121.0,676.1,0.0,0.0,0.0
18.0,17.0,0.0,156.0,711.0,0.0,0.0,0.0
18.0,18.0,0.0,182.0,736.2,0.0,0.0,0.0
19.0,18.0,0.0,211.0,766.0,0.0,0.0,0.0
2.0,19.0,1.0,242.0,796.1,796.1,148.0,2.0
5.0,2.0,0.0,0.0,954.9,0.0,0.0,0.0
6.0,5.0,0.0,31.0,986.9,0.0,0.0,0.0
6.0,6.0,0.0,62.0,1017.0,0.0,0.0,0.0
7.0,6.0,0.0,93.0,1048.0,0.0,0.0,0.0
8.0,7.0,0.0,122.0,1077.9,0.0,0.0,0.0
8.0,8.0,0.0,152.0,1107.3,0.0,0.0,0.0
9.0,8.0,0.0,187.0,1142.9,0.0,0.0,0.0
10.0,9.0,0.0,219.0,1174.4,0.0,0.0,0.0
10.0,10.0,0.0,246.0,1201.1,0.0,0.0,0.0
11.0,10.0,1.0,279.0,1234.4,1234.4,129.0,1.0
14.0,11.0,0.0,0.0,1372.1,0.0,0.0,0.0
15.0,14.0,0.0,24.0,1396.5,0.0,0.0,0.0
15.0,15.0,0.0,54.0,1426.7,0.0,0.0,0.0
