X,Y,Z,Rx,Ry,Rz,Time
967.594,-107.891,-138.495,151.6149,-25.0203,-130.5182,0.0
967.593,-107.831,-138.495,151.6149,-25.0203,-130.5182,0.04
967.593,-107.77,-138.495,151.6149,-25.0203,-130.5182,0.08
967.592,-107.71,-138.495,151.6149,-25.0203,-130.5182,0.12
967.591,-107.649,-138.495,151.6149,-25.0203,-130.5182,0.16
967.591,-107.589,-138.495,151.6149,-25.0203,-130.5182,0.2
967.59,-107.529,-138.496,151.6149,-25.0203,-130.5182,0.24
967.589,-107.468,-138.496,151.6149,-25.0203,-130.5182,0.28
967.589,-107.408,-138.496,151.6149,-25.0203,-130.5182,0.32
967.588,-107.348,-138.496,151.6149,-25.0203,-130.5182,0.36
967.587,-107.287,-138.496,151.6149,-25.0203,-130.5182,0.4
967.587,-107.227,-138.496,151.6149,-25.0203,-130.5182,0.44
967.586,-107.166,-138.496,151.6149,-25.0203,-130.5182,0.48
967.585,-107.106,-138.496,151.6149,-25.0203,-130.5182,0.52
967.585,-107.046,-138.496,151.6149,-25.0203,-130.5182,0.56
967.584,-106.985,-138.496,151.6149,-25.0203,-130.5182,0.6
967.584,-106.925,-138.496,151.6149,-25.0203,-130.5182,0.64
967.583,-106.865,-138.496,151.6149,-25.0203,-130.5182,0.68
967.582,-106.804,-138.497,151.6149,-25.0203,-130.5182,0.72
967.582,-106.744,-138.497,151.6149,-25.0203,-130.5182,0.76
967.581,-106.683,-138.497,151.6149,-25.0203,-130.5182,0.8
967.58,-106.623,-138.497,151.6149,-25.0203,-130.5182,0.84
967.58,-106.563,-138.497,151.6149,-25.0203,-130.5182,0.88
967.579,-106.502,-138.497,151.6149,-25.0203,-130.5182,0.92
967.578,-106.442,-138.497,151.6149,-25.0203,-130.5182,0.96
967.578,-106.382,-138.497,151.6149,-25.0203,-130.5182,1.0
967.577,-106.321,-138.497,151.6149,-25.0203,-130.5182,1.04
967.576,-106.261,-138.497,151.6149,-25.0203,-130.5182,1.08
967.576,-106.2,-138.497,151.6149,-25.0203,-130.5182,1.12
967.575,-106.14,-138.497,151.6149,-25.0203,-130.5182,1.16
967.574,-106.08,-138.498,151.6149,-25.0203,-130.5182,1.2
967.574,-106.019,-138.498,151.6149,-25.0203,-130.5182,1.24
967.573,-105.959,-138.498,151.6149,-25.0203,-130.5182,1.28
967.572,-105.899,-138.498,151.6149,-25.0203,-130.5182,1.32
967.572,-105.838,-138.498,151.6149,-25.0203,-130.5182,1.36
967.571,-105.778,-138.498,151.6149,-25.0203,-130.5182,1.4000000000000001
967.57,-105.717,-138.498,151.6149,-25.0203,-130.5182,1.44
967.57,-105.657,-138.498,151.6149,-25.0203,-130.5182,1.48
967.569,-105.597,-138.498,151.6149,-25.0203,-130.5182,1.52
967.568,-105.536,-138.498,151.6149,-25.0203,-130.5182,1.56
967.568,-105.476,-138.498,151.6149,-25.0203,-130.5182,1.6
967.567,-105.416,-138.498,151.6149,-25.0203,-130.5182,1.6400000000000001
967.566,-105.355,-138.499,151.6149,-25.0203,-130.5182,1.68
967.566,-105.295,-138.499,151.6149,-25.0203,-130.5182,1.72
967.565,-105.234,-138.499,151.6149,-25.0203,-130.5182,1.76
967.564,-105.174,-138.499,151.6149,-25.0203,-130.5182,1.8
967.564,-105.114,-138.499,151.6149,-25.0203,-130.5182,1.84
967.563,-105.053,-138.499,151.6149,-25.0203,-130.5182,1.8800000000000001
967.563,-104.993,-138.499,151.6149,-25.0203,-130.5182,1.92
