X,Y,Z,Rx,Ry,Rz
966.835,-38.049,-138.597,151.6142,-25.0205,-130.5171
966.835,-38.009,-138.597,151.6142,-25.0205,-130.5171
966.834,-37.968,-138.597,151.6142,-25.0205,-130.5171
966.834,-37.928,-138.597,151.6142,-25.0205,-130.5171
966.833,-37.887,-138.597,151.6142,-25.0205,-130.5171
966.833,-37.847,-138.597,151.6142,-25.0205,-130.5171
966.832,-37.807,-138.597,151.6142,-25.0205,-130.5171
966.832,-37.766,-138.597,151.6142,-25.0205,-130.5171
966.831,-37.726,-138.597,151.6142,-25.0205,-130.5171
966.831,-37.686,-138.597,151.6142,-25.0205,-130.5171
966.831,-37.645,-138.598,151.6142,-25.0205,-130.5171
966.83,-37.605,-138.598,151.6142,-25.0205,-130.5171
966.83,-37.564,-138.598,151.6142,-25.0205,-130.5171
966.829,-37.524,-138.598,151.6142,-25.0205,-130.5171
966.829,-37.484,-138.598,151.6142,-25.0205,-130.5171
966.828,-37.443,-138.598,151.6142,-25.0205,-130.5171
966.828,-37.403,-138.598,151.6142,-25.0205,-130.5171
966.828,-37.362,-138.598,151.6142,-25.0205,-130.5171
966.827,-37.322,-138.598,151.6142,-25.0205,-130.5171
966.827,-37.282,-138.598,151.6142,-25.0205,-130.5171
966.826,-37.241,-138.598,151.6142,-25.0205,-130.5171
966.826,-37.201,-138.598,151.6142,-25.0205,-130.5171
966.825,-37.161,-138.598,151.6142,-25.0205,-130.5171
966.825,-37.12,-138.598,151.6142,-25.0205,-130.5171
966.824,-37.08,-138.598,151.6142,-25.0205,-130.5171
966.824,-37.039,-138.598,151.6142,-25.0205,-130.5171
966.824,-36.999,-138.598,151.6142,-25.0205,-130.5171
966.823,-36.959,-138.598,151.6142,-25.0205,-130.5171
966.823,-36.918,-138.599,151.6142,-25.0205,-130.5171
966.822,-36.878,-138.599,151.6142,-25.0205,-130.5171
966.822,-36.837,-138.599,151.6142,-25.0205,-130.5171
966.821,-36.797,-138.599,151.6142,-25.0205,-130.5171
966.821,-36.757,-138.599,151.6142,-25.0205,-130.5171
966.821,-36.716,-138.599,151.6142,-25.0205,-130.5171
966.82,-36.676,-138.599,151.6142,-25.0205,-130.5171
966.82,-36.636,-138.599,151.6142,-25.0205,-130.5171
966.819,-36.595,-138.599,151.6142,-25.0205,-130.5171
966.819,-36.555,-138.599,151.6142,-25.0205,-130.5171
966.818,-36.514,-138.599,151.6142,-25.0205,-130.5171
966.818,-36.474,-138.599,151.6142,-25.0205,-130.5171
966.817,-36.434,-138.599,151.6142,-25.0205,-130.5171
966.817,-36.393,-138.599,151.6142,-25.0205,-130.5171
966.817,-36.353,-138.599,151.6142,-25.0205,-130.5171
966.816,-36.313,-138.599,151.6142,-25.0205,-130.5171
966.816,-36.272,-138.599,151.6142,-25.0205,-130.5171
966.815,-36.232,-138.599,151.6142,-25.0205,-130.5171
966.815,-36.191,-138.6,151.6142,-25.0205,-130.5171
966.814,-36.151,-138.6,151.6142,-25.0205,-130.5171
966.814,-36.111,-138.6,151.6142,-25.0205,-130.5171
966.814,-36.07,-138.6,151.6142,-25.0205,-130.5171
