X,Y,Z,Rx,Ry,Rz
967.593,-107.831,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.593,-107.77,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.592,-107.71,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.591,-107.649,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.591,-107.589,-138.495,1516.1490000000001,-250.20299999999997,-1305.182
967.59,-107.529,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.589,-107.468,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.589,-107.408,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.588,-107.348,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.587,-107.287,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.587,-107.227,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.586,-107.166,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.585,-107.106,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.585,-107.046,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.584,-106.985,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.584,-106.925,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.583,-106.865,-138.496,1516.1490000000001,-250.20299999999997,-1305.182
967.582,-106.804,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.582,-106.744,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.581,-106.683,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.58,-106.623,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.58,-106.563,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.579,-106.502,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.578,-106.442,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.578,-106.382,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.577,-106.321,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.576,-106.261,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
967.576,-106.2,-138.497,1516.1490000000001,-250.20299999999997,-1305.182
