X,Y,Z,Rx,Ry,Rz
967.589,-107.653,-138.493,151.6153,-25.0209,-130.5185
967.595,-107.604,-138.494,151.6147,-25.0192,-130.5174
967.593,-107.574,-138.489,151.6154,-25.0203,-130.5182
967.594,-107.525,-138.493,151.6161,-25.02,-130.5187
967.589,-107.487,-138.49,151.6143,-25.0196,-130.5181
967.591,-107.457,-138.492,151.6156,-25.0199,-130.5189
967.586,-107.408,-138.501,151.6151,-25.0209,-130.5191
967.587,-107.378,-138.503,151.6145,-25.0202,-130.5181
967.586,-107.335,-138.498,151.6152,-25.0213,-130.5183
967.585,-107.09,-138.495,151.6156,-25.0208,-130.5192
967.586,-107.042,-138.498,151.6144,-25.0196,-130.5179
967.583,-107.011,-138.494,151.6151,-25.0207,-130.5187
967.584,-106.981,-138.496,151.6145,-25.0201,-130.5177
967.581,-106.931,-138.493,151.6146,-25.0206,-130.5182
967.583,-106.883,-138.497,151.6153,-25.0203,-130.5187
967.58,-106.852,-138.493,151.6141,-25.0205,-130.5177
967.581,-106.803,-138.496,151.6148,-25.0201,-130.5182
967.579,-106.565,-138.502,151.6152,-25.0207,-130.5184
967.575,-106.527,-138.499,151.6134,-25.0203,-130.5178
967.576,-106.498,-138.501,151.6147,-25.0206,-130.5186
967.577,-106.449,-138.505,151.6154,-25.0203,-130.5191
967.574,-106.418,-138.5,151.6142,-25.0205,-130.5181
967.577,-106.369,-138.495,151.6149,-25.0205,-130.5189
967.578,-106.338,-138.496,151.6143,-25.0199,-130.5179
967.579,-106.29,-138.5,151.615,-25.0196,-130.5184
967.578,-106.248,-138.496,151.6157,-25.0207,-130.5185
967.575,-106.04,-138.498,151.6154,-25.0201,-130.518
967.572,-105.991,-138.496,151.6155,-25.0206,-130.5185
967.573,-105.961,-138.497,151.6149,-25.02,-130.5175
967.575,-105.923,-138.492,151.6156,-25.0201,-130.5189
967.577,-105.881,-138.493,151.615,-25.0194,-130.5172
967.571,-105.844,-138.502,151.6145,-25.0204,-130.5181
967.572,-105.795,-138.505,151.6152,-25.0201,-130.5186
967.569,-105.764,-138.501,151.614,-25.0203,-130.5176
967.57,-105.716,-138.505,151.6147,-25.02,-130.5181
967.57,-105.477,-138.499,151.6157,-25.0201,-130.5187
967.567,-105.446,-138.495,151.6145,-25.0203,-130.5177
967.569,-105.398,-138.499,151.6152,-25.02,-130.5181
967.566,-105.349,-138.496,151.6153,-25.0205,-130.5186
967.567,-105.318,-138.498,151.6147,-25.0199,-130.5176
967.563,-105.281,-138.495,151.6148,-25.0204,-130.5188
967.565,-105.239,-138.497,151.6142,-25.0198,-130.5171
967.561,-105.201,-138.495,151.6143,-25.0202,-130.5183
967.562,-105.172,-138.497,151.6156,-25.0205,-130.5191
967.56,-104.933,-138.502,151.6141,-25.0202,-130.5176
967.557,-104.884,-138.499,151.6142,-25.0207,-130.5181
967.563,-104.835,-138.5,151.6155,-25.0199,-130.5188
967.565,-104.805,-138.502,151.6149,-25.0193,-130.5178
