I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,13751.0,172.4,0.0,0.0,0.0
7.0,6.0,0.0,13784.0,205.6,0.0,0.0,0.0
7.0,7.0,0.0,13814.0,235.6,0.0,0.0,0.0
8.0,7.0,0.0,13842.0,263.9,0.0,0.0,0.0
9.0,8.0,0.0,13873.0,294.2,0.0,0.0,0.0
9.0,9.0,0.0,13905.0,326.6,0.0,0.0,0.0
10.0,9.0,0.0,13935.0,356.9,0.0,0.0,0.0
11.0,10.0,1.0,13965.0,386.9,386.9,140.0,1.0
14.0,11.0,0.0,0.0,539.2,0.0,0.0,0.0
14.0,14.0,0.0,31.0,570.4,0.0,0.0,0.0
15.0,14.0,0.0,60.0,599.8,0.0,0.0,0.0
16.0,15.0,0.0,94.0,633.7,0.0,0.0,0.0
16.0,16.0,0.0,120.0,659.5,0.0,0.0,0.0
17.0,16.0,0.0,150.0,690.1,0.0,0.0,0.0
18.0,17.0,0.0,180.0,720.1,0.0,0.0,0.0
18.0,18.0,0.0,210.0,750.2,0.0,0.0,0.0
19.0,18.0,0.0,243.0,782.4,0.0,0.0,0.0
2.0,19.0,1.0,271.0,810.2,810.2,135.0,2.0
5.0,2.0,0.0,0.0,958.1,0.0,0.0,0.0
5.0,5.0,0.0,28.0,986.2,0.0,0.0,0.0
6.0,5.0,0.0,61.0,1020.0,0.0,0.0,0.0
7.0,6.0,0.0,88.0,1046.5,0.0,0.0,0.0
7.0,7.0,0.0,119.0,1078.1,0.0,0.0,0.0
8.0,7.0,0.0,150.0,1108.4,0.0,0.0,0.0
9.0,8.0,0.0,181.0,1139.2,0.0,0.0,0.0
9.0,9.0,0.0,212.0,1170.2,0.0,0.0,0.0
10.0,9.0,0.0,242.0,1200.3,0.0,0.0,0.0
10.0,10.0,0.0,272.0,1230.4,0.0,0.0,0.0
11.0,10.0,1.0,301.0,1260.0,1260.0,140.0,1.0
14.0,11.0,0.0,0.0,1410.8,0.0,0.0,0.0
15.0,14.0,0.0,31.0,1441.8,0.0,0.0,0.0
16.0,15.0,0.0,61.0,1471.9,0.0,0.0,0.0
16.0,16.0,0.0,91.0,1502.2,0.0,0.0,0.0
17.0,16.0,0.0,126.0,1536.9,0.0,0.0,0.0
18.0,17.0,0.0,151.0,1562.1,0.0,0.0,0.0
18.0,18.0,0.0,181.0,1592.0,0.0,0.0,0.0
19.0,18.0,0.0,210.0,1621.7,0.0,0.0,0.0
2.0,19.0,1.0,241.0,1652.2,1652.2,147.0,2.0
5.0,2.0,0.0,0.0,1812.2,0.0,0.0,0.0
6.0,5.0,0.0,30.0,1842.9,0.0,0.0,0.0
6.0,6.0,0.0,62.0,1875.1,0.0,0.0,0.0
7.0,6.0,0.0,96.0,1908.3,0.0,0.0,0.0
8.0,7.0,0.0,121.0,1933.8,0.0,0.0,0.0
8.0,8.0,0.0,151.0,1963.9,0.0,0.0,0.0
9.0,8.0,0.0,181.0,1993.7,0.0,0.0,0.0
10.0,9.0,0.0,213.0,2024.5,0.0,0.0,0.0
10.0,10.0,0.0,244.0,2056.4,0.0,0.0,0.0
11.0,10.0,1.0,274.0,2086.3,2086.3,148.0,1.0
14.0,11.0,0.0,0.0,2244.7,0.0,0.0,0.0
15.0,14.0,0.0,31.0,2276.4,0.0,0.0,0.0
16.0,15.0,0.0,61.0,2305.8,0.0,0.0,0.0
16.0,16.0,0.0,93.0,2337.7,0.0,0.0,0.0
17.0,16.0,0.0,124.0,2369.5,0.0,0.0,0.0
18.0,17.0,0.0,153.0,2398.3,0.0,0.0,0.0
18.0,18.0,0.0,182.0,2427.0,0.0,0.0,0.0
19.0,18.0,0.0,213.0,2457.8,0.0,0.0,0.0
2.0,19.0,1.0,243.0,2488.6,2488.6,139.0,2.0
5.0,2.0,0.0,0.0,2641.5,0.0,0.0,0.0
6.0,5.0,0.0,31.0,2673.2,0.0,0.0,0.0
6.0,6.0,0.0,61.0,2703.1,0.0,0.0,0.0
7.0,6.0,0.0,92.0,2734.4,0.0,0.0,0.0
7.0,7.0,0.0,126.0,2768.1,0.0,0.0,0.0
8.0,7.0,0.0,152.0,2794.3,0.0,0.0,0.0
9.0,8.0,0.0,183.0,2825.4,0.0,0.0,0.0
9.0,9.0,0.0,213.0,2854.8,0.0,0.0,0.0
10.0,9.0,0.0,246.0,2888.5,0.0,0.0,0.0
11.0,10.0,1.0,277.0,2918.5,2918.5,138.0,1.0
14.0,11.0,0.0,1.0,3069.3,0.0,0.0,0.0
14.0,14.0,0.0,30.0,3098.2,0.0,0.0,0.0
15.0,14.0,0.0,62.0,3130.3,0.0,0.0,0.0
16.0,15.0,0.0,94.0,3161.7,0.0,0.0,0.0
16.0,16.0,0.0,124.0,3191.7,0.0,0.0,0.0
17.0,16.0,0.0,152.0,3220.1,0.0,0.0,0.0
18.0,17.0,0.0,184.0,3252.0,0.0,0.0,0.0
18.0,18.0,0.0,212.0,3280.2,0.0,0.0,0.0
19.0,18.0,0.0,244.0,3311.7,0.0,0.0,0.0
2.0,19.0,1.0,278.0,3346.2,3346.2,145.0,2.0
5.0,2.0,0.0,0.0,3496.1,0.0,0.0,0.0
6.0,5.0,0.0,25.0,3522.1,0.0,0.0,0.0
6.0,6.0,0.0,55.0,3552.0,0.0,0.0,0.0
7.0,6.0,0.0,86.0,3582.2,0.0,0.0,0.0
8.0,7.0,0.0,116.0,3612.4,0.0,0.0,0.0
8.0,8.0,0.0,146.0,3642.3,0.0,0.0,0.0
9.0,8.0,0.0,176.0,3672.4,0.0,0.0,0.0
9.0,9.0,0.0,206.0,3702.3,0.0,0.0,0.0
10.0,9.0,0.0,236.0,3732.9,0.0,0.0,0.0
11.0,10.0,1.0,266.0,3762.9,3762.9,142.0,1.0
14.0,11.0,0.0,0.0,3916.1,0.0,0.0,0.0
15.0,14.0,0.0,34.0,3950.3,0.0,0.0,0.0
16.0,15.0,0.0,65.0,3981.8,0.0,0.0,0.0
16.0,16.0,0.0,98.0,4013.5,0.0,0.0,0.0
17.0,16.0,0.0,127.0,4044.0,0.0,0.0,0.0
17.0,17.0,0.0,159.0,4075.3,0.0,0.0,0.0
18.0,17.0,0.0,187.0,4104.0,0.0,0.0,0.0
19.0,18.0,0.0,223.0,4139.1,0.0,0.0,0.0
2.0,19.0,1.0,252.0,4168.4,4168.4,155.0,2.0
5.0,2.0,0.0,0.0,4338.0,0.0,0.0,0.0
6.0,5.0,0.0,32.0,4370.5,0.0,0.0,0.0
6.0,6.0,0.0,58.0,4396.2,0.0,0.0,0.0
7.0,6.0,0.0,87.0,4425.9,0.0,0.0,0.0
8.0,7.0,0.0,117.0,4456.0,0.0,0.0,0.0
8.0,8.0,0.0,148.0,4486.2,0.0,0.0,0.0
9.0,8.0,0.0,183.0,4521.8,0.0,0.0,0.0
10.0,9.0,0.0,208.0,4546.0,0.0,0.0,0.0
10.0,10.0,0.0,240.0,4578.3,0.0,0.0,0.0
11.0,10.0,1.0,268.0,4606.8,4606.8,140.0,1.0
14.0,11.0,0.0,0.0,4757.1,0.0,0.0,0.0
15.0,14.0,0.0,33.0,4790.2,0.0,0.0,0.0
16.0,15.0,0.0,63.0,4820.2,0.0,0.0,0.0
16.0,16.0,0.0,98.0,4855.2,0.0,0.0,0.0
17.0,16.0,0.0,129.0,4886.2,0.0,0.0,0.0
18.0,17.0,0.0,159.0,4916.4,0.0,0.0,0.0
18.0,18.0,0.0,191.0,4948.4,0.0,0.0,0.0
19.0,18.0,0.0,220.0,4977.7,0.0,0.0,0.0
2.0,19.0,1.0,251.0,5008.3,5008.3,137.0,2.0
5.0,2.0,0.0,0.0,5160.1,0.0,0.0,0.0
5.0,5.0,0.0,28.0,5188.9,0.0,0.0,0.0
6.0,5.0,0.0,58.0,5219.0,0.0,0.0,0.0
7.0,6.0,0.0,93.0,5254.0,0.0,0.0,0.0
7.0,7.0,0.0,118.0,5279.0,0.0,0.0,0.0
8.0,7.0,0.0,150.0,5310.4,0.0,0.0,0.0
9.0,8.0,0.0,187.0,5347.3,0.0,0.0,0.0
9.0,9.0,0.0,212.0,5372.4,0.0,0.0,0.0
10.0,9.0,0.0,245.0,5405.9,0.0,0.0,0.0
11.0,10.0,1.0,279.0,5439.1,5439.1,136.0,1.0
14.0,11.0,0.0,0.0,5587.5,0.0,0.0,0.0
15.0,14.0,0.0,26.0,5613.0,0.0,0.0,0.0
15.0,15.0,0.0,56.0,5642.8,0.0,0.0,0.0
16.0,15.0,0.0,87.0,5673.8,0.0,0.0,0.0
17.0,16.0,0.0,117.0,5704.0,0.0,0.0,0.0
17.0,17.0,0.0,147.0,5733.8,0.0,0.0,0.0
18.0,17.0,0.0,177.0,5763.9,0.0,0.0,0.0
18.0,18.0,0.0,207.0,5793.9,0.0,0.0,0.0
19.0,18.0,0.0,237.0,5823.9,0.0,0.0,0.0
2.0,19.0,1.0,271.0,5858.2,5858.2,136.0,2.0
5.0,2.0,0.0,0.0,6000.1,0.0,0.0,0.0
5.0,5.0,0.0,27.0,6027.8,0.0,0.0,0.0
6.0,5.0,0.0,58.0,6058.4,0.0,0.0,0.0
7.0,6.0,0.0,90.0,6090.1,0.0,0.0,0.0
7.0,7.0,0.0,120.0,6120.7,0.0,0.0,0.0
8.0,7.0,0.0,150.0,6150.4,0.0,0.0,0.0
9.0,8.0,0.0,182.0,6182.5,0.0,0.0,0.0
9.0,9.0,0.0,214.0,6214.5,0.0,0.0,0.0
10.0,9.0,0.0,242.0,6242.6,0.0,0.0,0.0
11.0,10.0,1.0,278.0,6278.1,6278.1,155.0,1.0
14.0,11.0,0.0,0.0,6438.4,0.0,0.0,0.0
15.0,14.0,0.0,25.0,6464.1,0.0,0.0,0.0
15.0,15.0,0.0,55.0,6494.1,0.0,0.0,0.0
16.0,15.0,0.0,85.0,6524.0,0.0,0.0,0.0
17.0,16.0,0.0,120.0,6558.9,0.0,0.0,0.0
17.0,17.0,0.0,145.0,6584.1,0.0,0.0,0.0
18.0,17.0,0.0,178.0,6616.9,0.0,0.0,0.0
19.0,18.0,0.0,208.0,6647.0,0.0,0.0,0.0
19.0,19.0,0.0,239.0,6678.0,0.0,0.0,0.0
2.0,19.0,1.0,268.0,6707.0,6707.0,154.0,2.0
5.0,2.0,0.0,0.0,6872.3,0.0,0.0,0.0
6.0,5.0,0.0,29.0,6902.1,0.0,0.0,0.0
7.0,6.0,0.0,62.0,6935.0,0.0,0.0,0.0
7.0,7.0,0.0,93.0,6966.3,0.0,0.0,0.0
8.0,7.0,0.0,121.0,6993.9,0.0,0.0,0.0
9.0,8.0,0.0,152.0,7024.6,0.0,0.0,0.0
9.0,9.0,0.0,182.0,7054.8,0.0,0.0,0.0
10.0,9.0,0.0,216.0,7088.6,0.0,0.0,0.0
