X,Y,Z,Rx,Ry,Rz,Time
967.951,-108.768,-138.651,151.6394,-24.9856,-130.5344,0.0
967.95,-108.708,-138.651,151.6394,-24.9856,-130.5344,0.04
967.95,-108.647,-138.651,151.6394,-24.9856,-130.5344,0.08
967.949,-108.587,-138.651,151.6394,-24.9856,-130.5344,0.12
967.948,-108.526,-138.651,151.6394,-24.9856,-130.5344,0.16
967.947,-108.466,-138.651,151.6394,-24.9856,-130.5344,0.2
967.947,-108.406,-138.652,151.6394,-24.9856,-130.5344,0.24
967.946,-108.345,-138.652,151.6394,-24.9856,-130.5344,0.28
967.945,-108.285,-138.652,151.6394,-24.9856,-130.5344,0.32
967.944,-108.225,-138.652,151.6394,-24.9856,-130.5344,0.36
967.944,-108.164,-138.652,151.6394,-24.9856,-130.5344,0.4
967.943,-108.104,-138.652,151.6394,-24.9856,-130.5344,0.44
967.942,-108.043,-138.652,151.6394,-24.9856,-130.5344,0.48
967.941,-107.983,-138.652,151.6394,-24.9856,-130.5344,0.52
967.941,-107.923,-138.652,151.6394,-24.9856,-130.5344,0.56
967.94,-107.862,-138.652,151.6394,-24.9856,-130.5344,0.6
967.939,-107.802,-138.652,151.6394,-24.9856,-130.5344,0.64
967.938,-107.741,-138.653,151.6394,-24.9856,-130.5344,0.68
967.938,-107.681,-138.653,151.6394,-24.9856,-130.5344,0.72
967.937,-107.621,-138.653,151.6394,-24.9856,-130.5344,0.76
967.936,-107.56,-138.653,151.6394,-24.9856,-130.5344,0.8
967.935,-107.5,-138.653,151.6394,-24.9856,-130.5344,0.84
967.935,-107.44,-138.653,151.6394,-24.9856,-130.5344,0.88
967.934,-107.379,-138.653,151.6394,-24.9856,-130.5344,0.92
967.933,-107.319,-138.653,151.6394,-24.9856,-130.5344,0.96
967.932,-107.258,-138.653,151.6394,-24.9856,-130.5344,1.0
967.932,-107.198,-138.653,151.6394,-24.9856,-130.5344,1.04
967.931,-107.138,-138.653,151.6394,-24.9856,-130.5344,1.08
967.93,-107.077,-138.653,151.6394,-24.9856,-130.5344,1.12
967.929,-107.017,-138.654,151.6394,-24.9856,-130.5344,1.16
967.929,-106.956,-138.654,151.6394,-24.9856,-130.5344,1.2
967.928,-106.896,-138.654,151.6394,-24.9856,-130.5344,1.24
967.927,-106.836,-138.654,151.6394,-24.9856,-130.5344,1.28
967.926,-106.775,-138.654,151.6394,-24.9856,-130.5344,1.32
967.926,-106.715,-138.654,151.6394,-24.9856,-130.5344,1.36
967.925,-106.654,-138.654,151.6394,-24.9856,-130.5344,1.4000000000000001
967.924,-106.594,-138.654,151.6394,-24.9856,-130.5344,1.44
967.923,-106.534,-138.654,151.6394,-24.9856,-130.5344,1.48
967.923,-106.473,-138.654,151.6394,-24.9856,-130.5344,1.52
967.922,-106.413,-138.654,151.6394,-24.9856,-130.5344,1.56
967.921,-106.353,-138.655,151.6394,-24.9856,-130.5344,1.6
967.92,-106.292,-138.655,151.6394,-24.9856,-130.5344,1.6400000000000001
967.92,-106.232,-138.655,151.6394,-24.9856,-130.5344,1.68
967.919,-106.171,-138.655,151.6394,-24.9856,-130.5344,1.72
967.918,-106.111,-138.655,151.6394,-24.9856,-130.5344,1.76
967.917,-106.051,-138.655,151.6394,-24.9856,-130.5344,1.8
967.917,-105.99,-138.655,151.6394,-24.9856,-130.5344,1.84
967.916,-105.93,-138.655,151.6394,-24.9856,-130.5344,1.8800000000000001
967.915,-105.869,-138.655,151.6394,-24.9856,-130.5344,1.92
967.914,-105.809,-138.655,151.6394,-24.9856,-130.5344,1.96
967.914,-105.749,-138.655,151.6394,-24.9856,-130.5344,2.0
967.913,-105.688,-138.656,151.6394,-24.9856,-130.5344,2.04
967.912,-105.628,-138.656,151.6394,-24.9856,-130.5344,2.08
967.911,-105.568,-138.656,151.6394,-24.9856,-130.5344,2.12
967.911,-105.507,-138.656,151.6394,-24.9856,-130.5344,2.16
967.91,-105.447,-138.656,151.6394,-24.9856,-130.5344,2.2
967.909,-105.386,-138.656,151.6394,-24.9856,-130.5344,2.24
967.908,-105.326,-138.656,151.6394,-24.9856,-130.5344,2.2800000000000002
967.908,-105.266,-138.656,151.6394,-24.9856,-130.5344,2.32
967.907,-105.205,-138.656,151.6394,-24.9856,-130.5344,2.36
967.906,-105.145,-138.656,151.6394,-24.9856,-130.5344,2.4
967.905,-105.084,-138.656,151.6394,-24.9856,-130.5344,2.44
967.905,-105.024,-138.656,151.6394,-24.9856,-130.5344,2.48
967.904,-104.964,-138.657,151.6394,-24.9856,-130.5344,2.52
967.903,-104.903,-138.657,151.6394,-24.9856,-130.5344,2.56
