X,Y,Z,Rx,Ry,Rz
967.946,-108.53,-138.649,151.6398,-24.9861,-130.5347
967.947,-108.482,-138.653,151.6405,-24.9858,-130.5352
967.948,-108.444,-138.647,151.6393,-24.9849,-130.5348
967.951,-108.402,-138.649,151.6406,-24.9852,-130.5349
967.948,-108.353,-138.646,151.6407,-24.9857,-130.5354
967.949,-108.323,-138.648,151.6401,-24.9851,-130.5344
967.947,-108.273,-138.646,151.6402,-24.9856,-130.5349
967.948,-108.225,-138.649,151.639,-24.9844,-130.5336
967.94,-107.998,-138.658,151.6388,-24.9854,-130.5343
967.937,-107.967,-138.654,151.6395,-24.9865,-130.5351
967.943,-107.918,-138.654,151.6389,-24.9848,-130.5341
967.941,-107.888,-138.65,151.6396,-24.9859,-130.5349
967.942,-107.857,-138.652,151.639,-24.9853,-130.5339
967.939,-107.808,-138.649,151.6391,-24.9858,-130.5344
967.94,-107.76,-138.653,151.6398,-24.9855,-130.5349
967.941,-107.729,-138.655,151.6392,-24.9849,-130.5339
967.939,-107.68,-138.652,151.6393,-24.9854,-130.5344
967.936,-107.473,-138.655,151.639,-24.9848,-130.5339
967.933,-107.423,-138.652,151.6391,-24.9853,-130.5344
967.935,-107.394,-138.654,151.6405,-24.9856,-130.5352
967.932,-107.362,-138.65,151.6392,-24.9858,-130.5342
967.933,-107.314,-138.653,151.64,-24.9855,-130.5347
967.93,-107.265,-138.651,151.6401,-24.9859,-130.5352
967.937,-107.234,-138.649,151.64,-24.9849,-130.5344
967.934,-107.204,-138.645,151.6407,-24.986,-130.5352
967.933,-107.155,-138.659,151.6389,-24.9853,-130.5336
967.929,-107.117,-138.657,151.639,-24.9857,-130.5348
967.928,-106.898,-138.659,151.6387,-24.9852,-130.5336
967.925,-106.849,-138.657,151.6388,-24.9857,-130.5341
967.927,-106.819,-138.659,151.6401,-24.986,-130.5349
967.925,-106.758,-138.656,151.6402,-24.9865,-130.5347
967.93,-106.721,-138.656,151.6396,-24.9848,-130.5344
967.927,-106.69,-138.652,151.6403,-24.9859,-130.5352
967.928,-106.641,-138.656,151.6391,-24.9847,-130.5338
967.925,-106.592,-138.653,151.6392,-24.9852,-130.5343
967.92,-106.354,-138.651,151.6396,-24.9857,-130.5346
967.921,-106.324,-138.653,151.639,-24.9851,-130.5336
967.918,-106.274,-138.651,151.6391,-24.9856,-130.5341
967.92,-106.244,-138.653,151.6405,-24.9859,-130.5349
967.919,-106.206,-138.657,151.6386,-24.9855,-130.5343
967.92,-106.177,-138.659,151.6399,-24.9858,-130.5351
967.919,-106.116,-138.657,151.64,-24.9863,-130.5349
967.92,-106.085,-138.659,151.6394,-24.9857,-130.5339
967.916,-106.048,-138.656,151.6395,-24.9862,-130.5351
967.912,-105.798,-138.654,151.6399,-24.9867,-130.5347
967.917,-105.761,-138.654,151.6393,-24.985,-130.5343
967.915,-105.718,-138.65,151.64,-24.9861,-130.5344
967.915,-105.681,-138.654,151.6388,-24.9849,-130.5338
967.912,-105.632,-138.651,151.6389,-24.9854,-130.5343
967.913,-105.602,-138.653,151.6402,-24.9857,-130.5351
967.914,-105.572,-138.655,151.6396,-24.9851,-130.5341
967.911,-105.522,-138.652,151.6397,-24.9856,-130.5346
967.904,-105.284,-138.661,151.6395,-24.9866,-130.5347
967.909,-105.247,-138.661,151.6389,-24.985,-130.5343
967.908,-105.205,-138.657,151.6396,-24.9861,-130.5344
967.907,-105.168,-138.661,151.6384,-24.9848,-130.5338
967.905,-105.137,-138.656,151.6391,-24.9859,-130.5346
967.906,-105.089,-138.66,151.6398,-24.9856,-130.5351
967.903,-105.057,-138.656,151.6386,-24.9858,-130.5341
967.904,-105.009,-138.659,151.6393,-24.9855,-130.5346
967.901,-104.96,-138.657,151.6394,-24.986,-130.5351
967.905,-104.74,-138.656,151.6397,-24.985,-130.5341
967.902,-104.691,-138.653,151.6398,-24.9855,-130.5346
967.903,-104.661,-138.655,151.6392,-24.9849,-130.5336
967.899,-104.623,-138.653,151.6393,-24.9854,-130.5348
967.901,-104.582,-138.655,151.6406,-24.9857,-130.5349
967.897,-104.544,-138.652,151.6388,-24.9852,-130.5343
967.898,-104.502,-138.665,151.6394,-24.9861,-130.5341
967.893,-104.464,-138.662,151.6376,-24.9856,-130.5335
967.896,-104.423,-138.664,151.6389,-24.9859,-130.5336
967.894,-104.196,-138.659,151.6399,-24.986,-130.5348
967.895,-104.147,-138.662,151.6387,-24.9848,-130.5335
967.892,-104.117,-138.658,151.6394,-24.9859,-130.5343
967.889,-104.067,-138.655,151.6395,-24.9864,-130.5348
967.89,-104.037,-138.657,151.6389,-24.9858,-130.5338
967.896,-104.0,-138.657,151.6402,-24.985,-130.5353
967.894,-103.958,-138.653,151.639,-24.9852,-130.5336
967.895,-103.909,-138.657,151.6397,-24.9849,-130.5341
967.892,-103.878,-138.652,151.6404,-24.986,-130.5349
967.89,-103.64,-138.658,151.6388,-24.9857,-130.5333
967.889,-103.585,-138.663,151.639,-24.9848,-130.5342
967.887,-103.554,-138.659,151.6397,-24.9859,-130.535
967.889,-103.512,-138.661,151.6391,-24.9853,-130.5333
967.885,-103.474,-138.658,151.6391,-24.9858,-130.5345
967.886,-103.444,-138.66,151.6405,-24.9861,-130.5353
967.883,-103.395,-138.657,151.6386,-24.9856,-130.534
967.884,-103.346,-138.661,151.6394,-24.9853,-130.5345
967.883,-103.09,-138.657,151.6397,-24.9848,-130.5347
967.88,-103.059,-138.653,151.6404,-24.9859,-130.5355
967.883,-103.017,-138.655,151.6398,-24.9853,-130.5338
967.876,-102.979,-138.663,151.6393,-24.9863,-130.5347
967.877,-102.949,-138.665,151.6387,-24.9857,-130.5337
967.88,-102.9,-138.659,151.6394,-24.9857,-130.5345
967.881,-102.851,-138.663,151.6401,-24.9854,-130.535
967.878,-102.82,-138.658,151.6389,-24.9856,-130.534
967.879,-102.772,-138.662,151.6396,-24.9853,-130.5345
967.871,-102.545,-138.66,151.6381,-24.985,-130.5336
967.873,-102.515,-138.662,151.6394,-24.9853,-130.5344
967.876,-102.454,-138.656,151.6401,-24.9853,-130.5345
967.873,-102.423,-138.651,151.6388,-24.9855,-130.5335
967.874,-102.375,-138.655,151.6396,-24.9852,-130.534
967.87,-102.344,-138.662,151.6396,-24.9868,-130.5345
967.869,-102.307,-138.665,151.6384,-24.9856,-130.5339
967.872,-102.265,-138.667,151.6397,-24.9859,-130.534
967.868,-102.032,-138.663,151.6401,-24.9854,-130.5356
