I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,18251.0,151.3,0.0,0.0,0.0
6.0,6.0,0.0,18286.0,185.7,0.0,0.0,0.0
7.0,6.0,0.0,18312.0,211.8,0.0,0.0,0.0
8.0,7.0,0.0,18342.0,242.4,0.0,0.0,0.0
8.0,8.0,0.0,18376.0,275.7,0.0,0.0,0.0
9.0,8.0,0.0,18408.0,308.0,0.0,0.0,0.0
10.0,9.0,0.0,18439.0,338.8,0.0,0.0,0.0
10.0,10.0,0.0,18469.0,369.3,0.0,0.0,0.0
11.0,10.0,1.0,18503.0,403.2,403.2,141.0,1.0
14.0,11.0,0.0,0.0,553.4,0.0,0.0,0.0
15.0,14.0,0.0,30.0,583.4,0.0,0.0,0.0
16.0,15.0,0.0,60.0,613.5,0.0,0.0,0.0
16.0,16.0,0.0,90.0,643.6,0.0,0.0,0.0
17.0,16.0,0.0,120.0,673.4,0.0,0.0,0.0
17.0,17.0,0.0,149.0,703.4,0.0,0.0,0.0
18.0,17.0,0.0,181.0,734.7,0.0,0.0,0.0
19.0,18.0,0.0,210.0,763.9,0.0,0.0,0.0
19.0,19.0,0.0,241.0,794.7,0.0,0.0,0.0
2.0,19.0,1.0,270.0,824.2,824.2,147.0,2.0
5.0,2.0,0.0,0.0,981.7,0.0,0.0,0.0
6.0,5.0,0.0,30.0,1011.7,0.0,0.0,0.0
7.0,6.0,0.0,61.0,1043.6,0.0,0.0,0.0
7.0,7.0,0.0,92.0,1073.8,0.0,0.0,0.0
8.0,7.0,0.0,122.0,1103.7,0.0,0.0,0.0
9.0,8.0,0.0,153.0,1135.5,0.0,0.0,0.0
9.0,9.0,0.0,184.0,1165.8,0.0,0.0,0.0
10.0,9.0,0.0,214.0,1195.8,0.0,0.0,0.0
11.0,10.0,1.0,245.0,1226.8,1226.8,141.0,1.0
14.0,11.0,0.0,0.0,1377.0,0.0,0.0,0.0
15.0,14.0,0.0,30.0,1407.2,0.0,0.0,0.0
15.0,15.0,0.0,60.0,1437.3,0.0,0.0,0.0
16.0,15.0,0.0,89.0,1466.8,0.0,0.0,0.0
17.0,16.0,0.0,120.0,1497.4,0.0,0.0,0.0
17.0,17.0,0.0,151.0,1528.4,0.0,0.0,0.0
18.0,17.0,0.0,180.0,1557.5,0.0,0.0,0.0
18.0,18.0,0.0,210.0,1587.5,0.0,0.0,0.0
19.0,18.0,0.0,240.0,1617.8,0.0,0.0,0.0
2.0,19.0,1.0,274.0,1651.9,1651.9,135.0,2.0
5.0,2.0,0.0,0.0,1797.4,0.0,0.0,0.0
5.0,5.0,0.0,28.0,1825.6,0.0,0.0,0.0
6.0,5.0,0.0,58.0,1855.7,0.0,0.0,0.0
7.0,6.0,0.0,90.0,1887.9,0.0,0.0,0.0
7.0,7.0,0.0,121.0,1918.8,0.0,0.0,0.0
8.0,7.0,0.0,149.0,1947.4,0.0,0.0,0.0
9.0,8.0,0.0,181.0,1979.4,0.0,0.0,0.0
9.0,9.0,0.0,211.0,2009.4,0.0,0.0,0.0
10.0,9.0,0.0,243.0,2040.5,0.0,0.0,0.0
11.0,10.0,1.0,272.0,2069.6,2069.6,144.0,1.0
14.0,11.0,0.0,0.0,2224.2,0.0,0.0,0.0
15.0,14.0,0.0,30.0,2255.0,0.0,0.0,0.0
15.0,15.0,0.0,63.0,2287.3,0.0,0.0,0.0
16.0,15.0,0.0,98.0,2322.6,0.0,0.0,0.0
17.0,16.0,0.0,123.0,2347.3,0.0,0.0,0.0
17.0,17.0,0.0,154.0,2379.0,0.0,0.0,0.0
18.0,17.0,0.0,185.0,2409.3,0.0,0.0,0.0
19.0,18.0,0.0,215.0,2439.5,0.0,0.0,0.0
19.0,19.0,0.0,247.0,2471.4,0.0,0.0,0.0
2.0,19.0,1.0,279.0,2502.4,2502.4,132.0,2.0
5.0,2.0,0.0,0.0,2643.9,0.0,0.0,0.0
6.0,5.0,0.0,29.0,2673.0,0.0,0.0,0.0
6.0,6.0,0.0,59.0,2703.6,0.0,0.0,0.0
7.0,6.0,0.0,91.0,2735.0,0.0,0.0,0.0
8.0,7.0,0.0,121.0,2765.3,0.0,0.0,0.0
8.0,8.0,0.0,151.0,2795.4,0.0,0.0,0.0
9.0,8.0,0.0,179.0,2823.3,0.0,0.0,0.0
9.0,9.0,0.0,211.0,2855.1,0.0,0.0,0.0
10.0,9.0,0.0,242.0,2886.0,0.0,0.0,0.0
11.0,10.0,1.0,275.0,2919.6,2919.6,138.0,1.0
14.0,11.0,0.0,0.0,3062.4,0.0,0.0,0.0
15.0,14.0,0.0,33.0,3095.7,0.0,0.0,0.0
15.0,15.0,0.0,66.0,3128.8,0.0,0.0,0.0
16.0,15.0,0.0,100.0,3162.7,0.0,0.0,0.0
17.0,16.0,0.0,132.0,3195.3,0.0,0.0,0.0
17.0,17.0,0.0,164.0,3227.1,0.0,0.0,0.0
18.0,17.0,0.0,194.0,3256.8,0.0,0.0,0.0
19.0,18.0,0.0,229.0,3291.6,0.0,0.0,0.0
19.0,19.0,0.0,254.0,3317.4,0.0,0.0,0.0
2.0,19.0,1.0,284.0,3347.1,3347.1,140.0,2.0
5.0,2.0,0.0,0.0,3496.9,0.0,0.0,0.0
6.0,5.0,0.0,34.0,3531.5,0.0,0.0,0.0
7.0,6.0,0.0,65.0,3562.3,0.0,0.0,0.0
7.0,7.0,0.0,94.0,3591.7,0.0,0.0,0.0
8.0,7.0,0.0,124.0,3621.8,0.0,0.0,0.0
9.0,8.0,0.0,155.0,3652.7,0.0,0.0,0.0
9.0,9.0,0.0,185.0,3682.8,0.0,0.0,0.0
10.0,9.0,0.0,218.0,3715.2,0.0,0.0,0.0
10.0,10.0,0.0,248.0,3745.6,0.0,0.0,0.0
11.0,10.0,1.0,278.0,3775.0,3775.0,141.0,1.0
14.0,11.0,0.0,0.0,3927.4,0.0,0.0,0.0
15.0,14.0,0.0,30.0,3957.4,0.0,0.0,0.0
16.0,15.0,0.0,60.0,3987.5,0.0,0.0,0.0
16.0,16.0,0.0,90.0,4017.6,0.0,0.0,0.0
17.0,16.0,0.0,120.0,4047.9,0.0,0.0,0.0
18.0,17.0,0.0,150.0,4077.4,0.0,0.0,0.0
18.0,18.0,0.0,181.0,4109.2,0.0,0.0,0.0
19.0,18.0,0.0,211.0,4138.8,0.0,0.0,0.0
2.0,19.0,1.0,240.0,4167.8,4167.8,132.0,2.0
5.0,2.0,0.0,0.0,4315.6,0.0,0.0,0.0
5.0,5.0,0.0,30.0,4345.8,0.0,0.0,0.0
6.0,5.0,0.0,63.0,4378.7,0.0,0.0,0.0
7.0,6.0,0.0,91.0,4406.9,0.0,0.0,0.0
7.0,7.0,0.0,122.0,4437.6,0.0,0.0,0.0
8.0,7.0,0.0,153.0,4469.1,0.0,0.0,0.0
9.0,8.0,0.0,183.0,4499.5,0.0,0.0,0.0
9.0,9.0,0.0,214.0,4529.7,0.0,0.0,0.0
10.0,9.0,0.0,244.0,4559.8,0.0,0.0,0.0
11.0,10.0,1.0,275.0,4590.7,4590.7,133.0,1.0
14.0,11.0,0.0,0.0,4733.1,0.0,0.0,0.0
14.0,14.0,0.0,30.0,4763.3,0.0,0.0,0.0
15.0,14.0,0.0,63.0,4796.4,0.0,0.0,0.0
16.0,15.0,0.0,90.0,4823.5,0.0,0.0,0.0
17.0,16.0,0.0,132.0,4865.4,0.0,0.0,0.0
17.0,17.0,0.0,166.0,4899.2,0.0,0.0,0.0
18.0,17.0,0.0,196.0,4929.5,0.0,0.0,0.0
19.0,18.0,0.0,227.0,4960.4,0.0,0.0,0.0
19.0,19.0,0.0,258.0,4991.7,0.0,0.0,0.0
2.0,19.0,1.0,289.0,5022.4,5022.4,135.0,2.0
5.0,2.0,0.0,0.0,5167.4,0.0,0.0,0.0
