X,Y,Z,Rx,Ry,Rz,Time
967.951,-108.768,-138.651,151.6394,-24.9856,-130.5344,0.0
967.95,-108.708,-138.651,151.6394,-24.9856,-130.5344,0.04
967.949,-108.647,-138.651,151.6394,-24.9856,-130.5344,0.08
967.948,-108.587,-138.651,151.6394,-24.9856,-130.5344,0.12
967.948,-108.527,-138.651,151.6394,-24.9856,-130.5344,0.16
967.947,-108.466,-138.651,151.6394,-24.9856,-130.5344,0.2
967.946,-108.406,-138.651,151.6394,-24.9856,-130.5344,0.24
967.945,-108.346,-138.652,151.6394,-24.9856,-130.5344,0.28
967.944,-108.285,-138.652,151.6394,-24.9856,-130.5344,0.32
967.943,-108.225,-138.652,151.6394,-24.9856,-130.5344,0.36
967.942,-108.164,-138.652,151.6394,-24.9856,-130.5344,0.4
967.942,-108.104,-138.652,151.6394,-24.9856,-130.5344,0.44
967.941,-108.044,-138.652,151.6394,-24.9856,-130.5344,0.48
967.94,-107.983,-138.652,151.6394,-24.9856,-130.5344,0.52
967.939,-107.923,-138.652,151.6394,-24.9856,-130.5344,0.56
967.938,-107.863,-138.652,151.6394,-24.9856,-130.5344,0.6
967.937,-107.802,-138.652,151.6394,-24.9856,-130.5344,0.64
967.936,-107.742,-138.652,151.6394,-24.9856,-130.5344,0.68
967.936,-107.682,-138.652,151.6394,-24.9856,-130.5344,0.72
967.935,-107.621,-138.653,151.6394,-24.9856,-130.5344,0.76
967.934,-107.561,-138.653,151.6394,-24.9856,-130.5344,0.8
967.933,-107.501,-138.653,151.6394,-24.9856,-130.5344,0.84
967.932,-107.44,-138.653,151.6394,-24.9856,-130.5344,0.88
967.931,-107.38,-138.653,151.6394,-24.9856,-130.5344,0.92
967.93,-107.32,-138.653,151.6394,-24.9856,-130.5344,0.96
967.93,-107.259,-138.653,151.6394,-24.9856,-130.5344,1.0
967.929,-107.199,-138.653,151.6394,-24.9856,-130.5344,1.04
967.928,-107.139,-138.653,151.6394,-24.9856,-130.5344,1.08
967.927,-107.078,-138.653,151.6394,-24.9856,-130.5344,1.12
967.926,-107.018,-138.653,151.6394,-24.9856,-130.5344,1.16
967.925,-106.957,-138.653,151.6394,-24.9856,-130.5344,1.2
967.924,-106.897,-138.653,151.6394,-24.9856,-130.5344,1.24
967.923,-106.837,-138.654,151.6394,-24.9856,-130.5344,1.28
967.923,-106.776,-138.654,151.6394,-24.9856,-130.5344,1.32
967.922,-106.716,-138.654,151.6394,-24.9856,-130.5344,1.36
967.921,-106.656,-138.654,151.6394,-24.9856,-130.5344,1.4000000000000001
967.92,-106.595,-138.654,151.6394,-24.9856,-130.5344,1.44
967.919,-106.535,-138.654,151.6394,-24.9856,-130.5344,1.48
967.918,-106.475,-138.654,151.6394,-24.9856,-130.5344,1.52
967.917,-106.414,-138.654,151.6394,-24.9856,-130.5344,1.56
967.917,-106.354,-138.654,151.6394,-24.9856,-130.5344,1.6
967.916,-106.294,-138.654,151.6394,-24.9856,-130.5344,1.6400000000000001
967.915,-106.233,-138.654,151.6394,-24.9856,-130.5344,1.68
967.914,-106.173,-138.654,151.6394,-24.9856,-130.5344,1.72
967.913,-106.113,-138.655,151.6394,-24.9856,-130.5344,1.76
967.912,-106.052,-138.655,151.6394,-24.9856,-130.5344,1.8
967.911,-105.992,-138.655,151.6394,-24.9856,-130.5344,1.84
967.911,-105.931,-138.655,151.6394,-24.9856,-130.5344,1.8800000000000001
967.91,-105.871,-138.655,151.6394,-24.9856,-130.5344,1.92
967.909,-105.811,-138.655,151.6394,-24.9856,-130.5344,1.96
967.908,-105.75,-138.655,151.6394,-24.9856,-130.5344,2.0
967.907,-105.69,-138.655,151.6394,-24.9856,-130.5344,2.04
967.906,-105.63,-138.655,151.6394,-24.9856,-130.5344,2.08
967.905,-105.569,-138.655,151.6394,-24.9856,-130.5344,2.12
967.905,-105.509,-138.655,151.6394,-24.9856,-130.5344,2.16
967.904,-105.449,-138.655,151.6394,-24.9856,-130.5344,2.2
967.903,-105.388,-138.655,151.6394,-24.9856,-130.5344,2.24
967.902,-105.328,-138.656,151.6394,-24.9856,-130.5344,2.2800000000000002
967.901,-105.268,-138.656,151.6394,-24.9856,-130.5344,2.32
967.9,-105.207,-138.656,151.6394,-24.9856,-130.5344,2.36
967.899,-105.147,-138.656,151.6394,-24.9856,-130.5344,2.4
967.899,-105.087,-138.656,151.6394,-24.9856,-130.5344,2.44
967.898,-105.026,-138.656,151.6394,-24.9856,-130.5344,2.48
967.897,-104.966,-138.656,151.6394,-24.9856,-130.5344,2.52
967.896,-104.905,-138.656,151.6394,-24.9856,-130.5344,2.56
