X,Y,Z,Rx,Ry,Rz
967.945,-108.542,-138.649,151.6398,-24.9861,-130.5354
967.947,-108.5,-138.651,151.6392,-24.9855,-130.5337
967.943,-108.462,-138.648,151.6393,-24.986,-130.5349
967.946,-108.42,-138.65,151.6387,-24.9854,-130.5332
967.941,-108.383,-138.648,151.6388,-24.9859,-130.5344
967.943,-108.334,-138.651,151.6395,-24.9856,-130.5349
967.941,-108.292,-138.647,151.6402,-24.9866,-130.535
967.946,-108.255,-138.647,151.6396,-24.985,-130.5346
967.948,-108.225,-138.649,151.6409,-24.9853,-130.5354
967.941,-107.986,-138.658,151.6388,-24.9854,-130.5336
967.938,-107.937,-138.656,151.6389,-24.9859,-130.5341
967.94,-107.907,-138.658,151.6402,-24.9862,-130.5349
967.936,-107.858,-138.655,151.6384,-24.9858,-130.5336
967.936,-107.821,-138.659,151.6391,-24.9855,-130.5348
967.935,-107.778,-138.654,151.6379,-24.9856,-130.5331
967.935,-107.741,-138.658,151.6386,-24.9853,-130.5343
967.932,-107.711,-138.654,151.6393,-24.9864,-130.5351
967.934,-107.669,-138.656,151.6387,-24.9858,-130.5334
967.928,-107.424,-138.655,151.6386,-24.9858,-130.5341
967.929,-107.375,-138.659,151.6393,-24.9854,-130.5346
967.927,-107.344,-138.655,151.64,-24.9865,-130.5354
967.933,-107.295,-138.655,151.6394,-24.9849,-130.5343
967.93,-107.265,-138.651,151.6401,-24.9859,-130.5352
967.931,-107.216,-138.654,151.6389,-24.9847,-130.5338
967.929,-107.185,-138.65,151.6396,-24.9858,-130.5347
967.93,-107.137,-138.654,151.6403,-24.9855,-130.5352
967.923,-106.91,-138.652,151.6388,-24.9852,-130.5343
967.926,-106.868,-138.654,151.6401,-24.9854,-130.5344
967.921,-106.83,-138.651,151.6383,-24.985,-130.5338
967.923,-106.782,-138.655,151.639,-24.9847,-130.5343
967.92,-106.751,-138.651,151.6397,-24.9858,-130.5351
967.921,-106.721,-138.652,151.6391,-24.9852,-130.5341
967.92,-106.679,-138.648,151.6398,-24.9863,-130.5342
967.918,-106.653,-138.652,151.6386,-24.9851,-130.5343
967.922,-106.611,-138.644,151.6399,-24.9857,-130.5347
967.917,-106.385,-138.659,151.6384,-24.9851,-130.5336
967.916,-106.342,-138.655,151.6391,-24.9862,-130.5337
967.916,-106.306,-138.659,151.6398,-24.9859,-130.5349
967.913,-106.256,-138.656,151.6399,-24.9863,-130.5354
967.914,-106.207,-138.66,151.6387,-24.9851,-130.5341
967.911,-106.177,-138.655,151.6394,-24.9862,-130.5349
967.912,-106.128,-138.659,151.6382,-24.985,-130.5336
967.909,-106.097,-138.655,151.6389,-24.9861,-130.5344
967.911,-106.067,-138.657,151.6402,-24.9864,-130.5352
967.909,-105.822,-138.653,151.6387,-24.985,-130.5343
967.911,-105.792,-138.655,151.64,-24.9853,-130.5351
967.909,-105.731,-138.652,151.6401,-24.9858,-130.5349
967.909,-105.712,-138.654,151.6395,-24.9851,-130.5346
967.907,-105.67,-138.65,151.6402,-24.9862,-130.5347
967.907,-105.633,-138.653,151.639,-24.985,-130.5341
967.904,-105.584,-138.651,151.6391,-24.9855,-130.5346
967.905,-105.554,-138.653,151.6404,-24.9858,-130.5354
967.902,-105.504,-138.65,151.6386,-24.9854,-130.5341
967.899,-105.285,-138.664,151.6396,-24.9863,-130.5344
967.9,-105.247,-138.657,151.6383,-24.9854,-130.5341
967.903,-105.206,-138.659,151.6397,-24.9857,-130.5342
967.899,-105.168,-138.657,151.6398,-24.9862,-130.5354
967.901,-105.126,-138.659,151.6392,-24.9856,-130.5337
967.897,-105.089,-138.656,151.6393,-24.9861,-130.5349
