X,Y,Z,Rx,Ry,Rz
967.95,-108.708,-138.651,151.6394,-24.9856,-130.5344
967.949,-108.647,-138.651,151.6394,-24.9856,-130.5344
967.948,-108.587,-138.651,151.6394,-24.9856,-130.5344
967.948,-108.527,-138.651,151.6394,-24.9856,-130.5344
967.947,-108.466,-138.651,151.6394,-24.9856,-130.5344
967.946,-108.406,-138.651,151.6394,-24.9856,-130.5344
967.945,-108.346,-138.652,151.6394,-24.9856,-130.5344
967.944,-108.285,-138.652,151.6394,-24.9856,-130.5344
967.943,-108.225,-138.652,151.6394,-24.9856,-130.5344
967.942,-108.164,-138.652,151.6394,-24.9856,-130.5344
967.942,-108.104,-138.652,151.6394,-24.9856,-130.5344
967.941,-108.044,-138.652,151.6394,-24.9856,-130.5344
967.94,-107.983,-138.652,151.6394,-24.9856,-130.5344
967.939,-107.923,-138.652,151.6394,-24.9856,-130.5344
967.938,-107.863,-138.652,151.6394,-24.9856,-130.5344
967.937,-107.802,-138.652,151.6394,-24.9856,-130.5344
967.936,-107.742,-138.652,151.6394,-24.9856,-130.5344
967.936,-107.682,-138.652,151.6394,-24.9856,-130.5344
967.935,-107.621,-138.653,151.6394,-24.9856,-130.5344
967.934,-107.561,-138.653,151.6394,-24.9856,-130.5344
967.933,-107.501,-138.653,151.6394,-24.9856,-130.5344
967.932,-107.44,-138.653,151.6394,-24.9856,-130.5344
967.931,-107.38,-138.653,151.6394,-24.9856,-130.5344
967.93,-107.32,-138.653,151.6394,-24.9856,-130.5344
967.93,-107.259,-138.653,151.6394,-24.9856,-130.5344
967.929,-107.199,-138.653,151.6394,-24.9856,-130.5344
967.928,-107.139,-138.653,151.6394,-24.9856,-130.5344
967.927,-107.078,-138.653,151.6394,-24.9856,-130.5344
967.926,-107.018,-138.653,151.6394,-24.9856,-130.5344
967.925,-106.957,-138.653,151.6394,-24.9856,-130.5344
967.924,-106.897,-138.653,151.6394,-24.9856,-130.5344
967.923,-106.837,-138.654,151.6394,-24.9856,-130.5344
967.923,-106.776,-138.654,151.6394,-24.9856,-130.5344
967.922,-106.716,-138.654,151.6394,-24.9856,-130.5344
967.921,-106.656,-138.654,151.6394,-24.9856,-130.5344
967.92,-106.595,-138.654,151.6394,-24.9856,-130.5344
967.919,-106.535,-138.654,151.6394,-24.9856,-130.5344
967.918,-106.475,-138.654,151.6394,-24.9856,-130.5344
967.917,-106.414,-138.654,151.6394,-24.9856,-130.5344
967.917,-106.354,-138.654,151.6394,-24.9856,-130.5344
967.916,-106.294,-138.654,151.6394,-24.9856,-130.5344
967.915,-106.233,-138.654,151.6394,-24.9856,-130.5344
967.914,-106.173,-138.654,151.6394,-24.9856,-130.5344
967.913,-106.113,-138.655,151.6394,-24.9856,-130.5344
967.912,-106.052,-138.655,151.6394,-24.9856,-130.5344
967.911,-105.992,-138.655,151.6394,-24.9856,-130.5344
967.911,-105.931,-138.655,151.6394,-24.9856,-130.5344
967.91,-105.871,-138.655,151.6394,-24.9856,-130.5344
967.909,-105.811,-138.655,151.6394,-24.9856,-130.5344
967.908,-105.75,-138.655,151.6394,-24.9856,-130.5344
967.907,-105.69,-138.655,151.6394,-24.9856,-130.5344
967.906,-105.63,-138.655,151.6394,-24.9856,-130.5344
967.905,-105.569,-138.655,151.6394,-24.9856,-130.5344
