I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,14172.0,154.9,0.0,0.0,0.0
7.0,6.0,0.0,14205.0,187.7,0.0,0.0,0.0
7.0,7.0,0.0,14236.0,218.6,0.0,0.0,0.0
8.0,7.0,0.0,14265.0,247.6,0.0,0.0,0.0
8.0,8.0,0.0,14295.0,277.6,0.0,0.0,0.0
9.0,8.0,0.0,14324.0,307.0,0.0,0.0,0.0
10.0,9.0,0.0,14355.0,337.6,0.0,0.0,0.0
10.0,10.0,0.0,14385.0,367.6,0.0,0.0,0.0
11.0,10.0,1.0,14420.0,402.9,402.9,149.0,1.0
14.0,11.0,0.0,0.0,561.0,0.0,0.0,0.0
15.0,14.0,0.0,32.0,593.0,0.0,0.0,0.0
16.0,15.0,0.0,66.0,627.6,0.0,0.0,0.0
16.0,16.0,0.0,92.0,653.1,0.0,0.0,0.0
17.0,16.0,0.0,121.0,683.0,0.0,0.0,0.0
18.0,17.0,0.0,152.0,713.3,0.0,0.0,0.0
18.0,18.0,0.0,182.0,743.6,0.0,0.0,0.0
19.0,18.0,0.0,217.0,778.5,0.0,0.0,0.0
2.0,19.0,1.0,242.0,803.4,803.4,142.0,2.0
5.0,2.0,0.0,0.0,954.5,0.0,0.0,0.0
6.0,5.0,0.0,32.0,986.6,0.0,0.0,0.0
6.0,6.0,0.0,60.0,1014.9,0.0,0.0,0.0
7.0,6.0,0.0,89.0,1044.1,0.0,0.0,0.0
7.0,7.0,0.0,120.0,1075.3,0.0,0.0,0.0
8.0,7.0,0.0,150.0,1105.2,0.0,0.0,0.0
9.0,8.0,0.0,184.0,1139.4,0.0,0.0,0.0
9.0,9.0,0.0,210.0,1164.8,0.0,0.0,0.0
10.0,9.0,0.0,240.0,1195.1,0.0,0.0,0.0
11.0,10.0,1.0,270.0,1225.4,1225.4,144.0,1.0
14.0,11.0,0.0,0.0,1379.7,0.0,0.0,0.0
15.0,14.0,0.0,29.0,1409.7,0.0,0.0,0.0
15.0,15.0,0.0,60.0,1440.0,0.0,0.0,0.0
16.0,15.0,0.0,91.0,1471.0,0.0,0.0,0.0
17.0,16.0,0.0,120.0,1500.0,0.0,0.0,0.0
17.0,17.0,0.0,152.0,1531.9,0.0,0.0,0.0
18.0,17.0,0.0,184.0,1564.0,0.0,0.0,0.0
18.0,18.0,0.0,214.0,1594.4,0.0,0.0,0.0
19.0,18.0,0.0,244.0,1624.6,0.0,0.0,0.0
2.0,19.0,1.0,276.0,1656.2,1656.2,144.0,2.0
5.0,2.0,0.0,0.0,1812.1,0.0,0.0,0.0
6.0,5.0,0.0,32.0,1844.4,0.0,0.0,0.0
7.0,6.0,0.0,60.0,1872.2,0.0,0.0,0.0
7.0,7.0,0.0,91.0,1903.8,0.0,0.0,0.0
8.0,7.0,0.0,123.0,1935.8,0.0,0.0,0.0
9.0,8.0,0.0,154.0,1966.6,0.0,0.0,0.0
9.0,9.0,0.0,187.0,2000.0,0.0,0.0,0.0
10.0,9.0,0.0,219.0,2031.2,0.0,0.0,0.0
11.0,10.0,1.0,248.0,2061.1,2061.1,143.0,1.0
14.0,11.0,0.0,0.0,2215.5,0.0,0.0,0.0
14.0,14.0,0.0,32.0,2247.7,0.0,0.0,0.0
15.0,14.0,0.0,59.0,2275.4,0.0,0.0,0.0
16.0,15.0,0.0,91.0,2307.4,0.0,0.0,0.0
16.0,16.0,0.0,122.0,2337.7,0.0,0.0,0.0
17.0,16.0,0.0,152.0,2367.9,0.0,0.0,0.0
18.0,17.0,0.0,184.0,2400.0,0.0,0.0,0.0
18.0,18.0,0.0,215.0,2430.8,0.0,0.0,0.0
19.0,18.0,0.0,244.0,2460.2,0.0,0.0,0.0
2.0,19.0,1.0,278.0,2494.4,2494.4,138.0,2.0
5.0,2.0,0.0,0.0,2638.0,0.0,0.0,0.0
6.0,5.0,0.0,27.0,2665.2,0.0,0.0,0.0
6.0,6.0,0.0,60.0,2698.8,0.0,0.0,0.0
7.0,6.0,0.0,91.0,2729.6,0.0,0.0,0.0
7.0,7.0,0.0,121.0,2759.7,0.0,0.0,0.0
8.0,7.0,0.0,151.0,2789.3,0.0,0.0,0.0
9.0,8.0,0.0,181.0,2819.8,0.0,0.0,0.0
9.0,9.0,0.0,211.0,2849.9,0.0,0.0,0.0
10.0,9.0,0.0,241.0,2879.8,0.0,0.0,0.0
11.0,10.0,1.0,274.0,2912.2,2912.2,157.0,1.0
14.0,11.0,0.0,0.0,3081.3,0.0,0.0,0.0
15.0,14.0,0.0,32.0,3113.5,0.0,0.0,0.0
16.0,15.0,0.0,66.0,3147.7,0.0,0.0,0.0
16.0,16.0,0.0,92.0,3173.4,0.0,0.0,0.0
17.0,16.0,0.0,121.0,3202.9,0.0,0.0,0.0
18.0,17.0,0.0,152.0,3233.5,0.0,0.0,0.0
18.0,18.0,0.0,182.0,3263.6,0.0,0.0,0.0
19.0,18.0,0.0,212.0,3293.8,0.0,0.0,0.0
2.0,19.0,1.0,242.0,3323.9,3323.9,142.0,2.0
5.0,2.0,0.0,0.0,3477.0,0.0,0.0,0.0
6.0,5.0,0.0,29.0,3507.0,0.0,0.0,0.0
6.0,6.0,0.0,62.0,3539.6,0.0,0.0,0.0
7.0,6.0,0.0,96.0,3573.6,0.0,0.0,0.0
8.0,7.0,0.0,122.0,3599.7,0.0,0.0,0.0
8.0,8.0,0.0,156.0,3633.1,0.0,0.0,0.0
9.0,8.0,0.0,184.0,3661.2,0.0,0.0,0.0
10.0,9.0,0.0,214.0,3691.8,0.0,0.0,0.0
10.0,10.0,0.0,246.0,3723.8,0.0,0.0,0.0
11.0,10.0,1.0,276.0,3753.9,3753.9,136.0,1.0
14.0,11.0,0.0,0.0,3900.0,0.0,0.0,0.0
15.0,14.0,0.0,27.0,3927.0,0.0,0.0,0.0
15.0,15.0,0.0,56.0,3956.5,0.0,0.0,0.0
16.0,15.0,0.0,87.0,3987.1,0.0,0.0,0.0
17.0,16.0,0.0,117.0,4017.2,0.0,0.0,0.0
17.0,17.0,0.0,147.0,4047.6,0.0,0.0,0.0
18.0,17.0,0.0,177.0,4077.6,0.0,0.0,0.0
18.0,18.0,0.0,207.0,4107.6,0.0,0.0,0.0
19.0,18.0,0.0,237.0,4137.6,0.0,0.0,0.0
2.0,19.0,1.0,271.0,4171.7,4171.7,133.0,2.0
5.0,2.0,0.0,0.0,4316.8,0.0,0.0,0.0
5.0,5.0,0.0,30.0,4346.8,0.0,0.0,0.0
6.0,5.0,0.0,59.0,4376.1,0.0,0.0,0.0
7.0,6.0,0.0,90.0,4407.4,0.0,0.0,0.0
7.0,7.0,0.0,122.0,4438.9,0.0,0.0,0.0
8.0,7.0,0.0,151.0,4468.7,0.0,0.0,0.0
9.0,8.0,0.0,186.0,4503.6,0.0,0.0,0.0
9.0,9.0,0.0,212.0,4528.6,0.0,0.0,0.0
10.0,9.0,0.0,242.0,4559.1,0.0,0.0,0.0
11.0,10.0,1.0,271.0,4588.7,4588.7,138.0,1.0
14.0,11.0,0.0,0.0,4737.7,0.0,0.0,0.0
15.0,14.0,0.0,33.0,4770.8,0.0,0.0,0.0
15.0,15.0,0.0,66.0,4803.9,0.0,0.0,0.0
16.0,15.0,0.0,93.0,4830.8,0.0,0.0,0.0
17.0,16.0,0.0,122.0,4860.1,0.0,0.0,0.0
17.0,17.0,0.0,153.0,4891.2,0.0,0.0,0.0
18.0,17.0,0.0,183.0,4920.9,0.0,0.0,0.0
18.0,18.0,0.0,213.0,4951.5,0.0,0.0,0.0
19.0,18.0,0.0,243.0,4981.3,0.0,0.0,0.0
2.0,19.0,1.0,277.0,5014.9,5014.9,137.0,2.0
5.0,2.0,0.0,0.0,5157.7,0.0,0.0,0.0
5.0,5.0,0.0,29.0,5187.5,0.0,0.0,0.0
6.0,5.0,0.0,60.0,5217.7,0.0,0.0,0.0
7.0,6.0,0.0,89.0,5247.7,0.0,0.0,0.0
7.0,7.0,0.0,121.0,5278.7,0.0,0.0,0.0
8.0,7.0,0.0,150.0,5308.0,0.0,0.0,0.0
9.0,8.0,0.0,182.0,5340.2,0.0,0.0,0.0
9.0,9.0,0.0,213.0,5371.0,0.0,0.0,0.0
10.0,9.0,0.0,243.0,5401.1,0.0,0.0,0.0
11.0,10.0,1.0,274.0,5432.5,5432.5,155.0,1.0
14.0,11.0,0.0,0.0,5599.0,0.0,0.0,0.0
15.0,14.0,0.0,30.0,5629.0,0.0,0.0,0.0
16.0,15.0,0.0,56.0,5655.4,0.0,0.0,0.0
16.0,16.0,0.0,86.0,5685.8,0.0,0.0,0.0
17.0,16.0,0.0,116.0,5715.9,0.0,0.0,0.0
18.0,17.0,0.0,148.0,5747.9,0.0,0.0,0.0
18.0,18.0,0.0,179.0,5778.7,0.0,0.0,0.0
19.0,18.0,0.0,214.0,5813.8,0.0,0.0,0.0
2.0,19.0,1.0,239.0,5838.8,5838.8,134.0,2.0
5.0,2.0,0.0,0.0,5985.5,0.0,0.0,0.0
5.0,5.0,0.0,29.0,6014.7,0.0,0.0,0.0
6.0,5.0,0.0,62.0,6047.6,0.0,0.0,0.0
7.0,6.0,0.0,89.0,6074.8,0.0,0.0,0.0
7.0,7.0,0.0,121.0,6107.4,0.0,0.0,0.0
8.0,7.0,0.0,152.0,6137.9,0.0,0.0,0.0
