X,Y,Z,Rx,Ry,Rz
967.946,-108.53,-138.649,151.6398,-24.9861,-130.5347
967.946,-108.493,-138.653,151.6386,-24.9849,-130.5341
967.95,-108.451,-138.645,151.6399,-24.9855,-130.5344
967.95,-108.414,-138.649,151.6406,-24.9852,-130.5356
967.948,-108.371,-138.644,151.6394,-24.9854,-130.5339
967.948,-108.334,-138.648,151.6401,-24.9851,-130.5351
967.945,-108.303,-138.644,151.6389,-24.9853,-130.5341
967.946,-108.255,-138.647,151.6396,-24.985,-130.5346
967.943,-108.212,-138.654,151.6397,-24.9866,-130.5345
967.937,-107.967,-138.654,151.6395,-24.9865,-130.5351
967.943,-107.918,-138.654,151.6389,-24.9848,-130.5341
967.941,-107.888,-138.65,151.6396,-24.9859,-130.5349
967.942,-107.857,-138.652,151.639,-24.9853,-130.5339
967.939,-107.808,-138.649,151.6391,-24.9858,-130.5344
967.94,-107.778,-138.651,151.6404,-24.9861,-130.5352
967.941,-107.729,-138.655,151.6392,-24.9849,-130.5339
967.939,-107.68,-138.652,151.6393,-24.9854,-130.5344
967.934,-107.461,-138.649,151.6403,-24.9865,-130.535
967.933,-107.423,-138.652,151.6391,-24.9853,-130.5344
967.931,-107.374,-138.65,151.6392,-24.9858,-130.5349
967.933,-107.332,-138.651,151.6386,-24.9852,-130.5332
967.933,-107.314,-138.653,151.64,-24.9855,-130.5347
967.93,-107.265,-138.651,151.6401,-24.9859,-130.5352
967.933,-107.215,-138.645,151.6388,-24.9851,-130.5341
967.934,-107.185,-138.647,151.6401,-24.9854,-130.5349
967.933,-107.155,-138.659,151.6389,-24.9853,-130.5336
967.928,-106.917,-138.658,151.6393,-24.9858,-130.5339
967.924,-106.879,-138.655,151.6394,-24.9863,-130.5351
967.925,-106.849,-138.657,151.6388,-24.9857,-130.5341
967.922,-106.8,-138.654,151.6389,-24.9862,-130.5346
967.923,-106.769,-138.656,151.6383,-24.9856,-130.5336
967.926,-106.72,-138.65,151.639,-24.9856,-130.5344
967.927,-106.672,-138.654,151.6397,-24.9853,-130.5349
967.926,-106.629,-138.65,151.6404,-24.9864,-130.535
967.925,-106.592,-138.653,151.6392,-24.9852,-130.5343
967.92,-106.354,-138.651,151.6396,-24.9857,-130.5346
967.921,-106.324,-138.653,151.639,-24.9851,-130.5336
967.918,-106.274,-138.651,151.6391,-24.9856,-130.5341
967.923,-106.226,-138.662,151.6398,-24.9853,-130.5346
967.92,-106.195,-138.657,151.6386,-24.9855,-130.5336
967.921,-106.146,-138.661,151.6393,-24.9852,-130.5341
967.919,-106.116,-138.657,151.64,-24.9863,-130.5349
967.92,-106.067,-138.66,151.6388,-24.9851,-130.5336
967.913,-105.84,-138.658,151.6392,-24.9856,-130.5346
967.912,-105.798,-138.654,151.6399,-24.9867,-130.5347
967.917,-105.761,-138.654,151.6393,-24.985,-130.5343
967.914,-105.711,-138.652,151.6394,-24.9855,-130.5348
967.915,-105.663,-138.656,151.6401,-24.9852,-130.5353
967.912,-105.632,-138.651,151.6389,-24.9854,-130.5343
967.913,-105.583,-138.655,151.6396,-24.9851,-130.5348
967.91,-105.552,-138.65,151.6384,-24.9853,-130.5338
967.911,-105.504,-138.654,151.6391,-24.985,-130.5343
967.904,-105.284,-138.661,151.6395,-24.9866,-130.5347
967.91,-105.235,-138.661,151.6389,-24.985,-130.5336
967.908,-105.205,-138.657,151.6396,-24.9861,-130.5344
967.909,-105.156,-138.661,151.6403,-24.9857,-130.5349
967.906,-105.125,-138.656,151.6391,-24.9859,-130.5339
967.906,-105.089,-138.66,151.6398,-24.9856,-130.5351
967.902,-105.039,-138.657,151.638,-24.9852,-130.5338
967.905,-104.997,-138.659,151.6393,-24.9855,-130.5339
967.901,-104.96,-138.657,151.6394,-24.986,-130.5351
967.902,-104.71,-138.652,151.6404,-24.9861,-130.5349
967.903,-104.661,-138.655,151.6392,-24.9849,-130.5336
967.899,-104.623,-138.653,151.6393,-24.9854,-130.5348
967.9,-104.594,-138.655,151.6406,-24.9857,-130.5356
967.897,-104.544,-138.652,151.6388,-24.9852,-130.5343
967.898,-104.502,-138.665,151.6394,-24.9861,-130.5341
967.893,-104.464,-138.662,151.6376,-24.9856,-130.5335
967.896,-104.423,-138.664,151.6389,-24.9859,-130.5336
967.894,-104.196,-138.659,151.6399,-24.986,-130.5348
967.895,-104.147,-138.662,151.6387,-24.9848,-130.5335
967.892,-104.098,-138.66,151.6388,-24.9853,-130.534
967.892,-104.08,-138.662,151.6401,-24.9856,-130.5355
967.889,-104.03,-138.659,151.6383,-24.9852,-130.5342
967.896,-104.0,-138.657,151.6402,-24.985,-130.5353
967.894,-103.958,-138.653,151.639,-24.9852,-130.5336
967.895,-103.909,-138.657,151.6397,-24.9849,-130.5341
967.891,-103.872,-138.654,151.6398,-24.9854,-130.5352
967.889,-103.652,-138.658,151.6388,-24.9857,-130.534
967.89,-103.622,-138.66,151.6402,-24.986,-130.5348
967.891,-103.573,-138.663,151.639,-24.9848,-130.5335
967.888,-103.542,-138.659,151.6397,-24.9859,-130.5343
967.889,-103.494,-138.663,151.6404,-24.9856,-130.5348
967.884,-103.456,-138.66,151.6386,-24.9852,-130.5342
967.887,-103.414,-138.662,151.6399,-24.9854,-130.5343
967.883,-103.377,-138.659,151.64,-24.9859,-130.5355
967.885,-103.335,-138.661,151.6394,-24.9853,-130.5338
967.883,-103.108,-138.656,151.6403,-24.9854,-130.535
967.879,-103.07,-138.653,151.6385,-24.985,-130.5344
967.881,-103.029,-138.655,151.6398,-24.9853,-130.5345
967.875,-102.991,-138.663,151.6393,-24.9863,-130.5354
967.877,-102.949,-138.665,151.6387,-24.9857,-130.5337
967.879,-102.912,-138.659,151.6394,-24.9857,-130.5352
967.881,-102.869,-138.661,151.6388,-24.9851,-130.5335
967.882,-102.84,-138.663,151.6401,-24.9854,-130.5343
967.879,-102.79,-138.66,151.6402,-24.9859,-130.5348
967.872,-102.564,-138.658,151.6387,-24.9856,-130.5339
967.874,-102.522,-138.66,151.64,-24.9859,-130.534
967.87,-102.484,-138.657,151.6382,-24.9855,-130.5334
967.876,-102.454,-138.656,151.6401,-24.9853,-130.5345
967.873,-102.405,-138.653,151.6402,-24.9858,-130.535
967.873,-102.368,-138.657,151.639,-24.9846,-130.5343
967.869,-102.325,-138.663,151.639,-24.9862,-130.5342
967.87,-102.295,-138.665,151.6384,-24.9856,-130.5332
967.867,-102.246,-138.663,151.6385,-24.9861,-130.5337
967.87,-102.02,-138.663,151.6401,-24.9854,-130.5349
967.866,-101.989,-138.659,151.6389,-24.9856,-130.5339
967.867,-101.941,-138.663,151.6396,-24.9852,-130.5344
967.865,-101.91,-138.658,151.6403,-24.9863,-130.5352
967.865,-101.861,-138.662,151.6391,-24.9851,-130.5339
967.868,-101.83,-138.654,151.6404,-24.9858,-130.5349
967.869,-101.782,-138.658,151.6392,-24.9846,-130.5336
967.866,-101.751,-138.653,151.6399,-24.9856,-130.5344
967.865,-101.702,-138.668,151.6399,-24.9859,-130.5346
967.864,-101.446,-138.664,151.6403,-24.9853,-130.5349
967.859,-101.408,-138.661,151.6385,-24.9849,-130.5342
967.862,-101.366,-138.663,151.6398,-24.9852,-130.5343
967.859,-101.335,-138.659,151.6386,-24.9854,-130.5333
967.86,-101.287,-138.663,151.6393,-24.9851,-130.5338
967.857,-101.256,-138.658,151.64,-24.9862,-130.5346
967.863,-101.207,-138.658,151.6394,-24.9845,-130.5336
967.859,-101.17,-138.656,151.6395,-24.985,-130.5348
967.851,-100.95,-138.663,151.6398,-24.9867,-130.5351
967.85,-100.913,-138.666,151.6386,-24.9855,-130.5345
967.849,-100.871,-138.662,151.6393,-24.9866,-130.5346
967.854,-100.833,-138.662,151.6387,-24.9849,-130.5342
967.856,-100.792,-138.664,151.64,-24.9852,-130.5343
967.852,-100.754,-138.662,151.6401,-24.9857,-130.5355
967.853,-100.724,-138.663,151.6395,-24.9851,-130.5345
967.85,-100.675,-138.661,151.6396,-24.9856,-130.535
967.852,-100.633,-138.663,151.639,-24.985,-130.5333
967.845,-100.375,-138.663,151.6381,-24.9858,-130.5332
967.844,-100.338,-138.667,151.6388,-24.9855,-130.5344
967.847,-100.308,-138.659,151.6401,-24.9861,-130.5355
967.848,-100.259,-138.663,151.6389,-24.9849,-130.5341
967.846,-100.216,-138.659,151.6396,-24.986,-130.5343
967.846,-100.18,-138.662,151.6403,-24.9857,-130.5354
967.848,-100.138,-138.664,151.6397,-24.9851,-130.5337
967.844,-100.1,-138.662,151.6398,-24.9856,-130.5349
967.844,-100.07,-138.663,151.6392,-24.985,-130.5339
967.841,-99.813,-138.67,151.6389,-24.985,-130.5339
967.838,-99.783,-138.666,151.6396,-24.9861,-130.5347
